gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
IGF2,-0.975216048,6.495038385,-9.478104147,1.10E-18,6.73E-15,31.79586673,Development (differentiation),0.116576877
ENO1,-1.363751932,8.047408993,-8.745231194,2.04E-16,6.22E-13,26.57584602,Metabolism (other),0.303820335
FOLR1,-1.696999484,8.89284804,-8.507137806,1.06E-15,2.15E-12,24.68602189,NA,0.427644519
GPX4,-1.011782527,7.307142756,-8.296119529,4.45E-15,6.80E-12,23.69505504,Inflammation/Immune/Stress/Toxic/Detox,0.193977681
BSG,-1.915265119,9.218774754,-8.222850681,7.29E-15,8.92E-12,22.57892485,Matrisome/cell adhesion/binding/signaling,0.502415769
GIMAP4,-0.91645732,7.238098968,-7.930729243,5.10E-14,3.47E-11,21.32367616,NA,0.194020438
GPI,-1.092886354,7.659347257,-7.935868137,4.93E-14,3.47E-11,21.35117406,NA,0.2402621
NDUFS2,-0.823397203,6.622669943,-7.966072779,4.04E-14,3.47E-11,21.52226163,NA,0.128516761
UQCRC1,-0.812667869,6.798657972,-7.94749455,4.57E-14,3.47E-11,21.4043956,NA,0.142434154
ATP5F1B,-1.480345176,8.571510231,-7.877016255,7.26E-14,3.53E-11,20.77553374,NA,0.377693689
B2M,-1.089310104,7.981738781,-7.871941959,7.51E-14,3.53E-11,20.94279293,Inflammation/Immune/Stress/Toxic/Detox,0.278262357
CLU,-1.61204796,8.825088432,-7.874660183,7.38E-14,3.53E-11,20.67188135,NA,0.413449205
PRPS2,-0.838923113,6.957658821,-7.877761465,7.23E-14,3.53E-11,20.96893924,Metabolism (other),0.1629575
SERPINA3,0.911364774,6.19810075,7.84000433,9.26E-14,4.04E-11,20.73573109,Inflammation/Immune/Stress/Toxic/Detox,0.09833034
GSTP1,-1.371715121,8.333395709,-7.78408202,1.33E-13,5.44E-11,20.27270279,Metabolism (other),0.347667607
CD59,-1.137268425,8.075990315,-7.733746464,1.85E-13,7.07E-11,20.06058031,NA,0.297225073
PPP1R1B,-1.370437556,8.396042396,-7.685911881,2.52E-13,9.07E-11,19.6624028,Metabolism (other),0.344022576
CD9,-0.871272826,7.255507259,-7.654040817,3.10E-13,1.05E-10,19.5680223,Inflammation/Immune/Stress/Toxic/Detox,0.184923893
PSAP,-1.485568576,8.753442719,-7.628139908,3.66E-13,1.18E-10,19.21008768,NA,0.401017616
ACAT1,-0.978241151,7.571618939,-7.594779676,4.53E-13,1.32E-10,19.21422461,Metabolism or Transport (lipid),0.225158201
SLC4A10,-0.8013596,6.925639095,-7.601475455,4.34E-13,1.32E-10,19.21529133,Transport,0.152011715
AK1,-0.859346497,7.165116379,-7.580444195,4.97E-13,1.38E-10,19.10112092,NA,0.17240679
CPE,-0.802357777,6.829445409,-7.39031498,1.66E-12,4.42E-10,17.9112034,NA,0.138607406
CBR1,-1.141263464,7.960563979,-7.380354825,1.77E-12,4.51E-10,17.87533821,Metabolism (other),0.276327604
IL18,-0.759241155,6.758021426,-7.330059867,2.43E-12,5.71E-10,17.53865799,Inflammation/Immune/Stress/Toxic/Detox,0.140424577
LGALS3BP,-0.799274655,7.197516115,-7.333139681,2.38E-12,5.71E-10,17.57614058,Development (apoptosis),0.175838037
LGALS3BP,-0.799274655,7.197516115,-7.333139681,2.38E-12,5.71E-10,17.57614058,Inflammation/Immune/Stress/Toxic/Detox,0.175838037
LGALS3BP,-0.799274655,7.197516115,-7.333139681,2.38E-12,5.71E-10,17.57614058,Matrisome/cell adhesion/binding/signaling,0.175838037
CD63,-1.055721541,7.858234521,-7.271319794,3.51E-12,7.66E-10,17.23502084,Matrisome/cell adhesion/binding/signaling,0.268567214
HTR2C,-1.399171072,8.399398466,-7.273842599,3.45E-12,7.66E-10,17.12940525,NA,0.350703352
FAM30A,0.786480104,6.910986626,7.237026244,4.34E-12,9.15E-10,16.98863525,NA,0.153369249
C1QBP,-0.881369813,7.405564527,-7.227894843,4.59E-12,9.37E-10,16.96796488,Inflammation/Immune/Stress/Toxic/Detox,0.195901744
BAG6,-0.743454512,6.830049273,-7.204764217,5.30E-12,1.05E-09,16.77286214,Metabolism (other),0.145811955
CTSD,-1.74874892,9.469651513,-7.181096379,6.14E-12,1.17E-09,16.25363834,Metabolism (other),0.529074739
FKBP2,-0.917046877,7.568402257,-7.139387273,7.94E-12,1.47E-09,16.4467606,Metabolism (other),0.225639217
DNER,-1.03637157,7.916945898,-7.127397836,8.55E-12,1.54E-09,16.37934736,Development (differentiation),0.270384385
NPC2,-1.388345402,8.697134754,-7.078713924,1.15E-11,2.02E-09,15.96543227,Metabolism or Transport (lipid),0.406233966
PRDX2,-0.970798354,7.714122729,-7.066567857,1.24E-11,2.11E-09,16.02162892,Metabolism (other),0.242089961
CANX,-0.930933961,7.753571358,-6.961212521,2.36E-11,3.90E-09,15.4016623,NA,0.246301522
PLTP,-0.845884895,7.51583192,-6.946277031,2.58E-11,4.16E-09,15.29818681,Metabolism or Transport (lipid),0.211989054
GSN,-0.729283474,6.970786767,-6.91179968,3.18E-11,4.78E-09,15.04596226,NA,0.162914743
SYNGR1,-0.796406609,7.317283817,-6.9107219,3.20E-11,4.78E-09,15.07405558,NA,0.193379083
TIMP2,-0.956270491,7.795811583,-6.915959662,3.10E-11,4.78E-09,15.14077969,NA,0.259256884
SCG5,-0.77179168,7.21775827,-6.88390099,3.76E-11,5.48E-09,14.90649904,Transport,0.177313152
TUBB4B,-1.521129338,9.321613644,-6.814147956,5.72E-11,8.13E-09,14.32701472,Transport,0.490454507
ITM2B,-1.195433017,8.392438674,-6.789174203,6.63E-11,9.22E-09,14.37684078,Matrisome/cell adhesion/binding/signaling,0.359693005
MAGED1,-0.951604122,7.694646539,-6.781414108,6.95E-11,9.44E-09,14.36743779,NA,0.251346845
IDH3A,-0.735104974,7.097996596,-6.752821245,8.24E-11,1.10E-08,14.13453506,Metabolism (other),0.165661878
PSG4,0.73283354,6.381268533,6.747103205,8.52E-11,1.11E-08,14.09511703,NA,0.105909013
CLSTN1,-1.015285782,7.978411306,-6.698445213,1.14E-10,1.45E-08,13.89757205,NA,0.279438173
RHOA,-0.71448371,7.059629036,-6.672934604,1.32E-10,1.65E-08,13.66990695,NA,0.160905165
CD81,-0.921055428,7.848403851,-6.659511075,1.43E-10,1.71E-08,13.67436395,Inflammation/Immune/Stress/Toxic/Detox,0.260603728
PLD3,-0.861983666,7.623472988,-6.661892247,1.41E-10,1.71E-08,13.67550441,Metabolism or Transport (lipid),0.228236703
IFI6,-0.852667973,7.761539445,-6.605284059,1.96E-10,2.31E-08,13.35473128,Inflammation/Immune/Stress/Toxic/Detox,0.235665726
TEAD2,-0.721979428,7.10515615,-6.586746982,2.19E-10,2.53E-08,13.18424001,NA,0.172588507
ATP6V0C,-0.839385919,7.62764363,-6.580367191,2.27E-10,2.57E-08,13.21175838,NA,0.232170344
SLC2A1,-0.686760087,6.937911337,-6.577708928,2.31E-10,2.57E-08,13.11539143,Transport,0.150034206
MDH2,-0.880062713,7.693742627,-6.556004473,2.62E-10,2.86E-08,13.0876666,NA,0.239481786
RGN,-0.690141038,6.556870241,-6.5019983,3.58E-10,3.84E-08,12.67842237,NA,0.117132718
NDUFV1,-0.661935485,6.789116827,-6.498365395,3.66E-10,3.86E-08,12.65703869,NA,0.138393621
ARF1,-0.808500385,7.543969088,-6.487867057,3.89E-10,4.03E-08,12.6880686,NA,0.219717376
TIMP3,-1.027404418,8.112270147,-6.450942019,4.81E-10,4.90E-08,12.51772927,NA,0.296957842
GRAMD1B,-0.752847645,7.315957595,-6.387921054,6.90E-10,6.85E-08,12.11229684,Metabolism or Transport (lipid),0.194939713
NDUFS8,-0.702921021,7.135423271,-6.386935726,6.94E-10,6.85E-08,12.07750981,NA,0.171893706
COX6B1,-0.87006547,7.735709116,-6.36291637,7.96E-10,7.65E-08,12.0243742,NA,0.242036514
ROR2,-0.665635111,6.998671461,-6.361767819,8.01E-10,7.65E-08,11.91478167,NA,0.15815803
PRNP,-1.136427817,8.484188798,-6.344894298,8.82E-10,8.30E-08,11.92080682,NA,0.361766718
NTRK2,-0.756328772,7.394863295,-6.324077775,9.92E-10,9.20E-08,11.77036736,Development (differentiation),0.200380537
PLEC,-0.709481075,7.241912734,-6.309450882,1.08E-09,9.84E-08,11.65998143,Matrisome/cell adhesion/binding/signaling,0.186954849
CYP2E1,0.707733694,5.981213694,6.300057405,1.14E-09,1.02E-07,11.60420971,NA,0.0819758
ADGRL1,-0.665012969,6.916587793,-6.286647202,1.23E-09,1.09E-07,11.50367562,Matrisome/cell adhesion/binding/signaling,0.155827775
IDH2,-0.754507604,7.382230424,-6.273746535,1.32E-09,1.15E-07,11.49583719,Metabolism (other),0.197302035
HVCN1,-1.186317423,8.601000879,-6.269818619,1.35E-09,1.16E-07,11.50148952,NA,0.383348298
UVRAG,-0.69979644,7.126076909,-6.249925559,1.51E-09,1.28E-07,11.32958498,NA,0.166784248
CS,-0.625924197,6.601470314,-6.236525694,1.63E-09,1.34E-07,11.202779,NA,0.121921498
NDUFB7,-0.900315247,7.83777318,-6.237637022,1.62E-09,1.34E-07,11.3555543,NA,0.257290063
GRSF1,-0.795326795,7.583556391,-6.160541996,2.49E-09,2.03E-07,10.91368042,NA,0.223041731
CEBPD,0.646061376,6.866100704,6.152491841,2.60E-09,2.09E-07,10.76184381,Development (differentiation),0.144304772
LRPAP1,-1.142860468,8.492075002,-6.148111878,2.67E-09,2.12E-07,10.87191214,NA,0.378035745
CHI3L1,0.652325367,7.39956499,6.142892868,2.74E-09,2.15E-07,10.72266975,NA,0.198210621
CA2,-1.407487224,9.248732395,-6.138956114,2.80E-09,2.17E-07,10.6937807,Inflammation/Immune/Stress/Toxic/Detox,0.494933299
INPP5K,-0.705155349,7.210527481,-6.129811132,2.95E-09,2.26E-07,10.70400595,Metabolism (other),0.178745511
MAPK4,-0.682687207,7.198621759,-6.124434042,3.04E-09,2.30E-07,10.65784761,NA,0.179557893
SPINT2,-0.701826097,7.303523242,-6.11901525,3.13E-09,2.34E-07,10.63705758,Development (differentiation),0.195944501
MIF,-0.866456771,7.817554022,-6.10286751,3.43E-09,2.52E-07,10.63488445,NA,0.254029844
AQP1,-1.443297887,9.387818956,-6.079076157,3.91E-09,2.81E-07,10.35658254,Transport,0.518032752
ATP1B1,-1.353713501,9.12792737,-6.08092197,3.87E-09,2.81E-07,10.42735745,NA,0.480214212
ABHD2,-0.936649308,8.042429824,-6.053993802,4.48E-09,3.19E-07,10.39235312,Metabolism or Transport (lipid),0.287091671
COX4I1,-0.887462902,7.92668032,-6.043140091,4.76E-09,3.35E-07,10.32809148,NA,0.270010262
SURF4,-0.785370247,7.597197661,-6.038681073,4.88E-09,3.39E-07,10.26630049,NA,0.232704806
