gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
PTGDS,2.232884106,8.563166359,8.735606361,3.39E-07,0.002053737,5.453466496,NA,0.196328996
THBS1,1.736902176,8.770017816,7.908908898,1.14E-06,0.003472615,4.303424213,NA,0.220260223
APOE,1.406138392,9.266717084,5.574893927,5.75E-05,0.116261344,1.308214617,Metabolism or Transport (lipid),0.340148699
BGN,0.938509571,7.95623824,5.150789254,0.000126788,0.163281579,1.151877312,Matrisome/cell adhesion/binding/signaling,0.170771375
CCL2,0.832381345,7.136673555,5.11936609,0.000134565,0.163281579,1.078151175,Inflammation/Immune/Stress/Toxic/Detox,0.103624535
SDC1,-0.809871574,6.7583481,-4.769894648,0.000263046,0.219055952,0.503803276,Matrisome/cell adhesion/binding/signaling,0.101301115
VIM,0.950471301,8.697006843,4.725240887,0.000286866,0.219055952,0.342617697,NA,0.269284387
LDLR,0.846292294,7.503234043,4.550455662,0.000403614,0.219055952,0.199466018,NA,0.134758364
APP,0.811510083,8.59793898,4.509626498,0.00043733,0.219055952,0.045815098,Amyloid,0.258364312
GSN,1.053464248,8.935203158,4.470676003,0.000472192,0.219055952,-0.135056811,NA,0.292518587
A2M,0.768963762,7.765811062,4.452980343,0.00048896,0.219055952,0.013733729,Metabolism (other),0.160548327
SERPINB2,-0.808813937,6.296247231,-4.422829107,0.000518951,0.219055952,-0.042380256,Inflammation/Immune/Stress/Toxic/Detox,0.072258364
PTPRS,0.755443998,7.380884644,4.369570528,0.000576616,0.219055952,-0.113488268,NA,0.128949814
COL6A2,0.909026979,8.520698101,4.361452619,0.000585965,0.219055952,-0.188966767,Matrisome/cell adhesion/binding/signaling,0.239079926
CLU,0.785917875,7.984198787,4.332077843,0.000621112,0.219055952,-0.183874785,NA,0.189358736
IL17RB,-0.781814107,6.358801664,-4.327082076,0.000627301,0.219055952,-0.208329601,Inflammation/Immune/Stress/Toxic/Detox,0.079925651
TIMP2,0.855982271,8.16144883,4.326599426,0.000627903,0.219055952,-0.204899647,NA,0.205157993
JUNB,1.353552327,8.633226644,4.27772672,0.000691942,0.219055952,-0.408218615,Development (apoptosis),0.253252788
TNFRSF11A,-0.744587664,5.783180598,-4.277603792,0.000692111,0.219055952,-0.302775144,NA,0.054600372
WSB1,0.727757762,7.847214564,4.256275691,0.000722123,0.219055952,-0.30649813,NA,0.171468401
TRAT1,-0.894909307,5.951426212,-4.225597962,0.00076764,0.221774989,-0.388926468,NA,0.064126394
C1QA,0.810542792,6.992801252,4.186175723,0.000830467,0.22902017,-0.407250223,Inflammation/Immune/Stress/Toxic/Detox,0.095957249
PSAP,0.957615539,8.189760013,4.13583163,0.000918401,0.232222159,-0.528442937,NA,0.205622677
KIR3DL2,-0.812286261,5.738110533,-4.135706637,0.000918631,0.232222159,-0.533962614,Inflammation/Immune/Stress/Toxic/Detox,0.052509294
TAGLN,0.79877231,8.345262373,4.086477464,0.001013832,0.246036793,-0.632312386,NA,0.222118959
SPARC,0.775285852,7.744174413,4.063884961,0.00106083,0.247540711,-0.630270031,Matrisome/cell adhesion/binding/signaling,0.162871747
HHIP,-0.747648761,5.994494666,-4.03667406,0.001120392,0.251756309,-0.688801848,NA,0.061802974
RBM5,0.739057731,7.369128317,3.994225297,0.001220181,0.264387068,-0.767569675,NA,0.132667286
PRKAR1A,0.743759524,8.611081811,3.924966395,0.001402786,0.280258845,-0.91430757,NA,0.267657993
CDK11B,0.729047452,6.253090114,3.892033039,0.00149912,0.280258845,-0.938300614,Development (cell cycle),0.062732342
TTR,1.130169958,8.082293511,3.868767547,0.001571194,0.280258845,-0.980149336,NA,0.215613383
MS4A1,-0.642314591,6.15339567,-3.860786627,0.001596719,0.280258845,-0.982654853,NA,0.065055762
APLP2,0.680885567,7.958075449,3.844252881,0.001650943,0.280258845,-1.017294351,Development (differentiation),0.183085502
IGF2,0.858674836,6.878350953,3.833926505,0.001685752,0.280258845,-1.025730339,Development (differentiation),0.088986989
NDUFB7,0.677385998,7.122229427,3.833426396,0.001687457,0.280258845,-1.044905697,NA,0.104786245
VMP1,0.67606772,8.197596424,3.831927549,0.001692576,0.280258845,-1.046148529,NA,0.210269517
SLC38A2,0.698564415,7.697675668,3.826702044,0.001710546,0.280258845,-1.035603144,Transport,0.141960967
NBL1,0.684716616,8.425055262,3.81390596,0.001755371,0.280258845,-1.092605898,NA,0.230018587
ZFP36,1.138688333,8.415750353,3.799398438,0.001807631,0.281202504,-1.125188228,NA,0.224442379
CD74,0.918739852,8.246720125,3.780627013,0.001877594,0.284784118,-1.137003189,Inflammation/Immune/Stress/Toxic/Detox,0.194005576
CXCL8,1.395147981,8.259896366,3.757356166,0.001968142,0.291237012,-1.171331672,Inflammation/Immune/Stress/Toxic/Detox,0.150789963
UNC79,-0.887693132,5.952464467,-3.724604548,0.002103108,0.303798954,-1.220963507,NA,0.063429368
ACVRL1,-0.796973986,5.96900683,-3.700352033,0.002209041,0.309221418,-1.275534771,NA,0.065055762
SQSTM1,0.685894486,8.235675685,3.685691408,0.002275672,0.309221418,-1.290900451,Inflammation/Immune/Stress/Toxic/Detox,0.217472119
NOTCH4,-0.878325119,5.817833345,-3.678762928,0.002307863,0.309221418,-1.306608052,Development (differentiation),0.059944238
TOP2A,-0.637700314,6.0133203,-3.670991457,0.002344517,0.309221418,-1.317170111,NA,0.061570632
ITM2B,0.763950821,8.240059006,3.62924876,0.002551678,0.329383635,-1.389684763,Matrisome/cell adhesion/binding/signaling,0.215381041
CHI3L1,-0.753731349,7.756714598,-3.604009603,0.002685781,0.33947152,-1.468444628,NA,0.163568773
DDX3X,0.674243646,6.862847571,3.580130741,0.002819181,0.349060591,-1.467682355,NA,0.094330855
CBLC,-0.611545297,6.030541288,-3.528127849,0.003133203,0.380182874,-1.563208602,NA,0.0625
SPARCL1,0.817342922,7.953888276,3.507790007,0.003265365,0.38728125,-1.595000733,Matrisome/cell adhesion/binding/signaling,0.176115242
APOD,1.147671185,10.64227297,3.499715936,0.003319371,0.38728125,-1.810945589,Metabolism or Transport (lipid),0.530436803
ITM2A,0.651277308,6.347803365,3.479366687,0.003459492,0.39601388,-1.646609565,Matrisome/cell adhesion/binding/signaling,0.063197026
CIDEA,-0.66782309,6.908193123,-3.46341499,0.003573465,0.401485395,-1.676327775,Development (apoptosis),0.105715613
FLNA,0.676987419,7.696983176,3.447076592,0.003694102,0.405346471,-1.700751078,NA,0.151486989
AVP,-0.651259564,5.822287306,-3.44080904,0.003741454,0.405346471,-1.713876816,NA,0.055065056
SERPINE1,0.910860614,7.780805931,3.398854686,0.004074453,0.418982325,-1.785680581,NA,0.148234201
ADM,1.222754577,8.455899007,3.392368902,0.004128514,0.418982325,-1.80576575,NA,0.215381041
SFPQ,0.543107268,7.976942502,3.382210384,0.004214631,0.418982325,-1.813145469,NA,0.187267658
CYP2U1,-0.712110995,7.447188357,-3.375840217,0.004269546,0.418982325,-1.834249071,NA,0.160083643
NDUFA13,0.644505109,7.254603601,3.364253231,0.004371273,0.418982325,-1.84446183,NA,0.12151487
IRS2,-0.657066505,7.528415546,-3.363778129,0.004375496,0.418982325,-1.856179787,NA,0.159386617
CCN1,1.117982975,8.920453336,3.362000299,0.004391332,0.418982325,-1.876704197,Development (differentiation),0.238615242
DCN,0.799095891,9.107434939,3.358821471,0.00441979,0.418982325,-1.888816178,NA,0.322258364
PTN,0.651162229,7.52847514,3.344813432,0.004547407,0.421502193,-1.88968639,NA,0.143819703
CEBPB,0.860541273,9.163428917,3.340022289,0.004591894,0.421502193,-1.940827009,Development (differentiation),0.335269517
ENPP4,-0.604483313,6.56867427,-3.332490009,0.004662713,0.421502193,-1.899185822,Metabolism (other),0.090845725
