gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
CLU,0.948847687,6.965937367,5.577173077,7.77926215081556e-05,0.183616968,-0.435724004,NA,0.081071855
F13A1,1.793578434,8.716634499,5.855859128,4.82399401265118e-05,0.183616968,-1.342559086,NA,0.219320703
LDLR,1.11974423,7.023318692,5.388727341,0.000108122,0.183616968,-0.618024902,NA,0.08568015
PLTP,1.545887585,9.090550597,5.313565597,0.000123461,0.183616968,-1.949026726,Metabolism or Transport (lipid),0.281276668
MAN2B1,0.801868902,6.926016057,4.953032145,0.000235763,0.280510228,-0.992015865,Metabolism (other),0.080559822
TUBA1A,0.742751855,7.85969794,4.618562102,0.000436133,0.432425961,-1.467066229,Transport,0.151732378
BCL3,0.624566378,7.238171987,4.233549296,0.000899895,0.689524641,-1.510838155,NA,0.100699778
LGMN,0.937961054,8.089761226,4.217811447,0.000927248,0.689524641,-1.864298756,NA,0.167434716
APOD,0.916484143,9.15735708,3.919073175,0.001644083,0.752357602,-2.615709799,Metabolism or Transport (lipid),0.281959379
BRCA1,-0.667354882,5.995974634,-3.926465718,0.001620798,0.752357602,-2.087796202,NA,0.050691244
HAMP,0.826782204,7.745496732,4.056714792,0.001261536,0.752357602,-1.990628457,NA,0.130056324
MYO6,-0.677581,6.396975898,-3.99345919,0.001424546,0.752357602,-1.950434562,NA,0.066393583
PYGL,0.596431205,7.117778718,3.997289915,0.001414087,0.752357602,-1.812961774,Metabolism (other),0.089776412
CD14,1.336104091,9.131892817,3.801341382,0.002064502,0.818781363,-2.777171212,Inflammation/Immune/Stress/Toxic/Detox,0.293394777
WAS,0.551176023,7.168879434,3.808663881,0.002035411,0.818781363,-2.035000219,NA,0.100187745
A2M,0.579704742,7.432325171,3.254258226,0.006003635,0.860005406,-2.654889823,Metabolism (other),0.124253286
ABCC3,-0.427601394,7.365803749,-2.768122662,0.015510355,0.860005406,-3.172547369,Transport,0.124253286
ACAP2,0.336752066,7.045579053,2.063106167,0.058873475,0.860005406,-3.870974505,Metabolism or Transport (lipid),0.093701997
ACSM3,-0.374609105,7.039452421,-2.447859071,0.028711947,0.860005406,-3.504554743,Metabolism or Transport (lipid),0.100870456
ACTA2,0.301941676,7.388922669,2.007404824,0.065143666,0.860005406,-3.934070166,NA,0.112305854
ACTL6A,-0.393060336,6.918176683,-2.471338386,0.02745672,0.860005406,-3.502195331,NA,0.095238095
ACVR2B,-0.367640152,6.540562462,-2.212248807,0.044730838,0.860005406,-3.751627076,NA,0.071001877
ACVRL1,-0.33579971,6.204057819,-2.136371597,0.051474254,0.860005406,-3.821104922,NA,0.054787506
ADAM10,0.358433923,6.911451006,2.059941886,0.059214203,0.860005406,-3.88043842,Metabolism (other),0.082778631
ADAM12,-0.527746419,7.082831056,-3.259232444,0.005945438,0.860005406,-2.688138402,Metabolism (other),0.101041133
ADAM8,-0.45699398,7.717562098,-2.493288056,0.026330999,0.860005406,-3.453900225,Matrisome/cell adhesion/binding/signaling,0.153268476
ADCY3,0.377875056,6.674849742,2.078739022,0.057216567,0.860005406,-3.88811425,NA,0.071855265
ADCY7,0.397157227,7.916868817,2.068217952,0.058326865,0.860005406,-3.885186153,NA,0.155657962
AIF1,0.428032789,6.911652972,2.522903178,0.024882231,0.860005406,-3.426987683,AIF1,0.086362861
AKAP1,-0.330810658,6.150263083,-2.082299497,0.056845277,0.860005406,-3.885465963,NA,0.054787506
ALPK1,0.330848043,6.672523602,1.971191131,0.069543098,0.860005406,-3.973370422,Metabolism (other),0.067759003
AMH,-0.467934268,6.416935939,-2.526613843,0.024706207,0.860005406,-3.453521591,NA,0.066734938
AMOTL2,-0.497295984,6.181803803,-2.900170826,0.011997849,0.860005406,-3.045840898,NA,0.055299539
