gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function,Percent_in_cells
CD81,-1.208801749,8.295621643,-5.306412756,5.94941984638443e-06,0.008638226,3.827290058,Inflammation/Immune/Stress/Toxic/Detox,0.18951242
FLNA,-1.442683912,9.451207297,-5.455266927,3.76817294601195e-06,0.008638226,4.14109874,NA,0.342226311
JUNB,-1.550725476,8.983357039,-5.543813214,2.87105716604714e-06,0.008638226,4.422378398,Development (apoptosis),0.274609016
MCAM,-1.332839032,9.210950205,-5.299271032,6.08111649790969e-06,0.008638226,3.741306687,Matrisome/cell adhesion/binding/signaling,0.316467341
CRIP1,-1.178281942,8.900797992,-5.11597728,1.06587190325817e-05,0.010721654,3.262843819,NA,0.241950322
KLF2,-1.2384152,9.350570743,-5.096235506,1.13217044701201e-05,0.010721654,3.201768509,NA,0.280588776
COX2,0.932553651,13.70797661,4.852118299,2.3825418567387e-05,0.019339433,2.61549919,NA,0.988040478
ACTA2,-1.176920645,9.574340186,-4.647064463,4.43357819740367e-05,0.027990657,1.996845221,NA,0.366605336
CD151,-1.040536575,7.618339355,-4.673472069,4.09378684102594e-05,0.027990657,2.095558163,Inflammation/Immune/Stress/Toxic/Detox,0.122815087
STAM2,1.476573815,6.249361612,4.538453123,6.14904340120118e-05,0.034938865,1.626927466,NA,0.064397424
TAGLN,-1.212567757,10.55701607,-4.438153054,8.30633173263724e-05,0.042905979,1.446923731,NA,0.573137075
MYL9,-1.061654421,10.28129971,-4.391702604,9.54302486324046e-05,0.045186223,1.324166053,NA,0.497700092
IGFBP7,-1.08395726,10.03939758,-4.350067661,0.000108043,0.047222975,1.209786814,Development (cell cycle),0.442042318
IGFBP7,-1.08395726,10.03939758,-4.350067661,0.000108043,0.047222975,1.209786814,Development (differentiation),0.442042318
BGN,-1.02158864,8.921414964,-4.249961553,0.000145454,0.050221036,0.96149933,Matrisome/cell adhesion/binding/signaling,0.260349586
COL6A2,-1.042012695,9.035789115,-4.184890134,0.000176308,0.050221036,0.788907654,Matrisome/cell adhesion/binding/signaling,0.286568537
FOS,-1.327628443,10.20397299,-4.279821433,0.000133132,0.050221036,1.026487052,NA,0.465041398
HSPA1B,-0.892227669,8.343527949,-4.184632405,0.000176442,0.050221036,0.794321755,Metabolism (other),0.190432383
LMNA,-1.01452662,8.742888952,-4.273855037,0.00013551,0.050221036,1.020921752,NA,0.233670653
NR4A1,-1.221254223,10.38695178,-4.183998792,0.000176772,0.050221036,0.776920649,Development (apoptosis),0.519319227
SLAMF7,1.642594313,5.775584169,4.197079688,0.000170077,0.050221036,0.561113021,Inflammation/Immune/Stress/Toxic/Detox,0.051517939
COX1,0.764449248,14.21722906,4.115080612,0.000216537,0.058588661,0.591668737,NA,0.994480221
ATF3,-0.962381785,9.137056895,-4.03566314,0.000273264,0.05971863,0.400543411,NA,0.282428703
