Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.116788321,0.60778216,0.175204048,-0.207055239,-1.130998872,541,"c(""B2M"", ""RUNX3"", ""FLNA"", ""PVR"", ""PODXL"", ""PDLIM1"", ""PIP5K1C"", ""SELE"", ""MYL9"", ""TFRC"", ""LRRC32"", ""CD209"", ""HES1"", ""FN1"", ""MYH9"", ""HBB"", ""SHC1"", ""IL6"", ""PLPP3"", ""PRKAR1A"", ""CTNNA1"", ""IGF2"", ""CD99"", ""RGCC"", ""CLDN5"", ""MAP3K8"", ""PELI1"", ""IRAK1"", ""CX3CR1"", ""CTNNB1"", ""GPAM"", ""JAK3"", ""ITGB3"", ""JUP"", ""NOTCH1"", ""TNIP1"", ""IL6ST"", ""DSP"", ""ITCH"", ""VMP1"", ""ADGRL1"", ""YTHDF2"", ""IL23A"", ""ADAM9"", ""ITGB1"", ""IL4R"", ""AP3B1"", ""HSPD1"", ""PCK1"", ""LILRB2"", ""ADGRL3"", ""NPTN"", ""CD74"", ""BSG"", ""CD47"", ""TGFBR2"", ""LRP6"", ""MBP"", 
""PRKCA"", ""CD81"", ""FLOT1"", ""IL2"", ""EPHB3"", ""NOTCH4"", ""SERPINE2"", ""KLF4"", ""IL7"", ""FOXJ1"", ""DSC2"", ""CD93"", ""NECTIN2"", ""ITGA8"", ""IL12B"", ""NCK1"", ""EPHA7"", ""TENM3"", ""MALT1"", ""HSPH1"", ""PRKCD"", ""PRKG1"", ""HSPB1"", ""DUSP3"", ""ICAM5"", ""ITGA3"", ""RHOH"", ""SCRIB"", ""IL2RA"", ""CD274"", ""EXT1"", ""PTPN6"", ""STXBP1"", ""CDH13"", ""FUT4"", ""CCR2"", ""IL20RB"", ""VCL"", ""EPB41L5"", ""APOA1"", ""VSIR"", ""GP6"", ""ADD2"", ""IDO1"", ""JAG1"", ""ITGA2"", ""PRKCZ"", ""SOCS5"", ""SELP"", ""CDH19"", ""RIPK2"", ""GLMN"", ""P2RY12"", ""SPTA1"", ""ADAM19"", ""ABL1"", ""APOA4"", 
""CD6"", ""CLDN1"", ""NLGN4X"", ""CD160"", ""IL15"", ""CD34"", ""EFNB3"", ""SOX2"", ""ERBB2"", ""NRXN1"", ""ITGA6"", ""RAG1"", ""SELPLG"", ""CCL2"", ""AKT1"", ""EPO"", ""RAC2"", ""CLSTN1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.452079566,0.853224159,0.079131665,-0.196649828,-1.002788902,275,"c(""B2M"", ""RUNX3"", ""SELE"", ""TFRC"", ""LRRC32"", ""CD209"", ""HES1"", ""IL6"", ""PRKAR1A"", ""IGF2"", ""MAP3K8"", ""PELI1"", ""IRAK1"", ""CX3CR1"", ""GPAM"", ""JAK3"", ""TNIP1"", ""IL6ST"", ""ITCH"", ""IL23A"", ""ITGB1"", ""IL4R"", ""AP3B1"", ""HSPD1"", ""PCK1"", ""LILRB2"", ""CD74"", ""CD47"", ""TGFBR2"", ""CD81"", ""IL2"", ""KLF4"", ""IL7"", ""FOXJ1"", ""IL12B"", ""NCK1"", ""MALT1"", ""HSPH1"", ""DUSP3"", ""RHOH"", ""SCRIB"", ""IL2RA"", ""CD274"", ""EXT1"", ""PTPN6"", ""FUT4"", ""CCR2"", ""IL20RB"", ""VSIR"", ""ADD2"", ""IDO1"", ""PRKCZ"", ""SOCS5"", ""SELP"", ""RIPK2"", ""GLMN"", ""SPTA1"", ""APOA4"", 
""CD6"", ""CD160"", ""IL15"", ""EFNB3"", ""ERBB2"", ""RAG1"", ""SELPLG"", ""CCL2"", ""AKT1"", ""EPO"", ""RAC2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.015257897,0.353233701,0.380730401,-0.255539871,-1.318958835,318,"c(""B2M"", ""RUNX3"", ""FLNA"", ""PODXL"", ""SELE"", ""TFRC"", ""CD209"", ""HES1"", ""FN1"", ""TGM2"", ""TFE3"", ""IL6"", ""PLPP3"", ""LDB1"", ""IGF2"", ""MAP3K8"", ""CRKL"", ""IRAK1"", ""GPAM"", ""JAK3"", ""JUP"", ""IL6ST"", ""PPP3CA"", ""CDK6"", ""SFRP1"", ""IL23A"", ""ADAM9"", ""IL4R"", ""AP3B1"", ""HSPD1"", ""FBLN2"", ""PCK1"", ""LILRB2"", ""EMP2"", ""CD74"", ""CD47"", ""EPHA4"", ""TGFBR2"", ""RAC3"", ""PRKCA"", ""CD81"", ""PRKCE"", ""FLOT1"", ""IL2"", ""IL7"", ""ADGRG1"", ""IL12B"", ""NCK1"", ""MALT1"", ""EFEMP2"", ""HSPH1"", ""PDGFB"", ""ITGA3"", ""RHOH"", ""IL2RA"", ""AGR2"", ""CD274"", ""PTPN6"", ""CDH13"", 
""NPY"", ""FUT4"", ""CCR2"", ""EPB41L5"", ""APOA1"", ""VSIR"", ""GP6"", ""ITGA2"", ""TPM1"", ""PRKCZ"", ""SOCS5"", ""SELP"", ""RIPK2"", ""P2RY12"", ""SPTA1"", ""ADAM19"", ""ABL1"", ""CD6"", ""CD160"", ""IL15"", ""EFNB3"", ""SOX2"", ""ERBB2"", ""RAG1"", ""CCL2"", ""AKT1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.287522604,0.777929026,0.105125132,-0.216234389,-1.068451915,220,"c(""B2M"", ""RUNX3"", ""PODXL"", ""SELE"", ""TFRC"", ""CD209"", ""HES1"", ""IL6"", ""PLPP3"", ""IGF2"", ""MAP3K8"", ""IRAK1"", ""GPAM"", ""JAK3"", ""IL6ST"", ""IL23A"", ""IL4R"", ""AP3B1"", ""HSPD1"", ""PCK1"", ""LILRB2"", ""CD74"", ""CD47"", ""TGFBR2"", ""CD81"", ""FLOT1"", ""IL2"", ""IL7"", ""IL12B"", ""NCK1"", ""MALT1"", ""HSPH1"", ""RHOH"", ""IL2RA"", ""CD274"", ""PTPN6"", ""FUT4"", ""CCR2"", ""VSIR"", ""GP6"", ""PRKCZ"", ""SOCS5"", ""SELP"", ""RIPK2"", ""SPTA1"", ""ADAM19"", ""CD6"", ""CD160"", ""IL15"", ""EFNB3"", ""SOX2"", ""RAG1"", ""CCL2"", ""AKT1"", ""EPO"", ""NODAL"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.205882353,0.707027412,0.128788713,-0.23326369,-1.126846189,187,"c(""B2M"", ""RUNX3"", ""SELE"", ""TFRC"", ""CD209"", ""HES1"", ""IL6"", ""IGF2"", ""MAP3K8"", ""IRAK1"", ""GPAM"", ""JAK3"", ""IL6ST"", ""IL23A"", ""IL4R"", ""AP3B1"", ""HSPD1"", ""PCK1"", ""LILRB2"", ""CD74"", ""CD47"", ""TGFBR2"", ""CD81"", ""IL2"", ""IL7"", ""IL12B"", ""NCK1"", ""MALT1"", ""HSPH1"", ""RHOH"", ""IL2RA"", ""CD274"", ""PTPN6"", ""FUT4"", ""CCR2"", ""VSIR"", ""PRKCZ"", ""SOCS5"", ""SELP"", ""RIPK2"", ""SPTA1"", ""CD6"", ""CD160"", ""IL15"", ""EFNB3"", ""RAG1"", ""CCL2"", ""AKT1"", ""EPO"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.01455284,0.347059236,0.380730401,-0.236929154,-1.286096511,513,"c(""B2M"", ""PPP2R1A"", ""RUNX3"", ""FLNA"", ""PODXL"", ""CYTH1"", ""SELE"", ""TFRC"", ""LRRC32"", ""CD209"", ""BST1"", ""DUSP1"", ""THBS1"", ""HES1"", ""FN1"", ""APOD"", ""TGM2"", ""TFE3"", ""IL6"", ""PLPP3"", ""LMO7"", ""PRKAR1A"", ""LDB1"", ""IGF2"", ""RGCC"", ""MAP3K8"", ""PELI1"", ""CRKL"", ""PIK3R1"", ""IRAK1"", ""GPAM"", ""JAK3"", ""JUP"", ""NOTCH1"", ""IL6ST"", ""ITCH"", ""PPP3CA"", ""CXCL8"", ""CDK6"", ""SNAI2"", ""YTHDF2"", ""SFRP1"", ""IL23A"", ""RCC2"", ""ADAM9"", ""IL4R"", ""AP3B1"", ""CORO1C"", ""HSPD1"", ""FBLN2"", ""PCK1"", ""LILRB2"", ""EMP2"", ""CD74"", ""CD47"", ""EPHA4"", ""FES"", ""TGFBR2"", 
""RAC3"", ""MBP"", ""PRKCA"", ""CD81"", ""PRKCE"", ""FLOT1"", ""IL2"", ""EPHB3"", ""NOTCH4"", ""SERPINE2"", ""KLF4"", ""IL7"", ""ADGRG1"", ""FOXJ1"", ""IL12B"", ""NCK1"", ""EPHA7"", ""TENM3"", ""SPRY4"", ""MALT1"", ""ATP5F1B"", ""EFEMP2"", ""HSPH1"", ""PRKCD"", ""PRKG1"", ""SERPINE1"", ""DUSP3"", ""PDGFB"", ""ITGA3"", ""RHOH"", ""SCRIB"", ""IL2RA"", ""AGR2"", ""CD274"", ""PTPN6"", ""CLASP1"", ""CDH13"", ""NPY"", ""FUT4"", ""CCR2"", ""IL20RB"", ""DAPK3"", ""VCL"", ""EPB41L5"", ""APOA1"", ""VSIR"", ""GP6"", ""IDO1"", ""GBP1"", ""JAG1"", ""ITGA2"", ""TPM1"", ""PRKCZ"", ""SOCS5"", ""SELP"", ""RIPK2"", ""GLMN"", 
""MUC1"", ""P2RY12"", ""SPTA1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.166969147,0.674910637,0.143758989,-0.215119187,-1.111034725,320,"c(""B2M"", ""RUNX3"", ""PODXL"", ""SELE"", ""TFRC"", ""LRRC32"", ""CD209"", ""HES1"", ""IL6"", ""PLPP3"", ""PRKAR1A"", ""IGF2"", ""RGCC"", ""MAP3K8"", ""PELI1"", ""IRAK1"", ""GPAM"", ""JAK3"", ""NOTCH1"", ""IL6ST"", ""ITCH"", ""YTHDF2"", ""IL23A"", ""IL4R"", ""AP3B1"", ""HSPD1"", ""PCK1"", ""LILRB2"", ""CD74"", ""CD47"", ""TGFBR2"", ""MBP"", ""PRKCA"", ""CD81"", ""FLOT1"", ""IL2"", ""EPHB3"", ""NOTCH4"", ""SERPINE2"", ""KLF4"", ""IL7"", ""FOXJ1"", ""IL12B"", ""NCK1"", ""EPHA7"", ""TENM3"", ""MALT1"", ""HSPH1"", ""PRKCD"", ""PRKG1"", ""DUSP3"", ""RHOH"", ""SCRIB"", ""IL2RA"", ""CD274"", ""PTPN6"", ""FUT4"", ""CCR2"", 
""IL20RB"", ""EPB41L5"", ""APOA1"", ""VSIR"", ""GP6"", ""IDO1"", ""JAG1"", ""PRKCZ"", ""SOCS5"", ""SELP"", ""RIPK2"", ""GLMN"", ""SPTA1"", ""ADAM19"", ""ABL1"", ""CD6"", ""CD160"", ""IL15"", ""EFNB3"", ""SOX2"", ""ERBB2"", ""RAG1"", ""CCL2"", ""AKT1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,1.70427507193935e-05,0.03681186,0.575610261,-0.299745558,-1.601702194,421,"c(""B2M"", ""FLNA"", ""PVR"", ""PODXL"", ""CYTH1"", ""YBX3"", ""PDLIM1"", ""PIP5K1C"", ""CDK4"", ""APP"", ""CD59"", ""NDRG1"", ""MYH9"", ""CDC42BPB"", ""FLT1"", ""TGM2"", ""CPNE3"", ""IQGAP1"", ""DCTN4"", ""RAP1B"", ""PLPP3"", ""LMO7"", ""CTNNA1"", ""GJA1"", ""CD99"", ""CLDN5"", ""PIK3R1"", ""GAB1"", ""CTNNB1"", ""GNA13"", ""MME"", ""ACTR3"", ""ITGB3"", ""JUP"", ""NOTCH1"", ""ARF1"", ""DSP"", ""DDR2"", ""S100A7"", ""PPP3CA"", ""ARPC5L"", ""FLII"", ""EVL"", ""FAP"", ""RHOB"", ""TRIP6"", ""WASF2"", ""GSN"", ""ADAM9"", ""ITGB1"", ""STARD10"", ""PXN"", ""PPP1CC"", ""CORO1C"", ""MARCKS"", ""AMOT"", ""ADGRL3"", ""PRUNE1"", 
""PDCD6IP"", ""BSG"", ""EPHA4"", ""FES"", ""SORBS1"", ""GJC1"", ""CD81"", ""VIM"", ""FLOT1"", ""WDR1"", ""CLIC4"", ""HSPA1B"", ""DSC2"", ""NECTIN2"", ""PKD2"", ""ITGA8"", ""DMD"", ""NCK1"", ""SPRY4"", ""PRKCD"", ""HSPB1"", ""AMOTL2"", ""AKAP12"", ""HSPA8"", ""ITGA3"", ""SCRIB"", ""ANXA5"", ""HSPA9"", ""FGF13"", ""NUMB"", ""PTPN6"", ""CLASP1"", ""PTPN12"", ""FRS2"", ""CDH13"", ""PIKFYVE"", ""SCARB2"", ""WASF1"", ""VCL"", ""EPB41L5"", ""JAG1"", ""ITGA2"", ""PRKCZ"", ""CDH19"", ""EPB41L3"", ""KCNA2"", ""ADD1"", ""PTK7"", ""OPRM1"", ""AQP3"", ""SDCBP"", ""FZD2"", ""ARPC1B"", ""CLDN1"", ""LCP2"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,2.82644296494517e-05,0.03681186,0.575610261,-0.339266993,-1.691901491,242,"c(""B2M"", ""FLNA"", ""PVR"", ""PDLIM1"", ""PIP5K1C"", ""CD59"", ""MYH9"", ""FLT1"", ""TGM2"", ""CPNE3"", ""IQGAP1"", ""DCTN4"", ""LMO7"", ""CTNNA1"", ""GJA1"", ""CD99"", ""CTNNB1"", ""GNA13"", ""MME"", ""ACTR3"", ""ITGB3"", ""JUP"", ""ARF1"", ""DDR2"", ""S100A7"", ""ARPC5L"", ""FLII"", ""EVL"", ""FAP"", ""RHOB"", ""TRIP6"", ""GSN"", ""ADAM9"", ""ITGB1"", ""PXN"", ""PPP1CC"", ""CORO1C"", ""MARCKS"", ""PRUNE1"", ""PDCD6IP"", ""BSG"", ""FES"", ""SORBS1"", ""CD81"", ""VIM"", ""FLOT1"", ""HSPA1B"", ""NECTIN2"", ""ITGA8"", ""DMD"", ""SPRY4"", ""HSPB1"", ""AKAP12"", ""HSPA8"", ""ITGA3"", ""ANXA5"", ""HSPA9"", ""NUMB"", 
""CLASP1"", ""PTPN12"", ""CDH13"", ""SCARB2"", ""WASF1"", ""VCL"", ""EPB41L5"")"
Adhesion,GOCC_CELL_SURFACE,0.571948998,0.878479456,0.067518895,-0.176719382,-0.970096317,570,"c(""B2M"", ""PVR"", ""SPARC"", ""INSR"", ""SELE"", ""TFRC"", ""LRRC32"", ""CD209"", ""PAM"", ""APP"", ""CD59"", ""THBS1"", ""HSP90AB1"", ""PICALM"", ""LMO7"", ""IL6R"", ""CX3CR1"", ""CTSB"", ""RAMP3"", ""MME"", ""ITGB3"", ""PLVAP"", ""NOTCH1"", ""IL6ST"", ""ACE2"", ""CD14"", ""ANGPTL3"", ""MIF"", ""HSPA2"", ""BCAM"", ""HILPDA"", ""LDLR"", ""FAP"", ""OSMR"", ""SFRP1"", ""ADAM9"", ""TNFRSF4"", ""ITGB1"", ""IL4R"", ""IL3RA"", ""HSPD1"", ""MFGE8"", ""C3"", ""LILRB2"", ""AMOT"", ""ADAMTS9"", ""LTF"", ""EMP2"", ""NPTN"", ""CD74"", ""FURIN"", ""PDGFA"", ""CD47"", ""EPHA4"", ""TSPAN14"", ""TGFBR2"", ""LRP6"", ""ABCG1"", 
""MBP"", ""AZGP1"", ""TNFRSF1A"", ""FLOT1"", ""LY75"", ""NOTCH4"", ""CD163"", ""SERPINE2"", ""ENO1"", ""CLIC4"", ""TNFRSF10D"", ""DUOX1"", ""CD93"", ""NECTIN2"", ""ABCB1"", ""ITGA8"", ""IL12B"", ""CTSK"", ""DMD"", ""ATP5F1B"", ""PDGFB"", ""ITGA3"", ""ANXA5"", ""IL2RA"", ""CLEC6A"", ""CD274"", ""ROR2"", ""CD40"", ""PLA2R1"", ""HBEGF"", ""CD19"", ""MICA"", ""NOTCH3"", ""TFR2"", ""CDH13"", ""CLEC4A"", ""FUT4"", ""CCR2"", ""F2"", ""SLC3A2"", ""GP6"", ""PHB2"", ""LRP2"", ""GSR"", ""ITGA2"", ""TMX3"", ""ACKR4"", ""FZD6"", ""FCRL2"", ""VAMP3"", ""PPFIA2"", ""SELP"", ""PDIA4"", ""P2RY12"", ""ABCC4"", ""CSF2RB"", ""IGHA1"", 
""APOA4"", ""CD6"", ""NLGN4X"", ""MRGPRX1"", ""IL15RA"", ""IL15"", ""SCARB1"", ""CD34"", ""SLAMF6"", ""HCST"", ""NRXN1"", ""IL11RA"", ""ITGA6"", ""MMP16"", ""FLT3LG"", ""MPZL1"", ""CLEC2B"", ""EPO"", ""CLSTN1"", ""CD1B"")"
