Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,9.45691255786946e-08,5.61215221906453e-06,0.704975715,0.275262356,1.686519264,542,"c(""ICAM1"", ""NFASC"", ""CD300A"", ""HLX"", ""CD4"", ""CD6"", ""CDH18"", ""FSTL3"", ""SIGLEC1"", ""KLRK1"", ""ITGAX"", ""ZP3"", ""IL12RB1"", ""CNTN4"", ""CLDN7"", ""MAG"", ""ITGAM"", ""HES1"", ""THY1"", ""IL20RB"", ""WNT4"", ""RAP2B"", ""HBB"", ""IRF1"", ""IDO1"", ""FUT9"", ""FGL2"", ""FOXA2"", ""BCL6"", ""CD84"", ""LGALS9"", ""BMP2"", ""VSIR"", ""COMP"", ""CD3E"", ""EBI3"", ""TSPAN32"", ""HAVCR2"", ""TNR"", ""ADA"", ""NECTIN4"", ""CDH19"", ""ICAM4"", ""SIRPA"", ""ELANE"", ""IL2RA"", ""CARD11"", ""ADGRL3"", ""LILRB4"", ""CDH12"", ""WNT5A"", ""LRRC32"", ""LEP"", ""IL7"", ""PYCARD"", ""SPI1"", ""RASGRP1"", ""CCL19"", 
""CD209"", ""DSG3"", ""ADORA2A"", ""SELPLG"", ""ESAM"", ""CTLA4"", ""DAB1"", ""CTSG"", ""MMRN1"", ""RET"", ""JAM2"", ""CRB1"", ""ITGA3"", ""IL15"", ""NTN1"", ""LAPTM5"", ""LAG3"", ""ICAM2"", ""EPO"", ""ARG1"", ""SRF"", ""ITGAL"", ""NODAL"", ""CD5"", ""JAK3"", ""IL2"", ""CD1D"", ""CX3CR1"", ""CCR7"", ""FUT7"", ""LRRC4C"", ""CNTN1"", ""P2RY12"", ""SEMA4D"", ""SYK"", ""ICOSLG"", ""NLRP3"", ""NOD2"", ""CORO1A"", ""IL23A"", ""NT5E"", ""CDH10"", ""CD70"", ""CSTA"", ""PTAFR"", ""CEACAM8"", ""FGG"", ""MBP"", ""RAG1"", ""PCDH15"", ""GLDN"", ""ITGB3"", ""ZC3H12A"", ""CITED2"", ""IL1RL2"", ""SCGB1A1"", ""CYP1B1"", ""PLAUR"", 
""CXADR"", ""CD2"", ""GLI3"", ""IL10"", ""ICAM3"", ""SLC7A11"", ""ADAM8"", ""CDH1"", ""FER"", ""SRC"", ""JAML"", ""AIF1"", ""ITGB2"", ""LGALS2"", ""SELL"", ""CD28"", ""SOX4"", ""TNF"", ""GLMN"", ""TNFRSF13C"", ""OLR1"", ""DSC2"", ""CADM1"", ""ADAM19"", ""ADIPOQ"", ""CDH11"", ""IL6"", ""ALOX12"", ""PTPRR"", ""WNT3A"", ""CEACAM1"", ""PLPP3"", ""RIPK2"", ""LILRB1"", ""TENM4"", ""IL4"", ""ANXA1"", ""SLAMF1"", ""AGER"", ""PCK1"", ""PODXL"", ""FOXP3"", ""PELI1"", ""SERPINE2"", ""FGA"", ""IL36B"", ""CCL5"", ""CD27"", ""IL21"", ""MEGF11"", ""GATA3"", ""CCR2"", ""ITGA4"", ""BCL10"", ""PRKCD"", ""ETS1"", ""ROBO1"", ""KLF4"", 
""VTCN1"", ""SOCS1"", ""PIK3CG"", ""DSC3"", ""NRCAM"", ""PIK3CA"", ""TIGIT"", ""EGFR"", ""ITGA1"", ""NRXN2"", ""EPHA7"", ""KIRREL3"", ""SFTPD"", ""CELSR2"", ""TNFSF14"", ""CTNND1"", ""GATA1"", ""FAT4"", ""MDK"", ""IZUMO1"", ""EFNB1"", ""ITGAE"", ""TNFSF13B"", ""LCK"", ""ITGA2"", ""WNT7B"", ""FN1"", ""ITGB7"", ""CXCL12"", ""MAD2L2"", ""ARG2"", ""IL1B"", ""APOA1"", ""DCC"", ""IFNG"", ""CD58"", ""TBX21"", ""CD274"", ""SPTA1"", ""CD160"", ""CDON"", ""ITGA8"", ""IFNL1"", ""ZAP70"", ""VAV1"", ""CCL2"", ""FOXA1"", ""PTPRU"", ""THBS4"", ""LILRB2"", ""RHOH"", ""CD33"", ""CD93"", ""NOTCH1"", ""PECAM1"", ""CTNNA2"", 
""HAS2"", ""BCL2"", ""RUNX1"", ""PKP3"", ""CDH5"", ""PDCD1LG2"", ""DPP4"", ""CD80"", ""CD200"", ""BMP4"", ""GRID2"", ""CNTN5"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,1.09724360492528e-06,4.92468747387051e-05,0.643551836,0.318559955,1.809126574,275,"c(""ICAM1"", ""CD300A"", ""HLX"", ""CD4"", ""CD6"", ""KLRK1"", ""ZP3"", ""IL12RB1"", ""HES1"", ""THY1"", ""IL20RB"", ""IRF1"", ""IDO1"", ""FUT9"", ""FGL2"", ""BCL6"", ""LGALS9"", ""VSIR"", ""CD3E"", ""EBI3"", ""HAVCR2"", ""ADA"", ""SIRPA"", ""ELANE"", ""IL2RA"", ""CARD11"", ""LILRB4"", ""LRRC32"", ""LEP"", ""IL7"", ""PYCARD"", ""RASGRP1"", ""CCL19"", ""CD209"", ""ADORA2A"", ""SELPLG"", ""CTLA4"", ""CTSG"", ""JAM2"", ""IL15"", ""LAPTM5"", ""LAG3"", ""EPO"", ""ARG1"", ""ITGAL"", ""CD5"", ""JAK3"", ""IL2"", ""CD1D"", ""CX3CR1"", ""CCR7"", ""FUT7"", ""SEMA4D"", ""SYK"", ""ICOSLG"", ""NLRP3"", ""NOD2"", ""CORO1A"", 
""IL23A"", ""NT5E"", ""CD70"", ""PTAFR"", ""RAG1"", ""ZC3H12A"", ""IL1RL2"", ""SCGB1A1"", ""GLI3"", ""IL10"", ""ADAM8"", ""SRC"", ""AIF1"", ""ITGB2"", ""SELL"", ""CD28"", ""SOX4"", ""TNF"", ""GLMN"", ""TNFRSF13C"", ""OLR1"", ""IL6"", ""CEACAM1"", ""RIPK2"", ""LILRB1"", ""IL4"", ""ANXA1"", ""SLAMF1"", ""AGER"", ""PCK1"", ""FOXP3"", ""PELI1"", ""IL36B"", ""CCL5"", ""CD27"", ""IL21"", ""GATA3"", ""CCR2"", ""ITGA4"", ""BCL10"", ""ETS1"", ""KLF4"", ""VTCN1"", ""SOCS1"", ""PIK3CA"", ""TIGIT"", ""SFTPD"", ""TNFSF14"", ""MDK"", ""EFNB1"", ""TNFSF13B"", ""LCK"", ""ITGB7"", ""CXCL12"", ""ARG2"", ""IL1B"", ""IFNG"", ""TBX21"", 
""CD274"", ""SPTA1"", ""CD160"", ""IFNL1"", ""ZAP70"", ""VAV1"", ""CCL2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,3.46267009636469e-05,0.000872364,0.557332239,0.278649113,1.617848805,318,"c(""HLX"", ""CD4"", ""CD6"", ""FSTL3"", ""MIP"", ""KLRK1"", ""ZP3"", ""IL12RB1"", ""HES1"", ""ADGRG1"", ""THY1"", ""WNT4"", ""FOXA2"", ""BCL6"", ""LGALS9"", ""FBLN2"", ""NRP1"", ""VSIR"", ""NID1"", ""CD3E"", ""EBI3"", ""HAVCR2"", ""ADA"", ""SIRPA"", ""EDIL3"", ""ELANE"", ""IL2RA"", ""CARD11"", ""LILRB4"", ""LIF"", ""WNT5A"", ""LEP"", ""IL7"", ""PYCARD"", ""RASGRP1"", ""CCL19"", ""CD209"", ""CTSG"", ""MMRN1"", ""RET"", ""ITGA3"", ""IL15"", ""EPO"", ""NODAL"", ""CD5"", ""SFRP2"", ""JAK3"", ""IL2"", ""CD1D"", ""CCR7"", ""FUT7"", ""P2RY12"", ""SAA1"", ""RRAS"", ""SYK"", ""ICOSLG"", ""APBB1IP"", ""NLRP3"", ""NOD2"", 
""CORO1A"", ""IL23A"", ""NPY"", ""CD70"", ""PTAFR"", ""FGG"", ""RAG1"", ""CITED2"", ""IL1RL2"", ""PLAUR"", ""GLI3"", ""IL10"", ""PRKCE"", ""ADAM8"", ""ANGPT1"", ""SPOCK2"", ""SRC"", ""AIF1"", ""ITGB2"", ""CD28"", ""SOX4"", ""TNF"", ""TNFRSF13C"", ""ABI3BP"", ""ADAM19"", ""TNFRSF18"", ""IL6"", ""WNT3A"", ""PLPP3"", ""RIPK2"", ""LILRB1"", ""IL4"", ""ANXA1"", ""SLAMF1"", ""AGER"", ""PCK1"", ""PODXL"", ""FOXP3"", ""FGA"", ""IL36B"", ""CCL5"", ""CD27"", ""IL21"", ""GATA3"", ""CCR2"", ""ITGA4"", ""PDGFB"", ""BCL10"", ""ETS1"", ""VTCN1"", ""SOCS1"", ""PIK3CA"", ""TNFSF14"", ""EMP2"", ""MDK"", ""EFNB1"", ""TNFSF13B"", 
""LCK"", ""ITGA2"", ""KDR"", ""PREX1"", ""FN1"", ""CXCL12"", ""IL1B"", ""APOA1"", ""IFNG"", ""CD274"", ""SPTA1"", ""CD160"", ""TNFSF18"", ""ZAP70"", ""VAV1"", ""CCL2"", ""FOXA1"", ""PTPRU"", ""MAP4K4"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,1.34653105234183e-06,5.89493635291616e-05,0.643551836,0.339217496,1.876228494,220,"c(""HLX"", ""CD4"", ""CD6"", ""FSTL3"", ""KLRK1"", ""ZP3"", ""IL12RB1"", ""HES1"", ""THY1"", ""FOXA2"", ""BCL6"", ""LGALS9"", ""VSIR"", ""CD3E"", ""EBI3"", ""HAVCR2"", ""ADA"", ""SIRPA"", ""ELANE"", ""IL2RA"", ""CARD11"", ""LILRB4"", ""WNT5A"", ""LEP"", ""IL7"", ""PYCARD"", ""RASGRP1"", ""CCL19"", ""CD209"", ""CTSG"", ""MMRN1"", ""IL15"", ""EPO"", ""NODAL"", ""CD5"", ""JAK3"", ""IL2"", ""CD1D"", ""CCR7"", ""FUT7"", ""SYK"", ""ICOSLG"", ""NLRP3"", ""NOD2"", ""CORO1A"", ""IL23A"", ""CD70"", ""PTAFR"", ""FGG"", ""RAG1"", ""CITED2"", ""IL1RL2"", ""PLAUR"", ""GLI3"", ""IL10"", ""ADAM8"", ""SRC"", ""AIF1"", ""ITGB2"", 
""CD28"", ""SOX4"", ""TNF"", ""TNFRSF13C"", ""ADAM19"", ""IL6"", ""WNT3A"", ""PLPP3"", ""RIPK2"", ""LILRB1"", ""IL4"", ""ANXA1"", ""SLAMF1"", ""AGER"", ""PCK1"", ""PODXL"", ""FOXP3"", ""FGA"", ""IL36B"", ""CCL5"", ""CD27"", ""IL21"", ""GATA3"", ""CCR2"", ""ITGA4"", ""BCL10"", ""ETS1"", ""VTCN1"", ""SOCS1"", ""PIK3CA"", ""TNFSF14"", ""MDK"", ""EFNB1"", ""TNFSF13B"", ""LCK"", ""IL1B"", ""IFNG"", ""CD274"", ""SPTA1"", ""CD160"", ""ZAP70"", ""VAV1"", ""CCL2"", ""FOXA1"", ""PTPRU"", ""LILRB2"", ""RHOH"", ""HAS2"", ""RUNX1"", ""PDCD1LG2"", ""DPP4"", ""CD80"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,6.51521163152882e-06,0.000217486,0.610526878,0.339186547,1.824458616,187,"c(""HLX"", ""CD4"", ""CD6"", ""KLRK1"", ""ZP3"", ""IL12RB1"", ""HES1"", ""THY1"", ""BCL6"", ""LGALS9"", ""VSIR"", ""CD3E"", ""EBI3"", ""HAVCR2"", ""ADA"", ""SIRPA"", ""ELANE"", ""IL2RA"", ""CARD11"", ""LILRB4"", ""LEP"", ""IL7"", ""PYCARD"", ""RASGRP1"", ""CCL19"", ""CD209"", ""IL15"", ""EPO"", ""CD5"", ""JAK3"", ""IL2"", ""CD1D"", ""CCR7"", ""FUT7"", ""SYK"", ""ICOSLG"", ""NLRP3"", ""NOD2"", ""CORO1A"", ""IL23A"", ""CD70"", ""PTAFR"", ""RAG1"", ""IL1RL2"", ""GLI3"", ""ADAM8"", ""SRC"", ""AIF1"", ""ITGB2"", ""CD28"", ""SOX4"", ""TNF"", ""TNFRSF13C"", ""IL6"", ""RIPK2"", ""LILRB1"", ""IL4"", ""ANXA1"", ""SLAMF1"", 
""AGER"", ""PCK1"", ""FOXP3"", ""IL36B"", ""CCL5"", ""CD27"", ""IL21"", ""GATA3"", ""CCR2"", ""ITGA4"", ""BCL10"", ""ETS1"", ""VTCN1"", ""SOCS1"", ""PIK3CA"", ""TNFSF14"", ""MDK"", ""EFNB1"", ""TNFSF13B"", ""LCK"", ""IL1B"", ""IFNG"", ""CD274"", ""SPTA1"", ""CD160"", ""ZAP70"", ""VAV1"", ""CCL2"", ""LILRB2"", ""RHOH"", ""HAS2"", ""RUNX1"", ""PDCD1LG2"", ""DPP4"", ""CD80"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.000204451,0.00356278,0.518848078,0.239617054,1.458816366,513,"c(""CD300A"", ""HLX"", ""CD4"", ""MMP12"", ""CD6"", ""FSTL3"", ""MIP"", ""KLRK1"", ""ZP3"", ""IL12RB1"", ""HES1"", ""ADGRG1"", ""THY1"", ""IL20RB"", ""WNT4"", ""MUC1"", ""IRF1"", ""IDO1"", ""FUT9"", ""FGL2"", ""FOXA2"", ""BCL6"", ""LGALS9"", ""FBLN2"", ""BMP2"", ""NRP1"", ""VSIR"", ""NID1"", ""CD3E"", ""EBI3"", ""HAVCR2"", ""TNR"", ""ADA"", ""GPM6B"", ""MMP2"", ""GREM1"", ""SIRPA"", ""EDIL3"", ""ELANE"", ""IL2RA"", ""CARD11"", ""LILRB4"", ""LIF"", ""WNT5A"", ""LRRC32"", ""LEP"", ""IL7"", ""PYCARD"", ""SPI1"", ""RASGRP1"", ""CCL19"", ""CD209"", ""BST1"", ""ADORA2A"", ""CTLA4"", ""DAB1"", ""CTSG"", ""MMRN1"", ""GBP1"", 
""RET"", ""ITGA3"", ""IL15"", ""PLXNA4"", ""LAPTM5"", ""LAG3"", ""EPO"", ""ARG1"", ""SRF"", ""NODAL"", ""CD5"", ""SFRP2"", ""JAK3"", ""IL2"", ""CD1D"", ""CCR7"", ""FUT7"", ""P2RY12"", ""SEMA4D"", ""SAA1"", ""RRAS"", ""SYK"", ""ICOSLG"", ""APBB1IP"", ""NLRP3"", ""NOD2"", ""CORO1A"", ""IL23A"", ""PLAU"", ""PLXNA1"", ""NPY"", ""CD70"", ""PTAFR"", ""FGG"", ""MBP"", ""RAG1"", ""PTPRO"", ""ZC3H12A"", ""CITED2"", ""IL1RL2"", ""SCGB1A1"", ""CYP1B1"", ""PLAUR"", ""GLI3"", ""IL10"", ""PRKCE"", ""ADAM8"", ""CDH1"", ""ANGPT1"", ""SPOCK2"", ""COL1A1"", ""SPINK5"", ""SERPINI1"", ""NUAK1"", ""SRC"", ""AIF1"", ""ITGB2"", ""TNC"", 
""CD28"", ""SOX4"", ""EPHA3"", ""TNF"", ""GLMN"", ""TNFRSF13C"", ""ABI3BP"", ""ADAM19"", ""ADIPOQ"", ""TNFRSF18"", ""IL6"", ""ALOX12"", ""PTPRR"", ""ANGPT2"", ""WNT3A"", ""CEACAM1"", ""PLPP3"", ""PTEN"", ""RIPK2"", ""LILRB1"", ""IL4"", ""ANXA1"", ""SLAMF1"", ""AGER"", ""PCK1"", ""PODXL"", ""FOXP3"", ""PELI1"", ""SERPINE2"", ""SEMA3E"", ""FGA"", ""IL36B"", ""CCL5"", ""CD27"", ""IL21"", ""GATA3"", ""CCR2"", ""ITGA4"", ""PDGFB"", ""ACER2"", ""BCL10"", ""PRKCD"", ""ETS1"", ""KLF4"", ""VTCN1"", ""SOCS1"", ""PIK3CG"", ""PIK3CA"", ""TIGIT"", ""EPHA7"", ""SFTPD"", ""ERBB3"", ""CELSR2"", ""TNFSF14"", ""EMP2"", ""ARHGDIB"", 
""MDK"", ""EFNB1"", ""TNFSF13B"", ""LCK"", ""ITGA2"", ""KDR"", ""PREX1"", ""CXCR3"", ""FN1"", ""EFNA1"", ""CXCL12"", ""MAD2L2"", ""ARG2"", ""IL1B"", ""APOA1"", ""IFNG"", ""TBX21"", ""CD274"", ""CXCR4"", ""SPTA1"", ""CD160"", ""TNFSF18"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,1.71214996039394e-06,7.37467172456776e-05,0.643551836,0.302462342,1.75777921,320,"c(""CD300A"", ""HLX"", ""CD4"", ""CD6"", ""FSTL3"", ""KLRK1"", ""ZP3"", ""IL12RB1"", ""HES1"", ""THY1"", ""IL20RB"", ""WNT4"", ""IRF1"", ""IDO1"", ""FUT9"", ""FGL2"", ""FOXA2"", ""BCL6"", ""LGALS9"", ""BMP2"", ""VSIR"", ""CD3E"", ""EBI3"", ""HAVCR2"", ""TNR"", ""ADA"", ""SIRPA"", ""ELANE"", ""IL2RA"", ""CARD11"", ""LILRB4"", ""WNT5A"", ""LRRC32"", ""LEP"", ""IL7"", ""PYCARD"", ""SPI1"", ""RASGRP1"", ""CCL19"", ""CD209"", ""ADORA2A"", ""CTLA4"", ""CTSG"", ""MMRN1"", ""IL15"", ""LAPTM5"", ""LAG3"", ""EPO"", ""ARG1"", ""NODAL"", ""CD5"", ""JAK3"", ""IL2"", ""CD1D"", ""CCR7"", ""FUT7"", ""SYK"", ""ICOSLG"", ""NLRP3"", 
""NOD2"", ""CORO1A"", ""IL23A"", ""CD70"", ""PTAFR"", ""FGG"", ""MBP"", ""RAG1"", ""ZC3H12A"", ""CITED2"", ""IL1RL2"", ""SCGB1A1"", ""PLAUR"", ""GLI3"", ""IL10"", ""ADAM8"", ""CDH1"", ""SRC"", ""AIF1"", ""ITGB2"", ""CD28"", ""SOX4"", ""TNF"", ""GLMN"", ""TNFRSF13C"", ""ADAM19"", ""ADIPOQ"", ""IL6"", ""ALOX12"", ""PTPRR"", ""WNT3A"", ""CEACAM1"", ""PLPP3"", ""RIPK2"", ""LILRB1"", ""IL4"", ""ANXA1"", ""SLAMF1"", ""AGER"", ""PCK1"", ""PODXL"", ""FOXP3"", ""PELI1"", ""SERPINE2"", ""FGA"", ""IL36B"", ""CCL5"", ""CD27"", ""IL21"", ""GATA3"", ""CCR2"", ""ITGA4"", ""BCL10"", ""PRKCD"", ""ETS1"", ""KLF4"", ""VTCN1"", 
""SOCS1"", ""PIK3CA"", ""TIGIT"", ""EPHA7"", ""SFTPD"", ""CELSR2"", ""TNFSF14"", ""MDK"", ""EFNB1"", ""TNFSF13B"", ""LCK"", ""CXCL12"", ""MAD2L2"", ""ARG2"", ""IL1B"", ""APOA1"", ""IFNG"", ""TBX21"", ""CD274"", ""SPTA1"", ""CD160"", ""IFNL1"", ""ZAP70"", ""VAV1"", ""CCL2"", ""FOXA1"", ""PTPRU"")"
Adhesion,GOCC_ANCHORING_JUNCTION,0.000441343,0.006440467,0.498493109,-0.280270053,-1.492005754,422,"c(""B2M"", ""BSG"", ""CD9"", ""PLEC"", ""ATP6V0C"", ""CD59"", ""PTPRM"", ""EZR"", ""CD81"", ""ARF1"", ""MMP14"", ""ATP1B1"", ""FAP"", ""AHI1"", ""RHOA"", ""FLOT1"", ""SLC2A1"", ""APP"", ""PARK7"", ""FLNA"", ""GSN"", ""PTPRJ"", ""ANXA5"", ""P4HB"", ""VIM"", ""MAPK1"", ""DDR2"", ""ACTN4"", ""CTNNA1"", ""CDH3"", ""PTK2B"", ""HACD3"", ""HSPA9"", ""TLN1"", ""WDR1"", ""ITGAV"", ""SNTB1"", ""BCAR1"", ""AMBRA1"", ""UBA1"", ""PTPRA"", ""CLASP2"", ""CTNNB1"", ""SH3KBP1"", ""SYNE2"", ""GNA13"", ""PDGFRB"", ""EPHA4"", ""IGF2R"", ""YWHAG"", ""DLG1"", ""SDCCAG8"", ""FLOT2"", ""CLDN5"", ""MYO1E"", ""PI4KA"", ""CD99L2"", ""ITGB8"", 
""YWHAE"", ""DCTN4"", ""PTK7"", ""CTTN"", ""VEGFA"", ""HSPB1"", ""NECTIN2"", ""AKT1"", ""CD99"", ""FLNB"", ""JAM3"", ""CADM4"", ""PARD3B"", ""CAT"", ""ADD1"", ""MAP2K2"", ""SIRT2"", ""ADD3"", ""EVL"", ""MYH9"", ""PXN"", ""IL16"", ""ADAM10"", ""LSR"", ""CLASP1"", ""MSN"", ""CLTC"", ""NCKAP1"", ""CD46"", ""DST"", ""ASH1L"", ""ITGA6"", ""MAGI1"", ""ALOX15B"", ""APC"", ""CAPN1"", ""PDPK1"", ""JAK1"", ""DNM2"", ""AMOTL2"", ""NUMB"", ""TRIP6"", ""FLII"", ""HSPG2"", ""LRP1"", ""YWHAQ"", ""CYBA"", ""CTNND2"", ""HSPA8"", ""IQGAP1"", ""JUP"", ""ACTR3"", ""PRKCZ"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,2.18026392063963e-08,1.68765066668642e-06,0.733761988,-0.394736147,-1.978427933,242,"c(""B2M"", ""BSG"", ""CD9"", ""PLEC"", ""ATP6V0C"", ""CD59"", ""EZR"", ""CD81"", ""ARF1"", ""MMP14"", ""FAP"", ""RHOA"", ""FLOT1"", ""FLNA"", ""GSN"", ""ANXA5"", ""P4HB"", ""VIM"", ""MAPK1"", ""DDR2"", ""ACTN4"", ""CTNNA1"", ""PTK2B"", ""HACD3"", ""HSPA9"", ""TLN1"", ""ITGAV"", ""SNTB1"", ""BCAR1"", ""AMBRA1"", ""PTPRA"", ""CLASP2"", ""CTNNB1"", ""SH3KBP1"", ""SYNE2"", ""GNA13"", ""PDGFRB"", ""IGF2R"", ""YWHAG"", ""FLOT2"", ""PI4KA"", ""CD99L2"", ""ITGB8"", ""YWHAE"", ""DCTN4"", ""PTK7"", ""CTTN"", ""HSPB1"", ""NECTIN2"", ""CD99"", ""FLNB"", ""CAT"", ""ADD1"", ""MAP2K2"", ""EVL"", ""MYH9"", ""PXN"", ""IL16"", 
""ADAM10"", ""CLASP1"", ""MSN"", ""CLTC"", ""NCKAP1"", ""CD46"", ""DST"", ""ITGA6"", ""ALOX15B"", ""CAPN1"", ""PDPK1"", ""JAK1"", ""DNM2"", ""NUMB"", ""TRIP6"", ""FLII"", ""HSPG2"", ""LRP1"", ""YWHAQ"", ""CYBA"", ""HSPA8"", ""IQGAP1"", ""JUP"", ""ACTR3"", ""SCARB2"", ""PRKAR2A"", ""ZYX"", ""HCK"")"
Adhesion,GOCC_CELL_SURFACE,1.30041066993831e-11,2.10469496610319e-09,0.875325132,0.30684637,1.886336998,572,"c(""ICAM1"", ""FLT3LG"", ""IL15RA"", ""TNFRSF4"", ""FCRL5"", ""RTN4RL1"", ""CD4"", ""IGHD"", ""CD6"", ""MOG"", ""F2"", ""KLRK1"", ""GRIA2"", ""ITGAX"", ""WNT7A"", ""ABCA1"", ""WNT2"", ""TREML1"", ""CLEC6A"", ""IL12RB1"", ""GRIN2B"", ""CASR"", ""ACE"", ""ITGAM"", ""MS4A2"", ""THY1"", ""WNT4"", ""ENG"", ""SULF2"", ""CCR10"", ""UNC5C"", ""PLVAP"", ""CD84"", ""FCRL2"", ""CCR5"", ""BMP2"", ""FGF10"", ""AMBP"", ""SLC6A1"", ""CD3E"", ""EBI3"", ""TSPAN32"", ""HAVCR2"", ""CCR1"", ""TNR"", ""ADGRA2"", ""ADA"", ""KRT4"", ""CD22"", ""TRPV2"", ""GREM1"", ""SIRPA"", ""CD48"", ""ELANE"", ""HCST"", ""IL2RA"", ""CCR6"", ""TNFRSF11A"", 
""GPR37"", ""LILRB4"", ""WNT5A"", ""CLEC4C"", ""LRRC32"", ""P2RX1"", ""MSLN"", ""ADGRE1"", ""SCARA5"", ""CSPG4"", ""MMP16"", ""TNFRSF9"", ""CD209"", ""CD226"", ""PCSK9"", ""RAET1G"", ""LILRA5"", ""IL12RB2"", ""FCN1"", ""CTLA4"", ""TFR2"", ""CTSG"", ""IL17A"", ""CD1A"", ""JAM2"", ""IL1R1"", ""CLMP"", ""CLEC4A"", ""RSPO2"", ""ITGA3"", ""IL31RA"", ""IL15"", ""MAS1"", ""DUOX1"", ""OTOA"", ""NGFR"", ""LAG3"", ""EPO"", ""IL6R"", ""CD8A"", ""ITGAL"", ""CD5"", ""MICB"", ""SDC1"", ""CXCL10"", ""TLR2"", ""CD1D"", ""CX3CR1"", ""CCR7"", ""P2RY1"", ""P2RY12"", ""AXL"", ""ICOSLG"", ""GRIN1"", ""NOD2"", ""HILPDA"", ""NT5E"", 
""PLAU"", ""CCR9"", ""LPAR2"", ""MBL2"", ""CD8B"", ""CLEC5A"", ""TACR1"", ""IGKC"", ""SLC1A1"", ""CEACAM8"", ""FGG"", ""MBP"", ""ACKR4"", ""SLC1A2"", ""BTN3A1"", ""GLDN"", ""CD1B"", ""ITGB3"", ""TRPV1"", ""IGLL5"", ""NTRK1"", ""RAMP3"", ""CD1E"", ""PDCD1"", ""PLAUR"", ""ULBP2"", ""CD2"", ""CXCL9"", ""MXRA8"", ""C3"", ""CD1C"", ""SLC7A11"", ""ADAM8"", ""TPO"", ""CLEC2B"", ""NOTCH3"", ""LY6D"", ""LAMP3"", ""CRLF1"", ""IL21R"", ""CACNG4"", ""PSEN2"", ""TYROBP"", ""WIF1"", ""ITGB2"", ""CD3G"", ""CD28"", ""GHR"", ""TNF"", ""TNFRSF13C"", ""FCER2"", ""IL3RA"", ""CD3D"", ""ADIPOQ"", ""CSF3R"", ""TNFRSF18"", ""KCNQ3"", 
""TNFRSF10C"", ""HMMR"", ""CNTFR"", ""WNT3A"", ""CEACAM1"", ""AZGP1"", ""ADGRG6"", ""PLAT"", ""ACHE"", ""GPC5"", ""LY75"", ""CD19"", ""CD79B"", ""CXCR6"", ""LILRB1"", ""CLEC9A"", ""KRT10"", ""ANXA1"", ""SLAMF1"", ""AGER"", ""CD14"", ""ULBP3"", ""SERPINE2"", ""FGA"", ""IL1RL1"", ""CD27"", ""IL2RB"", ""CD69"", ""F10"", ""CCR2"", ""FCER1A"", ""ITGA4"", ""PDGFB"", ""FZD10"", ""IL9R"", ""CSF2RB"", ""ROBO1"", ""HBEGF"", ""VTCN1"", ""MS4A1"", ""SLC1A3"", ""NRCAM"", ""ADRA2B"", ""TIGIT"", ""EGFR"", ""ITGA1"", ""CCR3"", ""CHRNA4"", ""EMP2"", ""AREG"", ""UMODL1"", ""ITGAE"", ""SCUBE2"", ""CLEC14A"", ""ITGA2"", ""KDR"", 
""SLC4A4"", ""CXCR3"", ""ITGB7"", ""CXCL12"", ""FASLG"", ""FCER1G"", ""DCC"", ""PPFIA2"", ""CD58"", ""CXCR2"", ""GRIA1"", ""TRDC"", ""CD274"", ""PDIA4"", ""CXCR4"", ""TNFSF18"", ""SCN5A"", ""FOLH1"", ""ITGA8"", ""CD5L"", ""THBD"", ""SLAMF6"", ""LBP"", ""TNFRSF10D"", ""LPAR1"", ""SLC6A3"", ""LILRB2"", ""LTF"", ""PCSK6"", ""XCR1"", ""CD33"", ""CD93"", ""NOTCH1"", ""ANPEP"", ""TRBC1"", ""FCRL4"", ""SLC32A1"", ""MSR1"", ""LRP2"", ""IL2RG"", ""CLEC10A"", ""ABCB1"", ""CDH5"", ""MST1R"", ""CLEC4E"", ""PDCD1LG2"", ""DPP4"", ""CD80"", ""ITGB6"", ""CD200"", ""MET"", ""ADAM17"", ""EPHB2"", ""IL13"")"
