Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.605421687,0.835657669,0.055710423,-0.184759357,-0.9579981,526,"c(""NOTCH4"", ""AGER"", ""CD276"", ""MADCAM1"", ""SERPINE2"", ""ADD2"", ""PTPN6"", ""LEF1"", ""MAGI1"", ""FUT9"", ""HAS2"", ""GATA3"", ""SHH"", ""TSPAN32"", ""FOXJ1"", ""DUSP10"", ""LAMA3"", ""DAB1"", ""CNTN5"", ""GP6"", ""FGA"", ""ARG1"", ""GLI3"", ""IL20RB"", ""CDH8"", ""CSTA"", ""CCL28"", ""OLR1"", ""CYFIP2"", ""NRXN1"", ""FADD"", ""HFE"", ""CRTAM"", ""FOXA1"", ""ANXA2"", ""IL10"", ""CD274"", ""PCK1"", ""ABAT"", ""FUT7"", ""ELMO2"", ""CD27"", ""CLDN3"", ""IL12B"", ""CD200"", ""ITGB5"", ""ZP3"", ""CXADR"", ""EPCAM"", ""DSC3"", ""LYN"", ""IL18"", ""LRRC4C"", ""APOA1"", ""ICAM3"", ""TNFRSF13C"", ""GATA1"", ""IL2"", 
""CD40LG"", ""STXBP3"", ""IL7"", ""SPI1"", ""TIGIT"", ""ARG2"", ""ROBO4"", ""NRXN2"", ""UNC5D"", ""SOCS6"", ""LGALS2"", ""ESAM"", ""FLOT2"", ""CD84"", ""TNFSF11"", ""FER"", ""DSG3"", ""CD80"", ""TRAF6"", ""PECAM1"", ""CTNNA2"", ""ACVR1"", ""NLRP3"", ""KRT18"", ""SRF"", ""PCDH17"", ""IRF1"", ""IL1RN"", ""TNFRSF21"", ""PNP"", ""IL23R"", ""CTNNB1"", ""CDH19"", ""RELA"", ""PIK3CG"", ""CLEC7A"", ""PRKG1"", ""NF2"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.437898089,0.744047923,0.074175897,-0.205623221,-1.001181883,265,"c(""AGER"", ""CD276"", ""MADCAM1"", ""ADD2"", ""PTPN6"", ""LEF1"", ""FUT9"", ""HAS2"", ""GATA3"", ""SHH"", ""FOXJ1"", ""DUSP10"", ""ARG1"", ""GLI3"", ""IL20RB"", ""CCL28"", ""OLR1"", ""FADD"", ""HFE"", ""CRTAM"", ""IL10"", ""CD274"", ""PCK1"", ""FUT7"", ""CD27"", ""IL12B"", ""ZP3"", ""LYN"", ""IL18"", ""TNFRSF13C"", ""IL2"", ""CD40LG"", ""IL7"", ""TIGIT"", ""ARG2"", ""SOCS6"", ""FLOT2"", ""TNFSF11"", ""CD80"", ""TRAF6"", ""PECAM1"", ""NLRP3"", ""IRF1"", ""TNFRSF21"", ""PNP"", ""IL23R"", ""RELA"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.338501292,0.669685502,0.117765788,0.203434115,1.040544798,309,"c(""CCL2"", ""IGF2"", ""CD74"", ""FLNA"", ""CCN1"", ""TFRC"", ""RHOA"", ""LDB1"", ""SFRP2"", ""XBP1"", ""ABL1"", ""CD81"", ""ABI3BP"", ""NFKBIZ"", ""B2M"", ""ANXA1"", ""CXCL12"", ""TGFBR2"", ""JAK1"", ""CORO1A"", ""TFE3"", ""CRK"", ""VAV1"", ""PTPRU"", ""MDK"", ""IL6"", ""LCK"", ""JUP"", ""IRAK1"", ""NID1"", ""PRKCZ"", ""FOXO3"", ""VEGFA"", ""TNFRSF14"", ""IL4R"", ""C1QBP"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", ""EPO"", ""TGM2"", ""PLAUR"", ""FLOT1"", ""FN1"", ""FYN"", ""P4HB"", ""ADAM9"", ""KDR"", ""ADGRG1"", ""COL16A1"", ""NPY"", ""SRC"", ""CITED2"", ""PLPP3"", ""DNM2"", ""CCL25"", ""AP3D1"", ""PRKCE"", ""CSF1"", 
""CR1"", ""DOCK1"", ""LIF"", ""ZAP70"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.745501285,0.899137807,0.071478629,0.185107118,0.907580927,211,"c(""CCL2"", ""IGF2"", ""CD74"", ""TFRC"", ""RHOA"", ""XBP1"", ""CD81"", ""NFKBIZ"", ""B2M"", ""ANXA1"", ""TGFBR2"", ""JAK1"", ""CORO1A"", ""VAV1"", ""PTPRU"", ""MDK"", ""IL6"", ""LCK"", ""IRAK1"", ""PRKCZ"", ""FOXO3"", ""TNFRSF14"", ""IL4R"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", ""EPO"", ""PLAUR"", ""FLOT1"", ""FYN"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.481108312,0.772887962,0.094050347,0.206043292,0.98804885,178,"c(""CCL2"", ""IGF2"", ""CD74"", ""TFRC"", ""RHOA"", ""XBP1"", ""CD81"", ""NFKBIZ"", ""B2M"", ""ANXA1"", ""TGFBR2"", ""CORO1A"", ""VAV1"", ""MDK"", ""IL6"", ""LCK"", ""IRAK1"", ""PRKCZ"", ""FOXO3"", ""TNFRSF14"", ""IL4R"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", ""EPO"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.440366972,0.746038083,0.111462667,0.188313279,1.000713587,502,"c(""THBS1"", ""CCL2"", ""PRKAR1A"", ""IGF2"", ""CD74"", ""CXCL8"", ""APOD"", ""FLNA"", ""SERPINE1"", ""CCN1"", ""CEBPB"", ""TFRC"", ""CD9"", ""RHOA"", ""LDB1"", ""SFRP2"", ""XBP1"", ""ABL1"", ""FBLN1"", ""CD81"", ""ABI3BP"", ""LAMA4"", ""DUSP1"", ""C1QTNF1"", ""NFKBIZ"", ""SPRY4"", ""B2M"", ""ATP5F1B"", ""ANXA1"", ""SOX9"", ""CXCL12"", ""TGFBR2"", ""JAK1"", ""CORO1A"", ""TFE3"", ""CRK"", ""VAV1"", ""MMP2"", ""ADAM15"", ""PTPRU"", ""MDK"", ""IL6"", ""LCK"", ""JUP"", ""IRAK1"", ""NID1"", ""PRKCZ"", ""FOXO3"", ""JAG1"", ""JAM3"", ""VEGFA"", ""TNFRSF14"", ""IL4R"", ""C1QBP"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", 
""DSCAM"", ""EPO"", ""TGM2"", ""PLAUR"", ""FLOT1"", ""FN1"", ""VCL"", ""FYN"", ""PPP2R1A"", ""P4HB"", ""ADAM9"", ""KDR"", ""ADGRG1"", ""MAD2L2"", ""COL16A1"", ""NPY"", ""SRC"", ""CITED2"", ""PLPP3"", ""DNM2"", ""CLASP1"", ""PDE5A"", ""TNN"", ""CCL25"", ""AP3D1"", ""EPHA7"", ""PRKCE"", ""CSF1"", ""TBX21"", ""RCC2"", ""CR1"", ""ACTN4"", ""SPINT2"", ""DOCK1"", ""LIF"", ""ZAP70"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.433870968,0.7412183,0.075309376,-0.204109472,-1.004581373,310,"c(""NOTCH4"", ""AGER"", ""CD276"", ""SERPINE2"", ""PTPN6"", ""LEF1"", ""MAGI1"", ""FUT9"", ""HAS2"", ""GATA3"", ""SHH"", ""FOXJ1"", ""DUSP10"", ""GP6"", ""FGA"", ""ARG1"", ""GLI3"", ""IL20RB"", ""CCL28"", ""FADD"", ""HFE"", ""CRTAM"", ""FOXA1"", ""IL10"", ""CD274"", ""PCK1"", ""ABAT"", ""FUT7"", ""CD27"", ""IL12B"", ""ZP3"", ""EPCAM"", ""LYN"", ""IL18"", ""APOA1"", ""TNFRSF13C"", ""IL2"", ""CD40LG"", ""IL7"", ""SPI1"", ""TIGIT"", ""ARG2"", ""SOCS6"", ""FLOT2"", ""TNFSF11"", ""CD80"", ""TRAF6"", ""NLRP3"", ""IRF1"", ""IL1RN"", ""TNFRSF21"", ""PNP"", ""IL23R"", ""RELA"", ""PRKG1"", ""NF2"")"
Adhesion,GOCC_ANCHORING_JUNCTION,1.79953082772786e-05,0.001289583,0.575610261,0.297275265,1.569981741,418,"c(""VIM"", ""APP"", ""GSN"", ""FLNA"", ""CD9"", ""RHOA"", ""HSP90B1"", ""MYH9"", ""CDH11"", ""CD81"", ""BSG"", ""NECTIN2"", ""ENG"", ""NDRG1"", ""MXRA8"", ""PLEC"", ""WAS"", ""SPRY4"", ""B2M"", ""RHOB"", ""FAP"", ""CD53"", ""ANXA1"", ""PDLIM1"", ""NGFR"", ""JAK1"", ""CORO1A"", ""LRP1"", ""ITGA8"", ""PIP5K1C"", ""ABI2"", ""CD99"", ""GNB2"", ""VAV1"", ""CD151"", ""PPP1CC"", ""CTTN"", ""MRC2"", ""PARD3"", ""CAPN2"", ""ADAM15"", ""PTPRU"", ""MAPK1"", ""CD59"", ""JUP"", ""ATP1A2"", ""ITGB1"", ""IGF2R"", ""YBX3"", ""CLTC"", ""PRKCZ"", ""ANXA5"", ""PFN1"", ""HSPA8"", ""NFASC"", ""SYNE2"", ""IQGAP1"", ""EVL"", ""JAG1"", 
""JAM3"", ""VEGFA"", ""FHL2"", ""DMD"", ""HSPA1B"", ""MPZL1"", ""ITGA4"", ""FLNC"", ""ADD3"", ""CCND1"", ""BCAR1"", ""SIRT2"", ""PRKCG"", ""SORBS1"", ""CLIC4"", ""MAPK3"", ""COL17A1"", ""PDCD6IP"", ""TGM2"", ""PLAUR"", ""FLOT1"", ""VCL"", ""MAPRE1"", ""RAP2C"", ""P4HB"", ""WASF2"", ""ENAH"", ""ADAM9"", ""ITGA1"", ""CTNNA1"", ""CAP1"", ""PVR"", ""PI4KA"", ""HSPB1"", ""DCTN4"", ""SRC"", ""CDC42BPB"", ""YWHAQ"", ""CIB2"", ""PLPP3"", ""KIT"", ""WDR1"", ""FZD2"", ""HMGA1"", ""DNM2"", ""CLASP1"", ""CAT"", ""PTPRM"", ""ARF1"", ""ACTN4"", ""ZAP70"", ""JAM2"", ""ACTR3"", ""KIF23"", ""SVIL"", ""SCRIB"", ""HSPA9"", ""SDCCAG8"", 
""PAK2"", ""FZD4"", ""RAC1"", ""PRKCI"", ""ITGAV"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,4.41298913468634e-10,6.30070444413951e-07,0.814035838,0.414777696,2.064339935,241,"c(""VIM"", ""GSN"", ""FLNA"", ""CD9"", ""RHOA"", ""HSP90B1"", ""MYH9"", ""CD81"", ""BSG"", ""NECTIN2"", ""ENG"", ""PLEC"", ""SPRY4"", ""B2M"", ""RHOB"", ""FAP"", ""ANXA1"", ""PDLIM1"", ""JAK1"", ""LRP1"", ""ITGA8"", ""PIP5K1C"", ""CD99"", ""GNB2"", ""CD151"", ""PPP1CC"", ""CTTN"", ""MRC2"", ""CAPN2"", ""MAPK1"", ""CD59"", ""JUP"", ""ITGB1"", ""IGF2R"", ""CLTC"", ""ANXA5"", ""PFN1"", ""HSPA8"", ""NFASC"", ""SYNE2"", ""IQGAP1"", ""EVL"", ""FHL2"", ""DMD"", ""HSPA1B"", ""MPZL1"", ""ITGA4"", ""FLNC"", ""BCAR1"", ""SORBS1"", ""MAPK3"", ""COL17A1"", ""PDCD6IP"", ""TGM2"", ""PLAUR"", ""FLOT1"", ""VCL"", ""MAPRE1"", ""P4HB"", 
""ENAH"", ""ADAM9"", ""ITGA1"", ""CTNNA1"", ""CAP1"", ""PVR"", ""PI4KA"", ""HSPB1"", ""DCTN4"", ""SRC"", ""YWHAQ"", ""CIB2"", ""FZD2"", ""HMGA1"", ""DNM2"", ""CLASP1"", ""CAT"", ""ARF1"", ""ACTN4"", ""ACTR3"", ""KIF23"", ""SVIL"", ""HSPA9"", ""RAC1"", ""ITGAV"", ""AKAP12"", ""ICAM1"", ""MMP14"", ""FHL1"", ""NRP1"", ""BCAR3"")"
Adhesion,GOCC_CELL_SURFACE,0.01889659,0.178307152,0.352487858,-0.236373406,-1.229711038,554,"c(""SDC1"", ""TNFRSF11A"", ""HHIP"", ""MS4A1"", ""ACVRL1"", ""NOTCH4"", ""AGER"", ""CD276"", ""CD79A"", ""CLEC14A"", ""ANXA4"", ""TEK"", ""GREM1"", ""SERPINE2"", ""TMX3"", ""IL5RA"", ""CD8B"", ""TFR2"", ""ABCA1"", ""CD19"", ""WNT2"", ""CD207"", ""PLVAP"", ""MAS1"", ""AMBP"", ""FCRL5"", ""CD1C"", ""SHH"", ""TSPAN32"", ""CSF2RB"", ""ITGB4"", ""KRT4"", ""PPFIA2"", ""TLR2"", ""FCER1A"", ""GP6"", ""FGA"", ""INTU"", ""FZD9"", ""SFRP1"", ""OTOA"", ""KCNQ1"", ""VAMP5"", ""F2"", ""DUOX1"", ""CD1E"", ""IL2RG"", ""NRXN1"", ""LBP"", ""HFE"", ""UMODL1"", ""CD3D"", ""IL13"", ""ANXA2"", ""IL2RB"", ""MOG"", ""CD274"", ""SLAMF6"", 
""PROCR"", ""CD27"", ""MMP16"", ""IL12B"", ""CD200"", ""ITGB5"", ""TNFSF18"", ""EPCAM"", ""FOLR3"", ""TLR8"", ""CLEC5A"", ""RAMP3"", ""IL12RB2"", ""CHRNA4"", ""TNFRSF13C"", ""CD40LG"", ""TIGIT"", ""ABCC4"", ""FZD5"", ""SCUBE2"", ""UNC5D"", ""EPOR"", ""CLEC4D"", ""CRLF1"", ""TNFRSF10A"", ""KLRC3"", ""SCARB1"", ""CD84"", ""CD80"", ""IL21R"", ""IL3RA"", ""KCNE1"", ""IL31RA"", ""AREG"", ""ULBP1"", ""IGLL1"", ""TSHR"", ""IL23R"", ""TNFRSF10B"", ""CACNG4"", ""IL15RA"", ""EMP2"", ""P2RX7"", ""CLEC7A"", ""SLC11A2"", ""RSPO2"", ""IGHM"", ""SLC39A6"", ""CLEC4C"", ""TSPAN14"", ""KLRD1"", ""GRIA2"", ""TRDC"", ""GPR37"", 
""PRND"", ""RALA"", ""CDH2"", ""BTN3A1"", ""WNT7A"", ""CCR4"", ""IL12RB1"", ""TNFSF4"", ""ITGAE"", ""CD226"", ""SCN5A"", ""ALCAM"", ""LMO7"", ""CX3CL1"", ""XCR1"", ""PTPRC"")"
