Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.36963037,1,0.059603704,-0.331016794,-1.024464026,309,"c(""NOTCH4"", ""AGER"", ""CD276"", ""MADCAM1"", ""SERPINE2"", ""ADD2"", ""PTPN6"", ""LEF1"", ""MAGI1"", ""FUT9"", ""HAS2"", ""GATA3"", ""SHH"", ""TSPAN32"", ""FOXJ1"", ""DUSP10"", ""LAMA3"", ""DAB1"", ""CNTN5"", ""GP6"", ""FGA"", ""ARG1"", ""GLI3"", ""IL20RB"", ""CDH8"", ""CSTA"", ""CCL28"", ""OLR1"", ""CYFIP2"", ""NRXN1"", ""FADD"", ""HFE"", ""CRTAM"", ""FOXA1"", ""ANXA2"", ""IL10"", ""CD274"", ""PCK1"", ""ABAT"", ""FUT7"", ""ELMO2"", ""CD27"", ""CLDN3"", ""IL12B"", ""CD200"", ""ITGB5"", ""ZP3"", ""CXADR"", ""EPCAM"", ""DSC3"", ""LYN"", ""IL18"", ""LRRC4C"", ""APOA1"", ""ICAM3"", ""TNFRSF13C"", ""GATA1"", ""IL2"", 
""CD40LG"", ""STXBP3"", ""IL7"", ""SPI1"", ""TIGIT"", ""ARG2"", ""ROBO4"", ""NRXN2"", ""UNC5D"", ""SOCS6"", ""LGALS2"", ""ESAM"", ""FLOT2"", ""CD84"", ""TNFSF11"", ""FER"", ""DSG3"", ""CD80"", ""TRAF6"", ""PECAM1"", ""CTNNA2"", ""ACVR1"", ""NLRP3"", ""KRT18"", ""SRF"", ""PCDH17"", ""IRF1"", ""IL1RN"", ""TNFRSF21"", ""PNP"", ""IL23R"", ""CTNNB1"", ""CDH19"", ""RELA"", ""PIK3CG"", ""CLEC7A"", ""PRKG1"", ""NF2"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.265734266,1,0.07588869,-0.351525988,-1.06375517,156,"c(""AGER"", ""CD276"", ""MADCAM1"", ""ADD2"", ""PTPN6"", ""LEF1"", ""FUT9"", ""HAS2"", ""GATA3"", ""SHH"", ""FOXJ1"", ""DUSP10"", ""ARG1"", ""GLI3"", ""IL20RB"", ""CCL28"", ""OLR1"", ""FADD"", ""HFE"", ""CRTAM"", ""IL10"", ""CD274"", ""PCK1"", ""FUT7"", ""CD27"", ""IL12B"", ""ZP3"", ""LYN"", ""IL18"", ""TNFRSF13C"", ""IL2"", ""CD40LG"", ""IL7"", ""TIGIT"", ""ARG2"", ""SOCS6"", ""FLOT2"", ""TNFSF11"", ""CD80"", ""TRAF6"", ""PECAM1"", ""NLRP3"", ""IRF1"", ""TNFRSF21"", ""PNP"", ""IL23R"", ""RELA"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.366633367,1,0.05998925,-0.338969624,-1.029270358,174,"c(""AGER"", ""CD276"", ""TEK"", ""PTPN6"", ""LEF1"", ""MAGI1"", ""HAS2"", ""SAA1"", ""GATA3"", ""PTK2B"", ""RAC3"", ""SHH"", ""DUSP10"", ""IBSP"", ""GP6"", ""FGA"", ""SFRP1"", ""MAP4K4"", ""GLI3"", ""CCL28"", ""STK4"", ""MIP"", ""FADD"", ""FOXA1"", ""IL10"", ""CD274"", ""PCK1"", ""FUT7"", ""CD27"", ""IL12B"", ""ZP3"", ""TNFSF18"", ""LYN"", ""IL18"", ""APOA1"", ""TNFRSF13C"", ""IL2"", ""CD40LG"", ""IL7"", ""PREX1"", ""FLOT2"", ""TNFSF11"", ""CD80"", ""TRAF6"", ""NLRP3"", ""EDIL3"", ""S100A10"", ""AGR2"", ""PNP"", ""IL23R"", ""RELA"", ""EMP2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.642357642,1,0.034046373,-0.320365572,-0.959530129,123,"c(""AGER"", ""CD276"", ""PTPN6"", ""LEF1"", ""MAGI1"", ""HAS2"", ""GATA3"", ""SHH"", ""DUSP10"", ""GP6"", ""FGA"", ""GLI3"", ""FADD"", ""FOXA1"", ""IL10"", ""CD274"", ""PCK1"", ""FUT7"", ""CD27"", ""IL12B"", ""ZP3"", ""LYN"", ""IL18"", ""TNFRSF13C"", ""IL2"", ""CD40LG"", ""IL7"", ""FLOT2"", ""TNFSF11"", ""CD80"", ""TRAF6"", ""NLRP3"", ""PNP"", ""IL23R"", ""RELA"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.565434565,1,0.040003152,-0.328205583,-0.973890173,103,"c(""AGER"", ""CD276"", ""PTPN6"", ""LEF1"", ""HAS2"", ""GATA3"", ""SHH"", ""DUSP10"", ""GLI3"", ""FADD"", ""CD274"", ""PCK1"", ""FUT7"", ""CD27"", ""IL12B"", ""ZP3"", ""LYN"", ""IL18"", ""TNFRSF13C"", ""IL2"", ""CD40LG"", ""IL7"", ""FLOT2"", ""TNFSF11"", ""CD80"", ""TRAF6"", ""NLRP3"", ""PNP"", ""IL23R"", ""RELA"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.174825175,1,0.099233334,-0.348026691,-1.07579029,284,"c(""ACVRL1"", ""NOTCH4"", ""ANGPT2"", ""AGER"", ""CD276"", ""TEK"", ""GREM1"", ""SERPINE2"", ""PTPN6"", ""LEF1"", ""MAGI1"", ""FUT9"", ""HAS2"", ""SAA1"", ""GATA3"", ""PTK2B"", ""RAC3"", ""SHH"", ""FOXJ1"", ""DUSP10"", ""LAMA3"", ""DAB1"", ""IBSP"", ""PLXNA4"", ""GP6"", ""FGA"", ""SFRP1"", ""MAP4K4"", ""MUC1"", ""ARG1"", ""GLI3"", ""IL20RB"", ""CCL28"", ""STK4"", ""MIP"", ""FADD"", ""HFE"", ""CRTAM"", ""FOXA1"", ""IL10"", ""CD274"", ""PCK1"", ""ABAT"", ""FUT7"", ""CD27"", ""IL12B"", ""ZP3"", ""SEMA5A"", ""TNFSF18"", ""EPCAM"", ""LYN"", ""IL18"", ""APOA1"", ""TNFRSF13C"", ""IL2"", ""CD40LG"", ""IL7"", ""SPI1"", 
""TIGIT"", ""ARG2"", ""PREX1"", ""TACSTD2"", ""SOCS6"", ""ERBB3"", ""PTPRO"", ""FLOT2"", ""TNFSF11"", ""CD80"", ""TRAF6"", ""NLRP3"", ""SRF"", ""EDIL3"", ""S100A10"", ""AGR2"", ""IRF1"", ""ATXN3"", ""IL1RN"", ""TNFRSF21"", ""RASA1"", ""PNP"", ""IL23R"", ""RELA"", ""PIK3CG"", ""EMP2"", ""KNG1"", ""PRKG1"", ""NF2"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.252747253,1,0.078502905,-0.348001315,-1.05970862,185,"c(""NOTCH4"", ""AGER"", ""CD276"", ""SERPINE2"", ""PTPN6"", ""LEF1"", ""MAGI1"", ""FUT9"", ""HAS2"", ""GATA3"", ""SHH"", ""FOXJ1"", ""DUSP10"", ""GP6"", ""FGA"", ""ARG1"", ""GLI3"", ""IL20RB"", ""CCL28"", ""FADD"", ""HFE"", ""CRTAM"", ""FOXA1"", ""IL10"", ""CD274"", ""PCK1"", ""ABAT"", ""FUT7"", ""CD27"", ""IL12B"", ""ZP3"", ""EPCAM"", ""LYN"", ""IL18"", ""APOA1"", ""TNFRSF13C"", ""IL2"", ""CD40LG"", ""IL7"", ""SPI1"", ""TIGIT"", ""ARG2"", ""SOCS6"", ""FLOT2"", ""TNFSF11"", ""CD80"", ""TRAF6"", ""NLRP3"", ""IRF1"", ""IL1RN"", ""TNFRSF21"", ""PNP"", ""IL23R"", ""RELA"", ""PRKG1"", ""NF2"")"
Adhesion,GOCC_ANCHORING_JUNCTION,0.802197802,1,0.022655622,-0.301658233,-0.919187367,188,"c(""TEK"", ""PTPN6"", ""APC"", ""STARD10"", ""MAGI1"", ""VASP"", ""FGF13"", ""PTK2B"", ""ITGB4"", ""MAP4K4"", ""VAMP5"", ""CDH8"", ""SLA"", ""MIP"", ""RHO"", ""ANXA2"", ""AMOTL2"", ""CAV2"", ""PROCR"", ""CLDN3"", ""ITGB5"", ""CXADR"", ""EPCAM"", ""DSC3"", ""LYN"", ""GJC1"", ""ARHGAP22"", ""GJB1"", ""PKN2"", ""FZD5"", ""ALOX15B"", ""ESAM"", ""DES"", ""FLOT2"", ""DSG3"", ""SLC2A2"", ""PECAM1"", ""CTNNA2"", ""CDK4"", ""KRT18"", ""RAP1B"", ""CTNNB1"", ""CDH19"", ""P2RX7"", ""LAMA1"", ""NF2"", ""TIAM1"", ""SAV1"", ""SV2A"", ""PRKD1"", ""PIK3R1"", ""TNC"", ""CDH12"", ""RALA"", ""CDH2"", ""SLC2A1"", ""LSR"", ""ITK"", 
""SCN5A"", ""ATP1B1"", ""ALCAM"", ""LMO7"", ""PTPRC"", ""CYFIP1"", ""FLRT2"", ""ITGA2"", ""TES"", ""PARD6A"", ""ADGRL3"", ""CTNND1"", ""CLDN4"", ""PPP1CA"", ""PTK7"", ""PTPRK"", ""DSC2"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,0.978021978,1,0.006839067,-0.254546089,-0.748228485,90,"c(""TEK"", ""VASP"", ""PTK2B"", ""ITGB4"", ""MAP4K4"", ""SLA"", ""CAV2"", ""PROCR"", ""ITGB5"", ""ARHGAP22"", ""ALOX15B"", ""FLOT2"", ""CTNNB1"", ""TNC"", ""RALA"", ""CDH2"", ""ALCAM"", ""LMO7"", ""PTPRC"", ""CYFIP1"", ""FLRT2"", ""ITGA2"", ""TES"", ""PTK7"", ""DDR2"", ""FLT1"", ""ATP6V0C"", ""HSPG2"", ""EZR"", ""RAC2"", ""CPNE3"", ""ITGA3"", ""RAB10"", ""PAK1"", ""SYNPO2"", ""MTF2"", ""ARPC5L"", ""LIMD1"", ""DST"", ""EGFR"", ""IRF2"", ""LCP1"", ""CNN2"", ""PTPN12"")"
Adhesion,GOCC_CELL_SURFACE,0.000348605,0.65229364,0.498493109,-0.402510029,-1.246245928,311,"c(""SDC1"", ""TNFRSF11A"", ""HHIP"", ""MS4A1"", ""ACVRL1"", ""NOTCH4"", ""AGER"", ""CD276"", ""CD79A"", ""CLEC14A"", ""ANXA4"", ""TEK"", ""GREM1"", ""SERPINE2"", ""TMX3"", ""IL5RA"", ""CD8B"", ""TFR2"", ""ABCA1"", ""CD19"", ""WNT2"", ""CD207"", ""PLVAP"", ""MAS1"", ""AMBP"", ""FCRL5"", ""CD1C"", ""SHH"", ""TSPAN32"", ""CSF2RB"", ""ITGB4"", ""KRT4"", ""PPFIA2"", ""TLR2"", ""FCER1A"", ""GP6"", ""FGA"", ""INTU"", ""FZD9"", ""SFRP1"", ""OTOA"", ""KCNQ1"", ""VAMP5"", ""F2"", ""DUOX1"", ""CD1E"", ""IL2RG"", ""NRXN1"", ""LBP"", ""HFE"", ""UMODL1"", ""CD3D"", ""IL13"", ""ANXA2"", ""IL2RB"", ""MOG"", ""CD274"", ""SLAMF6"", 
""PROCR"", ""CD27"", ""MMP16"", ""IL12B"", ""CD200"", ""ITGB5"", ""TNFSF18"", ""EPCAM"", ""FOLR3"", ""TLR8"", ""CLEC5A"", ""RAMP3"", ""IL12RB2"", ""CHRNA4"", ""TNFRSF13C"", ""CD40LG"", ""TIGIT"", ""ABCC4"", ""FZD5"", ""SCUBE2"", ""UNC5D"", ""EPOR"", ""CLEC4D"", ""CRLF1"", ""TNFRSF10A"", ""KLRC3"", ""SCARB1"", ""CD84"", ""CD80"", ""IL21R"", ""IL3RA"", ""KCNE1"", ""IL31RA"", ""AREG"", ""ULBP1"", ""IGLL1"", ""TSHR"", ""IL23R"", ""TNFRSF10B"", ""CACNG4"", ""IL15RA"", ""EMP2"", ""P2RX7"", ""CLEC7A"", ""SLC11A2"", ""RSPO2"", ""IGHM"", ""SLC39A6"", ""CLEC4C"", ""TSPAN14"", ""KLRD1"", ""GRIA2"", ""TRDC"", ""GPR37"", 
""PRND"", ""RALA"", ""CDH2"", ""BTN3A1"", ""WNT7A"", ""CCR4"", ""IL12RB1"", ""TNFSF4"", ""ITGAE"", ""CD226"", ""SCN5A"", ""ALCAM"", ""LMO7"", ""CX3CL1"", ""XCR1"", ""PTPRC"")"
