Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.152847153,0.435375168,0.107554375,0.381207732,1.088375498,217,"c(""CCL2"", ""PTPRS"", ""PRKAR1A"", ""IGF2"", ""VMP1"", ""CD74"", ""SPARCL1"", ""FLNA"", ""CCN1"", ""CEBPB"", ""TFRC"", ""ZFP36L1"", ""CD9"", ""RHOA"", ""XBP1"", ""ABL1"", ""MYH9"", ""CDH11"", ""CD81"", ""BSG"", ""NECTIN2"", ""C1QTNF1"", ""NFKBIZ"", ""B2M"", ""ANXA1"", ""PDLIM1"", ""SOX9"", ""CXCL12"", ""TGFBR2"", ""JAK1"", ""CORO1A"", ""ITGA8"", ""PDGFRA"", ""PIP5K1C"", ""CD99"", ""SHC1"", ""VAV1"", ""PTPRU"", ""MDK"", ""IL6"", ""LCK"", ""FAT4"", ""JUP"", ""ROBO2"", ""ITGB1"", ""MYL9"", ""IRAK1"", ""PRKCZ"", ""S100A9"", ""FOXO3"", ""NFASC"", ""JAG1"", ""ITGAL"", ""JAM3"", ""VEGFA"", ""TNFRSF14"", ""IL4R"", 
""ITGA4"", ""HES1"", ""BMP5"", ""HSPD1"", ""ETS1"", ""NEO1"", ""DSCAM"", ""EPO"", ""PLAUR"", ""FLOT1"", ""FN1"", ""VCL"", ""DLG4"", ""FYN"", ""ADAM9"", ""CDON"", ""ITGA1"", ""CTNNA1"", ""PVR"", ""MAD2L2"", ""HSPB1"", ""CLSTN2"", ""SRC"", ""CITED2"", ""PLPP3"", ""KIT"", ""IZUMO1"", ""PDE5A"", ""CCL25"", ""PTPRM"", ""AP3D1"", ""EPHA7"", ""TBX21"", ""CR1"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.307692308,0.615350906,0.06847149,0.380363508,1.056951104,109,"c(""CCL2"", ""PRKAR1A"", ""IGF2"", ""CD74"", ""CEBPB"", ""TFRC"", ""RHOA"", ""XBP1"", ""CD81"", ""NFKBIZ"", ""B2M"", ""ANXA1"", ""CXCL12"", ""TGFBR2"", ""CORO1A"", ""VAV1"", ""MDK"", ""IL6"", ""LCK"", ""ITGB1"", ""IRAK1"", ""PRKCZ"", ""S100A9"", ""FOXO3"", ""ITGAL"", ""TNFRSF14"", ""IL4R"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", ""EPO"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.06993007,0.316930776,0.166933849,0.412909007,1.158973901,135,"c(""CCL2"", ""IGF2"", ""CD74"", ""FLNA"", ""CCN1"", ""TFRC"", ""RHOA"", ""LDB1"", ""SFRP2"", ""XBP1"", ""ABL1"", ""CD81"", ""ABI3BP"", ""NFKBIZ"", ""B2M"", ""ANXA1"", ""CXCL12"", ""TGFBR2"", ""JAK1"", ""CORO1A"", ""TFE3"", ""CRK"", ""VAV1"", ""PTPRU"", ""MDK"", ""IL6"", ""LCK"", ""JUP"", ""IRAK1"", ""NID1"", ""PRKCZ"", ""FOXO3"", ""VEGFA"", ""TNFRSF14"", ""IL4R"", ""C1QBP"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", ""EPO"", ""TGM2"", ""PLAUR"", ""FLOT1"", ""FN1"", ""FYN"", ""P4HB"", ""ADAM9"", ""KDR"", ""ADGRG1"", ""COL16A1"", ""NPY"", ""SRC"", ""CITED2"", ""PLPP3"", ""DNM2"", ""CCL25"", ""AP3D1"", ""PRKCE"", ""CSF1"", 
""CR1"", ""DOCK1"", ""LIF"", ""ZAP70"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.095904096,0.364035525,0.140406239,0.425199928,1.167146318,88,"c(""CCL2"", ""IGF2"", ""CD74"", ""TFRC"", ""RHOA"", ""XBP1"", ""CD81"", ""NFKBIZ"", ""B2M"", ""ANXA1"", ""TGFBR2"", ""JAK1"", ""CORO1A"", ""VAV1"", ""PTPRU"", ""MDK"", ""IL6"", ""LCK"", ""IRAK1"", ""PRKCZ"", ""FOXO3"", ""TNFRSF14"", ""IL4R"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", ""EPO"", ""PLAUR"", ""FLOT1"", ""FYN"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.057942058,0.292722264,0.184706471,0.447671488,1.215254381,75,"c(""CCL2"", ""IGF2"", ""CD74"", ""TFRC"", ""RHOA"", ""XBP1"", ""CD81"", ""NFKBIZ"", ""B2M"", ""ANXA1"", ""TGFBR2"", ""CORO1A"", ""VAV1"", ""MDK"", ""IL6"", ""LCK"", ""IRAK1"", ""PRKCZ"", ""FOXO3"", ""TNFRSF14"", ""IL4R"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", ""EPO"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.123876124,0.404059347,0.121543282,0.384064826,1.096935795,218,"c(""THBS1"", ""CCL2"", ""PRKAR1A"", ""IGF2"", ""CD74"", ""CXCL8"", ""APOD"", ""FLNA"", ""SERPINE1"", ""CCN1"", ""CEBPB"", ""TFRC"", ""CD9"", ""RHOA"", ""LDB1"", ""SFRP2"", ""XBP1"", ""ABL1"", ""FBLN1"", ""CD81"", ""ABI3BP"", ""LAMA4"", ""DUSP1"", ""C1QTNF1"", ""NFKBIZ"", ""SPRY4"", ""B2M"", ""ATP5F1B"", ""ANXA1"", ""SOX9"", ""CXCL12"", ""TGFBR2"", ""JAK1"", ""CORO1A"", ""TFE3"", ""CRK"", ""VAV1"", ""MMP2"", ""ADAM15"", ""PTPRU"", ""MDK"", ""IL6"", ""LCK"", ""JUP"", ""IRAK1"", ""NID1"", ""PRKCZ"", ""FOXO3"", ""JAG1"", ""JAM3"", ""VEGFA"", ""TNFRSF14"", ""IL4R"", ""C1QBP"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", 
""DSCAM"", ""EPO"", ""TGM2"", ""PLAUR"", ""FLOT1"", ""FN1"", ""VCL"", ""FYN"", ""PPP2R1A"", ""P4HB"", ""ADAM9"", ""KDR"", ""ADGRG1"", ""MAD2L2"", ""COL16A1"", ""NPY"", ""SRC"", ""CITED2"", ""PLPP3"", ""DNM2"", ""CLASP1"", ""PDE5A"", ""TNN"", ""CCL25"", ""AP3D1"", ""EPHA7"", ""PRKCE"", ""CSF1"", ""TBX21"", ""RCC2"", ""CR1"", ""ACTN4"", ""SPINT2"", ""DOCK1"", ""LIF"", ""ZAP70"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.298701299,0.607593583,0.069945874,0.378193977,1.05794632,125,"c(""CCL2"", ""PRKAR1A"", ""IGF2"", ""CD74"", ""CEBPB"", ""TFRC"", ""CD9"", ""RHOA"", ""XBP1"", ""ABL1"", ""CD81"", ""C1QTNF1"", ""NFKBIZ"", ""B2M"", ""ANXA1"", ""CXCL12"", ""TGFBR2"", ""JAK1"", ""CORO1A"", ""VAV1"", ""PTPRU"", ""MDK"", ""IL6"", ""LCK"", ""IRAK1"", ""PRKCZ"", ""FOXO3"", ""JAG1"", ""VEGFA"", ""TNFRSF14"", ""IL4R"", ""ITGA4"", ""HES1"", ""HSPD1"", ""ETS1"", ""EPO"", ""PLAUR"", ""FLOT1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,0.053946054,0.286552158,0.19189224,0.397707052,1.136992001,230,"c(""VIM"", ""APP"", ""GSN"", ""FLNA"", ""CD9"", ""RHOA"", ""HSP90B1"", ""MYH9"", ""CDH11"", ""CD81"", ""BSG"", ""NECTIN2"", ""ENG"", ""NDRG1"", ""MXRA8"", ""PLEC"", ""WAS"", ""SPRY4"", ""B2M"", ""RHOB"", ""FAP"", ""CD53"", ""ANXA1"", ""PDLIM1"", ""NGFR"", ""JAK1"", ""CORO1A"", ""LRP1"", ""ITGA8"", ""PIP5K1C"", ""ABI2"", ""CD99"", ""GNB2"", ""VAV1"", ""CD151"", ""PPP1CC"", ""CTTN"", ""MRC2"", ""PARD3"", ""CAPN2"", ""ADAM15"", ""PTPRU"", ""MAPK1"", ""CD59"", ""JUP"", ""ATP1A2"", ""ITGB1"", ""IGF2R"", ""YBX3"", ""CLTC"", ""PRKCZ"", ""ANXA5"", ""PFN1"", ""HSPA8"", ""NFASC"", ""SYNE2"", ""IQGAP1"", ""EVL"", ""JAG1"", 
""JAM3"", ""VEGFA"", ""FHL2"", ""DMD"", ""HSPA1B"", ""MPZL1"", ""ITGA4"", ""FLNC"", ""ADD3"", ""CCND1"", ""BCAR1"", ""SIRT2"", ""PRKCG"", ""SORBS1"", ""CLIC4"", ""MAPK3"", ""COL17A1"", ""PDCD6IP"", ""TGM2"", ""PLAUR"", ""FLOT1"", ""VCL"", ""MAPRE1"", ""RAP2C"", ""P4HB"", ""WASF2"", ""ENAH"", ""ADAM9"", ""ITGA1"", ""CTNNA1"", ""CAP1"", ""PVR"", ""PI4KA"", ""HSPB1"", ""DCTN4"", ""SRC"", ""CDC42BPB"", ""YWHAQ"", ""CIB2"", ""PLPP3"", ""KIT"", ""WDR1"", ""FZD2"", ""HMGA1"", ""DNM2"", ""CLASP1"", ""CAT"", ""PTPRM"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,0.01113463,0.119948753,0.380730401,0.4379904,1.235024102,151,"c(""VIM"", ""GSN"", ""FLNA"", ""CD9"", ""RHOA"", ""HSP90B1"", ""MYH9"", ""CD81"", ""BSG"", ""NECTIN2"", ""ENG"", ""PLEC"", ""SPRY4"", ""B2M"", ""RHOB"", ""FAP"", ""ANXA1"", ""PDLIM1"", ""JAK1"", ""LRP1"", ""ITGA8"", ""PIP5K1C"", ""CD99"", ""GNB2"", ""CD151"", ""PPP1CC"", ""CTTN"", ""MRC2"", ""CAPN2"", ""MAPK1"", ""CD59"", ""JUP"", ""ITGB1"", ""IGF2R"", ""CLTC"", ""ANXA5"", ""PFN1"", ""HSPA8"", ""NFASC"", ""SYNE2"", ""IQGAP1"", ""EVL"", ""FHL2"", ""DMD"", ""HSPA1B"", ""MPZL1"", ""ITGA4"", ""FLNC"", ""BCAR1"", ""SORBS1"", ""MAPK3"", ""COL17A1"", ""PDCD6IP"", ""TGM2"", ""PLAUR"", ""FLOT1"", ""VCL"", ""MAPRE1"", ""P4HB"", 
""ENAH"", ""ADAM9"", ""ITGA1"", ""CTNNA1"", ""CAP1"", ""PVR"", ""PI4KA"", ""HSPB1"", ""DCTN4"", ""SRC"", ""YWHAQ"", ""CIB2"", ""FZD2"", ""HMGA1"", ""DNM2"", ""CLASP1"", ""CAT"")"
Adhesion,GOCC_CELL_SURFACE,0.051948052,0.277360694,0.195789002,0.396555781,1.135332927,243,"c(""THBS1"", ""BGN"", ""LDLR"", ""APP"", ""CLU"", ""SPARC"", ""CD74"", ""TFRC"", ""CD9"", ""MFGE8"", ""FCGRT"", ""LEPR"", ""NECTIN2"", ""ENG"", ""OSMR"", ""MXRA8"", ""B2M"", ""FAP"", ""CD53"", ""SULF2"", ""ATP5F1B"", ""ANXA1"", ""TYROBP"", ""NGFR"", ""CXCL12"", ""CD14"", ""TGFBR2"", ""MIF"", ""ITGA8"", ""TGFBR3"", ""PDGFRA"", ""CD63"", ""LRPAP1"", ""ERP44"", ""CD151"", ""CAPN2"", ""ADAM15"", ""ADAMTS9"", ""CD59"", ""ATP6AP2"", ""ROBO2"", ""ITGB1"", ""MAP3K5"", ""PCSK6"", ""PDGFA"", ""FLT3LG"", ""CTSB"", ""IGF2R"", ""ANXA5"", ""FCER1G"", ""ACKR3"", ""HSP90AB1"", ""ITGAL"", ""SLC32A1"", ""VEGFA"", ""MRGPRX1"", 
""ROR1"", ""TNFRSF14"", ""IL4R"", ""C1QBP"", ""DMD"", ""PDIA4"", ""FCRL2"", ""MPZL1"", ""BACE1"", ""ITGA4"", ""ANGPTL3"", ""KCNJ3"", ""CLIC4"", ""F3"", ""AAMP"", ""NEU3"", ""AMELX"", ""HSPD1"", ""NEO1"", ""PICALM"", ""IGKC"", ""EPO"", ""ENO1"", ""PLAUR"", ""FLOT1"", ""ACVR2A"")"
