Aggregated,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,0.288288288,0.763988737,0.104732822,-0.197368759,-1.050631455,482,"c(""FLNA"", ""CD81"", ""MYL9"", ""JAG1"", ""LAMA5"", ""SPARCL1"", ""IFNA2"", ""ITGA7"", ""FN1"", ""NFASC"", ""HSPB1"", ""ZFP36L1"", ""CBLB"", ""MYH9"", ""CXCL13"", ""CD99"", ""ADGRL3"", ""FLOT2"", ""CX3CL1"", ""B2M"", ""ITGB1"", ""NFKBIZ"", ""CD86"", ""PTPRM"", ""PDLIM1"", ""ACTN1"", ""PRKAR1A"", ""CD46"", ""CD9"", ""VMP1"", ""CLSTN1"", ""YTHDF2"", ""CEBPB"", ""ILK"", ""PTPRS"", ""GNAS"", ""ITGA5"", ""ITGA8"", ""EPCAM"", ""BSG"", ""SDK1"", ""VCL"", ""MSN"", ""PPIA"", ""PTPRC"", ""IL15"", ""RAG1"", ""ITGAV"", ""NCK1"", ""RUNX1"", ""NR4A3"", ""GPC4"", ""MAPK7"", ""ADGRL1"", ""FUT7"", ""JAK1"", ""NF2"", ""IL36B"", 
""CLDN1"", ""MAGI1"", ""SRC"", ""TNFSF4"", ""PTPN11"", ""CCL5"", ""KIRREL3"", ""NLRP3"", ""PRNP"", ""PRKCD"", ""LGALS1"", ""SCGB1A1"", ""TLN1"", ""RUNX3"", ""PLPP3"", ""CCL2"", ""C1QTNF1"", ""FGFRL1"", ""PKP3"", ""IL6"", ""CD47"", ""SART1"", ""VEGFA"", ""FGL2"", ""CCL19"", ""EPO"", ""EPHA7"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,0.903225806,0.986169995,0.05367696,0.169255042,0.849883626,244,"c(""PODXL2"", ""CCR7"", ""CX3CR1"", ""DPP4"", ""EFNB1"", ""HAVCR2"", ""LGALS3"", ""FUT9"", ""BMP7"", ""CD70"", ""BMP4"", ""JAK3"", ""ADD2"", ""ALOX5"", ""CD6"", ""MYB"", ""IL4R"", ""CD55"", ""FADD"", ""APOA4"", ""XBP1"", ""LYN"", ""IL7R"", ""IL10"", ""CCL28"", ""CD1D"", ""ICAM1"", ""TGFBR2"", ""IL1RL2"", ""TESPA1"", ""SIRPA"", ""IL12A"", ""IFNB1"", ""IL23R"", ""NT5E"", ""CD27"", ""SOCS5"", ""IL20RB"", ""IL12B"", ""TBX21"", ""ARG1"", ""LAPTM5"", ""FUT4"", ""ZP3"", ""CXCL12"", ""CD83"", ""THY1"", ""PTAFR"", ""ITGAL"", ""CD5"", ""GPAM"", ""ADAM8"", ""RELA"", ""MDK"", ""PDCD1LG2"", ""TNFSF11"", ""IRF1"", ""TNFRSF14"", 
""YES1"", ""ASS1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,0.194444444,0.687576938,0.133554955,-0.222511468,-1.114508063,284,"c(""FLNA"", ""CD81"", ""TPM1"", ""FN1"", ""SFRP2"", ""CXCL13"", ""LDB1"", ""FLOT2"", ""CX3CL1"", ""NID1"", ""B2M"", ""NFKBIZ"", ""CD86"", ""UTRN"", ""CD46"", ""ILK"", ""RRAS"", ""ITGA5"", ""APBB1IP"", ""PTPRC"", ""IL15"", ""RAG1"", ""EMP2"", ""ITGAV"", ""NCK1"", ""RUNX1"", ""NR4A3"", ""CRK"", ""FUT7"", ""JAK1"", ""IL36B"", ""MAGI1"", ""SRC"", ""TNFSF4"", ""PTPN11"", ""CCL5"", ""KDR"", ""CD36"", ""DAB2"", ""DOCK1"", ""PLEKHA2"", ""NLRP3"", ""LGALS1"", ""PREX1"", ""RUNX3"", ""PLPP3"", ""CCL2"", ""IL6"", ""CD47"", ""TGM2"", ""SART1"", ""VEGFA"", ""CCL19"", ""EPO"", ""TJP1"", ""DOCK8"", ""ABL1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,0.938317757,0.988964964,0.045496781,-0.167971991,-0.800057615,194,"c(""CD81"", ""CXCL13"", ""FLOT2"", ""CX3CL1"", ""B2M"", ""NFKBIZ"", ""CD86"", ""CD46"", ""PTPRC"", ""IL15"", ""RAG1"", ""NCK1"", ""RUNX1"", ""NR4A3"", ""FUT7"", ""JAK1"", ""IL36B"", ""MAGI1"", ""SRC"", ""TNFSF4"", ""PTPN11"", ""CCL5"", ""NLRP3"", ""LGALS1"", ""RUNX3"", ""PLPP3"", ""CCL2"", ""IL6"", ""CD47"", ""SART1"", ""CCL19"", ""EPO"", ""TJP1"", ""DOCK8"", ""RHOA"", ""SOX2"", ""PCK1"", ""CD74"", ""AKT1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,0.975970425,0.994491638,0.0431902,-0.158130969,-0.740039346,164,"c(""CD81"", ""FLOT2"", ""B2M"", ""NFKBIZ"", ""CD86"", ""CD46"", ""PTPRC"", ""IL15"", ""RAG1"", ""NCK1"", ""RUNX1"", ""NR4A3"", ""FUT7"", ""IL36B"", ""SRC"", ""TNFSF4"", ""PTPN11"", ""CCL5"", ""NLRP3"", ""LGALS1"", ""RUNX3"", ""CCL2"", ""IL6"", ""CD47"", ""SART1"", ""CCL19"", ""EPO"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,0.044169611,0.400906027,0.287857117,-0.225162777,-1.197677234,464,"c(""FLNA"", ""CD81"", ""JAG1"", ""LAMA5"", ""DUSP1"", ""THBS1"", ""IFNA2"", ""TPM1"", ""FN1"", ""APOD"", ""CBLB"", ""ACTN4"", ""SFRP2"", ""CXCL13"", ""LDB1"", ""PPP1R12A"", ""FLOT2"", ""CX3CL1"", ""NID1"", ""PTPRA"", ""B2M"", ""NFKBIZ"", ""CD86"", ""UTRN"", ""DAPK3"", ""PRKAR1A"", ""CD46"", ""CD9"", ""YTHDF2"", ""CEBPB"", ""ILK"", ""RRAS"", ""ITGA5"", ""EPCAM"", ""VCL"", ""APBB1IP"", ""PTPRC"", ""IL15"", ""RAG1"", ""EMP2"", ""PRLR"", ""ITGAV"", ""WDPCP"", ""NCK1"", ""RUNX1"", ""NR4A3"", ""CRK"", ""MAPK7"", ""FUT7"", ""JAK1"", ""NF2"", ""IL36B"", ""COL1A1"", ""MAGI1"", ""SRC"", ""TNFSF4"", ""PTPN11"", ""CCL5"", 
""RCC2"", ""KDR"", ""FBLN1"", ""CD36"", ""DAB2"", ""DOCK1"", ""PLEKHA2"", ""NLRP3"", ""PRNP"", ""PRKCD"", ""LGALS1"", ""SCGB1A1"", ""PREX1"", ""RUNX3"", ""PLPP3"", ""CCL2"", ""C1QTNF1"", ""IL6"", ""CD47"", ""TGM2"", ""SART1"", ""VEGFA"", ""FGL2"", ""CCL19"", ""EPO"", ""EPHA7"", ""KANK1"", ""TJP1"", ""DOCK8"", ""ABL1"", ""MMP12"", ""PTPN2"", ""RHOA"", ""ATXN3"", ""TNFSF18"", ""SOX2"", ""PRKX"", ""PCK1"", ""SERPINE1"", ""PRDX2"", ""CD74"", ""AKT1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,0.79266055,0.958456502,0.052375908,-0.17788787,-0.891874314,286,"c(""CD81"", ""JAG1"", ""IFNA2"", ""CBLB"", ""CXCL13"", ""FLOT2"", ""CX3CL1"", ""B2M"", ""NFKBIZ"", ""CD86"", ""PRKAR1A"", ""CD46"", ""CD9"", ""YTHDF2"", ""CEBPB"", ""EPCAM"", ""PTPRC"", ""IL15"", ""RAG1"", ""NCK1"", ""RUNX1"", ""NR4A3"", ""MAPK7"", ""FUT7"", ""JAK1"", ""NF2"", ""IL36B"", ""MAGI1"", ""SRC"", ""TNFSF4"", ""PTPN11"", ""CCL5"", ""NLRP3"", ""PRNP"", ""PRKCD"", ""LGALS1"", ""SCGB1A1"", ""RUNX3"", ""PLPP3"", ""CCL2"", ""C1QTNF1"", ""IL6"", ""CD47"", ""SART1"", ""VEGFA"", ""FGL2"", ""CCL19"", ""EPO"", ""EPHA7"", ""TJP1"", ""DOCK8"", ""ABL1"", ""PTPN2"", ""RHOA"", ""SOX2"", ""PCK1"", ""PRDX2"", ""CD74"", 
""AKT1"")"
Adhesion,GOCC_ANCHORING_JUNCTION,6.24868351444446e-10,1.59372673035906e-06,0.801215575,-0.369004555,-1.923436983,396,"c(""FLNA"", ""CD81"", ""MCAM"", ""CD151"", ""HSPA1B"", ""VIM"", ""DMD"", ""JAG1"", ""WDR1"", ""ANXA5"", ""NFASC"", ""HSPB1"", ""ACTN4"", ""MYH9"", ""CD99"", ""ADGRL3"", ""PPP1R12A"", ""FLOT2"", ""RHOB"", ""PTPRA"", ""B2M"", ""ITGB1"", ""APP"", ""IQGAP1"", ""CSPG4"", ""ATP1A2"", ""PARK7"", ""PTPRM"", ""YBX3"", ""SYNE2"", ""PDLIM1"", ""MTF2"", ""ACTN1"", ""CD46"", ""CD9"", ""FAP"", ""PDGFRB"", ""PFN1"", ""ATP1B1"", ""PLEC"", ""ILK"", ""SCARB2"", ""LIMD1"", ""CDK4"", ""ENAH"", ""RRAS"", ""ITGA5"", ""PMP22"", ""ITGA8"", ""EPCAM"", ""BSG"", ""VCL"", ""MSN"", ""GNB2"", ""HSPA1A"", ""APBB1IP"", ""GSN"", ""PPIA"", ""PTPRC"", 
""PXN"", ""ITGAV"", ""APC"", ""NCK1"", ""ATP6V0C"", ""CD99L2"", ""KCNJ2"", ""BCAR1"", ""JAK1"", ""FHL1"", ""CD59"", ""NF2"", ""PDLIM2"", ""CLDN1"", ""HCK"", ""MAGI1"", ""SRC"", ""AKAP12"", ""VASP"", ""UBA1"", ""DAB2"", ""WASF1"", ""PPP1CC"", ""KIRREL3"", ""WASF2"", ""CAP1"", ""PRKCD"", ""TLN1"", ""MAP2K2"", ""PLPP3"", ""SNAP23"", ""FGFRL1"", ""PKP3"", ""TGM2"", ""VEGFA"", ""PDPK1"", ""DST"", ""GIT1"", ""RHO"", ""NUMB"", ""ENG"", ""HSPA8"", ""PTPN12"", ""LRP1"", ""CAT"", ""TJP1"", ""FLT1"", ""ERBIN"", ""SIRT2"", ""GJA1"", ""VANGL2"", ""RHOA"", ""MAPK1"", ""ARF1"", ""PIP5K1A"", ""ADGRE5"", ""PARD3"", ""PAK2"", ""MYO1E"", 
""L1CAM"", ""PKD2"", ""KCNA2"", ""AKT1"", ""CYTH2"", ""HSPA9"", ""SH3KBP1"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,2.75051480428527e-13,1.40303760166591e-09,0.932595211,-0.466311264,-2.28160877,234,"c(""FLNA"", ""CD81"", ""MCAM"", ""CD151"", ""HSPA1B"", ""VIM"", ""DMD"", ""ANXA5"", ""NFASC"", ""HSPB1"", ""ACTN4"", ""MYH9"", ""CD99"", ""PPP1R12A"", ""FLOT2"", ""RHOB"", ""PTPRA"", ""B2M"", ""ITGB1"", ""IQGAP1"", ""CSPG4"", ""SYNE2"", ""PDLIM1"", ""MTF2"", ""ACTN1"", ""CD46"", ""CD9"", ""FAP"", ""PDGFRB"", ""PFN1"", ""PLEC"", ""ILK"", ""SCARB2"", ""LIMD1"", ""ENAH"", ""RRAS"", ""ITGA5"", ""ITGA8"", ""BSG"", ""VCL"", ""MSN"", ""GNB2"", ""HSPA1A"", ""APBB1IP"", ""GSN"", ""PPIA"", ""PTPRC"", ""PXN"", ""ITGAV"", ""ATP6V0C"", ""CD99L2"", ""BCAR1"", ""JAK1"", ""FHL1"", ""CD59"", ""HCK"", ""SRC"", ""AKAP12"", ""VASP"", 
""DAB2"", ""WASF1"", ""PPP1CC"", ""CAP1"", ""TLN1"", ""MAP2K2"", ""SNAP23"", ""TGM2"", ""PDPK1"", ""DST"", ""GIT1"", ""NUMB"", ""ENG"", ""HSPA8"", ""PTPN12"", ""LRP1"", ""CAT"", ""FLT1"", ""ERBIN"", ""GJA1"", ""RHOA"", ""MAPK1"", ""ARF1"", ""PIP5K1A"", ""ADGRE5"")"
Adhesion,GOCC_CELL_SURFACE,0.058928571,0.4548098,0.248911114,-0.220153763,-1.175897508,497,"c(""MCAM"", ""CD151"", ""BGN"", ""BCAM"", ""MFGE8"", ""DMD"", ""SPARC"", ""THBS1"", ""NOTCH3"", ""ITGA7"", ""ANXA5"", ""SORT1"", ""CSF2RB"", ""NTRK1"", ""MRGPRX1"", ""CX3CL1"", ""B2M"", ""ITGB1"", ""CD86"", ""APP"", ""CSPG4"", ""CRYAB"", ""ADGRA2"", ""CD46"", ""CD9"", ""PDGFA"", ""FAP"", ""CLSTN1"", ""PDGFRB"", ""TNFRSF1A"", ""TRPV2"", ""ANPEP"", ""HSP90AB1"", ""CXCR6"", ""GHRHR"", ""ENO2"", ""AXL"", ""PICALM"", ""ITGA5"", ""GRIN2B"", ""ITGA8"", ""CLU"", ""EPCAM"", ""ATP6AP2"", ""MSN"", ""HMMR"", ""PTPRC"", ""IL15"", ""LMAN2"", ""GHR"", ""EMP2"", ""PSEN2"", ""PRLR"", ""FURIN"", ""ITGAV"", ""HSPA2"", ""IL2RG"", 
""ARSB"", ""LY75"", ""SLC6A1"", ""IL11RA"", ""CD99L2"", ""SRPX"", ""GPC4"", ""CD59"", ""CD8B"", ""HILPDA"", ""TNFSF4"", ""CTSB"", ""LPL"", ""KDR"", ""ACKR3"", ""PHB2"", ""FCER1G"", ""ACE2"", ""CD36"", ""CXCL9"", ""CLEC2D"", ""LDLR"", ""PRNP"", ""TLN1"", ""TNFRSF9"", ""INSR"", ""ADGRA3"", ""IL15RA"", ""CD47"", ""VEGFA"", ""EPO"", ""ENG"", ""MS4A2"", ""ENO1"", ""IL6R"", ""GLDN"", ""SLC32A1"", ""CCR10"", ""CD40"", ""ANO6"")"
