gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
COL6A1,-2.89521759,5.827245507,-4.27706868,1.9040744679595e-05,0.101683957,1.787340934,Matrisome/cell adhesion/binding/signaling
FDFT1,-2.858122363,6.238365654,-4.225213539,2.39962139416898e-05,0.101683957,1.616815935,NA
CAPZB,-1.15968521,8.221736061,-3.577896473,0.000347336,0.35586516,0.015738464,NA
CYB5D1,-4.820595312,3.856128189,-3.588889081,0.000333027,0.35586516,-1.858839369,NA
EFCAB5,-1.698680226,7.325574673,-3.820587998,0.000133609,0.35586516,0.802122606,NA
NOM1,-2.996690738,5.434814335,-3.76046437,0.000170168,0.35586516,-0.141645941,NA
RPL13,-3.527600452,4.837982069,-3.555763379,0.00037791,0.35586516,-1.140673757,NA
SLC25A21,0.748516662,9.663275088,3.576548836,0.00034913,0.35586516,-0.188577688,Transport
SLIT2,0.961290393,9.130718045,3.587808078,0.000334409,0.35586516,-0.013524132,Development (differentiation)
HSPA9,-3.473749711,4.845496717,-3.514616322,0.000441538,0.374203815,-1.222902044,Metabolism (other)
MYO18B,-0.866047567,8.990035648,-3.484144985,0.000494959,0.381343051,-0.402363876,NA
ADAMTS8,-2.499883004,5.722251308,-3.308490538,0.000939958,0.518154773,-1.215775839,Matrisome/cell adhesion/binding/signaling
ADCY1,-0.902709115,8.535090097,-3.029864002,0.002450325,0.518154773,-1.724069534,NA
C12orf40,-0.90699775,8.527955052,-3.073883149,0.002116278,0.518154773,-1.601410284,NA
CCDC186,-2.332025947,6.055228684,-3.224345634,0.001265,0.518154773,-1.366681388,NA
CELF4,0.552543093,9.875951483,3.005531235,0.002655053,0.518154773,-2.118901161,NA
EDC4,-3.444557905,4.902485922,-3.211417679,0.001323283,0.518154773,-2.012391044,NA
ERP27,-3.155638615,4.773749067,-3.070790038,0.002138311,0.518154773,-2.199852899,Metabolism (other)
FAM117B,-1.249032475,7.805622428,-3.174576533,0.001503237,0.518154773,-1.215716146,NA
FANCA,-1.414654349,7.285900147,-3.161897408,0.00157021,0.518154773,-1.249509049,NA
FHAD1,1.358503841,8.085731193,3.039125371,0.002376276,0.518154773,-1.588562726,NA
GAK,1.528262659,7.537100512,2.989383644,0.002799419,0.518154773,-1.733828428,NA
IFT27,3.004605726,4.894821555,3.000937713,0.002695412,0.518154773,-2.288957295,Cilia
ITPR3,-1.364944165,7.673030438,-3.282950632,0.001029346,0.518154773,-0.895237495,NA
KLC1,1.369904231,8.105446902,3.075371965,0.002105747,0.518154773,-1.48974833,Transport
LIG1,-1.755391152,6.91156115,-3.22741791,0.001251503,0.518154773,-1.123433588,NA
LIN52,-1.52071486,7.27567637,-3.128093879,0.00176242,0.518154773,-1.355307797,Development (cell cycle)
MAP1LC3A,-4.092240005,4.485402532,-3.206649427,0.001345398,0.518154773,-2.369100019,Inflammation/Immune/Stress/Toxic/Detox
MASTL,-2.209254254,6.088283164,-3.032077414,0.002432439,0.518154773,-1.829086246,NA
MX2,-1.985397445,6.525493254,-3.207722408,0.001340392,0.518154773,-1.258599776,NA
NEFM,-3.859642239,4.202736897,-3.113006276,0.001855002,0.518154773,-2.46190221,NA
NIPA2,-2.229795681,5.906075692,-2.983512849,0.002853659,0.518154773,-1.962674159,NA
PAPLN,-1.855854948,6.772716877,-3.197874489,0.001386989,0.518154773,-1.239529152,Matrisome/cell adhesion/binding/signaling
PRKAR1A,-2.227047354,6.131681851,-3.129895763,0.001751652,0.518154773,-1.577166238,NA
RP11-411B6.6,-2.566854034,5.454992874,-3.136413701,0.001713203,0.518154773,-1.725169881,NA
RP11-47I22.4,1.483784816,8.02448048,3.00723241,0.002640246,0.518154773,-1.681216926,NA
RPL4,-2.951193052,5.228740065,-3.053546355,0.002265044,0.518154773,-2.135530709,NA
SH3BP5L,-3.133594273,5.041260746,-3.069052568,0.00215078,0.518154773,-2.192554733,NA
SLC23A3,-3.072997265,4.809991296,-2.984548785,0.002844019,0.518154773,-2.361330404,Transport
STK17A,-2.762744008,5.6119581,-3.024803106,0.002491676,0.518154773,-2.109959484,NA
SV2C,-0.805353035,8.920285023,-3.111713694,0.001863138,0.518154773,-1.561220517,NA
TAOK2,-2.360574459,5.922614509,-3.177687576,0.001487211,0.518154773,-1.509982153,NA
TBCEL,-2.078811051,6.277220008,-3.216861801,0.001298444,0.518154773,-1.270757463,NA
TCERG1,-1.848464372,6.576901936,-3.066007444,0.002172793,0.518154773,-1.602580509,NA
TRPV4,-1.779575012,6.86620929,-3.214857259,0.001307539,0.518154773,-1.166738122,NA
URAD,4.519643099,4.170433019,2.981386249,0.002873543,0.518154773,-3.018050395,NA
ZNF365,0.923549379,9.049981504,3.336469244,0.000850322,0.518154773,-0.830946528,NA
ARMC2,1.672055681,7.387689003,2.920089348,0.003503919,0.53790664,-1.938946833,NA
C17orf53,-2.829688349,4.853885329,-2.8550567,0.004308137,0.53790664,-2.540403705,NA
CAMK2B,1.080223582,8.36153802,2.844456313,0.004454056,0.53790664,-2.133544341,Transport
CBFA2T3,-1.009557277,7.997114271,-2.909891948,0.003620239,0.53790664,-1.991241997,NA
CLASRP,-2.357722924,5.640160164,-2.843498862,0.004467454,0.53790664,-2.358773371,NA
COL27A1,0.911546287,8.757417361,2.841643824,0.004493516,0.53790664,-2.209543331,Matrisome/cell adhesion/binding/signaling
EDC3,-1.596106608,6.902121685,-2.911565363,0.003600913,0.53790664,-1.946204139,NA
GNB5,-1.54797373,6.915604031,-2.909811709,0.003621168,0.53790664,-1.943284407,NA
GRIP1,-0.574472848,9.499073513,-2.934907825,0.003340944,0.53790664,-2.274474229,NA
HAS1,-3.943280838,4.32000473,-2.855385892,0.004303676,0.53790664,-3.024574544,NA
KCTD7,1.035183888,8.430835833,2.827502276,0.004696766,0.53790664,-2.190276046,Transport
KIF17,-1.506960618,6.943255119,-2.861758238,0.004218139,0.53790664,-2.059718185,NA
LRRC74A,-1.98407363,6.133528823,-2.841698796,0.004492741,0.53790664,-2.221052604,NA
LTN1,-1.923494258,6.382556563,-2.910214406,0.003616508,0.53790664,-2.03226265,NA
NOTUM,-3.467252797,4.146665619,-2.845338075,0.00444175,0.53790664,-2.846515665,Development (differentiation)
OCIAD1,-1.803187145,6.656065377,-2.948765685,0.003194812,0.53790664,-1.897911484,NA
RABGEF1,1.34160702,7.865571789,2.835758018,0.004577121,0.53790664,-2.116896386,Transport
RP13-672B3.2,-2.2881965,5.797396243,-2.827674574,0.00469424,0.53790664,-2.36739513,NA
SENP8,-3.060435767,4.652168129,-2.862823787,0.004203987,0.53790664,-2.628647501,NA
SH2B1,-2.33889093,5.855404794,-2.953721757,0.003143981,0.53790664,-2.084632914,NA
SP3,-1.728688446,6.770114538,-2.831466874,0.004638961,0.53790664,-2.173070069,Development (differentiation)
TADA2A,2.369300344,6.220380522,2.908545473,0.003635858,0.53790664,-2.208650383,NA
TARBP1,-1.648122692,6.692015484,-2.845949209,0.004433238,0.53790664,-2.120386099,NA
TECPR1,-1.510111173,6.924367455,-2.870718404,0.004100472,0.53790664,-2.037592846,NA
VIT,-1.147126601,7.811949869,-2.864782543,0.004178085,0.53790664,-2.065689451,NA
VRK2,-0.880755453,8.517595725,-2.883516753,0.003937565,0.53790664,-2.121230141,Development (apoptosis)
ZYX,-2.506650133,5.393840282,-2.919295468,0.003512851,0.53790664,-2.243770324,NA
SPATA2L,-3.071879095,4.696649251,-2.815756117,0.004871877,0.550522086,-2.734537642,NA
CCDC134,3.648534452,5.11248598,2.783132357,0.005389643,0.553104144,-3.042661466,NA
