gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
DPYSL4,-3.27075327,5.551685559,-4.392136785,3.65082345794829e-05,0.158062402,-1.085132752,NA
YBX1,-3.076679867,6.215274147,-4.480365937,2.64094606368189e-05,0.158062402,-0.642754854,NA
FAM98C,-3.785629633,4.905012882,-4.16253173,8.3479893423231e-05,0.240950799,-2.099129406,NA
RPS6KA4,-3.780910268,4.775151533,-4.077035139,0.000112905,0.244410754,-2.119128736,NA
ARHGEF15,-4.318157327,4.245584038,-3.969363645,0.000164338,0.284601154,-2.771803404,NA
LGALS3BP,-2.875730454,6.129216416,-3.690194054,0.000423554,0.523936162,-2.144688803,Development (apoptosis)
LGALS3BP,-2.875730454,6.129216416,-3.690194054,0.000423554,0.523936162,-2.144688803,Inflammation/Immune/Stress/Toxic/Detox
LGALS3BP,-2.875730454,6.129216416,-3.690194054,0.000423554,0.523936162,-2.144688803,Matrisome/cell adhesion/binding/signaling
RP11-77H9.1,-4.303412723,4.245584038,-3.728110534,0.000373314,0.523936162,-3.091188044,NA
GREM1,5.256798006,5.172193607,3.561572265,0.000646345,0.536676408,-3.661594305,NA
H2AFY2,-2.999448185,5.87822982,-3.575675703,0.000617341,0.536676408,-2.444915864,NA
MRPS18A,-2.246035138,6.845649475,-3.589768984,0.000589595,0.536676408,-1.746518408,NA
POMC,-4.373890156,3.825523936,-3.545139781,0.000681769,0.536676408,-3.385594947,NA
A1BG,-0.429065656,5.315511411,-0.33093784,0.741619316,0.998751581,-4.712165508,NA
AAAS,-0.526014051,6.574002614,-0.648801755,0.518459138,0.998751581,-4.78209723,Metabolism (other)
AADACL3,0.228806636,3.999160632,0.135497981,0.892583161,0.998751581,-4.67340455,NA
AAK1,0.162754983,8.564467332,0.367999481,0.713915869,0.998751581,-5.178441938,Metabolism (other)
AAMDC,-1.011470851,6.875496886,-1.426954393,0.15776579,0.998751581,-4.436083463,Development (differentiation)
AAR2,0.144804237,6.106026259,0.153856233,0.878138601,0.998751581,-4.82511259,NA
AARS,-0.286616647,6.311989543,-0.310377692,0.757139351,0.998751581,-4.801833411,NA
AARS2,0.580028191,4.942460254,0.397989585,0.691774678,0.998751581,-4.683702089,NA
AASS,0.951619575,6.92403002,1.145134948,0.255814276,0.998751581,-4.59163692,NA
AATF,-0.231799643,7.00780176,-0.323966293,0.74687022,0.998751581,-4.901898035,NA
ABAT,-1.17585522,7.781348279,-2.218702209,0.029549047,0.998751581,-3.568114932,Metabolism (other)
ABC13-47488600E17.1,-0.265263078,5.714227781,-0.236608674,0.81360896,0.998751581,-4.75059722,NA
ABCA2,0.284807953,6.543818579,0.315587788,0.753196708,0.998751581,-4.813032833,Metabolism or Transport (lipid)
ABCA3,0.869156402,7.060532632,1.133472815,0.260645769,0.998751581,-4.607949339,Metabolism or Transport (lipid)
ABCA7,1.094569173,6.551720101,1.195355921,0.23573461,0.998751581,-4.562190411,Metabolism or Transport (lipid)
ABCB10,0.247827322,6.720292448,0.293976462,0.76959238,0.998751581,-4.839251159,Metabolism or Transport (lipid)
ABCB8,-0.829802684,6.24773091,-0.926596494,0.357124523,0.998751581,-4.669811477,Metabolism (other)
ABCB9,-0.761154886,7.901358326,-1.481258454,0.142749854,0.998751581,-4.412733238,Metabolism (other)
ABCC1,-0.142049755,8.890776078,-0.355947846,0.72288438,0.998751581,-5.2463344,Transport
ABCC10,-0.444643364,6.069438404,-0.456187988,0.649580295,0.998751581,-4.769844407,Transport
ABCC4,0.150576803,9.185378361,0.396850965,0.692610556,0.998751581,-5.270795351,Transport
ABCC5,-0.052436258,7.916489897,-0.098855236,0.921518398,0.998751581,-5.091958201,Transport
ABCC6,0.121104238,6.556523557,0.136100721,0.892108311,0.998751581,-4.838542104,Transport
ABCD4,0.026721901,5.557191357,0.021501831,0.982902759,0.998751581,-4.745097679,Metabolism or Transport (lipid)
ABCF1,-0.264377362,5.58235544,-0.222142439,0.824810107,0.998751581,-4.739749063,Metabolism (other)
ABCF3,-1.284883372,5.01221754,-1.125702179,0.2639006,0.998751581,-4.581654622,Metabolism (other)
ABCG1,-0.431719936,8.128549118,-0.887407065,0.37771226,0.998751581,-4.887192684,Metabolism or Transport (lipid)
ABCG5,-0.205038148,5.199106022,-0.166200379,0.868448947,0.998751581,-4.731935038,Metabolism or Transport (lipid)
ABCG8,-0.227162366,5.89446682,-0.213352667,0.83163397,0.998751581,-4.766904659,Metabolism or Transport (lipid)
ABHD1,1.62869134,3.936761379,0.976266361,0.332088129,0.998751581,-4.604720391,NA
ABHD10,-0.278185798,5.146403615,-0.221695588,0.825156695,0.998751581,-4.727622281,Metabolism or Transport (lipid)
ABHD12B,2.415900725,4.711164496,1.572716311,0.120016952,0.998751581,-4.478756421,Metabolism or Transport (lipid)
ABHD15,0.045805728,6.087202127,0.045957377,0.963467041,0.998751581,-4.79297782,NA
ABHD16A,0.559146522,4.873433248,0.37870827,0.705980318,0.998751581,-4.68241486,Metabolism or Transport (lipid)
ABHD17C,0.538340122,7.463718469,0.857333477,0.394006861,0.998751581,-4.793220642,Metabolism or Transport (lipid)
ABHD18,-0.051983657,6.999298647,-0.06949894,0.94477846,0.998751581,-4.907173697,NA
ABHD2,-0.475250149,8.735919045,-1.174741023,0.24383499,0.998751581,-4.766643893,Metabolism or Transport (lipid)
ABHD6,-0.232867789,7.069132819,-0.338510068,0.735929864,0.998751581,-4.918679363,Metabolism or Transport (lipid)
ABHD8,-0.760929765,7.253519306,-1.200833591,0.233615259,0.998751581,-4.60044181,Metabolism or Transport (lipid)
ABI3,3.077672164,3.850007639,1.800934314,0.075755226,0.998751581,-4.445660345,Motility
ABL1,-0.435452359,8.703673985,-1.067253834,0.28929934,0.998751581,-4.850085108,Development (differentiation)
ABLIM1,0.12570078,9.073978339,0.319113909,0.750532096,0.998751581,-5.284817358,Motility
ABO,-0.201484144,5.56768526,-0.164162479,0.870047268,0.998751581,-4.734302162,NA
ABR,-0.452897516,9.469475992,-1.307404789,0.195090988,0.998751581,-4.731747894,Motility
AC002310.11,-0.656029443,6.862437399,-0.913591903,0.363875,0.998751581,-4.723545872,NA
AC002310.13,-0.427164856,6.14533758,-0.424290154,0.67257546,0.998751581,-4.770158778,NA
AC002398.9,0.080033754,5.916203764,0.069189139,0.945024219,0.998751581,-4.757074165,NA
AC003005.4,0.91359792,5.259534369,0.66619208,0.507343561,0.998751581,-4.664431531,NA
AC003006.7,-0.19657074,7.038633044,-0.286451778,0.775326253,0.998751581,-4.928568366,NA
AC004754.3,-0.459577695,4.978147721,-0.354900977,0.72366529,0.998751581,-4.708119165,NA
AC005779.2,1.201109893,6.069848763,1.096275732,0.276484983,0.998751581,-4.592116521,NA
