gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
SCUBE3,-1.649564345,6.467949527,-4.562686437,5.08129818637289e-06,0.049232698,2.454995905,Matrisome/cell adhesion/binding/signaling
CYB5D1,-2.451981332,4.815234894,-4.061028945,4.90489898569538e-05,0.237617831,-0.758755738,NA
SMIM5,-2.128148341,5.187192592,-3.901789673,9.58067054355055e-05,0.309423723,-0.75046928,NA
NOM1,-1.800869933,5.544329651,-3.726832676,0.000194452,0.376809328,-0.787740566,NA
VPS37A,1.834620053,6.385772432,3.750791367,0.000176791,0.376809328,-0.765481955,NA
SIGLEC14,-3.494579752,3.393403168,-3.651606845,0.000261291,0.421940805,-2.82386784,Inflammation/Immune/Stress/Toxic/Detox
MAP1LC3A,-1.888528606,5.227008119,-3.47778107,0.000506692,0.545481633,-1.614079387,Inflammation/Immune/Stress/Toxic/Detox
NEK6,-0.805212936,8.286737843,-3.529447141,0.000417394,0.545481633,-0.177004245,NA
NELFB,-1.733342241,5.610782126,-3.507581427,0.000453224,0.545481633,-1.329157259,NA
APOL2,-1.872343595,5.069189052,-3.248920402,0.001160412,0.749548999,-2.168950805,Metabolism or Transport (lipid)
GSTA1,-2.63542351,4.022677511,-3.306759727,0.000945534,0.749548999,-2.79218793,NA
LMAN1L,-2.143260203,4.628099514,-3.328649653,0.000874307,0.749548999,-2.280540436,NA
OR8B4,-3.818348185,2.169828577,-3.266262949,0.001091663,0.749548999,-3.563927487,NA
PRTFDC1,0.979280838,7.637075044,3.276412346,0.001053197,0.749548999,-1.082349154,NA
YBX1,-1.710491007,5.399709696,-3.313496005,0.000923062,0.749548999,-1.820131891,NA
FAM186A,-1.307091015,6.268640259,-3.230375198,0.001238341,0.749892638,-1.554975735,NA
DGKD,-0.795681155,7.940206898,-3.187398503,0.001437867,0.819499787,-1.212502478,NA
CACNB1,-1.359896366,5.921896695,-2.98816805,0.002810068,0.831848312,-2.232290548,Transport
CAPZB,-0.672236053,8.595010734,-3.085619519,0.002034148,0.831848312,-1.462362608,NA
CLUH,-1.104329722,6.532487488,-3.035568117,0.002404016,0.831848312,-1.859017537,NA
CTB-50L17.14,-1.781872549,5.101780335,-3.047860231,0.002307875,0.831848312,-2.531079805,NA
EEF2K,-0.912200738,7.244698525,-3.087636443,0.002020401,0.831848312,-1.560305126,NA
FKBP11,-2.62354596,3.550471919,-2.945633193,0.003226776,0.831848312,-3.39227403,Metabolism (other)
GNRH2,-2.55346747,3.944895564,-3.000129559,0.002702079,0.831848312,-3.264541847,NA
GRAMD1A,-1.073340291,6.503890382,-2.934168962,0.003348342,0.831848312,-2.088090479,Metabolism or Transport (lipid)
HIST1H3E,4.444384881,3.266559623,2.93997264,0.003286288,0.831848312,-4.059672101,NA
LARP4,-0.943937642,7.024372049,-2.947734076,0.003204939,0.831848312,-1.950997321,NA
LDLRAP1,-1.033650338,6.695953021,-2.958777273,0.003092355,0.831848312,-1.992752693,NA
MIGA1,1.056139856,7.240523228,3.078031189,0.002086641,0.831848312,-1.703297797,NA
MRPS18A,-1.335153185,5.951644152,-2.984311981,0.002845712,0.831848312,-2.216181215,NA
MTMR2,1.190086585,6.903245635,3.052995883,0.002268761,0.831848312,-1.897442583,NA
OLIG2,-2.534583115,3.987295552,-2.970131363,0.002980372,0.831848312,-3.299498231,NA
PARP8,0.82859961,8.026339335,3.102663441,0.001920634,0.831848312,-1.466833544,NA
PHTF2,0.798607635,7.963097772,2.960759382,0.003072534,0.831848312,-1.831977364,NA
RPL13,-1.852331198,4.976226393,-2.993145934,0.002764657,0.831848312,-2.716057591,NA
SLC17A5,1.181209578,6.880153432,3.023734867,0.002500018,0.831848312,-1.963290862,Transport
SMCO3,-2.510705406,3.82634348,-3.124849609,0.001781585,0.831848312,-3.02546553,NA
TKTL2,-3.223920075,3.052484058,-2.939288433,0.003293549,0.831848312,-3.701025665,NA
TUBA4A,-1.065260527,6.65693421,-3.012073279,0.002598046,0.831848312,-1.884025829,Transport
ADM2,-2.368178566,3.695582659,-2.780317439,0.005435817,0.882484545,-3.483000027,NA
AHDC1,-0.67644581,8.076379841,-2.789419803,0.005285411,0.882484545,-2.231135328,NA
APEH,-1.308682715,5.782541172,-2.696632828,0.007010499,0.882484545,-2.835380506,Metabolism (other)
ARHGAP5,0.954923931,7.195879848,2.737979345,0.006187438,0.882484545,-2.466765673,NA
AXIN1,-0.717368432,7.590501128,-2.657927882,0.007868724,0.882484545,-2.545136518,NA
C16orf82,-2.930432536,3.175311657,-2.85531994,0.004303915,0.882484545,-3.67391882,NA
CBR4,0.759541873,7.872923727,2.731099878,0.006318044,0.882484545,-2.385884747,Metabolism (other)
CD7,-2.523347488,3.574963563,-2.628760683,0.008576426,0.882484545,-3.763627996,Inflammation/Immune/Stress/Toxic/Detox
CFAP74,-0.74839676,7.495748236,-2.724318658,0.006449207,0.882484545,-2.398665132,Cilia
CHPT1,1.360968395,6.427338591,2.889791688,0.003859248,0.882484545,-2.463153733,NA
CLEC18B,3.316019426,3.067059293,2.625510151,0.008658719,0.882484545,-4.042524984,NA
CRYBA1,-2.455555335,3.891887959,-2.852512398,0.004342102,0.882484545,-3.429227805,NA
CSK,-1.059872324,6.282547639,-2.627870281,0.008598898,0.882484545,-2.782818551,NA
CTD-2192J16.24,-1.977254747,4.589406457,-2.808423373,0.004983453,0.882484545,-3.174609429,NA
DIRC2,0.939400755,7.150836454,2.662319829,0.007766817,0.882484545,-2.627737464,NA
ELAVL1,1.006162766,6.836986412,2.623338873,0.008714081,0.882484545,-2.755386756,NA
FAU,-2.635840882,3.342594071,-2.638976235,0.008322333,0.882484545,-3.800652852,NA
FDXR,-1.390534294,5.527190774,-2.6445526,0.008186492,0.882484545,-3.008085945,NA
GAL3ST3,-1.844153785,4.796812263,-2.839305004,0.004525897,0.882484545,-3.012475885,NA
GALNT1,0.763911517,7.787775494,2.682785895,0.007307366,0.882484545,-2.499266044,NA
GOLIM4,0.875614226,7.410025718,2.735484997,0.00623451,0.882484545,-2.424919507,NA
GPR155,-0.92619027,6.952147616,-2.819487111,0.004814926,0.882484545,-2.256354386,NA
HHIPL1,-0.965705251,6.769754108,-2.815707616,0.004871908,0.882484545,-2.292011907,NA
ITGA2,0.972928571,7.295373113,2.895940578,0.003784465,0.882484545,-2.102150486,Matrisome/cell adhesion/binding/signaling
KCNJ10,0.870553663,7.399858744,2.717693322,0.006579716,0.882484545,-2.463392146,Transport
KIF2B,-3.104251756,2.720380646,-2.695295702,0.007038686,0.882484545,-3.916544125,NA
LGALS3BP,-1.378068882,5.600683634,-2.722686979,0.006481131,0.882484545,-2.84093321,Development (apoptosis)
LGALS3BP,-1.378068882,5.600683634,-2.722686979,0.006481131,0.882484545,-2.84093321,Inflammation/Immune/Stress/Toxic/Detox
LGALS3BP,-1.378068882,5.600683634,-2.722686979,0.006481131,0.882484545,-2.84093321,Matrisome/cell adhesion/binding/signaling
MARCH8,0.717298337,7.933995093,2.65658527,0.007900115,0.882484545,-2.548175302,NA
MRPL49,-2.095354239,4.288116916,-2.766577066,0.005670187,0.882484545,-3.330299963,NA
MSI2,-0.429238479,10.1445583,-2.681638995,0.007332454,0.882484545,-2.605514391,NA
MYH9,-0.654747351,8.335490713,-2.834445568,0.004595275,0.882484545,-2.119928415,NA
NSUN3,1.157457957,6.679655621,2.73149754,0.006310427,0.882484545,-2.633983878,NA
OSTF1,0.932484913,7.286233844,2.748602397,0.005990533,0.882484545,-2.427788761,NA
P2RX1,-1.314173119,5.825780881,-2.75707547,0.005837547,0.882484545,-2.712882483,Transport
PCDH12,-1.064891852,6.373252015,-2.684595526,0.007267939,0.882484545,-2.664172653,Development (differentiation)
PGM3,1.356673123,6.259810091,2.758913259,0.005804833,0.882484545,-2.746581723,Metabolism (other)
PLOD3,1.836781957,5.362088608,2.662492758,0.007762829,0.882484545,-3.320439937,Matrisome/cell adhesion/binding/signaling
PNKP,-0.862483918,7.003541536,-2.69834011,0.006974657,0.882484545,-2.503638081,NA
RAD52,-0.813395737,7.192210733,-2.649479296,0.008068132,0.882484545,-2.59201343,NA
