gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
ADAM17,-2.194177104,7.181964853,-3.438461763,0.000586461,0.867544114,-4.272586149,NA
ERN2,-2.872905055,5.516744957,-3.383707503,0.000716791,0.867544114,-4.414303776,NA
GOLGA8B,-2.930229494,5.526364207,-3.454734359,0.000552208,0.867544114,-4.40551365,NA
MINA,-2.871484724,6.081429152,-3.508451945,0.000451912,0.867544114,-4.385075752,NA
MYLK2,-2.813259563,5.506724792,-3.308984974,0.000938336,0.867544114,-4.423419556,NA
RBM4,-2.864244187,5.966893726,-3.343606577,0.000828794,0.867544114,-4.421977103,NA
SOCS1,-2.996654362,5.709620152,-3.328461812,0.000875164,0.867544114,-4.439400773,Inflammation/Immune/Stress/Toxic/Detox
TRMT10A,-2.931037802,6.416280994,-3.461330534,0.000538861,0.867544114,-4.404121692,NA
TXN2,-3.052128151,5.91560469,-3.69699209,0.00021887,0.867544114,-4.363690858,NA
A1BG,0.574498121,5.415364361,0.45495445,0.649147943,0.999881405,-4.601518763,NA
A1CF,-0.151928194,6.647360008,-0.168811055,0.865947314,0.999881405,-4.610408814,NA
A2M,0.37009636,6.203532506,0.367269621,0.713422582,0.999881405,-4.60603023,Metabolism (other)
A2ML1,0.729056416,6.379273804,0.719875202,0.471611947,0.999881405,-4.601204182,Immune/Inflammation/Stress/Toxin
A4GALT,-0.478308567,6.848955688,-0.630828403,0.528161393,0.999881405,-4.608568826,Metabolism (other)
AAAS,-0.067053081,6.679875178,-0.083514916,0.933443122,0.999881405,-4.614671909,Metabolism (other)
AADACL2,-0.600986837,4.962388233,-0.465853365,0.64132656,0.999881405,-4.601175309,NA
AADAT,-0.014470935,6.071085658,-0.014092355,0.988756469,0.999881405,-4.607244566,Metabolism (other)
AAK1,0.25063154,8.395886563,0.450578283,0.652299391,0.999881405,-4.627458202,Metabolism (other)
AAMP,-0.147193835,6.227009596,-0.148985335,0.88156701,0.999881405,-4.607921059,Development (differentiation)
AASDH,0.150701697,6.534099755,0.170376533,0.864716097,0.999881405,-4.610931282,NA
AASDHPPT,0.95058344,6.461107773,0.983036351,0.325603839,0.999881405,-4.595757725,NA
AASS,0.206874703,7.34517176,0.313228242,0.754111189,0.999881405,-4.621197875,NA
AATF,-0.309543317,7.425351986,-0.426723675,0.669586124,0.999881405,-4.614863316,NA
AATK,0.358911717,7.250554924,0.493690878,0.621531024,0.999881405,-4.613338987,NA
AATK-AS1,0.677419358,5.990181186,0.638666216,0.523048884,0.999881405,-4.601907305,NA
ABC13-47488600E17.1,0.557416163,6.244268961,0.56797891,0.570056951,0.999881405,-4.604159441,NA
ABCA1,0.403770944,8.049790809,0.639687465,0.522384612,0.999881405,-4.614113105,Metabolism or Transport (lipid)
ABCA10,-0.311323965,6.672149238,-0.42207339,0.672976903,0.999881405,-4.614316338,Metabolism or Transport (lipid)
ABCA3,-0.09863998,7.178866399,-0.142914681,0.886359294,0.999881405,-4.621052068,Metabolism or Transport (lipid)
ABCA4,0.455170094,8.706839239,0.816629687,0.414151773,0.999881405,-4.609490943,Metabolism or Transport (lipid)
ABCA5,-0.315199843,7.104909001,-0.418265656,0.675758294,0.999881405,-4.613594529,Metabolism or Transport (lipid)
ABCA6,-0.152973426,6.154991094,-0.182134018,0.855479771,0.999881405,-4.612552959,Metabolism or Transport (lipid)
