gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
A2ML1,-0.383906604,6.493216208,-0.380570181,0.703527978,0.999609056,-4.599304625,Immune/Inflammation/Stress/Toxin
AACS,1.072644507,7.541452805,1.244397694,0.213374037,0.999609056,-4.591522103,Metabolism (other)
AAED1,0.092696462,6.353733009,0.09066895,0.927756939,0.999609056,-4.599841824,NA
AAMDC,-0.685858634,7.222655508,-0.848293807,0.39628885,0.999609056,-4.597289572,Development (differentiation)
AARS,-0.092304323,6.600711177,-0.093695543,0.92535235,0.999609056,-4.60020058,NA
AASDH,-0.109504004,6.256073374,-0.106710603,0.915020098,0.999609056,-4.599792045,NA
AASS,-0.415333657,5.9373855,-0.374570288,0.707985739,0.999609056,-4.598604137,NA
ABAT,-1.247178024,6.924692278,-1.461761894,0.143828886,0.999609056,-4.587464147,Metabolism (other)
ABCA10,-0.989140658,6.7440149,-1.060962587,0.288725183,0.999609056,-4.594437911,Metabolism or Transport (lipid)
ABCA12,-1.207154879,7.590506791,-1.546113218,0.122099801,0.999609056,-4.583964965,Metabolism or Transport (lipid)
ABCA3,0.446213779,7.208215197,0.483080966,0.629045793,0.999609056,-4.599594356,Metabolism or Transport (lipid)
ABCA4,-0.256011132,7.316991268,-0.317223564,0.751078695,0.999609056,-4.601977519,Metabolism or Transport (lipid)
ABCA5,-0.138720218,6.57412068,-0.141647057,0.887360831,0.999609056,-4.600202556,Metabolism or Transport (lipid)
ABCA6,0.621614088,6.654405436,0.618491625,0.536261366,0.999609056,-4.598170473,Metabolism or Transport (lipid)
ABCA9,-1.76284353,5.95153365,-1.747698602,0.080538125,0.999609056,-4.585145452,Metabolism or Transport (lipid)
ABCB1,0.630498409,7.742495375,0.725879583,0.467924712,0.999609056,-4.59825732,Metabolism or Transport (lipid)
ABCB11,-0.298957726,7.26015849,-0.348077921,0.727786892,0.999609056,-4.601042118,Metabolism or Transport (lipid)
ABCB6,0.026162605,6.068801483,0.025187473,0.979905788,0.999609056,-4.599729819,Metabolism (other)
ABCB7,0.324021211,6.153294814,0.29179197,0.770450003,0.999609056,-4.598815841,Metabolism (other)
ABCB8,-0.45598514,6.634549026,-0.475084098,0.634734434,0.999609056,-4.599306339,Metabolism (other)
ABCB9,-0.462213435,7.966175503,-0.630392956,0.528447794,0.999609056,-4.600706444,Metabolism (other)
ABCC10,0.029769606,6.170477063,0.028234207,0.977475757,0.999609056,-4.599593729,Transport
ABCC12,-0.323226951,6.679057654,-0.356266851,0.721646094,0.999609056,-4.600395931,Transport
ABCC3,0.172584375,7.239682366,0.192949857,0.847001034,0.999609056,-4.601100968,Transport
ABCC6,1.160893413,7.164840766,1.234268433,0.217123585,0.999609056,-4.59222601,Transport
ABCC8,-0.747627455,7.320761249,-0.930261666,0.35225164,0.999609056,-4.596204745,Transport
ABCC9,-0.709950129,7.107050396,-0.822184369,0.410985958,0.999609056,-4.597308048,Transport
ABCD1,0.038326344,6.785938028,0.039650975,0.968371952,0.999609056,-4.60043468,Metabolism or Transport (lipid)
ABCD3,-0.018337561,7.420359743,-0.021810144,0.982599713,0.999609056,-4.602139976,Metabolism or Transport (lipid)
ABCD4,-1.360245867,6.092866468,-1.338165938,0.180864055,0.999609056,-4.591353506,Metabolism or Transport (lipid)
ABCF1,-0.803790248,6.263588023,-0.834761484,0.403866242,0.999609056,-4.596766007,Metabolism (other)
ABCF2,-0.295843966,6.871199569,-0.318014306,0.750478822,0.999609056,-4.600286579,NA
ABCF3,0.42236153,6.558788049,0.418113491,0.675870547,0.999609056,-4.599147637,Metabolism (other)
ABCG2,0.193419179,7.555774972,0.208975731,0.834470221,0.999609056,-4.600670733,Metabolism or Transport (lipid)
ABCG5,-0.59724729,5.483641163,-0.521896551,0.601750606,0.999609056,-4.597891261,Metabolism or Transport (lipid)
ABCG8,1.73125951,6.068801483,1.498870164,0.133929836,0.999609056,-4.590496493,Metabolism or Transport (lipid)
ABHD11,0.427756912,6.213723161,0.393634184,0.693857126,0.999609056,-4.598685571,Metabolism or Transport (lipid)
