Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.86163522,0.996579734,0.114750719,0.164487113,0.912883251,378,"c(""UBASH3B"", ""HSPH1"", ""FUT4"", ""PRKCQ"", ""KRT18"", ""KLF4"", ""DUSP10"", ""CLECL1"", ""PRNP"", ""ESAM"", ""RAG2"", ""CLDN3"", ""LRRC32"", ""ITGAD"", ""TJP1"", ""NFKBID"", ""LAPTM5"", ""HMGB1"", ""CXADR"", ""BTN2A2"", ""BCL2"", ""LRFN4"", ""ADAM19"", ""CBLN1"", ""NPNT"", ""PKP2"", ""PCDHGC3"", ""CHST4"", ""RASGRP1"", ""ZBTB16"", ""TNFSF11"", ""GLMN"", ""PAWR"", ""CD27"", ""SLC7A11"", ""TGFB2"", ""IL4I1"", ""CORO1A"", ""CDHR1"", ""GATA5"", ""ICAM2"", ""HLA-DQB1"", ""EFNB2"", ""PCDHGA10"", ""PCDHGA12"", ""TNFSF4"", ""PCDHGA11"", ""ATP2C1"", ""IGSF9"", ""LGALS1"", ""ITPKB"", ""BVES"", ""PLPP3"", ""PCDHGB7"", 
""CDH15"", ""CEACAM1"", ""CEACAM8"", ""NECTIN1"", ""NINJ1"", ""B2M"", ""TESPA1"", ""NFASC"", ""CEACAM6"", ""SOCS1"", ""NCK2"", ""PTPRU"", ""CAMSAP3"", ""PIK3CB"", ""AKT1"", ""IGSF21"", ""EGR3"", ""LRRC4"", ""SLITRK2"", ""AQP4"", ""STK10"", ""PCDHGC4"", ""LRRC4B"", ""SKAP1"", ""PCDHGA9"", ""CCDC88B"", ""ZDHHC21"", ""PDGFRA"", ""DSG1"", ""PCDHGB6"", ""CCL25"", ""FERMT3"", ""MINK1"", ""SPTA1"", ""MYL12A"", ""NKAP"", ""RAB10"", ""DHPS"", ""VTCN1"", ""HLA-G"", ""CYP1B1"", ""ATP1B2"", ""BCL6"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.017870668,0.992724055,0.352487858,0.271609683,1.358956424,150,"c(""HSPH1"", ""FUT4"", ""PRKCQ"", ""KLF4"", ""DUSP10"", ""CLECL1"", ""PRNP"", ""RAG2"", ""LRRC32"", ""NFKBID"", ""LAPTM5"", ""HMGB1"", ""BTN2A2"", ""CHST4"", ""RASGRP1"", ""ZBTB16"", ""TNFSF11"", ""GLMN"", ""PAWR"", ""CD27"", ""IL4I1"", ""CORO1A"", ""HLA-DQB1"", ""EFNB2"", ""TNFSF4"", ""LGALS1"", ""ITPKB"", ""CEACAM1"", ""B2M"", ""TESPA1"", ""SOCS1"", ""NCK2"", ""AKT1"", ""EGR3"", ""STK10"", ""SKAP1"", ""CCDC88B"", ""ZDHHC21"", ""CCL25"", ""FERMT3"", ""SPTA1"", ""NKAP"", ""DHPS"", ""VTCN1"", ""HLA-G"", ""BCL6"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.019883738,0.992724055,0.352487858,0.255290721,1.310561646,194,"c(""HSPH1"", ""FUT4"", ""PRKCQ"", ""NDNF"", ""DUSP10"", ""IBSP"", ""CLECL1"", ""CDK6"", ""PRKD2"", ""TJP1"", ""NFKBID"", ""HMGB1"", ""BTN2A2"", ""ADAM19"", ""CCDC80"", ""NPNT"", ""CHST4"", ""RASGRP1"", ""ZBTB16"", ""TNFSF11"", ""CD27"", ""TGFB2"", ""IL4I1"", ""RREB1"", ""CORO1A"", ""NRP1"", ""CRKL"", ""HLA-DQB1"", ""EFNB2"", ""COL26A1"", ""TNFSF4"", ""LGALS1"", ""ITPKB"", ""ADGRG1"", ""DNM2"", ""CHRD"", ""PLPP3"", ""B2M"", ""TESPA1"", ""CEACAM6"", ""STX3"", ""SOCS1"", ""NCK2"", ""PTPRU"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.016741295,0.992724055,0.352487858,0.283708181,1.361875638,121,"c(""HSPH1"", ""FUT4"", ""PRKCQ"", ""DUSP10"", ""CLECL1"", ""TJP1"", ""NFKBID"", ""HMGB1"", ""BTN2A2"", ""ADAM19"", ""CHST4"", ""RASGRP1"", ""ZBTB16"", ""TNFSF11"", ""CD27"", ""IL4I1"", ""CORO1A"", ""HLA-DQB1"", ""EFNB2"", ""TNFSF4"", ""LGALS1"", ""ITPKB"", ""PLPP3"", ""B2M"", ""TESPA1"", ""CEACAM6"", ""SOCS1"", ""NCK2"", ""PTPRU"", ""AKT1"", ""EGR3"", ""SKAP1"", ""CCDC88B"", ""SPTA1"", ""NKAP"", ""DHPS"", ""VTCN1"", ""HLA-G"", ""BCL6"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.029972016,0.992724055,0.352487858,0.299788257,1.388007806,100,"c(""HSPH1"", ""FUT4"", ""PRKCQ"", ""DUSP10"", ""CLECL1"", ""NFKBID"", ""HMGB1"", ""BTN2A2"", ""CHST4"", ""RASGRP1"", ""ZBTB16"", ""TNFSF11"", ""CD27"", ""IL4I1"", ""CORO1A"", ""HLA-DQB1"", ""EFNB2"", ""TNFSF4"", ""LGALS1"", ""ITPKB"", ""B2M"", ""TESPA1"", ""SOCS1"", ""NCK2"", ""AKT1"", ""EGR3"", ""SKAP1"", ""CCDC88B"", ""SPTA1"", ""NKAP"", ""DHPS"", ""VTCN1"", ""HLA-G"", ""BCL6"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.006298388,0.992724055,0.407017919,0.239042357,1.307839922,323,"c(""GREM1"", ""PTEN"", ""UBASH3B"", ""HSPH1"", ""FUT4"", ""PRKCQ"", ""NDNF"", ""PPP2R1A"", ""KLF4"", ""DUSP10"", ""IBSP"", ""CXCR4"", ""CLECL1"", ""CDK6"", ""PRKD2"", ""PRNP"", ""RAG2"", ""LRRC32"", ""CLASP1"", ""TJP1"", ""NFKBID"", ""LAPTM5"", ""HMGB1"", ""BTN2A2"", ""BCL2"", ""LPXN"", ""ADAM19"", ""CCDC80"", ""NPNT"", ""PIK3R1"", ""CHST4"", ""RASGRP1"", ""PLAU"", ""ZBTB16"", ""TNFSF11"", ""GLMN"", ""PAWR"", ""CD27"", ""TGFB2"", ""IL4I1"", ""RREB1"", ""CORO1A"", ""NRP1"", ""CRKL"", ""ADAMDEC1"", ""HLA-DQB1"", ""EFNB2"", ""COL26A1"", ""TNFSF4"", ""LGALS1"", ""ITPKB"", ""ADGRG1"", ""DNM2"", ""NF1"", ""CHRD"", 
""PLPP3"", ""CEACAM1"", ""B2M"", ""TESPA1"", ""CORO1C"", ""DAPK3"", ""PTPRA"", ""CEACAM6"", ""STX3"", ""SOCS1"", ""COL1A1"", ""TACSTD2"", ""NCK2"", ""PTPRU"", ""FES"", ""CAMSAP3"", ""PIK3CB"", ""AKT1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.119608606,0.992724055,0.287805131,0.227965812,1.167759663,188,"c(""UBASH3B"", ""HSPH1"", ""FUT4"", ""PRKCQ"", ""KLF4"", ""DUSP10"", ""CLECL1"", ""PRNP"", ""RAG2"", ""LRRC32"", ""TJP1"", ""NFKBID"", ""LAPTM5"", ""HMGB1"", ""BTN2A2"", ""ADAM19"", ""CHST4"", ""RASGRP1"", ""ZBTB16"", ""TNFSF11"", ""GLMN"", ""PAWR"", ""CD27"", ""IL4I1"", ""CORO1A"", ""HLA-DQB1"", ""EFNB2"", ""TNFSF4"", ""LGALS1"", ""ITPKB"", ""PLPP3"", ""CEACAM1"", ""B2M"", ""TESPA1"", ""CEACAM6"", ""SOCS1"", ""NCK2"", ""PTPRU"", ""AKT1"", ""EGR3"", ""SKAP1"", ""CCDC88B"", ""ZDHHC21"", ""CCL25"", ""FERMT3"", ""MINK1"", ""SPTA1"", ""NKAP"", ""DHPS"", ""VTCN1"", ""HLA-G"", ""BCL6"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.012175337,0.992724055,0.380730401,-0.264810633,-1.306339452,420,"c(""MYH9"", ""LDB3"", ""NECTIN2"", ""CDH3"", ""ARPC3"", ""CLDN7"", ""MPRIP"", ""ACTN4"", ""BAIAP2"", ""CADM4"", ""CORO2B"", ""TJP3"", ""PCBP2"", ""EFS"", ""RPS8"", ""RPLP1"", ""CDC42"", ""RPL12"", ""CRB2"", ""LSR"", ""CLDN20"", ""RPL22"", ""TSPAN4"", ""NPHP4"", ""EZR"", ""AQP7"", ""PLEC"", ""RPS3A"", ""VCL"", ""ARF1"", ""TJP2"", ""WDR1"", ""PPL"", ""ITGA11"", ""MYH2"", ""RPS10"", ""FGFR4"", ""L1CAM"", ""PANX3"", ""REXO2"", ""CCDC85C"", ""PLEKHG5"", ""ACTN1"", ""FXYD1"", ""ADD3"", ""RASIP1"", ""LIMD1"", ""EPHA4"", ""PAK4"", ""EPPK1"", ""SRP68"", ""SPECC1L"", ""PPFIA1"", ""DIXDC1"", ""TRAF4"", ""SGSM3"", ""CLDN25"", 
""PARK7"", ""SLC2A1"", ""HACD3"", ""RPS18"", ""BCAR1"", ""TLN2"", ""ARPC5L"", ""PPP1CC"", ""RPL8"", ""YWHAG"", ""RPL7A"", ""HMGA1"", ""TGM2"", ""CDSN"", ""ARHGAP17"", ""FRMD4B"", ""GJC1"", ""PKP3"", ""AJAP1"", ""ITGB8"", ""LIMS1"", ""ITGA2B"", ""SLC4A2"", ""RPL30"", ""FLNA"", ""CLDN1"", ""ARL2"", ""PDLIM7"", ""CYTH1"", ""CSK"", ""AMOTL2"", ""UBN1"", ""RPL13A"", ""PRKCZ"", ""SYNM"", ""TSPAN9"", ""CLDN4"", ""PTK2"", ""EVL"", ""CD81"", ""FLOT2"", ""ITGB4"", ""CFL1"", ""SRC"", ""ACTG1"", ""CAPN1"", ""ASAP3"", ""NME2"", ""MAPK1"", ""PDPK1"", ""RPL19"", ""CTNNB1"", ""SYNPO"", ""GJB2"", ""PKP1"", ""CAPN2"", ""C1QTNF5"", 
""MAP2K2"", ""SYNE2"", ""SMAD7"", ""CTNNA1"", ""GJA1"", ""FZD2"", ""CLTC"", ""VASP"", ""NF2"", ""AJUBA"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.031486146,0.992724055,0.287857117,-0.275368221,-1.293758295,245,"c(""MYH9"", ""NECTIN2"", ""ARPC3"", ""MPRIP"", ""ACTN4"", ""CORO2B"", ""PCBP2"", ""EFS"", ""RPS8"", ""RPLP1"", ""CDC42"", ""RPL12"", ""RPL22"", ""TSPAN4"", ""EZR"", ""PLEC"", ""RPS3A"", ""VCL"", ""ARF1"", ""ITGA11"", ""RPS10"", ""L1CAM"", ""REXO2"", ""ACTN1"", ""LIMD1"", ""PAK4"", ""EPPK1"", ""SRP68"", ""PPFIA1"", ""DIXDC1"", ""HACD3"", ""RPS18"", ""BCAR1"", ""TLN2"", ""ARPC5L"", ""PPP1CC"", ""RPL8"", ""YWHAG"", ""RPL7A"", ""HMGA1"", ""TGM2"", ""ITGB8"", ""LIMS1"", ""ITGA2B"", ""SLC4A2"", ""RPL30"", ""FLNA"", ""ARL2"", ""PDLIM7"", ""RPL13A"", ""TSPAN9"", ""PTK2"", ""EVL"", ""CD81"", ""FLOT2"", ""ITGB4"", ""CFL1"", 
""SRC"", ""ACTG1"", ""CAPN1"", ""ASAP3"", ""NME2"", ""MAPK1"", ""PDPK1"", ""RPL19"", ""CTNNB1"", ""CAPN2"", ""MAP2K2"", ""SYNE2"", ""CTNNA1"", ""GJA1"", ""FZD2"", ""CLTC"", ""VASP"", ""AJUBA"", ""PXN"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.497354497,0.992838808,0.142056644,0.181118558,0.984840494,297,"c(""GREM1"", ""FOLR3"", ""FUT4"", ""IL1R1"", ""MET"", ""CXCR4"", ""LRP8"", ""MSLN"", ""PAM"", ""FASLG"", ""MOG"", ""SORT1"", ""PRNP"", ""LRRC32"", ""ITGAD"", ""MFGE8"", ""CD8A"", ""HMGB1"", ""RAET1G"", ""BTN2A2"", ""LRFN4"", ""CD22"", ""KRT4"", ""KLRC2"", ""HNRNPU"", ""VAMP3"", ""ACVR2A"", ""PLAU"", ""NTRK1"", ""GPR37"", ""CD27"", ""SLC7A11"", ""KCNA1"", ""INTU"", ""IL12RB2"", ""ABCA7"", ""KCNN2"", ""LAMP1"", ""SLC1A1"", ""TNFSF4"", ""INSR"", ""ADAMTS13"", ""CEACAM1"", ""CEACAM8"", ""B2M"", ""PICALM"", ""SPA17"", ""SDC2"", ""CEACAM6"", ""TRPV2"", ""B4GALT1"", ""KCNH2"", ""CTSK"", ""ACKR2"", ""IGSF21"", ""F3"", 
""SULF1"", ""AQP4"", ""SLAMF7"", ""F2"", ""PROCR"", ""MELTF"", ""IGLL1"", ""PDGFRA"", ""RTN4RL1"", ""FERMT2"", ""ADAM17"", ""VTCN1"", ""IDE"", ""ADGRA3"", ""HLA-G"", ""ATP1B2"", ""TGFBR3L"", ""CTSB"", ""SCARB1"", ""ACE2"", ""ROR2"", ""SLC7A5"", ""ERP29"", ""KLRD1"", ""PLAT"", ""HLA-DPB1"", ""FGFR3"", ""PSEN2"", ""CX3CL1"", ""KCNA5"", ""CCR3"", ""HSPA5"", ""IGSF3"")"
