Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.421760391,0.946670795,0.062939469,-0.202785252,-1.01552647,389,"c(""MYH9"", ""PCDH12"", ""TRPV4"", ""CSK"", ""FOXA1"", ""TJP3"", ""CELA2A"", ""ITGA2B"", ""TNIP1"", ""NPHP4"", ""CRB2"", ""FOXJ1"", ""MYL9"", ""ZFP36L1"", ""PRKAR1A"", ""PTAFR"", ""ST3GAL4"", ""STXBP3"", ""TLN2"", ""PTPN23"", ""FADD"", ""SH2B3"", ""STXBP1"", ""VMP1"", ""NECTIN2"", ""IL1B"", ""NOTCH4"", ""PCDHB7"", ""HLA-A"", ""SIRPG"", ""LIMS1"", ""CLDN17"", ""TNFSF9"", ""ACTN1"", ""CLEC4G"", ""PPP1CA"", ""CLDN7"", ""TARM1"", ""HLA-E"", ""CLDN4"", ""CNN3"", ""VCL"", ""PSEN1"", ""CDH1"", ""AMIGO3"", ""BMP4"", ""NFAT5"", ""ITGA6"", ""CDK5R1"", ""LRFN3"", ""DNAJB6"", ""PTK2"", ""SHC1"", ""FLNA"", ""GP1BA"", 
""FGA"", ""CLDN20"", ""BSG"", ""JAK1"", ""DLG5"", ""RAB10"", ""CLDN19"", ""MAPK14"", ""SOX9"", ""PTPRS"", ""ITGA3"", ""FSTL3"", ""NRARP"", ""LAMB1"", ""VSIG4"", ""CBFB"", ""CDHR2"", ""SDK2"", ""ROBO3"", ""MYADM"", ""RC3H1"", ""VEZT"", ""CASP3"", ""ITGAL"", ""LAMA3"", ""ARG1"", ""CDHR5"", ""SOCS5"", ""NINJ2"", ""ITGB7"", ""ELMO2"", ""CD9"", ""BOC"", ""CLDN6"", ""CTLA4"", ""ACTG1"", ""HLA-DMA"", ""ZBTB1"", ""CLSTN1"", ""JAM3"", ""SHH"", ""CLIC1"", ""TJP2"", ""DOCK8"", ""APOA1"", ""PAK4"", ""MYOT"", ""FOXO3"", ""GOLPH3"", ""CDH3"", ""DLG4"", ""NF2"", ""TMOD3"", ""SOX13"", ""HLA-DPB1"", ""SERPINF2"", ""P2RY12"", 
""EPHB3"", ""SOX4"", ""CD81"", ""HES1"", ""LEF1"", ""C1QTNF1"", ""MUC21"", ""EZR"", ""ILDR2"", ""VEGFA"", ""ANXA2"", ""BAD"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.057046716,0.808085766,0.321775918,0.252279973,1.250917753,158,"c(""TNFSF4"", ""CD274"", ""FERMT3"", ""IDO1"", ""BMP7"", ""BCL10"", ""DUSP10"", ""SFTPD"", ""NCK1"", ""HSPH1"", ""SIRPB1"", ""TYK2"", ""RAG2"", ""PAG1"", ""ADD2"", ""CD24"", ""IHH"", ""TNF"", ""BCL6"", ""HSPD1"", ""HMGB1"", ""KLF4"", ""CORO1A"", ""FUT4"", ""GLMN"", ""LYN"", ""FCGR2B"", ""SDC4"", ""ZDHHC21"", ""PELI1"", ""EXT1"", ""PRKCZ"", ""IGF2"", ""AP3D1"", ""PRKCQ"", ""IRAK1"", ""ITPKB"", ""PODXL2"", ""TNFSF14"", ""NT5E"", ""HLA-DMB"", ""FGL2"", ""CCL19"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.34,0.941998733,0.150169802,0.199823686,1.037520481,203,"c(""ITGA2"", ""TNFSF4"", ""CD274"", ""BMP7"", ""BCL10"", ""DUSP10"", ""NCK1"", ""HSPH1"", ""SIRPB1"", ""TYK2"", ""CCDC80"", ""PODXL"", ""CD24"", ""IHH"", ""TNF"", ""BCL6"", ""COL16A1"", ""VAV3"", ""HSPD1"", ""ADGRG1"", ""HMGB1"", ""CORO1A"", ""CALR"", ""COL26A1"", ""FUT4"", ""LYN"", ""CX3CL1"", ""IFT74"", ""SDC4"", ""GCNT2"", ""PTPRU"", ""TGFB2"", ""PRKCZ"", ""IGF2"", ""AP3D1"", ""DNM2"", ""NDNF"", ""PRKCQ"", ""CDK6"", ""IRAK1"", ""ITPKB"", ""MAP4K4"", ""FUT1"", ""TNFSF14"", ""SOX2"", ""HLA-DMB"", ""CCL19"", ""CHRD"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.103092784,0.863714564,0.261663522,0.252955676,1.202685256,120,"c(""TNFSF4"", ""CD274"", ""BMP7"", ""BCL10"", ""DUSP10"", ""NCK1"", ""HSPH1"", ""SIRPB1"", ""TYK2"", ""PODXL"", ""CD24"", ""IHH"", ""TNF"", ""BCL6"", ""HSPD1"", ""HMGB1"", ""CORO1A"", ""FUT4"", ""LYN"", ""CX3CL1"", ""GCNT2"", ""PTPRU"", ""PRKCZ"", ""IGF2"", ""AP3D1"", ""PRKCQ"", ""IRAK1"", ""ITPKB"", ""TNFSF14"", ""SOX2"", ""HLA-DMB"", ""CCL19"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.1414791,0.885960966,0.213927855,0.26205723,1.201596322,96,"c(""TNFSF4"", ""CD274"", ""BCL10"", ""DUSP10"", ""NCK1"", ""HSPH1"", ""SIRPB1"", ""TYK2"", ""CD24"", ""IHH"", ""TNF"", ""BCL6"", ""HSPD1"", ""HMGB1"", ""CORO1A"", ""FUT4"", ""LYN"", ""PRKCZ"", ""IGF2"", ""AP3D1"", ""PRKCQ"", ""IRAK1"", ""ITPKB"", ""TNFSF14"", ""HLA-DMB"", ""CCL19"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.903553299,0.997526052,0.098212335,0.160358349,0.889688392,346,"c(""ITGA2"", ""TNFSF4"", ""CD274"", ""FERMT3"", ""IDO1"", ""PPP2R1A"", ""BMP7"", ""BCL10"", ""DUSP10"", ""SFTPD"", ""EPHA2"", ""GPR4"", ""NCK1"", ""HSPH1"", ""SIRPB1"", ""TYK2"", ""RAG2"", ""AP1AR"", ""CCDC80"", ""PAG1"", ""PODXL"", ""CD24"", ""IHH"", ""TNF"", ""BCL6"", ""COL16A1"", ""VAV3"", ""HSPD1"", ""ADGRG1"", ""HMGB1"", ""KLF4"", ""SIPA1"", ""PIK3R1"", ""CORO1A"", ""PCDH8"", ""C2CD4A"", ""CALR"", ""COL26A1"", ""FUT4"", ""GLMN"", ""FBLN1"", ""LYN"", ""CX3CL1"", ""IFT74"", ""FCGR2B"", ""SDC4"", ""ZDHHC21"", ""GCNT2"", ""PELI1"", ""AKNA"", ""PTPRU"", ""PKHD1"", ""TGFB2"", ""PRKCZ"", ""IGF2"", ""AP3D1"", 
""DNM2"", ""NDNF"", ""PRKCQ"", ""TBCD"", ""CDK6"", ""IRAK1"", ""ITPKB"", ""MAP4K4"", ""RCC2"", ""FUT1"", ""LPXN"", ""TNFSF14"", ""MELTF"", ""SOX2"", ""PPP1CB"", ""HLA-DMB"", ""FGL2"", ""CCL19"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.439215686,0.946670795,0.128788713,0.193156052,1.002293402,201,"c(""TNFSF4"", ""CD274"", ""FERMT3"", ""IDO1"", ""BMP7"", ""BCL10"", ""DUSP10"", ""SFTPD"", ""NCK1"", ""HSPH1"", ""SIRPB1"", ""TYK2"", ""RAG2"", ""PAG1"", ""PODXL"", ""CD24"", ""IHH"", ""TNF"", ""BCL6"", ""HSPD1"", ""HMGB1"", ""KLF4"", ""CORO1A"", ""PCDH8"", ""FUT4"", ""GLMN"", ""LYN"", ""CX3CL1"", ""FCGR2B"", ""SDC4"", ""ZDHHC21"", ""GCNT2"", ""PELI1"", ""AKNA"", ""PTPRU"", ""PKHD1"", ""PRKCZ"", ""IGF2"", ""AP3D1"", ""PRKCQ"", ""IRAK1"", ""ITPKB"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.370948379,0.941998733,0.068311086,-0.203127897,-1.032269682,461,"c(""MYH9"", ""PCDH12"", ""TRPV4"", ""CSK"", ""TJP3"", ""ITGA2B"", ""NPHP4"", ""CRB2"", ""PXN"", ""ARPC3"", ""SYMPK"", ""GJA4"", ""CRB3"", ""DBN1"", ""SYNPO"", ""EFS"", ""AMOTL2"", ""NCSTN"", ""EPPK1"", ""SLC2A1"", ""CDC42EP4"", ""TLN2"", ""AQP7"", ""ACTN4"", ""ARL2"", ""ARF1"", ""CORO2B"", ""NECTIN2"", ""IQGAP1"", ""TRAF4"", ""LIMS1"", ""CLDN17"", ""ACTN1"", ""CCDC85C"", ""PPP1CA"", ""CLDN7"", ""GNA12"", ""SGSM3"", ""CLDN4"", ""CNN3"", ""VCL"", ""RPL8"", ""CDH1"", ""MARCKS"", ""PCBP2"", ""UBN1"", ""RPS18"", ""C1QTNF5"", ""RPS3A"", ""HACD3"", ""TSPAN4"", ""ASAP3"", ""ZYX"", ""ITGA6"", ""CD99L2"", ""CPNE3"", 
""FHL3"", ""PTK2"", ""RPLP1"", ""VASP"", ""ITGB1BP1"", ""FLNA"", ""CLDN20"", ""PRKAR2A"", ""MMP14"", ""BSG"", ""JAK1"", ""HSPG2"", ""RAB10"", ""SYNM"", ""PLXDC1"", ""MYH2"", ""GRB2"", ""CLDN19"", ""EVL"", ""AHNAK"", ""ITGA3"", ""RPL38"", ""TSPAN33"", ""PDLIM7"", ""CDC42"", ""PI4KA"", ""CSRP2"", ""TRIOBP"", ""ATP1A2"", ""PACSIN2"", ""PPP1CC"", ""PLEC"", ""PPFIA1"", ""DCAF6"", ""TWF1"", ""MYADM"", ""VEZT"", ""SAV1"", ""ITGB7"", ""DNMBP"", ""CCND1"", ""WDR1"", ""RPS2"", ""CD9"", ""SPTBN4"", ""LSR"", ""CLDN6"", ""DIXDC1"", ""ACTG1"", ""FLII"", ""MPZL1"", ""ZFYVE21"", ""AJAP1"", ""PARVB"", ""JAM3"", ""HYOU1"", 
""CYTH2"", ""FAM107A"", ""TJP2"", ""MICALL2"", ""USP53"", ""GJA1"", ""GNA13"", ""SDCCAG8"", ""PAK4"", ""HMGA1"", ""CDH3"", ""SORBS1"", ""NF2"", ""TMOD3"", ""FLNB"", ""FXYD1"", ""CD81"", ""PANX2"", ""CLASP1"", ""PDZD3"", ""SPTBN2"", ""HSPA1B"", ""EZR"", ""TSPAN9"", ""ILDR2"", ""MAPK1"", ""VEGFA"", ""CNN2"", ""ANXA2"", ""KCNA5"", ""RPL22"", ""TNS3"", ""YWHAG"", ""LIN7B"", ""PKP2"", ""ANXA6"", ""CTNNB1"", ""RAC1"", ""GRB7"", ""MYO1E"", ""PDLIM5"", ""BCAR3"", ""PDIA3"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.376903553,0.941998733,0.070281284,-0.213799902,-1.031864414,270,"c(""MYH9"", ""TRPV4"", ""ITGA2B"", ""PXN"", ""ARPC3"", ""EFS"", ""NCSTN"", ""EPPK1"", ""TLN2"", ""ACTN4"", ""ARL2"", ""ARF1"", ""CORO2B"", ""NECTIN2"", ""IQGAP1"", ""LIMS1"", ""ACTN1"", ""GNA12"", ""CNN3"", ""VCL"", ""RPL8"", ""MARCKS"", ""PCBP2"", ""RPS18"", ""RPS3A"", ""HACD3"", ""TSPAN4"", ""ASAP3"", ""ZYX"", ""ITGA6"", ""CD99L2"", ""CPNE3"", ""FHL3"", ""PTK2"", ""RPLP1"", ""VASP"", ""ITGB1BP1"", ""FLNA"", ""PRKAR2A"", ""MMP14"", ""BSG"", ""JAK1"", ""HSPG2"", ""RAB10"", ""EVL"", ""AHNAK"", ""ITGA3"", ""RPL38"", ""PDLIM7"", ""CDC42"", ""PI4KA"", ""CSRP2"", ""TRIOBP"", ""PACSIN2"", ""PPP1CC"", ""PLEC"", ""PPFIA1"", 
""DCAF6"", ""TWF1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.956629492,1,0.024849388,-0.160532832,-0.792280884,333,"c(""SCUBE3"", ""P2RX1"", ""TRPV4"", ""ASGR1"", ""SLC34A1"", ""ITGA2B"", ""ENO1"", ""TDGF1"", ""CACNG4"", ""PRLR"", ""RPS6KB1"", ""MS4A2"", ""SLC39A6"", ""HYAL2"", ""TNFRSF10D"", ""MR1"", ""NECTIN2"", ""NOTCH4"", ""HLA-A"", ""TMEM8B"", ""LY6G6C"", ""CLEC4G"", ""ACKR4"", ""CD69"", ""HLA-E"", ""PSEN1"", ""TGFBR3L"", ""LRP4"", ""IL9R"", ""HM13"", ""RTP1"", ""HSPA2"", ""ADAM30"", ""IL2RG"", ""ITGA6"", ""LRFN3"", ""TREML4"", ""CD99L2"", ""STRC"", ""ADAMTS9"", ""SLC7A5"", ""GP1BA"", ""FGA"", ""SMIM1"", ""LRPAP1"", ""AQP11"", ""SLC22A11"", ""LY6G5C"", ""ANXA4"", ""ITGA3"", ""TSPAN33"", ""IZUMO1R"", ""FGFR2"", 
""SEMA7A"", ""CD63"", ""CD248"", ""TNFRSF1A"", ""CD3D"", ""ITGAL"", ""BTN3A3"", ""TSPAN14"", ""SLC11A2"", ""CLEC10A"", ""CD3G"", ""ITGB7"")"
