Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.835599506,1,0.031636972,-0.175742799,-0.864223914,364,"c(""SOCS1"", ""FLRT3"", ""P2RY12"", ""SCRIB"", ""BCL10"", ""FGL2"", ""TYRO3"", ""GTPBP4"", ""CEACAM5"", ""LCK"", ""VAV1"", ""CX3CL1"", ""MYADM"", ""RC3H1"", ""MAPK14"", ""SOX12"", ""HLA-DMA"", ""CDHR2"", ""NECTIN1"", ""LRRC4B"", ""CD9"", ""BLK"", ""ITGA7"", ""ICAM1"", ""GLI2"", ""NINJ1"", ""IL12RB1"", ""MYPN"", ""DUSP3"", ""PDCD1LG2"", ""NPHP1"", ""SPTA1"", ""HLX"", ""MIA3"", ""MINK1"", ""IDO1"", ""ITGAV"", ""IL27RA"", ""BOC"", ""DSCAML1"", ""CDH5"", ""YES1"", ""WNT3A"", ""DPP4"", ""ADTRP"", ""LEP"", ""RAB10"", ""CD84"", ""VSTM2L"", ""MYB"", ""ITCH"", ""FOXP3"", ""BAIAP2"", ""CD28"", ""SLAMF1"", ""SOX13"", 
""PODXL"", ""PTPRC"", ""SOX9"", ""CSRP1"", ""PTPN23"", ""NECTIN2"", ""TNFSF4"", ""XBP1"", ""CLDN12"", ""ITGA11"", ""PIK3R6"", ""PVR"", ""RC3H2"", ""TGFB1"", ""IGFBP2"", ""DSC2"", ""ZP3"", ""NPNT"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.311173975,1,0.086034724,-0.236878145,-1.069038536,156,"c(""SOCS1"", ""SCRIB"", ""BCL10"", ""FGL2"", ""LCK"", ""VAV1"", ""RC3H1"", ""SOX12"", ""HLA-DMA"", ""ICAM1"", ""GLI2"", ""IL12RB1"", ""DUSP3"", ""PDCD1LG2"", ""SPTA1"", ""HLX"", ""MIA3"", ""IDO1"", ""IL27RA"", ""YES1"", ""DPP4"", ""ADTRP"", ""LEP"", ""MYB"", ""ITCH"", ""FOXP3"", ""CD28"", ""SLAMF1"", ""SOX13"", ""PTPRC"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.594482759,1,0.052482762,-0.203452414,-0.939782646,193,"c(""SOCS1"", ""P2RY12"", ""BCL10"", ""KDR"", ""LCK"", ""VAV1"", ""CX3CL1"", ""MYADM"", ""SFRP1"", ""SOX12"", ""HLA-DMA"", ""BAG4"", ""GLI2"", ""IL12RB1"", ""FBLN2"", ""ITGB1BP1"", ""PDCD1LG2"", ""TPM1"", ""SPTA1"", ""HLX"", ""ITGAV"", ""IL27RA"", ""ECM2"", ""YES1"", ""WNT3A"", ""EMILIN1"", ""DPP4"", ""LEP"", ""MYB"", ""FOXP3"", ""CRK"", ""CD28"", ""SLAMF1"", ""SOX13"", ""PODXL"", ""PTPRC"", ""RRAS"", ""PTPN23"", ""TNFSF4"", ""XBP1"", ""PIK3R6"", ""EFEMP2"", ""IGFBP2"", ""ZP3"", ""NPNT"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.393895349,1,0.074927882,-0.235924311,-1.027158741,125,"c(""SOCS1"", ""BCL10"", ""LCK"", ""VAV1"", ""CX3CL1"", ""SOX12"", ""HLA-DMA"", ""GLI2"", ""IL12RB1"", ""PDCD1LG2"", ""SPTA1"", ""HLX"", ""IL27RA"", ""YES1"", ""WNT3A"", ""DPP4"", ""LEP"", ""MYB"", ""FOXP3"", ""CD28"", ""SLAMF1"", ""SOX13"", ""PODXL"", ""PTPRC"", ""PTPN23"", ""TNFSF4"", ""XBP1"", ""PIK3R6"", ""IGFBP2"", ""ZP3"", ""CCDC88B"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.247376312,1,0.102821843,-0.264910338,-1.128828989,105,"c(""SOCS1"", ""BCL10"", ""LCK"", ""VAV1"", ""SOX12"", ""HLA-DMA"", ""GLI2"", ""IL12RB1"", ""PDCD1LG2"", ""SPTA1"", ""HLX"", ""IL27RA"", ""YES1"", ""DPP4"", ""LEP"", ""MYB"", ""FOXP3"", ""CD28"", ""SLAMF1"", ""SOX13"", ""PTPRC"", ""TNFSF4"", ""XBP1"", ""PIK3R6"", ""IGFBP2"", ""ZP3"", ""CCDC88B"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.651898734,1,0.044329345,-0.191240123,-0.928406224,314,"c(""SOCS1"", ""P2RY12"", ""SCRIB"", ""BCL10"", ""FGL2"", ""GTPBP4"", ""KDR"", ""LCK"", ""VAV1"", ""CX3CL1"", ""MYADM"", ""RC3H1"", ""MAPK14"", ""SFRP1"", ""SOX12"", ""HLA-DMA"", ""BAG4"", ""VTN"", ""CD9"", ""BLK"", ""GLI2"", ""IL12RB1"", ""FBLN2"", ""DUSP3"", ""ITGB1BP1"", ""PDCD1LG2"", ""TPM1"", ""SPTA1"", ""HLX"", ""MIA3"", ""MINK1"", ""IDO1"", ""ITGAV"", ""IL27RA"", ""ECM2"", ""YES1"", ""WNT3A"", ""TESC"", ""EMILIN1"", ""DPP4"", ""ADTRP"", ""MUC1"", ""LEP"", ""SLK"", ""MYB"", ""ITCH"", ""FOXP3"", ""CRK"", ""CD28"", ""SLAMF1"", ""GPR4"", ""SOX13"", ""PODXL"", ""PTPRC"", ""RASA1"", ""SOX9"", ""RRAS"", ""PTPN23"", 
""PPP1R12A"", ""TNFSF4"", ""CORO1C"", ""XBP1"", ""PIK3R6"", ""RC3H2"", ""TGFB1"", ""EFEMP2"", ""IGFBP2"", ""ZP3"", ""NPNT"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.159279778,1,0.12687573,-0.255000326,-1.173138903,186,"c(""SOCS1"", ""SCRIB"", ""BCL10"", ""FGL2"", ""GTPBP4"", ""LCK"", ""VAV1"", ""CX3CL1"", ""MYADM"", ""RC3H1"", ""MAPK14"", ""SOX12"", ""HLA-DMA"", ""CD9"", ""BLK"", ""GLI2"", ""IL12RB1"", ""DUSP3"", ""PDCD1LG2"", ""SPTA1"", ""HLX"", ""MIA3"", ""MINK1"", ""IDO1"", ""IL27RA"", ""YES1"", ""WNT3A"", ""DPP4"", ""ADTRP"", ""LEP"", ""MYB"", ""ITCH"", ""FOXP3"", ""CD28"", ""SLAMF1"", ""SOX13"", ""PODXL"", ""PTPRC"", ""PTPN23"", ""TNFSF4"", ""XBP1"", ""PIK3R6"", ""RC3H2"", ""TGFB1"", ""IGFBP2"", ""ZP3"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.015473463,1,0.380730401,-0.264328484,-1.305629429,385,"c(""ADAM17"", ""PARVG"", ""RPS11"", ""DES"", ""FLRT1"", ""FLRT3"", ""EPPK1"", ""ANXA6"", ""GJB6"", ""RPS10"", ""WASF2"", ""VANGL2"", ""NCSTN"", ""RPS17"", ""RPS8"", ""SCRIB"", ""HNRNPK"", ""KIF23"", ""OXTR"", ""RHO"", ""CD151"", ""VAV1"", ""CLTC"", ""MYADM"", ""CBL"", ""MTDH"", ""NECTIN1"", ""CD9"", ""SYMPK"", ""TIAM1"", ""ICAM1"", ""PDLIM7"", ""ARMC5"", ""ALKBH6"", ""PDXP"", ""RPL8"", ""ITGB1BP1"", ""CAP1"", ""EHD3"", ""RPS4X"", ""HSPA5"", ""NPHP1"", ""ADD1"", ""EVPL"", ""RPL37A"", ""LASP1"", ""ITGAV"", ""RPS5"", ""CNTNAP1"", ""CDH5"", ""YES1"", ""CDCA3"", ""UBOX5"", ""DPP4"", ""SNAP23"", ""TPM4"", ""RAB10"", 
""SLC2A2"", ""YWHAQ"", ""VIM"", ""KIAA1210"", ""THSD1"", ""BAIAP2"", ""PDPK1"", ""PTK7"", ""PODXL"", ""OCEL1"", ""PTPRC"", ""FLII"", ""UBN1"", ""PATJ"", ""ZFYVE21"", ""VAPA"", ""CSRP1"", ""RRAS"", ""FAP"", ""MXRA8"", ""P2RX7"", ""NECTIN2"", ""PPP1R12A"", ""CDC42BPA"", ""TWF1"", ""MPP2"", ""CORO1C"", ""CLDN12"", ""ITGA11"", ""PVR"", ""IL1RL1"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.004401918,1,0.407017919,-0.312775644,-1.470288773,218,"c(""ADAM17"", ""PARVG"", ""RPS11"", ""FLRT1"", ""FLRT3"", ""EPPK1"", ""ANXA6"", ""RPS10"", ""NCSTN"", ""RPS17"", ""RPS8"", ""HNRNPK"", ""KIF23"", ""CD151"", ""CLTC"", ""CBL"", ""CD9"", ""ICAM1"", ""PDLIM7"", ""ARMC5"", ""ALKBH6"", ""RPL8"", ""ITGB1BP1"", ""CAP1"", ""EHD3"", ""RPS4X"", ""HSPA5"", ""ADD1"", ""RPL37A"", ""LASP1"", ""ITGAV"", ""RPS5"", ""YES1"", ""UBOX5"", ""DPP4"", ""SNAP23"", ""TPM4"", ""RAB10"", ""YWHAQ"", ""VIM"", ""THSD1"", ""PDPK1"", ""PTK7"", ""PTPRC"", ""FLII"", ""ZFYVE21"", ""CSRP1"", ""RRAS"", ""FAP"", ""NECTIN2"", ""PPP1R12A"", ""TWF1"", ""CORO1C"", ""ITGA11"", ""PVR"", ""IL1RL1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.571428571,1,0.049490487,-0.196552869,-0.96378936,345,"c(""ADAM17"", ""BCAM"", ""DUOX2"", ""HYAL2"", ""P2RY12"", ""FOLR3"", ""THBD"", ""TYRO3"", ""CD151"", ""KDR"", ""LAMP1"", ""CEACAM5"", ""CYP2W1"", ""APMAP"", ""PPFIA4"", ""CX3CL1"", ""FCRL5"", ""SFRP1"", ""MST1R"", ""HLA-DMA"", ""CD9"", ""CLEC17A"", ""ITGA7"", ""RAET1E"", ""CD226"", ""ICAM1"", ""NRROS"", ""PHB2"", ""IL12RB1"", ""CNTFR"", ""PSEN2"", ""PDCD1LG2"", ""HSPA5"", ""ASIC1"", ""ITGAV"", ""CSF3R"", ""IL27RA"", ""VASN"", ""TMEM8B"", ""DSCAML1"", ""CDH5"", ""WNT3A"", ""NDP"", ""LRP4"", ""PDGFA"", ""DPP4"", ""ADTRP"", ""AMBP"", ""CD84"", ""TPO"", ""USP14"", ""GPR37"", ""IL2RB"", ""VAMP3"", ""CD28"", ""SLAMF1"", 
""CACNG2"", ""CLU"", ""BACE1"", ""PTPRC"", ""ELSPBP1"", ""ABCB1"", ""FAP"", ""LAMP3"", ""MXRA8"", ""DNAI2"", ""P2RX7"", ""NECTIN2"", ""TNFSF4"", ""RSPO2"", ""ITGA11"", ""PVR"", ""IL1RL1"", ""RC3H2"", ""TGFB1"")"
