Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.926073926,1,0.012890183,-0.320798099,-0.873139729,167,"c(""SOCS1"", ""FLRT3"", ""P2RY12"", ""SCRIB"", ""BCL10"", ""FGL2"", ""TYRO3"", ""GTPBP4"", ""CEACAM5"", ""LCK"", ""VAV1"", ""CX3CL1"", ""MYADM"", ""RC3H1"", ""MAPK14"", ""SOX12"", ""HLA-DMA"", ""CDHR2"", ""NECTIN1"", ""LRRC4B"", ""CD9"", ""BLK"", ""ITGA7"", ""ICAM1"", ""GLI2"", ""NINJ1"", ""IL12RB1"", ""MYPN"", ""DUSP3"", ""PDCD1LG2"", ""NPHP1"", ""SPTA1"", ""HLX"", ""MIA3"", ""MINK1"", ""IDO1"", ""ITGAV"", ""IL27RA"", ""BOC"", ""DSCAML1"", ""CDH5"", ""YES1"", ""WNT3A"", ""DPP4"", ""ADTRP"", ""LEP"", ""RAB10"", ""CD84"", ""VSTM2L"", ""MYB"", ""ITCH"", ""FOXP3"", ""BAIAP2"", ""CD28"", ""SLAMF1"", ""SOX13"", 
""PODXL"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.608391608,1,0.036608222,-0.365113382,-0.965668359,80,"c(""SOCS1"", ""SCRIB"", ""BCL10"", ""FGL2"", ""LCK"", ""VAV1"", ""RC3H1"", ""SOX12"", ""HLA-DMA"", ""ICAM1"", ""GLI2"", ""IL12RB1"", ""DUSP3"", ""PDCD1LG2"", ""SPTA1"", ""HLX"", ""MIA3"", ""IDO1"", ""IL27RA"", ""YES1"", ""DPP4"", ""ADTRP"", ""LEP"", ""MYB"", ""ITCH"", ""FOXP3"", ""CD28"", ""SLAMF1"", ""SOX13"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.69030969,1,0.030560814,-0.354520207,-0.941244965,91,"c(""SOCS1"", ""P2RY12"", ""BCL10"", ""KDR"", ""LCK"", ""VAV1"", ""CX3CL1"", ""MYADM"", ""SFRP1"", ""SOX12"", ""HLA-DMA"", ""BAG4"", ""GLI2"", ""IL12RB1"", ""FBLN2"", ""ITGB1BP1"", ""PDCD1LG2"", ""TPM1"", ""SPTA1"", ""HLX"", ""ITGAV"", ""IL27RA"", ""ECM2"", ""YES1"", ""WNT3A"", ""EMILIN1"", ""DPP4"", ""LEP"", ""MYB"", ""FOXP3"", ""CRK"", ""CD28"", ""SLAMF1"", ""SOX13"", ""PODXL"", ""PTPRC"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.757242757,1,0.025833172,-0.34720986,-0.905255287,64,"c(""SOCS1"", ""BCL10"", ""LCK"", ""VAV1"", ""CX3CL1"", ""SOX12"", ""HLA-DMA"", ""GLI2"", ""IL12RB1"", ""PDCD1LG2"", ""SPTA1"", ""HLX"", ""IL27RA"", ""YES1"", ""WNT3A"", ""DPP4"", ""LEP"", ""MYB"", ""FOXP3"", ""CD28"", ""SLAMF1"", ""SOX13"", ""PODXL"", ""PTPRC"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.705294705,1,0.029493642,-0.358544184,-0.928281249,55,"c(""SOCS1"", ""BCL10"", ""LCK"", ""VAV1"", ""SOX12"", ""HLA-DMA"", ""GLI2"", ""IL12RB1"", ""PDCD1LG2"", ""SPTA1"", ""HLX"", ""IL27RA"", ""YES1"", ""DPP4"", ""LEP"", ""MYB"", ""FOXP3"", ""CD28"", ""SLAMF1"", ""SOX13"", ""PTPRC"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.853146853,1,0.018928789,-0.332888208,-0.901238331,148,"c(""SOCS1"", ""P2RY12"", ""SCRIB"", ""BCL10"", ""FGL2"", ""GTPBP4"", ""KDR"", ""LCK"", ""VAV1"", ""CX3CL1"", ""MYADM"", ""RC3H1"", ""MAPK14"", ""SFRP1"", ""SOX12"", ""HLA-DMA"", ""BAG4"", ""VTN"", ""CD9"", ""BLK"", ""GLI2"", ""IL12RB1"", ""FBLN2"", ""DUSP3"", ""ITGB1BP1"", ""PDCD1LG2"", ""TPM1"", ""SPTA1"", ""HLX"", ""MIA3"", ""MINK1"", ""IDO1"", ""ITGAV"", ""IL27RA"", ""ECM2"", ""YES1"", ""WNT3A"", ""TESC"", ""EMILIN1"", ""DPP4"", ""ADTRP"", ""MUC1"", ""LEP"", ""SLK"", ""MYB"", ""ITCH"", ""FOXP3"", ""CRK"", ""CD28"", ""SLAMF1"", ""GPR4"", ""SOX13"", ""PODXL"", ""PTPRC"", ""RASA1"", ""SOX9"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.468531469,1,0.048603425,-0.379863911,-1.009586896,96,"c(""SOCS1"", ""SCRIB"", ""BCL10"", ""FGL2"", ""GTPBP4"", ""LCK"", ""VAV1"", ""CX3CL1"", ""MYADM"", ""RC3H1"", ""MAPK14"", ""SOX12"", ""HLA-DMA"", ""CD9"", ""BLK"", ""GLI2"", ""IL12RB1"", ""DUSP3"", ""PDCD1LG2"", ""SPTA1"", ""HLX"", ""MIA3"", ""MINK1"", ""IDO1"", ""IL27RA"", ""YES1"", ""WNT3A"", ""DPP4"", ""ADTRP"", ""LEP"", ""MYB"", ""ITCH"", ""FOXP3"", ""CD28"", ""SLAMF1"", ""SOX13"", ""PODXL"", ""PTPRC"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.407592408,1,0.055021112,-0.373111119,-1.01927775,180,"c(""ADAM17"", ""PARVG"", ""RPS11"", ""DES"", ""FLRT1"", ""FLRT3"", ""EPPK1"", ""ANXA6"", ""GJB6"", ""RPS10"", ""WASF2"", ""VANGL2"", ""NCSTN"", ""RPS17"", ""RPS8"", ""SCRIB"", ""HNRNPK"", ""KIF23"", ""OXTR"", ""RHO"", ""CD151"", ""VAV1"", ""CLTC"", ""MYADM"", ""CBL"", ""MTDH"", ""NECTIN1"", ""CD9"", ""SYMPK"", ""TIAM1"", ""ICAM1"", ""PDLIM7"", ""ARMC5"", ""ALKBH6"", ""PDXP"", ""RPL8"", ""ITGB1BP1"", ""CAP1"", ""EHD3"", ""RPS4X"", ""HSPA5"", ""NPHP1"", ""ADD1"", ""EVPL"", ""RPL37A"", ""LASP1"", ""ITGAV"", ""RPS5"", ""CNTNAP1"", ""CDH5"", ""YES1"", ""CDCA3"", ""UBOX5"", ""DPP4"", ""SNAP23"", ""TPM4"", ""RAB10"", 
""SLC2A2"", ""YWHAQ"", ""VIM"", ""KIAA1210"", ""THSD1"", ""BAIAP2"", ""PDPK1"", ""PTK7"", ""PODXL"", ""OCEL1"", ""PTPRC"", ""FLII"", ""UBN1"", ""PATJ"", ""ZFYVE21"", ""VAPA"", ""CSRP1"", ""RRAS"", ""FAP"", ""MXRA8"", ""P2RX7"", ""NECTIN2"", ""PPP1R12A"", ""CDC42BPA"", ""TWF1"", ""MPP2"", ""CORO1C"", ""CLDN12"", ""ITGA11"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.26973027,1,0.075118164,-0.399929663,-1.06619596,106,"c(""ADAM17"", ""PARVG"", ""RPS11"", ""FLRT1"", ""FLRT3"", ""EPPK1"", ""ANXA6"", ""RPS10"", ""NCSTN"", ""RPS17"", ""RPS8"", ""HNRNPK"", ""KIF23"", ""CD151"", ""CLTC"", ""CBL"", ""CD9"", ""ICAM1"", ""PDLIM7"", ""ARMC5"", ""ALKBH6"", ""RPL8"", ""ITGB1BP1"", ""CAP1"", ""EHD3"", ""RPS4X"", ""HSPA5"", ""ADD1"", ""RPL37A"", ""LASP1"", ""ITGAV"", ""RPS5"", ""YES1"", ""UBOX5"", ""DPP4"", ""SNAP23"", ""TPM4"", ""RAB10"", ""YWHAQ"", ""VIM"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.262737263,1,0.076476705,-0.392400028,-1.059939056,142,"c(""ADAM17"", ""BCAM"", ""DUOX2"", ""HYAL2"", ""P2RY12"", ""FOLR3"", ""THBD"", ""TYRO3"", ""CD151"", ""KDR"", ""LAMP1"", ""CEACAM5"", ""CYP2W1"", ""APMAP"", ""PPFIA4"", ""CX3CL1"", ""FCRL5"", ""SFRP1"", ""MST1R"", ""HLA-DMA"", ""CD9"", ""CLEC17A"", ""ITGA7"", ""RAET1E"", ""CD226"", ""ICAM1"", ""NRROS"", ""PHB2"", ""IL12RB1"", ""CNTFR"", ""PSEN2"", ""PDCD1LG2"", ""HSPA5"", ""ASIC1"", ""ITGAV"", ""CSF3R"", ""IL27RA"", ""VASN"", ""TMEM8B"", ""DSCAML1"", ""CDH5"", ""WNT3A"", ""NDP"", ""LRP4"", ""PDGFA"", ""DPP4"", ""ADTRP"", ""AMBP"", ""CD84"", ""TPO"", ""USP14"", ""GPR37"", ""IL2RB"", ""VAMP3"", ""CD28"", ""SLAMF1"", 
""CACNG2"", ""CLU"", ""BACE1"", ""PTPRC"", ""ELSPBP1"", ""ABCB1"", ""FAP"", ""LAMP3"", ""MXRA8"", ""DNAI2"", ""P2RX7"", ""NECTIN2"", ""TNFSF4"")"
