Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.869130869,1,0.017703812,0.262594601,0.889067521,197,"c(""CRB1"", ""ATP2C1"", ""PLEKHA7"", ""WNT4"", ""GNAS"", ""GOLPH3"", ""LRFN4"", ""APOA1"", ""PTPRU"", ""PCDHAC1"", ""CDH20"", ""THY1"", ""SKAP1"", ""COL14A1"", ""SOX4"", ""SMAD7"", ""DENND6A"", ""PODXL2"", ""SFTPD"", ""SERPINB8"", ""HHLA2"", ""CDHR1"", ""ITGA2B"", ""SLC39A8"", ""LAPTM5"", ""EGFR"", ""NOTCH4"", ""PIK3CG"", ""PCDH17"", ""NCKAP1L"", ""ITGAM"", ""PTPN2"", ""NR4A3"", ""ADAM19"", ""PCDHA13"", ""AFDN"", ""CNTN6"", ""PCDHA11"", ""CEACAM6"", ""IL7R"", ""HLA-DPA1"", ""SPN"", ""NCK2"", ""MSN"", ""MALT1"", ""TESPA1"", ""CAV1"", ""CNN3"", ""LAMB1"", ""CDH23"", ""FAT2"", ""PRKCZ"", ""THBS4"", ""GATA5"", 
""SDC4"", ""ALOX5"", ""SRPX2"", ""DUSP10"", ""CLDN16"", ""PCDH19"", ""MMP24"", ""EPCAM"", ""CLECL1"", ""CD276"", ""METAP1"", ""PCDHA7"", ""ITGA9"", ""CCL28"", ""LILRB1"", ""PTAFR"", ""CITED2"", ""CDH17"", ""PCDHA9"", ""PLA2G2F"", ""MEGF11"", ""CDH3"", ""MAD1L1"", ""ROCK1"", ""ALCAM"", ""PIP5K1C"", ""CXCL13"", ""PCDHA12"", ""CTNNA1"", ""STXBP3"", ""ZBTB7B"", ""OBSCN"", ""CX3CR1"", ""STAT5B"", ""PCDHA8"", ""RDX"", ""DHPS"", ""EFNA5"", ""CRNN"", ""CD55"", ""IL6ST"", ""RELA"", ""KIT"", ""CHST4"", ""PLEK"", ""EFNB3"", ""CNTN1"", ""LRFN5"", ""UBASH3B"", ""XG"", ""CEL"", ""CADM1"", ""NTN1"", ""PKP4"", ""CLDN11""
)"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.619380619,1,0.035769077,0.297394286,0.950909384,76,"c(""GOLPH3"", ""THY1"", ""SKAP1"", ""SOX4"", ""SMAD7"", ""PODXL2"", ""SFTPD"", ""HHLA2"", ""SLC39A8"", ""LAPTM5"", ""NCKAP1L"", ""PTPN2"", ""NR4A3"", ""IL7R"", ""HLA-DPA1"", ""SPN"", ""NCK2"", ""MSN"", ""MALT1"", ""TESPA1"", ""CAV1"", ""PRKCZ"", ""SDC4"", ""ALOX5"", ""DUSP10"", ""CLECL1"", ""CD276"", ""CCL28"", ""LILRB1"", ""PTAFR"", ""PLA2G2F"", ""MAD1L1"", ""ROCK1"", ""ZBTB7B"", ""CX3CR1"", ""STAT5B"", ""DHPS"", ""CD55"", ""IL6ST"", ""RELA"", ""CHST4"", ""EFNB3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.25974026,1,0.077073673,0.332233953,1.086285679,102,"c(""VAV3"", ""WNT4"", ""APOA1"", ""MYOC"", ""PTPRU"", ""TEK"", ""THY1"", ""PPP3CA"", ""SKAP1"", ""SOX4"", ""SMAD7"", ""DENND6A"", ""CARMIL1"", ""RSU1"", ""NDNF"", ""HHLA2"", ""VWC2"", ""TRIOBP"", ""CCDC80"", ""NCKAP1L"", ""STK4"", ""PRKD2"", ""NR4A3"", ""ADAM19"", ""AFDN"", ""CEACAM6"", ""IL7R"", ""GSK3B"", ""HLA-DPA1"", ""NCK2"", ""MALT1"", ""TESPA1"", ""CAV1"", ""TMEM102"", ""PRKCZ"", ""ABI3BP"", ""SDC4"", ""ALOX5"", ""DUSP10"", ""CLECL1"", ""CD276"", ""CCL28"", ""LILRB1"", ""FLCN"", ""PTAFR"", ""CITED2"", ""ROCK1"", ""CXCL13"", ""ZBTB7B"", ""FMN1"", ""STAT5B"", ""DHPS"", ""CD55"", ""IL6ST"", ""RELA"", 
""EGFL6"", ""CHST4"", ""EFNB3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.462537463,1,0.049192752,0.323903393,1.015070288,61,"c(""PTPRU"", ""THY1"", ""SKAP1"", ""SOX4"", ""SMAD7"", ""DENND6A"", ""HHLA2"", ""NCKAP1L"", ""NR4A3"", ""ADAM19"", ""AFDN"", ""CEACAM6"", ""IL7R"", ""HLA-DPA1"", ""NCK2"", ""MALT1"", ""TESPA1"", ""CAV1"", ""PRKCZ"", ""ALOX5"", ""DUSP10"", ""CLECL1"", ""CD276"", ""LILRB1"", ""PTAFR"", ""CITED2"", ""CXCL13"", ""ZBTB7B"", ""STAT5B"", ""DHPS"", ""CD55"", ""IL6ST"", ""RELA"", ""CHST4"", ""EFNB3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.762237762,1,0.025482056,0.286263312,0.880101939,50,"c(""THY1"", ""SKAP1"", ""SOX4"", ""HHLA2"", ""NCKAP1L"", ""NR4A3"", ""IL7R"", ""HLA-DPA1"", ""NCK2"", ""MALT1"", ""TESPA1"", ""CAV1"", ""PRKCZ"", ""ALOX5"", ""DUSP10"", ""CLECL1"", ""CD276"", ""LILRB1"", ""PTAFR"", ""ZBTB7B"", ""STAT5B"", ""DHPS"", ""CD55"", ""IL6ST"", ""RELA"", ""CHST4"", ""EFNB3"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.657342657,1,0.032943147,0.284316928,0.957583902,166,"c(""VAV3"", ""PLXNC1"", ""WNT4"", ""S1PR1"", ""APOA1"", ""MYOC"", ""ERBB3"", ""PTPRU"", ""PTEN"", ""KNG1"", ""TEK"", ""THY1"", ""PPP3CA"", ""SKAP1"", ""SOX4"", ""SMAD7"", ""DENND6A"", ""SFTPD"", ""CARMIL1"", ""RSU1"", ""NDNF"", ""HHLA2"", ""SEMA6A"", ""VWC2"", ""LAPTM5"", ""TRIOBP"", ""NOTCH4"", ""PIK3CG"", ""CCDC80"", ""NCKAP1L"", ""PTPN2"", ""SEMA3E"", ""STK4"", ""PRKD2"", ""NR4A3"", ""ADAM19"", ""AFDN"", ""CEACAM6"", ""IL7R"", ""GSK3B"", ""HLA-DPA1"", ""SPN"", ""NCK2"", ""MALT1"", ""TESPA1"", ""CAV1"", ""KANK1"", ""GREM1"", ""TMEM102"", ""AJAP1"", ""PRKCZ"", ""ABI3BP"", ""SDC4"", ""ADAM10"", ""ALOX5"", 
""DUSP10"", ""KIF14"", ""EPCAM"", ""PLXND1"", ""CLECL1"", ""MEN1"", ""CD276"", ""DUSP1"", ""CCL28"", ""LILRB1"", ""FLCN"", ""PTAFR"", ""TNN"", ""CITED2"", ""PLA2G2F"", ""MAD1L1"", ""ROCK1"", ""CXCL13"", ""ZBTB7B"", ""FMN1"", ""STAT5B"", ""RDX"", ""DHPS"", ""EFNA5"", ""CD55"", ""IL6ST"", ""PLXNA3"", ""RELA"", ""EGFL6"", ""CHST4"", ""EFNB3"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.627372627,1,0.035165229,0.294262148,0.951788,90,"c(""WNT4"", ""APOA1"", ""PTPRU"", ""THY1"", ""SKAP1"", ""SOX4"", ""SMAD7"", ""DENND6A"", ""SFTPD"", ""HHLA2"", ""LAPTM5"", ""NOTCH4"", ""NCKAP1L"", ""PTPN2"", ""NR4A3"", ""ADAM19"", ""AFDN"", ""CEACAM6"", ""IL7R"", ""HLA-DPA1"", ""SPN"", ""NCK2"", ""MALT1"", ""TESPA1"", ""CAV1"", ""PRKCZ"", ""SDC4"", ""ALOX5"", ""DUSP10"", ""EPCAM"", ""CLECL1"", ""CD276"", ""CCL28"", ""LILRB1"", ""PTAFR"", ""CITED2"", ""PLA2G2F"", ""MAD1L1"", ""CXCL13"", ""ZBTB7B"", ""STAT5B"", ""RDX"", ""DHPS"", ""EFNA5"", ""CD55"", ""IL6ST"", ""RELA"", ""CHST4"", ""EFNB3"", ""UBASH3B"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.994005994,1,0.003542739,0.224104539,0.760624054,205,"c(""CRB1"", ""SPTBN2"", ""SCN2A"", ""GIT2"", ""PLEKHA7"", ""PAK1"", ""GSN"", ""RPL9"", ""PTPRU"", ""PNN"", ""ADGRE5"", ""CDH20"", ""TEK"", ""THY1"", ""PPP3CA"", ""SKAP1"", ""RPL22"", ""GAB1"", ""ARPC3"", ""SMAD7"", ""MYH2"", ""SHROOM2"", ""ITGBL1"", ""PABPC1"", ""RSU1"", ""ITGA2B"", ""LAMA1"", ""EGFR"", ""KCNA2"", ""SRP68"", ""TRIOBP"", ""LCP2"", ""CAPN2"", ""TCHP"", ""PARVB"", ""AFDN"", ""ACTR3"", ""MSN"", ""CAV1"", ""TSPAN33"", ""CNN3"", ""FRMD6"", ""PDLIM2"", ""AJAP1"", ""FAT2"", ""PRKCZ"", ""MAPK15"", ""SDC4"", ""ADAM10"", ""DST"", ""CLDN16"", ""ATP6V0C"", ""AMOT"", ""EPCAM"", ""TNS2"", ""MAP2K2"", ""PDZD2"", 
""SNTB2"", ""INPP5E"", ""RPL30"", ""FLCN"", ""PIP5K1A"", ""YWHAZ"", ""MAPRE1"", ""CDH3"", ""MICALL2"", ""ALCAM"", ""PIP5K1C"", ""CTNNA1"", ""APP"", ""PPFIBP1"", ""OBSCN"", ""FMN1"", ""USP53"", ""RDX"", ""WNK4"", ""RAB13"", ""NUMB"", ""EFNA5"", ""TNS3"", ""KIT"", ""TLE2"", ""APBB1IP"", ""CDC42EP4"", ""MDC1"", ""CADM1"", ""NPM1"", ""PHLDB2"", ""ACTN2"", ""PKP4"", ""CLDN11"", ""DAG1"", ""ADD3"", ""TRIP6"", ""FLRT2"", ""CLIC4"", ""DSP"", ""SDCBP"", ""POF1B"", ""AMOTL1"", ""MAPRE2"", ""RPL6"", ""PXN"", ""DCAF6"", ""ARPC5L"", ""ARHGAP17"", ""TRPV4"", ""LMO7"", ""CD46"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.994005994,1,0.003542739,0.214142634,0.704847236,112,"c(""GIT2"", ""PAK1"", ""GSN"", ""RPL9"", ""ADGRE5"", ""TEK"", ""THY1"", ""RPL22"", ""ARPC3"", ""ITGBL1"", ""PABPC1"", ""RSU1"", ""ITGA2B"", ""EGFR"", ""SRP68"", ""TRIOBP"", ""CAPN2"", ""PARVB"", ""ACTR3"", ""MSN"", ""CAV1"", ""CNN3"", ""SDC4"", ""ADAM10"", ""DST"", ""ATP6V0C"", ""TNS2"", ""MAP2K2"", ""SNTB2"", ""INPP5E"", ""RPL30"", ""PIP5K1A"", ""YWHAZ"", ""MAPRE1"", ""ALCAM"", ""PIP5K1C"", ""CTNNA1"", ""PPFIBP1"", ""RDX"", ""NUMB"", ""TNS3"", ""TLE2"", ""APBB1IP"", ""MDC1"", ""NPM1"", ""PHLDB2"", ""ACTN2"", ""DAG1"", ""TRIP6"", ""FLRT2"", ""SDCBP"", ""MAPRE2"", ""RPL6"", ""PXN"", ""DCAF6"", ""ARPC5L"", ""TRPV4"", 
""LMO7"", ""CD46"", ""SHROOM4"", ""FES"", ""NHS"", ""RALA"", ""PACSIN2"", ""ITGA3"", ""OPRM1"", ""PGM5"", ""MME"", ""PPIB"", ""CTNNB1"", ""RPS2"", ""ARPC5"", ""STARD8"", ""DCTN4"", ""FZD1"", ""TGFB1I1"", ""RPS16"", ""RPS29"", ""ACTN3"", ""ZNF185"", ""PTPRA"", ""CNN1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.834165834,1,0.020342616,0.266970301,0.905178129,203,"c(""SLC46A2"", ""FCRL4"", ""ANTXR2"", ""DIP2A"", ""ROR1"", ""WNT4"", ""GRIN2A"", ""LRFN4"", ""S1PR1"", ""RGMA"", ""TSHR"", ""MAP3K5"", ""NCAM1"", ""P2RY1"", ""SORT1"", ""RTN4R"", ""SEMA7A"", ""ZPLD1"", ""TEK"", ""THY1"", ""MS4A1"", ""AQP11"", ""CD5L"", ""INTU"", ""MSR1"", ""DCBLD2"", ""ITGBL1"", ""CTSB"", ""HHLA2"", ""EPHA5"", ""AIMP1"", ""ITGA2B"", ""GLRA1"", ""EGFR"", ""MYO18A"", ""NOTCH4"", ""CD48"", ""CAPN2"", ""ITGAM"", ""CD248"", ""ADGRA3"", ""CACNG4"", ""AREG"", ""CLEC2B"", ""ENTPD6"", ""FZD6"", ""CEACAM6"", ""IL7R"", ""TREML2"", ""TLR4"", ""HLA-C"", ""HLA-DPA1"", ""SPN"", ""MSN"", ""CSF1R"", ""SLAMF7"", 
""TSPAN33"", ""GREM1"", ""TMEM102"", ""SLC46A1"", ""AJAP1"", ""F10"", ""ABCA1"", ""SDC4"", ""ADAM10"", ""GHR"", ""LPL"", ""SRPX2"", ""ABCG2"", ""AMOT"", ""EPCAM"", ""CD276"", ""TGFBR3"", ""ITGA9"", ""LILRB1"", ""CLCN3"", ""TNN"", ""UNC5C"", ""CDH17"", ""IZUMO1R"", ""ACE"", ""CD163L1"", ""NEU3"", ""ERP44"", ""ALCAM"", ""ADGRA2"", ""CRLF1"", ""APP"", ""TMPRSS11F"", ""CD163"", ""CX3CR1"", ""EFNA5"", ""CXCR2"", ""GFRA2"", ""CD55"", ""IL6ST"", ""FGF10"", ""NOTCH2"", ""KIT"", ""ACKR4"", ""LRFN5"", ""PLET1"", ""PLA2R1"", ""CEL"", ""TNFRSF11A"", ""CA4"", ""DAG1"", ""KCNN2"", ""CLIC4"", ""IL9R"", ""CD8B"")"
