Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.421307506,0.999135576,0.09957912,-0.182330151,-1.004138734,326,"c(""NPTN"", ""MYB"", ""AMIGO2"", ""PIP5K1C"", ""SRC"", ""EGFR"", ""NLGN2"", ""DCHS1"", ""RAP2B"", ""TRPV4"", ""FAT4"", ""VNN1"", ""ABCA12"", ""IGF1"", ""ST3GAL4"", ""ABAT"", ""VSIG10"", ""STXBP3"", ""MAD1L1"", ""NR4A3"", ""PTPRU"", ""CCR7"", ""ZDHHC21"", ""MAP2K5"", ""SASH3"", ""PAK4"", ""PAWR"", ""IL15"", ""PAG1"", ""PDGFRA"", ""AKNA"", ""CLDN11"", ""TYK2"", ""CLIC1"", ""TJP2"", ""EMILIN2"", ""CD58"", ""CRB2"", ""PRKCQ"", ""ZC3H12A"", ""MYO10"", ""STAT5B"", ""HLA-DRB5"", ""CDH9"", ""COL14A1"", ""CDH2"", ""CADM3"", ""CDH5"", ""CERCAM"", ""NECTIN4"", ""ITPKB"", ""P2RY12"", ""CELSR1"", ""PNP"", ""BCL10"", 
""SART1"", ""PELI1"", ""NPHP4"", ""JAK3"", ""WNT7B"", ""DOCK8"", ""PALLD"", ""SIGLEC1"", ""SLC7A11"", ""PDPN"", ""NCK2"", ""SLAMF1"", ""BMP7"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.501858736,0.999135576,0.075118164,0.20455629,0.974033521,139,"c(""HLX"", ""IL10"", ""LRRC32"", ""SPN"", ""DPP4"", ""IL18"", ""IL23R"", ""SIRPA"", ""JAM2"", ""PIK3R6"", ""IL20RB"", ""CD300A"", ""CSK"", ""AP3B1"", ""IL7"", ""HHLA2"", ""PTPN2"", ""ZAP70"", ""KLRK1"", ""ITGA5"", ""RHOA"", ""CR1"", ""HLA-DRB1"", ""AIF1"", ""ARG2"", ""HSPD1"", ""CD47"", ""SLC7A1"", ""ADAM8"", ""SLC39A8"", ""GOLPH3"", ""CHST2"", ""SMAD7"", ""IL2RA"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.560714286,0.999135576,0.067518895,0.191530781,0.962134423,189,"c(""HLX"", ""IL10"", ""DPP4"", ""IL18"", ""NDNF"", ""IL23R"", ""SIRPA"", ""PIK3R6"", ""ITGAV"", ""DISC1"", ""CSK"", ""AP3B1"", ""IL7"", ""HHLA2"", ""RELL2"", ""NEDD9"", ""AFDN"", ""NRP1"", ""TGM2"", ""ZAP70"", ""PPP3CA"", ""KLRK1"", ""ITGA5"", ""RHOA"", ""CR1"", ""HLA-DRB1"", ""AIF1"", ""SMAD3"", ""CX3CL1"", ""HSPD1"", ""CD47"", ""STX4"", ""PLEKHA2"", ""SLC7A1"", ""ADAM8"", ""WNT4"", ""CHST2"", ""FSTL3"", ""TSC1"", ""SMAD7"", ""CASS4"", ""IL2RA"", ""CITED2"", ""ITGA4"", ""FLCN"", ""ADAM9"", ""P4HB"", ""GLI3"", ""CXCL13"", ""HLA-DPB1"", ""APBB1IP"", ""PIK3CA"", ""FRMD5"", ""FCHO1"", ""LIMS1"", ""CD28"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.793926247,0.999135576,0.060118614,-0.180151238,-0.856135103,123,"c(""MYB"", ""SRC"", ""VNN1"", ""IGF1"", ""ST3GAL4"", ""NR4A3"", ""PTPRU"", ""CCR7"", ""SASH3"", ""IL15"", ""TYK2"", ""EMILIN2"", ""PRKCQ"", ""MYO10"", ""STAT5B"", ""HLA-DRB5"", ""ITPKB"", ""PNP"", ""BCL10"", ""SART1"", ""JAK3"", ""DOCK8"", ""PDPN"", ""NCK2"", ""SLAMF1"", ""BMP7"", ""IL1RL2"", ""GPAM"", ""CORO1A"", ""CARD11"", ""ZP3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.778723404,0.999135576,0.060118614,-0.188937314,-0.871546758,102,"c(""MYB"", ""SRC"", ""VNN1"", ""IGF1"", ""ST3GAL4"", ""NR4A3"", ""CCR7"", ""SASH3"", ""IL15"", ""TYK2"", ""PRKCQ"", ""STAT5B"", ""HLA-DRB5"", ""ITPKB"", ""PNP"", ""BCL10"", ""SART1"", ""JAK3"", ""DOCK8"", ""NCK2"", ""SLAMF1"", ""IL1RL2"", ""GPAM"", ""CORO1A"", ""CARD11"", ""ZP3"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.426890756,0.999135576,0.078295525,0.190018771,1.010313403,296,"c(""HLX"", ""IL10"", ""PRLR"", ""LRRC32"", ""SPN"", ""YTHDF2"", ""PPP2CA"", ""DPP4"", ""IL18"", ""SERPINE2"", ""NDNF"", ""IL23R"", ""SIRPA"", ""FAM107A"", ""PIK3R6"", ""ITGAV"", ""DISC1"", ""ARHGDIA"", ""IL20RB"", ""CD300A"", ""CSK"", ""AP3B1"", ""IL7"", ""HHLA2"", ""RELL2"", ""NF2"", ""ADAM10"", ""NEDD9"", ""PTK2"", ""AFDN"", ""NRP1"", ""PTPN2"", ""BMP6"", ""AJAP1"", ""TGM2"", ""ZAP70"", ""PPP3CA"", ""KLRK1"", ""ITGA5"", ""PTPRO"", ""RHOA"", ""CR1"", ""JAG1"", ""HLA-DRB1"", ""AIF1"", ""ADAM22"", ""ARG2"", ""SMAD3"", ""MBP"", ""PPP1CB"", ""CX3CL1"", ""HSPD1"", ""CD47"", ""STX4"", ""PLEKHA2"", ""SLC7A1"", ""BLK"", 
""ADAM8"", ""PIK3CB"", ""WNT4"", ""CHST2"", ""FSTL3"", ""COL1A1"", ""TSC1"", ""SMAD7"", ""GPR4"", ""CASS4"", ""IL2RA"", ""CITED2"", ""ITGA4"", ""ADAM15"", ""PLXNB2"", ""FLCN"", ""CORO1C"", ""ADAM9"", ""P4HB"", ""GLI3"", ""CXCL13"", ""HLA-DPB1"", ""APBB1IP"", ""PEAK1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.520720721,0.999135576,0.071652737,0.197205931,0.977044134,172,"c(""HLX"", ""IL10"", ""LRRC32"", ""SPN"", ""YTHDF2"", ""DPP4"", ""IL18"", ""SERPINE2"", ""IL23R"", ""SIRPA"", ""PIK3R6"", ""IL20RB"", ""CD300A"", ""CSK"", ""AP3B1"", ""IL7"", ""HHLA2"", ""NF2"", ""PTK2"", ""AFDN"", ""PTPN2"", ""BMP6"", ""ZAP70"", ""KLRK1"", ""RHOA"", ""CR1"", ""JAG1"", ""HLA-DRB1"", ""AIF1"", ""ARG2"", ""MBP"", ""CX3CL1"", ""HSPD1"", ""CD47"", ""SLC7A1"", ""BLK"", ""ADAM8"", ""WNT4"", ""CHST2"", ""FSTL3"", ""SMAD7"", ""IL2RA"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.016636995,0.999135576,0.352487858,0.23377076,1.273603681,362,"c(""WAS"", ""SYNPO"", ""ZFYVE21"", ""RPS11"", ""HSPB1"", ""ACTB"", ""ARHGAP17"", ""DPP4"", ""COL17A1"", ""LCP1"", ""USP53"", ""ARHGAP31"", ""OCEL1"", ""IGF2R"", ""CFL1"", ""RAB13"", ""CDCA3"", ""PPIB"", ""CHP1"", ""MTDH"", ""ARPC1B"", ""SCARF2"", ""EHD3"", ""JAM2"", ""RPL7"", ""SRCIN1"", ""FAM107A"", ""ITGAV"", ""CDH22"", ""IQGAP3"", ""RPGRIP1L"", ""AJUBA"", ""CSK"", ""FHL2"", ""SLA"", ""MPP2"", ""RPL23"", ""NF2"", ""GNA12"", ""CTTN"", ""ADAM10"", ""PKD2"", ""SCARB2"", ""NEDD9"", ""CCDC85B"", ""PTK2"", ""TJAP1"", ""SORBS2"", ""ATP6V0C"", ""AFDN"", ""NRP1"", ""AJAP1"", ""TGM2"", ""ZAP70"", ""PPP3CA"", ""CALB2"", 
""ALOX15B"", ""PPFIA1"", ""ITGA5"", ""GAB1"", ""TMEM65"", ""RHOA"", ""STRN"", ""MAP2K2"", ""JAG1"", ""RPLP2"", ""CLIC4"", ""YWHAH"", ""LASP1"", ""CAP1"", ""HEG1"", ""UBA1"", ""SNAP23"", ""PPP1CB"", ""NDRG1"", ""DST"", ""STARD10"", ""ADAM17"", ""HNRNPK"", ""LAMTOR3"", ""AHNAK"", ""FGFR3"", ""ALCAM"", ""SMAD7"", ""CASS4"", ""CDH19"", ""ITGBL1"", ""CDH3"", ""WTIP"", ""CBL"", ""SYMPK"", ""IRF2"", ""RPL18"", ""ITGA4"", ""SYNPO2"", ""ADAM15"", ""FHL1"", ""FLCN"", ""ACTN2"", ""MAP2K1"", ""CORO1C"", ""ADAM9"", ""P4HB"", ""IQGAP1"", ""GSN"", ""APBB1IP"", ""FLNC"", ""PEAK1"", ""NOX4"", ""HSPA1B"", ""PIK3CA"", ""SRP68"", 
""FRMD5"", ""CSRP2"", ""COL13A1"", ""LIMS1"", ""OBSL1"", ""TGFBR1"", ""CTNNA1"", ""LIMD1"", ""PDLIM5"", ""JAML"", ""DAB2"", ""ERBIN"", ""SNTB1"", ""ITK"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.059964727,0.999135576,0.245041785,0.246669137,1.257641553,212,"c(""ZFYVE21"", ""RPS11"", ""HSPB1"", ""ACTB"", ""DPP4"", ""COL17A1"", ""LCP1"", ""ARHGAP31"", ""IGF2R"", ""CFL1"", ""PPIB"", ""CHP1"", ""ARPC1B"", ""SCARF2"", ""EHD3"", ""RPL7"", ""SRCIN1"", ""FAM107A"", ""ITGAV"", ""AJUBA"", ""FHL2"", ""SLA"", ""RPL23"", ""GNA12"", ""CTTN"", ""ADAM10"", ""SCARB2"", ""NEDD9"", ""PTK2"", ""SORBS2"", ""ATP6V0C"", ""NRP1"", ""TGM2"", ""ALOX15B"", ""PPFIA1"", ""ITGA5"", ""RHOA"", ""MAP2K2"", ""RPLP2"", ""LASP1"", ""CAP1"", ""SNAP23"", ""PPP1CB"", ""DST"", ""ADAM17"", ""HNRNPK"", ""LAMTOR3"", ""AHNAK"", ""FGFR3"", ""ALCAM"", ""CASS4"", ""ITGBL1"", ""CBL"", ""IRF2"", ""RPL18"", 
""ITGA4"", ""SYNPO2"", ""FHL1"", ""ACTN2"", ""MAP2K1"", ""CORO1C"", ""ADAM9"", ""P4HB"", ""IQGAP1"", ""GSN"", ""APBB1IP"", ""FLNC"", ""PEAK1"", ""NOX4"", ""HSPA1B"", ""SRP68"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.31042654,0.999135576,0.117765788,-0.195576554,-1.049520151,274,"c(""THBS1"", ""NPTN"", ""CLCN3"", ""EGFR"", ""NLGN2"", ""ADGRF5"", ""TRPV4"", ""PDCD1"", ""SLAMF6"", ""HSPA2"", ""ERP44"", ""DCBLD2"", ""KCNN2"", ""KCNE1"", ""ENO2"", ""GPC2"", ""CCR7"", ""LEPR"", ""GPC3"", ""MST1R"", ""IL2RB"", ""IL15"", ""SLC3A2"", ""CRLF1"", ""FCRL1"", ""PKD1L3"", ""PDGFRB"", ""VAMP3"", ""TPO"", ""PDGFRA"", ""ENG"", ""SPA17"", ""CSF2RB"", ""CD58"", ""TSPAN15"", ""TMEM123"", ""IDE"", ""GHR"", ""CD38"", ""GRIN2A"", ""RTN2"", ""CDH2"", ""CDH5"", ""ANOS1"", ""INSR"", ""P2RY12"", ""PDGFA"", ""SLC1A3"", ""FZD3"", ""NRROS"", ""VWDE"")"
