"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","MYLK",-1.36432693678353,7.6809235438793,-7.46944659934617,2.62476616576419e-08,0.000195676317657721,8.95234983141775,NA,0.298313878080415
"2","PLCG2",-2.0921335166923,8.73870304513757,-7.09736851484754,7.07479617412515e-08,0.000199106779728946,8.12454603215448,NA,0.494811932555123
"3","PLCXD3",-1.37397727458896,8.06657632313365,-7.0510801267469,8.01234526072215e-08,0.000199106779728946,7.95412964196542,NA,0.33852140077821
"4","LUC7L3",1.64867999831567,8.61528742701763,6.91222063561483,1.16544786040998e-07,0.000217210344983911,7.6334830208344,NA,0.588845654993515
"5","SNX7",-1.94633707876444,5.23723329493376,-6.3664534059755,5.17865698128885e-07,0.000772137755910168,5.66789094728974,NA,0.0856031128404669
"6","BRINP1",-1.608863197933,6.44959928677175,-5.98441366550141,1.49366984005217e-06,0.00185588477626482,5.07669047481039,"Development (differentiation)",0.151102464332036
"7","FIGN",-1.57215021343073,8.60840353756303,-5.91056097885033,1.83525963095738e-06,0.00195455150696961,5.06170251226276,NA,0.447470817120623
"8","NCAM2",-0.980541492643408,9.62864940024222,-5.7905087763758,2.56679487712333e-06,0.00239193197611931,4.74327235549517,NA,0.64526588845655
"9","CHST11",1.42543670168085,8.25472725999956,5.66831042408134,3.61431330235583e-06,0.00272010500960483,4.41309222519367,"Metabolism (other)",0.448767833981842
"10","NEBL",-0.654763689476923,11.2128323997896,-5.66493314929902,3.64869887270937e-06,0.00272010500960483,4.34103431744049,NA,0.885214007782101
"11","AC023095.1",-1.58090551888534,6.14334648488123,-5.57522977017884,4.69286602495025e-06,0.00285334745984368,4.01819018907238,NA,0.130350194552529
"12","PDE4B",-1.35066362470258,8.73561878567501,-5.49714136686963,5.84376717222349e-06,0.00285334745984368,3.9728262476506,"Metabolism (other)",0.472114137483787
"13","NWD1",1.33183914942,8.6960603432754,5.49454624610059,5.88653908555087e-06,0.00285334745984368,3.9678176341447,NA,0.608949416342412
"14","DOCK8",1.84959093878531,6.79430924352984,5.51308309829971,5.58778121130857e-06,0.00285334745984368,3.7938310767799,NA,0.245136186770428
"15","MYO1E",1.3249978247478,7.35846995053221,5.45479887163299,6.58232647483193e-06,0.00285334745984368,3.77922935188473,NA,0.276913099870298
"16","QKI",-0.856040265718399,10.9123933796067,-5.4385831409834,6.88937012437106e-06,0.00285334745984368,3.73922573801378,NA,0.862516212710765
"17","ROR2",2.22823989078002,6.96165009793255,5.46725032107451,6.35591140724697e-06,0.00285334745984368,3.70795546988048,NA,0.289234760051881
"23","STK32C",-1.84658048336919,4.82592514988982,-5.5276151472476,5.3642527874107e-06,0.00285334745984368,3.3848332436031,"Development (apoptosis)",0.0706874189364462
"18","CNKSR2",-1.09334600179625,7.33691644701543,-5.39597744431807,7.76635183566865e-06,0.00303963358937215,3.69256887796908,NA,0.256160830090791
"19","FMN2",-0.752875170482397,10.6508865242751,-5.37863542773707,8.15461727531094e-06,0.00303963358937215,3.59541429534204,NA,0.816472114137484
"22","DST",-0.648784536323545,11.3824356672206,-5.3448710130968,8.96728871998964e-06,0.00318338749559632,3.44314864695031,NA,0.915693904020752
"20","RHEB",-0.963004128322373,7.38487468317682,-5.31030690283518,9.88338296715892e-06,0.00320350521826825,3.4641464115641,NA,0.271076523994812
"21","ADGRL3",-0.805710085539117,10.1793252600872,-5.31466541677585,9.76288402899688e-06,0.00320350521826825,3.44868579760815,"Matrisome/cell adhesion/binding/signaling",0.704928664072633
"25","TMEM72-AS1",1.67265736718661,6.62478927990841,5.28571648278452,1.05916920813041e-05,0.00329004435275508,3.27234384146931,NA,0.250324254215305
