"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","UGCG",-1.45611242548347,7.25131052856303,-8.51733087650961,3.22937039608322e-13,2.40103688948787e-09,19.6000547172749,"Metabolism or Transport (lipid)",0.212944554892865
"2","PSD3",-1.13295856425091,8.79787675695717,-7.02454087041553,3.79912868246468e-10,1.41232608770625e-06,12.8725131573471,NA,0.433951844488624
"3","ARHGAP26",-0.561261117396334,10.1823523266298,-6.85526244496666,8.31358043355247e-10,2.06038235078209e-06,12.0810802164084,NA,0.723437154848686
"4","FAM210A",-1.23378048009616,5.81198864406426,-6.58772480358272,2.83419737854853e-09,4.64684387754386e-06,10.7329101638296,NA,0.11022752374641
"5","PUS7",-1.22969767983946,5.72241723482347,-6.566278802098,3.12497907030522e-09,4.64684387754386e-06,10.6329761610358,NA,0.107466313231721
"6","BCL6",-1.24616079076367,7.26987658777015,-6.31423379571033,9.77131868827012e-09,1.21082924078814e-05,9.77174706074626,"Development (differentiation)",0.234040203225094
"7","PAG1",-0.959709163684829,8.30435381746598,-6.21562702203438,1.51999878259303e-08,1.61445584979703e-05,9.33540763620482,NA,0.368566379500773
"8","AGFG1",-0.868991419723764,9.32347760340087,-6.13069369952057,2.21949405240963e-08,2.0627422849582e-05,8.92936100766136,NA,0.550364479787939
"9","SLC7A5",-1.86049284304576,6.20980037451867,-6.02978928916094,3.4712779290435e-08,2.86766126693761e-05,8.53722692372754,"Transport",0.125469405787497
"10","IL1RAP",-0.912649571232842,7.15981043186577,-5.88309226369489,6.61693000175481e-08,4.9196874563047e-05,7.95615264191049,"Inflammation/Immune/Stress/Toxic/Detox",0.214711729622266
"11","CHST15",-1.09029491785781,8.73968168990119,-5.84390510344062,7.85299172257696e-08,5.09184078469025e-05,7.72916990942887,"Metabolism (other)",0.449856417053236
"12","PTPN2",-0.688891224343573,8.22607588232844,-5.83348715241978,8.21816939021963e-08,5.09184078469025e-05,7.71997939777859,NA,0.391870996244754
"13","SLC2A3",-1.66872845215809,8.0225720566657,-5.74810097303143,1.19130247711119e-07,6.81333378255513e-05,7.3811621764358,"Transport",0.261762756792578
"14","PDIA5",-1.33078290646283,4.93653033105258,-5.62975893679087,1.98544828609308e-07,0.000105441485765015,6.61358295880329,NA,0.0719019218025182
"15","CHD6",0.507302040028266,7.5354150513573,5.54695982083499,2.83066983192775e-07,0.00013324937580778,6.56469685930244,NA,0.304948089242324
