"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","PRKY",-2.07389346267687,3.83287390138986,-5.37064789120565,8.36630836934977e-07,0.00548578839778265,4.60345905968656,NA,0.0642008720493159
"3","ARHGEF6",1.59747282157861,6.03100532108838,4.96048895681378,4.2222133031284e-06,0.0138425263143065,3.13169529680575,NA,0.106149451210344
"2","PITPNC1",-0.728535208843283,10.4398605791089,-4.85311922260564,6.39104174661499e-06,0.0139686869108515,3.6877199565107,NA,0.697038039392573
"4","NUDT9",1.8841727003216,5.73460808570732,4.6684758207936,1.29096460996956e-05,0.021162137368926,2.23193201194104,NA,0.0926176514809803
"5","XAF1",-1.34743172766672,7.16304599752792,-4.45321574026315,2.88167870926168e-05,0.0377903345932576,2.16284276137322,NA,0.219816568937002
"6","STIM1",1.24723031987281,6.92395899586133,4.34836444744178,4.23165962512374e-05,0.0462449869365606,1.74479992392896,NA,0.183431062998045
"8","EPSTI1",-1.9512959026333,5.08081628908853,-4.2094067745376,6.98980433910927e-05,0.0654744957879135,0.866338871413189,NA,0.0550293188994136
"7","SH3RF3",-0.889652409449309,8.79006240349729,-4.01559022973728,0.000138706412847247,0.113687243629925,0.909403628166032,NA,0.346113366411066
"9","WARS",-1.64049983349728,5.97320247101146,-3.9297435688797,0.000186831055464462,0.134280407264276,0.413253811468701,NA,0.106149451210344
"10","PPP1R1B",-1.44378464037405,5.4509359224327,-3.90307914394093,0.000204789396468318,0.134280407264276,0.333426123841717,"Metabolism (other)",0.0948729514358743
"11","AC007681.1",2.06526617806808,6.30281262902155,3.82008184542343,0.000271885495192629,0.162068471998006,0.0439425850924211,NA,0.109457224477522
"12","IFI44L",-1.67254951047154,5.44373077341011,-3.64359562853575,0.00049090470492515,0.268238512516184,-0.529736609663516,"Inflammation/Immune/Stress/Toxic/Detox",0.0780333784393324
"13","CACHD1",1.00482883816684,7.99679115545283,3.42682940466599,0.000991404485851958,0.316299693524521,-0.806084421628775,"Transport",0.298451360697639
"14","KATNBL1",0.928025019123032,6.83248573515129,3.43226445850505,0.000974395975055978,0.316299693524521,-0.82916893018505,NA,0.174860923169448
"15","ACSS1",1.24599366351194,6.12903292555054,3.46130991314171,0.000888075679464883,0.316299693524521,-0.840401067321014,"Metabolism or Transport (lipid)",0.14900015035333
"16","SCAF4",1.16110560407364,6.32008585964882,3.43773600332861,0.000957551876515892,0.316299693524521,-0.862380776904017,NA,0.125695384152759
"17","SHC2",-1.07786782409631,6.62401739495889,-3.4066264513007,0.00105711726225219,0.316299693524521,-0.886659961513867,NA,0.163734776725304
"18","TBC1D5",0.575081904699481,9.11629769874917,3.41067191767889,0.00104363834198012,0.316299693524521,-0.909392455687863,NA,0.509697789806044
"19","TSPAN12",-1.74176021408923,5.73624032550407,-3.4400573123261,0.000950489167520843,0.316299693524521,-0.929643416828796,"Matrisome/cell adhesion/binding/signaling",0.0796872650729214
"20","TSPAN12",-1.74176021408923,5.73624032550407,-3.4400573123261,0.000950489167520843,0.316299693524521,-0.929643416828796,"Motility",0.0796872650729214
"21","AL139383.1",1.33323052634391,6.22008091115117,3.40539686968541,0.00106124649344814,0.316299693524521,-0.967200456046836,NA,0.114118177717636
"22","LINC00607",1.85678494564074,5.86718190708647,3.41497749532945,0.00102947101114529,0.316299693524521,-0.982352881499781,NA,0.0724703052172606
"23","GCFC2",1.70295151950171,5.19848938581371,3.46002968500625,0.000891722992359063,0.316299693524521,-1.07192743709095,"Metabolism (other)",0.0658547586829048
"25","TOGARAM2",-1.45996228702808,4.84920439081097,-3.36963347476326,0.00118822287511384,0.319845471577534,-1.16286633509308,NA,0.0640505187189896
"27","RBM41",1.39713902870448,5.51474059693323,3.37206948356003,0.00117913846140867,0.319845471577534,-1.18688669899488,NA,0.07893549842129
"32","ALKBH5",1.46151418802732,5.20601336471083,3.36138353344978,0.00121948098054573,0.319845471577534,-1.30801754520746,NA,0.0643512253796422
"24","CNTNAP2",0.977133055229216,7.08304321018022,3.30072680386262,0.00147423037975858,0.329273704252686,-1.13694172757398,NA,0.218012328973087
"26","PARP14",-0.874123393502315,7.26957942848018,-3.28486378252682,0.0015486709036614,0.329273704252686,-1.17923060873584,NA,0.214704555705909
"28","SIN3B",-1.15364637721735,6.07787090091524,-3.31393603550447,0.00141482273255286,0.329273704252686,-1.22203659810893,NA,0.11156217110209
"29","MAST2",1.09934354417175,6.45321264528117,3.27584328304853,0.00159256149787489,0.329273704252686,-1.26262243934981,NA,0.14178319049767
"30","PROS1",-0.681614201950699,7.57424630793729,-3.24451090622224,0.00175425491256557,0.329273704252686,-1.29043090491905,NA,0.278153661103593
"31","LITAF",-1.1505116192381,6.40634031656604,-3.25437918391339,0.00170173832624235,0.329273704252686,-1.29093380168966,"Inflammation/Immune/Stress/Toxic/Detox",0.124191850849496
"33","CIRBP",-1.02095287903117,6.18322688426805,-3.24412311538646,0.00175634935410833,0.329273704252686,-1.32055277223334,NA,0.159374530145843
"34","CTTNBP2",1.39247333775877,5.97800873371717,3.27077939448248,0.00161770971904019,0.329273704252686,-1.3267292392674,NA,0.0956247180875056
"35","VAT1L",-0.801511437822549,7.06331319778459,-3.19744523381905,0.0020263001166298,0.329273704252686,-1.40658761852237,NA,0.253195008269433
"36","PLCB1",0.655172728140873,9.40048852115748,3.22455594958733,0.00186512664229798,0.329273704252686,-1.44710809510393,"Metabolism or Transport (lipid)",0.485190196962863
"37","EIF4H",-1.29830888902951,5.53923968142304,-3.23051701861741,0.00183133697029508,0.329273704252686,-1.45175205523759,NA,0.0712674785746504
"38","EVL",1.07323602997727,6.40245790616959,3.19340499746901,0.0020514068017566,0.329273704252686,-1.47075949961626,"Motility",0.127800330777327
