"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","AC004052.1",-1.63144624867291,8.23496868526244,-8.52272139763344,5.00515066434185e-15,5.54570693609078e-11,23.6327131096546,NA,0.608991274222532
"2","AC005726.1",1.26434383352735,4.34472822959286,8.04983161203383,9.18893782973284e-14,5.09067155767199e-10,20.0783939024624,NA,0.112350455715465
"3","AC117386.2",-0.981752570064597,7.67145477327867,-7.81541128981245,3.780607911235e-13,1.39630452188279e-09,19.4317216547888,NA,0.494325816321575
"4","SLC30A10",-0.98308339912517,6.48160858129731,-7.75774300282413,5.33772188499022e-13,1.47854896214229e-09,19.0317005398804,"Transport",0.354713376827314
"5","ST6GAL1",1.00612679028543,8.32922275667613,7.50328617242512,2.40866224905865e-12,5.02048014402539e-09,17.6279477378508,"Metabolism or Transport (lipid)",0.658593838532645
"8","AC007325.4",-0.983321261014993,3.38576774916425,-7.48265473362513,2.71867155813649e-12,5.02048014402539e-09,16.5728878167127,NA,0.0810088876657331
"6","LINGO2",-1.58082715238933,6.39819909082609,-7.43920300701812,3.50635188316205e-12,5.55005412363365e-09,17.2278711450389,"Development (differentiation)",0.303589062828836
"7","DOCK9",0.48676291629951,7.17565092908148,7.33726237614084,6.35025755474746e-12,8.79510671332523e-09,16.7031015939969,NA,0.47258422236972
"9","NAV3",-0.897249512165608,6.37900215147411,-7.24896169509606,1.05855290503574e-11,1.30319624308844e-08,16.1739732112115,NA,0.312492917388419
"11","NQO1",-1.13717186844438,4.98718754043897,-7.22136618905306,1.2410122503064e-11,1.37504157333949e-08,15.747391911484,"Metabolism (other)",0.162228230075602
"10","HIPK2",0.47671678958177,7.66874238723587,7.1823292071155,1.55322718985109e-11,1.56452338759546e-08,15.8432286895557,NA,0.570607566657493
"12","FRK",-0.683999441184429,7.87337353329981,-7.1441120476586,1.93363025283917e-11,1.78538526678817e-08,15.630307702599,NA,0.559874374706578
"13","NT5DC1",-0.550203891992876,9.64209831283189,-7.11799946086141,2.24502723202226e-11,1.91345397929282e-08,15.394309280831,NA,0.856275598581859
"14","ABR",0.456238860158089,6.69226360945073,7.01827596543646,3.95994317113065e-11,3.13401216686626e-08,14.9337790003829,"Motility",0.404332129963899
"15","DGKG",1.11336599859524,7.09575036309242,6.92743089595453,6.61530540106597e-11,4.88650558958739e-08,14.4520953571847,NA,0.432516876851597
"16","TENM2",-1.06851878551834,8.71652266850035,-6.90150283751662,7.65351758706137e-11,4.98829263909647e-08,14.2573253612426,"Development (differentiation)",0.642647844457755
"19","RSKR",1.26499494559643,3.49315632479839,6.90320217465822,7.58081137860314e-11,4.98829263909647e-08,13.4642142532474,NA,0.0701138074500979
"17","C1orf21",1.06298366766605,6.68326345028158,6.85836752016661,9.74753759919326e-11,5.68435350521375e-08,14.075106377611,NA,0.363746741998673
"18","DYNC1I1",0.522130670078323,9.39886458100984,6.86654525741329,9.31130593488220e-11,5.68435350521375e-08,14.019667900585,"Cilia",0.818717521166891
"20","RMST",-0.542263307719836,8.76287296133135,-6.67143431612646,2.75265343560762e-10,1.52497000332662e-07,13.016748736587,NA,0.737190591054054
"21","DCDC1",-0.410660948543669,8.8065072223124,-6.63312646281639,3.39829491254587e-10,1.79300512528611e-07,12.8082255456001,"Motility",0.751469136002331
"22","PTPN14",-0.330037355358401,7.93215308477757,-6.58915854658634,4.32428153424e-10,2.17786542724451e-07,12.6260719314064,NA,0.630344336339059
"26","AC105402.3",-3.56257593017129,4.25985525462577,-6.57104457463668,4.77431337645078e-10,2.29997357439455e-07,11.9617264053956,NA,0.110925838985932
"24","CCND3",0.635252155939665,8.31985338339763,6.5392279908246,5.67891982614809e-10,2.62176798640504e-07,12.3376241537557,"Development (cell cycle)",0.676029204642955
"23","CROCC",-0.472908230547763,7.04083587193591,-6.52953070470204,5.98673726132929e-10,2.65332195422114e-07,12.3405276481834,"Cilia",0.493338297906785
"25","XXYLT1",0.643468688501276,6.43126587775535,6.5155570311189,6.45935039688743e-10,2.75267701528895e-07,12.2625626957978,NA,0.334234511340273
"27","CLYBL",-0.557095443335387,8.16273273138933,-6.4180912819794,1.0944268071103e-09,4.49120334177115e-07,11.7197195524738,NA,0.655437017370611
"28","BACE2",0.736744153750705,6.89517275869057,6.39315535487708,1.25153657299465e-09,4.78173283751058e-07,11.6366381191571,"AD",0.417056547570867
"31","SFTPD",-1.16805980618505,3.72246257470584,-6.39797337838109,1.21954539133814e-09,4.78173283751058e-07,11.1524182790537,NA,0.0871606417250814
"29","C1GALT1",-0.442859910351931,7.16303710264885,-6.35754781889101,1.51494212792081e-09,5.59518625912086e-07,11.4528545311625,"Inflammation/Immune/Stress/Toxic/Detox",0.472082368749089
"30","AK3",0.457569411598469,8.35920582631178,6.31832585079891,1.86829512381063e-09,6.67764837800702e-07,11.1880634709511,NA,0.715416619449256
"32","DNAH11",0.364781393637662,10.7031775878554,6.27915627366813,2.30161406259289e-09,7.96933869172787e-07,10.7785839653585,"Cilia",0.960353563970148
"35","C7orf57",-0.931504577779364,4.04019595463537,-6.25091174232719,2.67387143384523e-09,8.97772590515307e-07,10.5615161965241,NA,0.11691570478056
"34","PVR",0.71704879299366,4.62570819727282,6.22957330851751,2.99371197438598e-09,9.75597902241079e-07,10.6136421700412,NA,0.146363180133072
"33","ARSB",0.576638796880497,5.65633578057639,6.22089124683303,3.13433732085054e-09,9.922416432864e-07,10.7346939851612,NA,0.224458079033851
"36","IPCEF1",0.762691423148737,5.4871663871168,6.15094831442517,4.53027149238243e-09,1.37784678571515e-06,10.3663821876944,NA,0.210179534085574
"37","RFX3",-0.321040148046326,9.59367013385145,-6.14799140518229,4.60111291258668e-09,1.37784678571515e-06,10.2211739640995,NA,0.870343688786
"38","AC016831.7",0.481873743851803,7.17206360937831,6.10598268344308,5.73299807747415e-09,1.62875945380548e-06,10.176808236454,NA,0.456443962377167
"39","THOC2",0.358661503650835,7.78149478487256,6.10862578208809,5.65436629636346e-09,1.62875945380548e-06,10.1575669903383,NA,0.627624613491768
"40","DOCK4",0.522132935904836,6.74974992070939,6.07832258580683,6.62296625238317e-09,1.81483681915381e-06,10.0505744815865,NA,0.370335594372764
"41","PTPRE",0.630102637098302,6.00508645352643,6.0756574558598,6.71555140661608e-09,1.81483681915381e-06,10.0361429767025,NA,0.268653575302326
"42","TTC3",0.467899630327103,9.75361239214157,6.05049037604367,7.65480089643505e-09,1.97244637052327e-06,9.71007126452608,NA,0.900892004338606
"43","ATP6V0A4",1.16495560016849,3.57417079617713,6.05269227851776,7.56773144961464e-09,1.97244637052327e-06,9.52613133611051,NA,0.072704019685613
"47","SPAG16",-0.389957102539755,8.69480719774681,-5.92079089817439,1.49473614704554e-08,3.76401738846923e-06,9.15598261208452,NA,0.725227048291269
"44","FAM167A",-0.988313686672074,5.56674915815838,-5.9103874141494,1.57653545246667e-08,3.88178062518459e-06,9.21577010497779,NA,0.254666429230545
"45","SMOC2",-0.639100479537866,6.56759890354416,-5.90078328856021,1.65593020336112e-08,3.97375213374997e-06,9.18270616222603,"Matrisome/cell adhesion/binding/signaling",0.345340046300044
"46","TAB3",-0.492775897732445,6.41784289583316,-5.89730756986939,1.68561687983979e-08,3.97375213374997e-06,9.16903320143656,"Inflammation/Immune/Stress/Toxic/Detox",0.348755888685629
"48","FAM155A",0.985704392604396,6.42555785834771,5.87916466146533,1.84923852000821e-08,4.26865891701894e-06,9.08074306942665,NA,0.276181379611792
"49","EPN2",0.444035476068336,7.41841816104838,5.82588784927624,2.4248317516819e-08,5.26806584483047e-06,8.78154683315791,NA,0.542746596299234
"52","ECT2L",-0.857027262487549,4.5671078804173,-5.82642473595095,2.41823807850939e-08,5.26806584483047e-06,8.69260661069388,NA,0.128377393922715
"55","MALAT1",0.312491611442962,14.3734109119876,5.82726019655864,2.40801239399551e-08,5.26806584483047e-06,8.1825327118258,NA,1
"50","ST3GAL5",0.551542598115054,7.14154838643397,5.81883461472242,2.51310517346994e-08,5.35484717731671e-06,8.76746775119271,"Metabolism or Transport (lipid)",0.454598436159363
"51","RRBP1",0.340912895220713,6.82880321844736,5.81459603915063,2.56765625644196e-08,5.36785496629753e-06,8.75710452890166,NA,0.447200142461673
"53","FTCDNL1",-0.605364419599022,5.40828611757575,-5.74366297222643,3.67248902730899e-08,7.53540341158956e-06,8.40749252329575,NA,0.208771106182513
"54","PPP3CC",-0.313912883491813,8.08818195977913,-5.72715711830074,3.98978638554709e-08,8.03760602761122e-06,8.26910142854147,"Metabolism (other)",0.634601997701187
"56","MBD3",0.506642902837734,6.01654807693078,5.61856410102122,6.85545357782106e-08,1.34900602944732e-05,7.84246334786368,NA,0.361674572210261
"61","AC246817.1",1.33057904425503,3.70318019775996,5.61609411332785,6.93983246195822e-08,1.34900602944732e-05,7.57131673203288,NA,0.0634278221171747
"57","DSCAML1",-0.876564879761588,6.14706653822983,-5.60563444516627,7.3085301895479e-08,1.35016113994004e-05,7.78456046773083,"Development (differentiation)",0.266370950769779
"58","MIR100HG",0.642532883440125,6.90303042880484,5.60221398667501,7.43319761158328e-08,1.35016113994004e-05,7.75005237002713,NA,0.371112658043418
"59","C14orf132",0.724753665034439,4.5375102587771,5.60230854475213,7.4297234621173e-08,1.35016113994004e-05,7.68673408235586,NA,0.148500105227372
"60","TTC28",0.224484416687842,8.57703354669547,5.60962397319381,7.1656991660819e-08,1.35016113994004e-05,7.66335378877945,NA,0.749558854478639
"65","CHST11",0.370645284111441,10.05614177108,5.59548084733046,7.68469884946071e-08,1.37333005245201e-05,7.45256416178472,"Metabolism (other)",0.924252480937657
"62","ITPR2",0.466345051009291,6.66882745522351,5.55621641922819,9.32546353970113e-08,1.61447087531076e-05,7.54334141310428,NA,0.374690388693724
"63","ZBTB46",0.387996485727416,7.07113738788991,5.55920983423989,9.18918412222185e-08,1.61447087531076e-05,7.53458009186019,"Development (cell cycle)",0.456719172427191
"64","C4orf47",-0.525623281812735,7.32135304387598,-5.5518804106665,9.52636973201928e-08,1.62387964047344e-05,7.49625347898668,NA,0.495135257645173
"66","RIMBP2",0.442667926372388,8.31250088479572,5.53225685609816,1.04896769501986e-07,1.7609942516394e-05,7.31310223206991,NA,0.662268702141782
"67","HOPX",0.513209109227392,7.23952903101161,5.51301550008094,1.15262085406833e-07,1.90612523329509e-05,7.30766907084311,NA,0.453384274173965
"69","ARHGAP10",0.837451730440623,8.20157756075425,5.50842772164779,1.17877305819365e-07,1.92070668893907e-05,7.21194437837889,NA,0.613961243949426
"77","MAGI2",-0.213208751368895,10.1657276453076,-5.49895982814995,1.23458632989849e-07,1.98249515003989e-05,6.97528478587591,"Matrisome/cell adhesion/binding/signaling",0.934176231564974
"68","KCNJ13",-0.900479182617706,6.21078595725359,-5.48428410427577,1.32622873709096e-07,2.04091866763441e-05,7.22624462542129,"Transport",0.292467339042593
"70","KIT",1.27948130472012,4.42401244246795,5.48542369097617,1.31888127787571e-07,2.04091866763441e-05,7.15387152618258,NA,0.122630360525166
"75","ADCY3",0.798040966013928,3.68693878531595,5.48651707515077,1.31186902557157e-07,2.04091866763441e-05,7.00509430447477,NA,0.0753104207476
"76","NEK11",-0.32017731151249,9.05664090827581,-5.47891917657638,1.36135864860413e-07,2.06628134610051e-05,6.99528996890478,NA,0.805734082336371
"71","CASK",0.577391497262291,7.1167741085027,5.4702234968936,1.42023427024765e-07,2.12651293437081e-05,7.11795546520727,NA,0.463728934289553
"72","IRS2",0.576654698773636,6.7253839879426,5.45503641654299,1.52906862092628e-07,2.25894404264842e-05,7.06848904703393,NA,0.408023182399508
"74","DHFR",-0.922826271982329,4.80779605644851,-5.44725929261479,1.5879067870615e-07,2.31500094745282e-05,7.01309109779038,"Metabolism (other)",0.179582652053553
"73","AL445426.1",0.672519450267882,6.47952847150464,5.44239261403878,1.62584224711716e-07,2.33952364909847e-05,7.02055663051487,NA,0.329474996357514
"78","MROH7",-0.6199588068774,8.03029997798006,-5.43051884890622,1.72214200853731e-07,2.44632480187095e-05,6.86726667706856,NA,0.607210503310615
"79","DLG1",0.337085967485903,8.07533761601415,5.41353055299905,1.86964994034833e-07,2.58946516738244e-05,6.78959737474459,"Polarity",0.639750044519273
"81","GSTM5",-0.973107101420558,3.75366102743482,-5.4151898711922,1.85471629035466e-07,2.58946516738244e-05,6.70601346626737,"Metabolism (other)",0.0803937122597983
"80","SPATA17",-0.413094235490819,7.99996607120106,-5.40448326386001,1.95315819018568e-07,2.6717274996614e-05,6.74965712092088,NA,0.61300610318758
"82","RTN4",-0.343292394374082,7.05787045618894,-5.37175929749615,2.28664623374189e-07,3.08976100851953e-05,6.677200031167,NA,0.449288501076557
"86","AC003666.1",-1.25585070224883,3.50053516234571,-5.32884241081423,2.80904830083632e-07,3.74991026183933e-05,6.27917508408562,NA,0.0532774279192501
"83","PPP2R2B",0.741938628285555,4.9857602967895,5.31875457093904,2.94776822530308e-07,3.84250258074802e-05,6.45725879581971,"Metabolism (other)",0.140081915461948
"93","LARGE1",0.537644478486651,10.4556709721965,5.32105572000962,2.91554932074884e-07,3.84250258074802e-05,6.10598296382935,NA,0.943258163215749
"84","PDE9A",0.913872882594085,4.07299020670906,5.31315034114334,3.02769077393722e-07,3.90079229944469e-05,6.31934815747353,"Metabolism (other)",0.0980719107671885
"85","SNTG2",-0.607160165691154,7.67253771953467,-5.30054377826885,3.21525864751795e-07,4.09483515109183e-05,6.29961720497974,NA,0.520519337553221
"95","STK33",-0.300883209837851,9.53491349103186,-5.28537000581103,3.45605247368501e-07,4.35148425095795e-05,6.05892479354227,"Development (apoptosis)",0.863900535850156
"90","PACS1",0.303220117739656,7.53117876091362,5.27311284676236,3.66329062402822e-07,4.56059102407109e-05,6.18934405941904,NA,0.546939502355474
"88","ETV6",0.433604389540823,6.60537083431224,5.26565459372032,3.79525471434265e-07,4.57080676466484e-05,6.21697170480322,"Development (differentiation)",0.359553835942433
"89","IL16",-0.419387078882754,6.89444489431534,-5.26664505883175,3.7774670658355e-07,4.57080676466484e-05,6.20452123385213,"Inflammation/Immune/Stress/Toxic/Detox",0.435689886840103
"92","CASC2",-0.379454880250549,7.83495426294825,-5.26567621725848,3.79486551120519e-07,4.57080676466484e-05,6.13173947034728,NA,0.572954946495928
"87","SLC22A23",0.533692742043409,5.89914875933183,5.26290732765687,3.84502001358196e-07,4.57250157896004e-05,6.22889072954099,"Transport",0.268329798772887
"91","TCTN1",-0.34596066852431,6.955974855061,-5.26074951125301,3.88455223683117e-07,4.57250157896004e-05,6.17758585559153,NA,0.470301597837173
"96","DIRC3",0.86992897487688,8.49339744785385,5.25880763183219,3.92046615524552e-07,4.57250157896004e-05,6.03320835770053,NA,0.519758462709038
"94","AC104035.1",1.31044141077641,4.13234964834736,5.25024794643134,4.08265898558783e-07,4.71206891253262e-05,6.08969338628065,NA,0.088925223810526
"97","DNALI1",-0.509515649372582,5.18419849015371,-5.21574553659033,4.80516352223819e-07,5.35329810414498e-05,6.00783191690022,"Cilia",0.196192388013793
"100","HIF1A-AS3",-1.02049154415084,7.71208192942897,-5.21247328287089,4.87981144872422e-07,5.35329810414498e-05,5.9005092691367,NA,0.49453627106571
"101","CFAP299",-0.623503245268146,8.2747598711065,-5.22051110430832,4.69843159459015e-07,5.35329810414498e-05,5.87867064454096,"Cilia",0.593482378462385
"106","OAF",0.854233667145245,3.09256164136193,5.21511430566286,4.81947645564701e-07,5.35329810414498e-05,5.73246650133764,NA,0.0519823218014926
"107","SLC23A2",-0.5801263379677,9.56203478930593,-5.214502442951,4.83338977424975e-07,5.35329810414498e-05,5.7239189613759,"Transport",0.857425005261369
"98","NT5DC2",0.59959086144072,5.28833278050214,5.20794370289512,4.98500488772521e-07,5.36708584887237e-05,5.9888143287166,NA,0.274125398649852
"104","ZFHX3",0.494848752334362,8.84670922371417,5.20776250461352,4.98925850572071e-07,5.36708584887237e-05,5.77390587702512,NA,0.76263942626799
"99","FAAH2",0.715389157054574,5.77527467822136,5.20060513900484,5.16012846865866e-07,5.44540720299603e-05,5.95601969217807,NA,0.224393323727963
"102","CEACAM19",0.780141717408368,4.16078908193524,5.20059564682634,5.16035881150346e-07,5.44540720299603e-05,5.8604914005864,NA,0.114665457900957
"103","NEK5",-0.481175753231477,6.49286773313626,-5.1792215179195,5.70520172124945e-07,5.96355047843811e-05,5.83901536955251,NA,0.364669505107575
"115","OTX2-AS1",-0.493081364509012,10.5637268003319,-5.17008252667757,5.95486212678246e-07,6.16634321165885e-05,5.42147000336602,NA,0.92239076589338
"105","ZNF365",0.920419141026997,4.4633891528454,5.166094328185,6.06710988090303e-07,6.22440532225977e-05,5.73610651303577,NA,0.116672872383481
"110","SYT1",0.915546764234271,3.89360585077985,5.15868573138235,6.28110544409174e-07,6.38483012115014e-05,5.65861323714542,NA,0.0848294507131178
