"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","AC105402.3",-3.58451347426351,5.33034458858959,-6.08855237300151,1.46499763706571e-08,7.74690750480345e-05,7.99489868557503,NA,0.0945502298095863
"2","TTC3",0.500513607581856,10.1715091667913,4.984464202606,2.15613917317985e-06,0.00570083197388753,4.58579856591699,NA,0.617465528562049
"3","PITPNM2",0.851356786621415,8.56103491149257,4.76863646871312,5.35383472473642e-06,0.00648050334524762,3.81413589259311,NA,0.337623112278398
"4","FAM117A",0.718706422128911,7.1511213724107,4.73610627923549,6.12755611313126e-06,0.00648050334524762,3.65510505485819,NA,0.138476690741957
"5","PIFO",-1.18108641597986,6.02062939517493,-4.80437475851861,4.61298727161778e-06,0.00648050334524762,3.53293102924087,NA,0.0707156927117531
"6","SLC5A3",0.65352337755869,9.71692401819785,4.63761461559946,9.18931824553032e-06,0.00740577039198881,3.24391535211141,"Transport",0.484963887065003
"7","HTR2C",-0.477913504310053,11.3201053777133,-4.6217740780161,9.80340256125598e-06,0.00740577039198881,3.04456821564508,NA,0.852659225213395
"8","AHCYL2",-0.441841044457091,10.2876675983501,-4.57425430585563,1.1893162186532e-05,0.00786138020529767,2.96866656808992,NA,0.679120157583716
"9","PPP1R1B",-0.667588888718058,9.12009011949981,-4.42683791476035,2.14871108130907e-05,0.0126248713310693,2.51483353125043,"Metabolism (other)",0.405515430072226
"10","KCNJ13",-1.12715786196736,6.90101263552479,-4.39010601140696,2.48517899685958e-05,0.0131416265353935,2.34336643758046,"Transport",0.121930400525279
"11","EEF1A1",-0.469931095679619,10.6928634159014,-4.28299108172425,3.78158536708334e-05,0.0181791122010334,1.86243932178084,NA,0.676165462902167
"12","FAM177B",1.15968175657807,6.17262470997786,4.06494173561489,8.70436741497376e-05,0.0357450916842453,1.15986403998025,NA,0.0773473407747866
"16","GPX3",0.529690457625664,11.7163754743887,4.06240985874798,8.78756036110419e-05,0.0357450916842453,0.935640058270207,"Inflammation/Immune/Stress/Toxic/Detox",0.847997373604727
"13","SPARCL1",0.585112720391407,8.98554902798166,4.00893384628916,0.000107330600816187,0.0360597836284707,1.03198167040531,"Matrisome/cell adhesion/binding/signaling",0.368942875902823
"14","SLC30A10",-0.891835663551556,6.29041862605223,-4.00452416600327,0.000109106758331228,0.0360597836284707,0.994658786069708,"Transport",0.085489166119501
"18","MTRNR2L12",0.60797084410763,11.4719829113895,4.01042137554098,0.000106737701751162,0.0360597836284707,0.775189578111285,NA,0.695797767564018
"15","GABARAP",-0.69890015255944,6.99078364769911,-3.9777504180645,0.000120508714157528,0.0374852988508829,0.993736761653845,NA,0.121339461588969
"17","ADD3",-0.541408528378521,7.82071427937009,-3.94182450182432,0.000137606090898139,0.0404256115927421,0.874420547269573,NA,0.200131319763624
"19","PPP1R12C",0.580136610729316,7.28160386464503,3.88816295499571,0.000167513437598554,0.0442905529010576,0.716856586175256,NA,0.146552856204859
"20","APOE",-1.06755880493154,6.21375095172209,-3.89230147123068,0.000165002455441571,0.0442905529010576,0.627514374588199,"Metabolism or Transport (lipid)",0.072225869993434
"21","NUCKS1",-0.48934213336816,8.05641817503658,-3.85466222816978,0.000189222598121132,0.0476480523268833,0.583684731364754,NA,0.226198292843073
"22","RIMBP2",0.584510691467309,7.60795038107376,3.84168871361464,0.000198328553109468,0.0476709722201304,0.555015159182746,NA,0.191070256073539
"23","CKB",-0.773277272988086,7.26113085119992,-3.80843175041379,0.000223613830028519,0.049269580549617,0.462574291890964,NA,0.14510833880499
"24","AL022068.1",-0.859804057225195,6.29020110295363,-3.81736192865831,0.00021653854139168,0.049269580549617,0.416269714387094,NA,0.0894287590282337
"25","PDE10A",0.918876927937079,6.29635237816648,3.78105884811499,0.000246695707959775,0.0521810761476515,0.320489757735322,"Metabolism (other)",0.0842416283650689
"26","FRK",-0.578462742791252,7.55210637433524,-3.69315579428565,0.000337091866065986,0.0651205770916609,0.0924690083535182,NA,0.181746552856205
"27","NQO1",-0.950800965575185,5.89956027280301,-3.68218731625921,0.000350359497536824,0.0651205770916609,-0.0615694194763812,"Metabolism (other)",0.0673670387393303
"30","CP",0.561500055376505,9.4997671085633,3.67812676457063,0.000355395490971129,0.0651205770916609,-0.117789356022435,NA,0.452724885095207
"31","ZNF345",1.07581652491444,5.68588879867718,3.67674183885387,0.00035712873215926,0.0651205770916609,-0.131454040848789,NA,0.0542350623768877
