"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","OTX2-AS1",-0.771428575695623,10.747618377036,-9.78525838217747,5.50871525841135e-19,4.8531781426604e-15,32.5108892833339,NA,0.803854150468522
"2","FRK",-0.802945968064239,7.8786612575601,-9.52948099960076,3.16851024570947e-18,1.39572876323502e-14,30.7920504773107,NA,0.373312753290983
"3","TENM2",-1.14800688547231,9.05294793544008,-9.4644197619716,4.93033170753075e-18,1.44787407811153e-14,30.3651618629009,"Development (differentiation)",0.545140748675832
"4","BACE2",1.0333280450405,7.18360387678949,9.31980162613231,1.31162244911338e-17,2.88884844417223e-14,29.4004207413987,"AD",0.284714903060705
"5","SCAI",-0.351266324204899,8.31911223237816,-9.17693532883099,3.42728149574934e-17,4.99557463321435e-14,28.4699780477131,NA,0.47394186521992
"6","LINGO2",-1.46539712452077,6.70735278928607,-9.17696552281338,3.42658808612567e-17,4.99557463321435e-14,28.4491404812175,"Development (differentiation)",0.212083863672578
"7","ST6GAL1",1.02032548278407,8.61079922102486,9.13897352492264,4.41912076269933e-17,4.99557463321435e-14,28.2214942196605,"Metabolism or Transport (lipid)",0.508409596596614
"8","AC004052.1",-1.75968117492303,8.51199742412786,-9.13506176751688,4.53627662493925e-17,4.99557463321435e-14,28.1961434120766,NA,0.447013110178098
"9","PPP3CC",-0.361349800779175,8.26096890714263,-8.84710228130394,3.07186822516646e-16,2.38987832482165e-13,26.328390015702,"Metabolism (other)",0.459292023505787
"10","XXYLT1",0.667981685765118,6.63563923040579,8.83996909868259,3.21981460061443e-16,2.38987832482165e-13,26.2712543685183,NA,0.226309433991242
"11","FAAH2",0.893643266454047,6.02625409403337,8.83831002332193,3.25522586808851e-16,2.38987832482165e-13,26.2339646596762,NA,0.157944145918644
"12","SFTPD",-1.15535176919575,3.97574775756677,-8.83985565570166,3.22222370258209e-16,2.38987832482165e-13,25.8946822051656,NA,0.0534159606675459
"13","AC117386.2",-0.970325201230021,7.87312769668972,-8.74296717411223,6.09379634862504e-16,4.12971891010666e-13,25.6616129072967,NA,0.344061064364466
"14","CHST11",0.549874262145558,10.3462505630658,8.66858747525132,9.9170581906714e-16,6.24066304712965e-13,25.1750149513791,"Metabolism (other)",0.784552681644791
"15","PVR",0.807174194546183,4.87756434841247,8.64279613094942,1.17361036956608e-15,6.89300490391811e-13,24.8987617996642,NA,0.0937658981787046
"16","TAB3",-0.565906236711415,6.53490982207352,-8.60965643522836,1.45664866629313e-15,8.02067171877652e-13,24.8031706406763,"Inflammation/Immune/Stress/Toxic/Detox",0.225489687901354
"17","CEACAM19",0.90974302249489,4.49273680062864,8.55739214318112,2.04639992574457e-15,1.06051666740057e-12,24.304643557838,NA,0.0749789304137318
"18","FGD4",-0.391663096696955,8.23792999109236,-8.52932926312787,2.45520044689098e-15,1.1384376809005e-12,24.3003262988865,NA,0.468572240364144
"19","AC005726.1",1.16562917439972,4.71845024005965,8.53582328648237,2.35393369544713e-15,1.1384376809005e-12,24.2113046896701,NA,0.0808285002870071
"20","ARSB",0.550421216077699,5.92314149077073,8.46653499797962,3.6866046655133e-15,1.62394935515861e-12,23.88515605047,NA,0.154995363731131
"21","FTCDNL1",-0.596789330498924,5.50064877253281,-8.36997999923204,6.86836071059824e-15,2.88144085049383e-12,23.259343025191,NA,0.126238978062673
"22","VOPP1",0.485154918219235,7.44245320020871,8.34140232806636,8.25169753019747e-15,3.30442978368362e-12,23.123654632852,NA,0.343817252295577
"23","CROCC",-0.4999328955594,7.22022225323649,-8.33148417510774,8.79365271672452e-15,3.36835132323231e-12,23.0633458460187,"Cilia",0.328418696354146
"24","SGK3",-0.397004423967896,8.88007311655935,-8.31760254595645,9.6118734927243e-15,3.52835856128755e-12,22.9623255473931,"Development (cell cycle)",0.581092470046631
"25","SGK3",-0.397004423967896,8.88007311655935,-8.31760254595645,9.6118734927243e-15,3.52835856128755e-12,22.9623255473931,"Transport",0.581092470046631
"26","SLC4A10",-0.47517483489485,10.2059887504652,-8.28065590167031,1.21756457875744e-14,4.29069757554123e-12,22.7213279653671,"Transport",0.762075896585287
"27","EPN2",0.512622730058379,7.60349895858538,8.26935006317664,1.30878567015797e-14,4.43476990541988e-12,22.6740298034345,NA,0.381898009764001
"28","ABRAXAS1",-0.620398795342942,6.37440639599843,-8.23576069143251,1.62166686735711e-14,5.29143892645041e-12,22.468624459055,NA,0.209770528688233
"29","SMOC2",-0.801585385510714,6.67472904897701,-8.21351211649143,1.86861372531538e-14,5.87945961429589e-12,22.3291999294583,"Matrisome/cell adhesion/binding/signaling",0.224998224203435
"30","NAV3",-0.842094084190289,6.56218873377228,-8.20409006896303,1.98409993874739e-14,6.02755877943604e-12,22.2712784597624,NA,0.211838131823618
"32","UBTD1",0.644905567652662,4.78528891469211,8.15821088817104,2.65561910162716e-14,7.79866809511176e-12,21.8974333702521,"Metabolism (other)",0.0837427264332598
"31","ETV6",0.54174429770386,6.82586530595699,8.14911974936783,2.81326061787936e-14,7.99510517532813e-12,21.9335946865108,"Development (differentiation)",0.253998421940782
"33","ECT2L",-0.862890368804239,4.6570631752113,-8.09472556687679,3.96970444012074e-14,1.09290925367074e-11,21.4890845175185,NA,0.0785919565054627
"34","PDE9A",1.0142839948337,4.36712927027486,8.05886381488799,4.97822553265422e-14,1.32903536189951e-11,21.230595746358,"Metabolism (other)",0.0685879825607178
"35","RMST",-0.547276686770867,8.90638238110263,-8.02609533798189,6.11947904395664e-14,1.54036029649309e-11,21.1562856391792,NA,0.560938618871822
"36","SNHG26",0.704580023655917,4.82941004831817,8.02925539509524,5.99899017832455e-14,1.54036029649309e-11,21.1257898099645,NA,0.0973251704284757
"37","ATAD2B",-0.260281095032023,7.7578394885221,-7.9730556177809,8.53899681210635e-14,2.03320437607181e-11,20.8468506079619,NA,0.396156216343856
"38","AHCYL2",-0.371590558087422,10.311126211118,-7.97373335203733,8.50278375501886e-14,2.03320437607181e-11,20.8227641119254,NA,0.815169334201074
"39","SEC24D",0.624992730245409,5.72126736771595,7.96357744317939,9.06172361820165e-14,2.10088908095675e-11,20.786276202466,NA,0.146220049031183
"40","IRS2",0.76765398059811,6.77491989259909,7.89840766176997,1.36206539288438e-13,3.07687079777214e-11,20.4021868295692,NA,0.250581213416191
"41","CHKA",-0.461277120467968,7.35368063189296,-7.86995130945575,1.62644467253521e-13,3.5822443912588e-11,20.2260989903027,NA,0.332684447669675
"42","TENT2",-0.279497465530364,7.82521686191915,-7.86079760613549,1.72183028331413e-13,3.69983531609695e-11,20.1624230384827,NA,0.401412574175502
"43","NAP1L4",-0.35198299082566,7.78337214939243,-7.82289880980459,2.17923296135328e-13,4.5712005689339e-11,19.9338230853251,NA,0.398719122737299
"44","SLC38A11",-0.64216611873251,8.06279744762846,-7.79769168969019,2.54805084026706e-13,5.22054137273321e-11,19.7799989905407,"Transport",0.32669473385129
"45","C1orf21",0.986587846872808,7.00256508872923,7.69978327906786,4.66489373051331e-13,9.28110993963753e-11,19.2046857773913,NA,0.257509699688804
"46","ERGIC1",0.43140892944276,6.14876803663037,7.69518807901986,4.79870492901092e-13,9.28110993963753e-11,19.1840014127728,NA,0.189002347891026
"47","GABRA3",-0.448984580992263,7.35040500013407,-7.693594753677,4.8459824883465e-13,9.28110993963753e-11,19.1655310745325,NA,0.299272595331479
"48","TENT5A",-0.616123161677932,5.32603511793801,-7.65895975240037,5.99538834585379e-13,1.12381641121217e-10,18.9510679240783,NA,0.1116428901905
"49","ATP13A4",-0.347161732800565,7.86649890091276,-7.64333601565128,6.59842370624947e-13,1.21108568441787e-10,18.8549238003585,NA,0.389842059693641
"50","AC016831.7",0.63596793236638,7.41524495943614,7.63796290705876,6.81936364075689e-13,1.22609374847078e-10,18.8313775614175,NA,0.328581877660095
"51","OSMR-AS1",0.572261140832313,5.91868370099168,7.623753794285,7.43948903098905e-13,1.31083796726027e-10,18.759385110004,NA,0.165527277195125
"52","ENTPD3-AS1",-0.412051828640615,5.48851562811295,-7.6121507014154,7.9869535699336e-13,1.37970707747284e-10,18.681619994373,NA,0.126609495616182
"53","SLC25A12",-0.378203685935631,7.37740002975142,-7.60509316349237,8.33922454797479e-13,1.41285708207034e-10,18.6387002680076,"Transport",0.341310019524163
