"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","BCL6",1.34112136712351,8.23086254999273,9.9278024173615,5.16981272972211e-19,4.33592193641793e-15,32.5935994547841,"Development (differentiation)",0.491651619518937
"2","PATJ",-0.903879743819118,8.68244737897203,-9.17777910131082,6.99984958415257e-17,2.93538692311438e-13,27.7814189227306,NA,0.51440067767895
"3","TMEM30B",-1.4159291513167,4.35614100635211,-9.05304183536137,1.56259625524547e-16,4.36849826424791e-13,26.4957438456378,NA,0.0518179183664371
"4","AHCYL2",-0.450148140226926,10.370709015395,-8.90767567375841,3.96263244964539e-16,8.30864958879397e-13,26.0328520018499,NA,0.829008671615506
"5","SFRP2",-2.00197012642697,6.28074899896293,-8.82337168524948,6.77932133538626e-16,9.61785212480862e-13,25.534567838945,"Development (differentiation)",0.164013910252123
"6","FGL2",-1.5495861461264,5.230503135428,-8.82104033341579,6.88054283401117e-16,9.61785212480862e-13,25.3142566336146,NA,0.0948639069083127
"7","USP25",-0.743900315284416,8.15971810372216,-8.4108415935239,9.10151926640152e-15,1.09049202981871e-11,23.036443989818,"Metabolism (other)",0.428152656100225
"8","ID4",-1.392097206285,4.95039452734084,-8.32296960152215,1.57172888524612e-14,1.6477612700699e-11,22.335451965346,NA,0.0661628658686105
"9","OGN",-1.23321138155157,5.95955773041155,-8.20717649107847,3.21614167301913e-14,2.99708669017905e-11,21.7839892127179,NA,0.150861588532959
"10","ZNF10",-1.00279315799158,6.46649829770219,-8.17287404152472,3.97260023991475e-14,3.02892711019682e-11,21.6099335911757,NA,0.178693238814954
"11","CPLANE1",-0.509771642408694,8.4896797456705,-8.17675477128355,3.87886694568919e-14,3.02892711019682e-11,21.6053760778492,"Cilia",0.505260928687666
"12","NPAS2",0.921726672147543,7.19000055655495,8.15647999112438,4.39397699547704e-14,3.07102375508883e-11,21.5176618410824,NA,0.278884950623063
"13","C8orf34-AS1",-2.16185257322666,5.88490069662413,-8.03756609407145,9.10374274425246e-14,5.4537921711461e-11,20.8013941848467,NA,0.1076372634254
"14","CACNA2D3",-0.952869952599375,10.278429514273,-8.04338960211343,8.78571819721893e-14,5.4537921711461e-11,20.7449837069875,"Transport",0.746706346552531
"15","CYP1B1",1.49855415703078,7.60662990058498,8.0087918872326,1.08504070881565e-13,6.06682428322458e-11,20.6326445341295,NA,0.27522905102655
"16","SULF1",-0.564349684216712,9.85333549351774,-7.96548924267243,1.41226574668405e-13,7.40292051089945e-11,20.2882077427533,NA,0.682538621012506
"17","SLC38A2",-0.938450034347034,8.93184966174017,-7.85630708338827,2.73667135780605e-13,1.35014486340702e-10,19.6834065413698,"Transport",0.519360663412024
"18","SAMD4A",-0.879759387003913,9.33106159499877,-7.73485319986309,5.68271409741598e-13,2.50846963868568e-10,18.9494038466429,NA,0.570755032434963
"19","ADIRF",-1.33015901297201,4.85269583757551,-7.73972754169188,5.51908383852361e-13,2.50846963868568e-10,18.9120545657587,"Development (differentiation)",0.0759267928397869
"20","CCN2",-2.27573051872495,5.58917322762232,-7.70436788658445,6.82063577756089e-13,2.86023361332016e-10,18.7760020294514,"Development (differentiation)",0.138913038632159
"21","NR4A1",-1.35993956146943,6.64913804975555,-7.59135261595262,1.33759069068206e-12,5.34208243940496e-10,18.2039200973623,"Development (apoptosis)",0.183619786441963
"22","TIMP2",-0.601033928903284,7.12988288704944,-7.51642432451455,2.08467760379759e-12,7.9473595741138e-10,17.7667862517614,NA,0.279988408123231
"23","AZIN1-AS1",-1.06515094419152,6.12308696912669,-7.50848185072921,2.18478948546358e-12,7.96688235416655e-10,17.7272896517721,NA,0.174424307273903
"24","DNAH14",-0.540804354798345,8.01986278066094,-7.48916154075433,2.44858776371307e-12,8.55679398927562e-10,17.577571073374,"Cilia",0.398927751398827
"25","RABGEF1",-0.524795054719649,7.62181128401714,-7.47829761686172,2.61050390611383e-12,8.75771850423068e-10,17.5301813406105,"Transport",0.354744867250719
"26","AC109466.1",1.11556547195421,4.72589392538147,7.45875757080088,2.92879507396519e-12,9.44761703282542e-10,17.3624589763749,NA,0.0876747141041931
"28","CCDC69",1.02853278220632,4.3341104489731,7.44497635290059,3.1760500561556e-12,9.86575252628778e-10,17.144255708084,NA,0.0568224882409327
"27","CUX1",0.560183548096714,9.42788981973498,7.43322873785197,3.40302393543682e-12,1.01932720523245e-09,17.1891414794984,"Development (differentiation)",0.698087340333044
"29","DISP1",-0.512882559167811,7.58525110112186,-7.3717899761376,4.87800212397946e-12,1.41075185564882e-09,16.9312229973647,NA,0.321139570654718
"30","NPNT",-1.27268807155585,7.29453324254765,-7.3514805441443,5.49268517958852e-12,1.53557168670697e-09,16.8353725704628,NA,0.288994404690252
"31","KCNMA1",-0.765819353341891,12.2360108418046,-7.33222470331322,6.14588264875492e-12,1.66275863790669e-09,16.5080327966697,"Transport",0.868153547783054
"33","HMGN1",-0.888076922086781,4.86275785719103,-7.29724823178264,7.53443537382792e-12,1.97472842125921e-09,16.4302180077537,NA,0.0857464499877394
"32","ARNTL",0.807903987393747,5.85076229618323,7.28254186528819,8.20692665212956e-12,2.08580284337608e-09,16.4376873789528,NA,0.143471767092445
"34","PER3",-0.8982059184885,6.46773269876032,-7.25838875008066,9.44222356431607e-12,2.32917438335055e-09,16.3222455128024,NA,0.192280255912972
"35","PRRX1",0.999146024504901,7.09478214264216,7.2444396947039,1.02374708822407e-11,2.45319052255294e-09,16.2402071648806,NA,0.231625760716913
