"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","AHCYL2",-0.534200549383278,10.0842252459377,-11.6549258734361,3.07631578211152e-24,2.64440104630307e-20,44.4023842213426,NA,0.773875685941957
"2","FGL2",-1.65303096124433,4.8119015606897,-9.67003136899321,2.32482044793272e-18,9.99207828521482e-15,30.3985526731486,NA,0.0718355561473715
"3","BCL6",1.24119566868249,8.21328036129038,9.22776507534028,4.27048917068647e-17,9.41827228409205e-14,28.2676322981454,"Development (differentiation)",0.488299564781655
"4","CACNA2D3",-1.12903374614177,9.75876373966112,-9.22379222279575,4.38263019269058e-17,9.41827228409205e-14,28.2428064820298,"Transport",0.592156258103401
"5","SFRP2",-2.04646487803282,5.8702226066192,-9.16349736076458,6.49167534089723e-17,1.11604882460705e-13,27.6975793463391,"Development (differentiation)",0.125470435288429
"6","CPLANE1",-0.520855814850287,8.32058997619078,-8.99319259076767,1.95860235301613e-16,2.80602430442111e-13,26.7834618215029,"Cilia",0.482847070861396
"7","KCNMA1",-1.00418827655644,11.6327021333066,-8.8481054311574,4.98536339480877e-16,5.38117170381004e-13,25.8388134226905,"Transport",0.698339722609628
"8","C8orf34-AS1",-2.24886584569521,5.5010303775637,-8.82903743526192,5.63407926178343e-16,5.38117170381004e-13,25.6266384491265,NA,0.0841211883353074
"9","HMGN1",-0.854628988568492,4.74540857203977,-8.83018759716568,5.59267743707138e-16,5.38117170381004e-13,25.291890787824,NA,0.0797690048848178
"10","ATP1B1",-0.814912537807096,6.89423622558551,-8.70493868234447,1.24571051120516e-15,1.07081275543196e-12,24.9704831265397,NA,0.215646835380939
"11","LRP1B",-0.503140893863767,11.8387780404357,-8.66177134464951,1.63984385526856e-15,1.28146343453532e-12,24.6681126087666,"Metabolism or Transport (lipid)",0.911078094009966
"12","NPAS2",0.802222065502592,7.32494570483814,8.44033185233859,6.65557698469838e-15,4.76761164670561e-12,23.3441005515376,NA,0.297280060552118
"13","SLC47A1",-1.30264842837929,7.6702520799245,-8.41478813282792,7.81480944515698e-15,5.16739246081303e-12,23.1911815977188,"Transport",0.281371112995578
"14","SULF1",-0.683704416337235,9.43302500844844,-8.36616237798444,1.0602342348864e-14,6.5098382022025e-12,22.873048481942,NA,0.571579751484018
"16","PPM1E",1.0136630018866,5.4926416571121,8.3449637800997,1.2107381621664e-14,6.93833682798823e-12,22.6145208627045,"Metabolism (other)",0.11177612536531
"15","PARD3B",-0.428052126639738,10.1396698225912,-8.33383088688907,1.29807264872962e-14,6.97389530529986e-12,22.6625981720709,"Matrisome/cell adhesion/binding/signaling",0.770077161899823
"17","PATJ",-0.751635108296165,8.72683680242593,-8.3105025985298,1.50184085213195e-14,7.59401409701544e-12,22.5425335313981,NA,0.535781115308332
"18","USP25",-0.68125403587505,7.920007953692,-8.28122172904738,1.80298676365043e-14,8.61026345574395e-12,22.3785816725847,"Metabolism (other)",0.392509478789238
"19","TFPI",0.974709760559988,6.37039778517911,8.24971378994839,2.19408925433419e-14,9.92652170013511e-12,22.1339364572179,NA,0.159986543973873
"20","MAML2",0.779132574628965,9.07703228980941,8.1827853964806,3.3255698326821e-14,1.42932991408677e-11,21.7573063122427,NA,0.49413751778368
"23","ADIRF",-1.29895564646937,4.48517258793083,-8.17011040050284,3.59743896948602e-14,1.47255168484294e-11,21.3094791898589,"Development (differentiation)",0.0610987686334424
"21","AZIN1-AS1",-0.946212192619345,6.1799912137643,-8.14221312293899,4.27581969102296e-14,1.67067936654697e-11,21.5002778950468,NA,0.177072893816535
"24","CEP152",0.709802325477394,5.56261724214842,8.11295442019963,5.12362008932908e-14,1.91489731686404e-11,21.2327758005934,NA,0.118321921408397
"22","CYP1B1",1.35002118760119,7.25156861563262,8.10429587921424,5.4050394714517e-14,1.93590497069162e-11,21.3110962071986,NA,0.228402026813935
"27","LIN7A",0.910499081812174,5.09156702209734,8.0904777163858,5.8861921475835e-14,2.02390830802511e-11,21.0279709354068,"Polarity",0.085564907805196
"25","RHEB",-0.512702873969231,7.18787635428182,-8.07291239096557,6.55948646908093e-14,2.1686671418546e-11,21.1197705583372,NA,0.291792524897153
"26","CREB3L2",-0.421879830063744,8.11045405739122,-8.0597188670043,7.11486509420605e-14,2.17969270878085e-11,21.0366825940286,NA,0.413114018796386
"28","LMO4",-1.10018148253137,6.45819998629867,-8.05435947458605,7.35354683046122e-14,2.17969270878085e-11,20.9946218724072,NA,0.17070931479392
"29","FOXP1",-0.592601199875789,11.8198502345139,-8.05901956631914,7.14556790427256e-14,2.17969270878085e-11,20.9685233258396,"Development (differentiation)",0.907342645090303
"30","ULK4",0.513501850155689,8.52760809206427,8.02483772668846,8.81762598350818e-14,2.52654376514121e-11,20.8155547097604,NA,0.474037578756299
"31","SAMD4A",-0.868088270056691,9.02510905018881,-7.96361067934025,1.28365652832504e-13,3.55945532822002e-11,20.446718686772,NA,0.503851086644193
"32","SLC26A2",-1.49539970523047,6.8727361401355,-7.9306068745095,1.57077200707749e-13,4.2194863040119e-11,20.2765965099719,"Transport",0.17402426289711
"33","ZNF10",-0.88324850363748,6.63525649103732,-7.82951047757876,2.90757253495467e-13,7.37208519304343e-11,19.6767660252723,NA,0.193864893087667
"34","APOLD1",0.621399578829946,6.26344892131,7.82903932839715,2.91590154215305e-13,7.37208519304343e-11,19.6606148753363,"Metabolism or Transport (lipid)",0.156258103401151
"35","DISP1",-0.537628508521191,7.31688285551522,-7.81908183136717,3.0975582728391e-13,7.60760311809283e-11,19.6198177250429,NA,0.282324248179582
"36","CIRBP",-0.88132968474399,6.66332259996296,-7.81437701417915,3.18724148140424e-13,7.61042438170858e-11,19.5920073081549,NA,0.260976823396665
"37","NPNT",-1.48428610323045,6.70701437127801,-7.79624398299695,3.557575299445e-13,8.26511277676466e-11,19.4719619305798,NA,0.204917056213951
"38","RUNX1",0.946369218889096,6.77608379054579,7.78198534766118,3.87841344821629e-13,8.77337947391243e-11,19.3988758889215,NA,0.214749766972464
"39","JAM3",-0.502711023082406,8.55442233255991,-7.7502771740785,4.6981040152536e-13,1.0355103106441e-10,19.1959982837756,"Matrisome/cell adhesion/binding/signaling",0.499204552622173
"40","C8orf34",-1.13737955424835,9.16665252331073,-7.73013011916228,5.30568698775273e-13,1.14019213366806e-10,19.0650691426613,NA,0.41534267312369
"41","CUX1",0.469841865576805,9.31911634637169,7.7169896690492,5.74320274438411e-13,1.20411148270063e-10,18.9763017434993,"Development (differentiation)",0.671378611926805
"42","SLC38A2",-0.843184501689735,8.7243016646199,-7.70468745865114,6.18506943568846e-13,1.23643853184135e-10,18.9252173041748,"Transport",0.485503234352113
