"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","AC004083.1",-1.38205853676332,4.89050838829457,-6.92892293036329,2.31735061187888e-10,1.75794217417132e-06,13.0842110256427,NA,0.0668092691622103
"2","ZFAND2A",-1.92914180109565,5.03474641737889,-6.70065982840039,7.26171972331567e-10,2.75437029105363e-06,12.1147882456173,NA,0.0655258467023173
"3","HSPA1A",-1.25999145945984,7.69958206057312,-6.47001671492965,2.26576369395223e-09,5.72936112744055e-06,11.0926543680564,"Metabolism (other)",0.284777183600713
"4","SAMD9L",1.43957712807826,5.38635314350871,6.18313256005843,9.10206776478954e-09,1.72620715159234e-05,9.73300964015296,NA,0.0894117647058824
"5","SDK2",-1.1792793359755,5.08631750019496,-6.09994183527284,1.35484101667149e-08,1.73042111610069e-05,9.36952489526781,NA,0.0766488413547237
"6","TVP23A",1.46841882747639,5.08247259824215,6.03381690811815,1.85524386249745e-08,1.73042111610069e-05,9.03564016061152,NA,0.0691622103386809
"7","AC096570.1",-1.3261368283424,4.77457266558646,-6.02879780154204,1.89991191426873e-08,1.73042111610069e-05,8.99636323847724,NA,0.0657397504456328
"8","HECW1",-1.29972106451439,5.19052558360841,-6.01005423738914,2.07626392285825e-08,1.73042111610069e-05,8.97199835647823,NA,0.0789304812834225
"9","RIN2",0.664024056012119,8.4782112751288,6.01603831652639,2.01828128277422e-08,1.73042111610069e-05,8.95194147341534,NA,0.433725490196078
"10","FOXN3",0.600911605311335,10.4351759654464,5.99015769477275,2.28107186409265e-08,1.73042111610069e-05,8.75393559716352,"Development (differentiation)",0.771693404634581
"11","TNFRSF21",1.60898609352173,4.99778656342604,5.93777407058758,2.92003362206047e-08,2.0137613688137e-05,8.58665768806379,NA,0.0688770053475936
"12","ANO3",-1.31669470727882,4.84405040798352,-5.85151764688142,4.37489034632374e-08,2.62246150953522e-05,8.24250965682511,NA,0.065668449197861
"13","CLMP",-1.35816725813232,5.28107713515693,-5.8298726588442,4.83976550665608e-08,2.62246150953522e-05,8.1938680283666,"Matrisome/cell adhesion/binding/signaling",0.0802139037433155
"14","AC117386.2",-1.29429672513416,4.64517411958668,-5.84406851110964,4.52970459365042e-08,2.62246150953522e-05,8.17434394226643,NA,0.061319073083779
"15","FIG4",0.680189779088812,6.34187908846064,5.76436845159096,6.5621521324414e-08,3.00418551301124e-05,7.92633444294869,NA,0.150730837789661
"16","AC068051.1",-1.36589512744481,4.74366817032529,-5.76526081290396,6.53506874827863e-08,3.00418551301124e-05,7.85790812502701,NA,0.0658110516934046
"17","GABBR2",-1.29868001289846,4.67442403289006,-5.75884392164605,6.73229023479977e-08,3.00418551301124e-05,7.82002601859964,NA,0.0619607843137255
"18","AC097518.2",-1.24667090932419,4.76636602265427,-5.73887481026554,7.38412972223414e-08,3.11200044849268e-05,7.75894419850237,NA,0.0627450980392157
"19","NKAIN2",-1.14153539353326,5.89618591902342,-5.6939422967919,9.08546786483859e-08,3.44611796113328e-05,7.62145042565701,"Transport",0.133547237076649
"20","ICA1",1.09491266743665,5.85868637117079,5.69395429667984,9.08496580359342e-08,3.44611796113328e-05,7.61978880407708,NA,0.11301247771836
"21","AVEN",-0.718413807096114,5.91114870982775,-5.67066432827209,1.01123836551482e-07,3.65297820990258e-05,7.52146358495886,"Development (apoptosis)",0.110374331550802
"22","TPCN1",0.796678106954571,7.50479290574896,5.62630459353242,1.23937410063009e-07,4.00324951132379e-05,7.26244073460309,NA,0.281711229946524
"23","ANO4",-1.36326959370418,4.51089469166121,-5.62642559118304,1.23868799116219e-07,4.00324951132379e-05,7.22920553376336,NA,0.0567557932263815
"24","GBE1",-0.965378073097474,8.08209171669083,-5.62156973330809,1.26651711404918e-07,4.00324951132379e-05,7.19737313845449,"Metabolism (other)",0.296827094474153
"26","ATP13A3",-0.86241184794956,7.9511137431626,-5.60694915159637,1.35405806327516e-07,4.10875378720214e-05,7.14094854185801,NA,0.314081996434938
"25","KSR2",-1.09325752627609,5.25711925714378,-5.59312680223702,1.44225503609868e-07,4.20805642455561e-05,7.17708770350081,NA,0.0857040998217469
"27","CFAP161",-1.12523022886105,5.49158497606864,-5.56268580123846,1.6567964686949e-07,4.65498444871093e-05,7.05341996825274,"Cilia",0.0956862745098039
"28","CDH13",-1.11203463509247,6.35511093658463,-5.53796867115451,1.85371443264682e-07,5.02224203073528e-05,6.93317058850521,"Matrisome/cell adhesion/binding/signaling",0.174688057040998
"29","LINC02055",-1.01120012601501,5.88777465844813,-5.50641710925265,2.13862002705296e-07,5.42855553181353e-05,6.815379601322,NA,0.127486631016043
"30","KCNH5",-1.25170823446411,4.97256893106222,-5.49129682562792,2.28992587685253e-07,5.42855553181353e-05,6.71820946098648,"Transport",0.0738680926916221
"31","VEPH1",-1.1719278327918,4.69130649725868,-5.49629472299165,2.23878924519893e-07,5.42855553181353e-05,6.71236690009718,NA,0.0583957219251337
"32","GSAP",0.774960494599334,7.17362090098708,5.49395409567422,2.26259705149615e-07,5.42855553181353e-05,6.71151479549214,"AD",0.231800356506239
"35","RNF213",0.593343477869494,8.45609839267398,5.46602616900093,2.56649498073522e-07,5.89982755268406e-05,6.50017445644249,NA,0.451336898395722
"33","LINC02208",-1.25976526048462,4.65686757129285,-5.45938711878843,2.64441380443769e-07,5.90015385896009e-05,6.55968397071775,NA,0.0609625668449198
"34","CDH1",-1.25311960277238,4.85262906775249,-5.44488535209332,2.82274490993258e-07,5.9481508018746e-05,6.52191509381793,NA,0.0648841354723708
"37","DAPK1",0.738103016336172,8.15257008588064,5.44588685391057,2.81006016038017e-07,5.9481508018746e-05,6.43388807915402,"Development (apoptosis)",0.364491978609626
"36","ANKFN1",-0.98558494469371,5.41392478037189,-5.42204852807932,3.12766764597462e-07,6.12435889508518e-05,6.45911834550834,NA,0.089554367201426
"38","PTPRN2",-1.0053721522999,5.78751333990342,-5.416013936113,3.21347930092967e-07,6.12435889508518e-05,6.43325291054627,NA,0.115151515151515
"39","DNAH3",-1.1737872041511,5.23709140662744,-5.41491889873686,3.22929548910371e-07,6.12435889508518e-05,6.4255966596588,"Cilia",0.0834224598930481
"40","AC079160.1",-1.29116580492448,4.75404619044512,-5.41953997460332,3.16306364758821e-07,6.12435889508518e-05,6.40530600277603,NA,0.0623172905525847
"41","UNC5D",-1.10376804728441,5.25366478717591,-5.40454185600882,3.38300357382813e-07,6.24062301327292e-05,6.38100903956861,NA,0.0862032085561497
"42","CNTNAP5",-1.10879304232458,5.77566843150731,-5.39142474999307,3.58755971559522e-07,6.24062301327292e-05,6.33024216551376,NA,0.121212121212121
"43","STRBP",-0.698762354174969,6.28930421413164,-5.37994461404757,3.77646948642983e-07,6.24062301327292e-05,6.26650346127286,NA,0.126702317290553
"44","COL26A1",-1.16880777166085,4.9352422698751,-5.38010708643819,3.7737293386653e-07,6.24062301327292e-05,6.26066581907585,"Matrisome/cell adhesion/binding/signaling",0.0697326203208556
"45","TMC1",-1.36367382431342,4.67909664180985,-5.37948745402284,3.78419006868645e-07,6.24062301327292e-05,6.23928724086557,NA,0.0693048128342246
"46","SPTBN4",-1.20187913530063,4.6204475626295,-5.38283238455579,3.728054880684e-07,6.24062301327292e-05,6.23510743419674,NA,0.0545454545454545
"47","FLT1",-1.58947693215061,5.94987025968952,-5.36885290906906,3.96820311861874e-07,6.2714143453837e-05,6.23135714297189,"Development (differentiation)",0.106595365418895
"48","APBA2",-1.12088243346757,4.59469621359372,-5.37356954549101,3.88553529553118e-07,6.2714143453837e-05,6.20592480502532,NA,0.0509803921568627
"49","TNFAIP2",1.15327651675058,5.39399666322213,5.3598798182602,4.13024377514674e-07,6.39429168944146e-05,6.19135089316832,NA,0.0888413547237077
"50","SHISA6",-1.24783351642322,4.83116751160782,-5.35310331856922,4.25688392442643e-07,6.40040253709826e-05,6.14689297336185,"Transport",0.067379679144385
"51","CACNA1D",-0.980946987730622,5.58155156360607,-5.34632731353502,4.38730466555641e-07,6.40040253709826e-05,6.14449650421323,"Transport",0.0904099821746881
"52","HSPA12A",-1.10970646983329,5.03267756368685,-5.34920103668886,4.3315230497989e-07,6.40040253709826e-05,6.13918759605498,NA,0.0731550802139037
"53","PLCE1",-1.09964789873596,5.98651345367926,-5.33673371538806,4.57865342124821e-07,6.4895427739184e-05,6.09578399315807,NA,0.13668449197861
"54","KLHL28",-1.01569814169465,5.89544780225087,-5.33473656178908,4.61950052453986e-07,6.4895427739184e-05,6.08864207901401,"Metabolism (other)",0.123921568627451
"56","SAMD12-AS1",-1.04983714623583,4.45365318900589,-5.32472373503864,4.8297143273975e-07,6.66149325229772e-05,5.98679942293538,NA,0.0520499108734403
"55","CPNE4",-1.03442300591237,5.49260612650772,-5.31791016873477,4.97807252258903e-07,6.74351038506435e-05,6.02638543841028,"Transport",0.10017825311943
"57","CD4",0.914572022552519,6.07028692941318,5.30886076073077,5.18201029281946e-07,6.82371627797026e-05,5.98468654117057,"Inflammation/Immune/Stress/Toxic/Detox",0.130409982174688
"58","FAM111A",0.815880210556144,6.5052440911753,5.30733524430083,5.21718355025409e-07,6.82371627797026e-05,5.95820156444699,NA,0.170623885918004
"59","AL583785.1",-1.28965420129521,4.55834525066894,-5.29173597293352,5.59049413328464e-07,7.18804889747411e-05,5.8618401921633,NA,0.0568270944741533
"60","BASP1-AS1",-1.1671921741549,4.53109610536072,-5.2605094600755,6.41776011877865e-07,8.11418804350914e-05,5.73392964706902,NA,0.0531194295900178
"61","ROR1",-0.999134932746153,6.08328054719543,-5.24620193386151,6.83561241285377e-07,8.31421072496756e-05,5.71421686858808,NA,0.137040998217469
"63","WIPF1",0.467872986839699,8.06356500448185,5.25028781056774,6.71364970279852e-07,8.31421072496756e-05,5.6074455481215,NA,0.371479500891266
"66","TNRC6B",0.298250971837678,9.36401207624249,5.24391681996511,6.90476240011806e-07,8.31421072496756e-05,5.49858629328383,NA,0.639144385026738
"62","CAP2",-1.19650000504348,5.36002321211341,-5.23109649483184,7.3055590552894e-07,8.62602077565358e-05,5.66782422279341,NA,0.0931907308377897
"64","LINC00342",0.774263278197883,6.92463646358827,5.22844828187721,7.39113301367628e-07,8.62602077565358e-05,5.60252328939461,NA,0.200213903743316
"65","AF279873.3",-1.24023382301857,5.02042151732553,-5.20839526750445,8.07163017292948e-07,9.27748280179439e-05,5.56963755866655,NA,0.0778609625668449
"67","RAB11FIP4",-1.11102945846295,4.50501771868807,-5.18235313375928,9.04713138294036e-07,0.000102262891190847,5.43028052366451,"Transport",0.0511942959001783
"68","ADGRL2",-1.053704882851,6.09785258398345,-5.17352751802782,9.40310029481662e-07,0.000102262891190847,5.41065030196243,"Matrisome/cell adhesion/binding/signaling",0.132976827094474
"69","FAT3",-1.18474291237432,4.85658520056011,-5.17114012410785,9.50171540566729e-07,0.000102262891190847,5.41061102352517,NA,0.0690196078431373
"70","FERMT2",-1.14312375956222,4.66480765764988,-5.17645591774238,9.28349983540862e-07,0.000102262891190847,5.40894427189238,"Matrisome/cell adhesion/binding/signaling",0.0528342245989305
"71","AC013287.1",-1.03949980174277,5.82291797999232,-5.16851691380151,9.61123375113069e-07,0.000102262891190847,5.40551362600424,NA,0.124563279857397
"72","ADARB2",-1.36762541509175,5.14921204984205,-5.16627180706337,9.70594274418795e-07,0.000102262891190847,5.40196747032831,NA,0.0797147950089127
"73","LINC00882",-1.00983733642691,6.41182250268172,-5.15568518897545,1.01649322491302e-06,0.000105631748002605,5.31684081526262,NA,0.171408199643494
"74","CTNNA2",-0.973476014087239,6.48034281674331,-5.14373759788701,1.07083524038238e-06,0.000109775082885686,5.2601432875897,NA,0.181604278074866
"75","TEX11",-1.22491978530557,4.83025917723907,-5.13324653388076,1.12087875316151e-06,0.000113373149619776,5.25145346334094,NA,0.0752941176470588
"76","RYR2",-1.10563544723657,5.993384239512,-5.11543990670314,1.21108112873041e-06,0.000120885018980906,5.1790421076128,"Transport",0.137540106951872
"77","GRIK2",-1.06779040461208,5.29658981629272,-5.08561590930077,1.37823344669783e-06,0.000131256331994341,5.07811881630816,NA,0.0888413547237077
"78","CCDC3",-1.12907833480124,4.74413130250413,-5.08775449177044,1.36553487694292e-06,0.000131256331994341,5.06743949507513,NA,0.0603208556149733
"80","TENM3",-0.973963515478854,6.34648423537468,-5.08461845365511,1.38419543363397e-06,0.000131256331994341,5.02788944444299,"Development (differentiation)",0.168770053475936
"81","ADAP2",0.841739883959964,7.60226041026404,5.08857368560073,1.36070087156943e-06,0.000131256331994341,4.96775163824623,NA,0.297112299465241
"79","LINC01524",-1.16165646557049,5.02909023142049,-5.07962285294793,1.41443497288781e-06,0.000132467946966999,5.05323537757244,NA,0.0780035650623886
"83","IRF2",0.397747777855094,7.14630009269287,5.06586909857863,1.50105105252301e-06,0.000138865527859019,4.90865178454531,"Inflammation/Immune/Stress/Toxic/Detox",0.235508021390374
"82","MAP3K9",-1.1142357929043,4.65685369147246,-5.06130151539582,1.5309419728605e-06,0.000139924407302648,4.95903012667387,NA,0.0540463458110517
"84","CMKLR1",0.922639300428651,6.81335361928954,5.05228889517237,1.59163083844686e-06,0.000143739423100689,4.88384791658747,NA,0.185668449197861
"85","AL355612.1",-1.21696658181826,4.57583096880691,-5.04247025496966,1.66041240495946e-06,0.000145860844717654,4.88099985208535,NA,0.0572549019607843
"87","TMTC1",-1.05378482284792,6.33556507496474,-5.04074347595459,1.67280430931135e-06,0.000145860844717654,4.85106422646347,NA,0.161996434937611
"92","GRK3",0.454229697281116,8.64817319256881,5.04142371463597,1.66791199802233e-06,0.000145860844717654,4.69650086259175,NA,0.444420677361854
"86","AC126121.3",-1.14054237650386,5.0819011444429,-5.03515323940315,1.71354201440932e-06,0.000147715110469422,4.87372196316484,NA,0.0802852049910873
"88","TGFB2",-0.969040096438568,5.49251671727231,-5.02862396797801,1.7623457376704e-06,0.000148916097300765,4.8477441566159,"Development (differentiation)",0.0889839572192513
"89","TGFB2",-0.969040096438568,5.49251671727231,-5.02862396797801,1.7623457376704e-06,0.000148916097300765,4.8477441566159,"Inflammation/Immune/Stress/Toxic/Detox",0.0889839572192513
"90","FILIP1",-1.28375395095732,4.57615167658332,-5.02804544611018,1.76673461073937e-06,0.000148916097300765,4.81959598225884,NA,0.0568983957219251
"91","PRDM5",-1.1406176017724,5.17668044237828,-5.01733909172647,1.84990275183658e-06,0.00015253654647209,4.80457586849854,"Development (differentiation)",0.0824955436720143
"94","GPCPD1",0.712225122306554,7.61741953767869,5.01879623644451,1.83836352615897e-06,0.00015253654647209,4.68572746782247,NA,0.288128342245989
"93","FAM189A1",-1.08139291062296,5.82943476133246,-4.99160368079696,2.06570335908543e-06,0.000167143897219959,4.68889489200172,NA,0.12698752228164
