"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","ZBTB7C",1.20437983337631,8.533048237921,5.66787297388406,1.82109292998664e-06,0.00582567628302725,4.9811229951482,NA,0.288384512683578
"2","STAC2",2.42594203354033,5.66753938704304,5.88367927568482,9.31585642597055e-07,0.00582567628302725,4.46307510778551,NA,0.0784379172229639
"3","SERPINH1",1.60287851307837,8.49532172684015,4.5713760117072,5.34301149020548e-05,0.0655964461668085,1.87269291114105,NA,0.226969292389853
"4","HSP90AB1",0.928475678772996,8.89851250037448,4.56825555635436,5.39384345899992e-05,0.0655964461668085,1.85624888664159,"Metabolism (other)",0.394526034712951
"5","SEM1",0.926034096521309,7.67305294477127,4.41145225866393,8.6652302762384e-05,0.0655964461668085,1.42988378286606,NA,0.209946595460614
"6","ASPH",-0.793698077590829,7.4128826757239,-4.39560074454245,9.08877407336871e-05,0.0655964461668085,1.37962810846544,NA,0.244993324432577
"7","BNIP3L",0.919245295924561,7.40818900630018,4.37408163353771,9.69646048907687e-05,0.0655964461668085,1.3241726923459,"Development (apoptosis)",0.220627503337784
"8","AC006460.2",1.37535070773369,6.07534624219897,4.43101524918761,8.16919194448699e-05,0.0655964461668085,1.29965308477793,NA,0.0894526034712951
"9","PLD5",-0.967540537527152,7.43797923890553,-4.29469980890644,0.000123031783995265,0.0655964461668085,1.11258980721041,NA,0.33845126835781
"10","STOM",1.07394685241016,6.80885389505361,4.30969849194803,0.000117629114887568,0.0655964461668085,1.09015138396985,NA,0.125834445927904
"11","CRY1",1.18339889878029,6.20883971778222,4.32397378592886,0.00011270353867973,0.0655964461668085,1.04261368244717,NA,0.107142857142857
"13","AC068733.3",1.82974970511162,5.61971284287355,4.30510109729976,0.000119259916844361,0.0655964461668085,0.844398436579551,NA,0.0707610146862483
"12","ABCC1",-1.02118155439877,6.82348393386757,-4.24327983129882,0.000143465960552274,0.0669753478671853,0.9234420936607,"Transport",0.175233644859813
"14","ADAMTS10",1.10153214686306,7.05114203617212,4.17090778065541,0.000177958879922187,0.0669753478671853,0.76933318323826,NA,0.163217623497997
"15","ITGA8",-0.946012592224991,9.06142394707467,-4.17589458657655,0.000175341937549782,0.0669753478671853,0.768192275644896,"Matrisome/cell adhesion/binding/signaling",0.399532710280374
"16","CUX2",-1.21464330694915,6.83476612848498,-4.17140753464982,0.000177694909021296,0.0669753478671853,0.729287537304833,"Development (differentiation)",0.246995994659546
"17","MKNK2",1.09015753075936,6.50434812558217,4.1715043481324,0.000177643816288742,0.0669753478671853,0.71543125126644,NA,0.118825100133511
"18","HSPB8",1.48384230190854,6.21230775580123,4.13542899605309,0.00019771222003207,0.0702757102091768,0.591281249775865,"Metabolism (other)",0.104138851802403
"19","VAT1L",-0.721083990297769,7.30992151505313,-4.02594385740083,0.000273156682172069,0.0733646958022722,0.399400150491098,NA,0.298397863818425
"20","HIF1A-AS3",0.946722782159346,7.10636027902853,4.02089569204572,0.000277241485373428,0.0733646958022722,0.385568630998137,NA,0.190587449933244
"21","GALNT17",-0.662372499300587,9.2569414048024,-4.0252424112491,0.000273720737441072,0.0733646958022722,0.346156282725067,NA,0.53871829105474
