"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","PCDH9",-1.02309402899364,12.2554513002118,-8.01931880331103,3.79728366028781e-12,2.1017965059693e-08,17.3230615394246,"Development (differentiation)",0.835466891935798
"2","IL1RAPL1",-0.777530498533564,11.7312665599584,-6.63600618141835,2.38324890574803e-09,6.59564134665767e-06,11.0795278375096,"Inflammation/Immune/Stress/Toxic/Detox",0.783091818831633
"4","CHRM5",-2.83433556832069,5.63493132686941,-6.33729493806805,9.17599223226018e-09,1.692970566852e-05,7.793586980649,NA,0.060302813698096
"3","PDE1C",-1.00915469778554,9.53753675043673,-6.24828312398718,1.36580371941078e-08,1.88993089673466e-05,9.45255142286437,"Metabolism (other)",0.431217103125609
"5","PTPRK",-0.828991192868342,9.66682878986752,-5.72783479643161,1.33996350924982e-07,0.000148333960473955,7.29026168309304,NA,0.482227565143934
"6","SLC44A1",-0.66949981911734,10.7727553219641,-5.4495887160355,4.39325080279192e-07,0.000405277386557555,6.09777960146347,"Transport",0.686984209500292
"7","ST18",-0.771398288196082,10.9262135509111,-5.30409819155975,8.08893737194562e-07,0.000639603833624557,5.5145270245616,NA,0.65319383975567
"8","PTPRD",-0.655198787768439,10.4569985776036,-5.25520767948871,9.91369811031639e-07,0.000685903988007515,5.35017320114671,NA,0.617454025602703
"9","CADM2",-0.819920759607212,10.3558901176956,-5.18594535993228,1.32048231023575e-06,0.000811180791009549,5.08397436938206,"Matrisome/cell adhesion/binding/signaling",0.574371304178309
"10","GTDC1",-0.947161352118896,7.95733562395166,-5.1374724846146,1.61210274636044e-06,0.000811180791009549,4.92537873821325,NA,0.218402755214764
"12","COL9A1",1.25080990757983,6.413399300048,5.14355009857273,1.57234751207991e-06,0.000811180791009549,4.79391846428614,"Matrisome/cell adhesion/binding/signaling",0.114822275651439
"11","SPOCK3",-0.699857782743204,9.8730791815398,-5.10772094925351,1.82132923083576e-06,0.000840088107722992,4.81142268044267,"Matrisome/cell adhesion/binding/signaling",0.491130027942037
"13","PHLPP1",-0.566021809402946,10.3071904113084,-5.05472040507833,2.26165095554736e-06,0.000962941387611893,4.57256329815981,NA,0.599519137045942
"14","PITPNM2",1.0807139643462,7.70999324918221,4.9859592627908,2.99023160337794e-06,0.00118220942319264,4.38119136388758,NA,0.238417051140425
