,show,Aggregated,pathway,gs_number,gs_description,pval,padj,log2err,ES,NES,size,leadingEdge
1,,Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.046639232,0.587794043,0.245041785,-0.23714943,-1.238587603,380,"c(""ABCA12"", ""BSG"", ""PTPRC"", ""GLI3"", ""TMEM131L"", ""PELI1"", ""PPIA"", ""CD300A"", ""CDH1"", ""CDH13"", ""PLXNB2"", ""TENM1"", ""IL7"", ""LILRB1"", ""DCC"", ""KIRREL3"", ""JAM2"", ""RGCC"", ""PTK2"", ""PSEN1"", ""UNC5D"", ""PTPRR"", ""PIK3CA"", ""AKT1"", ""DENND6A"", ""CDH23"", ""LAMA3"", ""STK10"", ""AP3B1"", ""TFRC"", ""CEBPB"", ""RHOA"", ""HMCN1"", ""PCDH7"", ""COL14A1"", ""ITGA4"", ""CD55"", ""RDX"", ""CTNNA1"", ""LPP"", ""LYN"", ""FAT3"", ""IL1RAP"", ""PCDH15"", ""TNFSF13B"", ""CXADR"", ""PLEK"", ""SOCS6"", ""ADAM9"", ""HAVCR2"", ""PIK3CB"", ""BAIAP2"", ""ZFP36L1"", ""PIEZO1"", ""B2M"", ""DAB1"", 
""PKHD1"", ""VMP1"", ""TJP2"", ""ITGB2"", ""CDH3"", ""CTNNA3"", ""CLDN5"", ""COL19A1"", ""HLA-DQB1"", ""PTPRS"", ""FLNA"", ""ACTB"", ""MALT1"", ""MEGF11"", ""CNN3"", ""ACTG1"", ""CTNNB1"", ""PTPN2"", ""CNTN5"", ""SDK1"", ""CDH18"", ""GCNT1"", ""RC3H1"", ""PLAUR"", ""TWSG1"", ""CDH8"", ""CD99"", ""PRKCD"", ""IGSF11"", ""ITGB1"", ""PALLD"", ""ALCAM"", ""ITGA8"", ""NPHP1"", ""HSPD1"", ""CDH4"", ""IL15"", ""BMP7"", ""PTPRD"", ""PTPRT"", ""STXBP3"", ""ROBO1"", ""RAP2B"", ""PECAM1"", ""CLSTN2"", ""FER"", ""DUSP10"", ""CD58"", ""STXBP6"", ""CD83"", ""ABAT"", ""KIF26B"", ""ITGAE"", ""SDK2"", ""DNAJB6"", ""ARG2"", 
""FAT4"", ""PKD1"", ""TNFRSF14"", ""BAIAP2L1"", ""RIPOR2"", ""HSPH1"", ""DLG2"", ""TENM3"", ""CELSR1"", ""LIMS1"", ""DLG4"")"
2,,Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.7,0.962185378,0.051426492,-0.192093443,-0.898852976,148,"c(""PTPRC"", ""GLI3"", ""TMEM131L"", ""PELI1"", ""CD300A"", ""IL7"", ""LILRB1"", ""JAM2"", ""PIK3CA"", ""AKT1"", ""STK10"", ""AP3B1"", ""TFRC"", ""CEBPB"", ""RHOA"", ""ITGA4"", ""CD55"", ""LYN"", ""TNFSF13B"", ""SOCS6"", ""HAVCR2"")"
3,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.328787879,0.833178853,0.086794976,-0.217045552,-1.05614588,191,"c(""PTPRC"", ""GSK3B"", ""GLI3"", ""TFE3"", ""CDH13"", ""IL7"", ""LILRB1"", ""ZFHX3"", ""PIK3CA"", ""AKT1"", ""CYTH3"", ""DENND6A"", ""AP3B1"", ""TFRC"", ""RAC1"", ""RHOA"", ""ITGA4"", ""COL26A1"", ""RSU1"", ""CD55"", ""FERMT2"", ""STK4"", ""LYN"", ""ATM"", ""UTRN"", ""TNFSF13B"", ""ADAM9"", ""HAVCR2"", ""DOCK5"", ""PIEZO1"", ""COL8A1"", ""B2M"", ""ITGB2"", ""CDK6"", ""HLA-DQB1"", ""FLNA"", ""CASS4"", ""MALT1"")"
4,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.829457364,0.973483665,0.066436414,0.180172338,0.852895646,113,"c(""AP3D1"", ""SIRPA"", ""HLA-DPB1"", ""CD74"", ""VSIR"", ""PTPN11"", ""JAK1"", ""TGFBR2"", ""ZBTB16"", ""CD44"", ""YES1"", ""GLI2"", ""IL6ST"", ""TJP1"", ""HLA-E"", ""HLA-DMB"", ""TYK2"", ""HMGB1"", ""SMAD7"", ""EBI3"", ""MAP3K8"", ""ALOX5"", ""SLC7A1"", ""FLOT1"", ""HLA-DRA"", ""RPS3"", ""KIFAP3"")"
5,,Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.670967742,0.954330785,0.054120057,-0.203009903,-0.890394979,95,"c(""PTPRC"", ""GLI3"", ""IL7"", ""LILRB1"", ""PIK3CA"", ""AKT1"", ""AP3B1"", ""TFRC"", ""RHOA"", ""ITGA4"", ""CD55"", ""LYN"", ""TNFSF13B"", ""HAVCR2"", ""B2M"", ""ITGB2"", ""HLA-DQB1"", ""MALT1"")"
6,,Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.05248227,0.589833082,0.234392647,-0.236806477,-1.227557276,344,"c(""ABCA12"", ""SERPINE1"", ""PTPRC"", ""GSK3B"", ""GLI3"", ""TMEM131L"", ""PELI1"", ""PIK3R1"", ""CD300A"", ""CLASP2"", ""TFE3"", ""CDH1"", ""CDH13"", ""PLXNB2"", ""IL7"", ""LILRB1"", ""PPP1R12A"", ""ZFHX3"", ""RGCC"", ""PTK2"", ""CYTIP"", ""CORO1C"", ""PTPRR"", ""PIK3CA"", ""AKT1"", ""CYTH3"", ""DENND6A"", ""LAMA3"", ""ARHGAP6"", ""AP3B1"", ""TFRC"", ""CEBPB"", ""RASA1"", ""RAC1"", ""RHOA"", ""ATP5F1B"", ""PPP1CB"", ""ITGA4"", ""COL26A1"", ""RSU1"", ""PLXNA1"", ""CD55"", ""FERMT2"", ""RDX"", ""GPM6B"", ""STK4"", ""LYN"", ""PEAK1"", ""ATM"", ""UTRN"", ""TNFSF13B"", ""SOCS6"", ""ADAM9"", ""HAVCR2"", ""PIK3CB"", 
""DOCK5"", ""PIEZO1"", ""COL8A1"", ""B2M"", ""DAB1"", ""PKHD1"", ""ITGB2"", ""MMP14"", ""CDK6"", ""LPXN"", ""HLA-DQB1"", ""FLNA"", ""ADAM10"", ""CASS4"", ""PLXND1"", ""MALT1"", ""FAF1"", ""ACTG1"", ""NEDD9"", ""PTPN2"", ""DLC1"", ""APOD"", ""HSD17B12"", ""SERPINI2"", ""RC3H1"", ""PLAUR"", ""TWSG1"", ""RREB1"", ""PRKCD"", ""ADAM22"", ""FBLN1"", ""EPHA4"", ""NUAK1"", ""HSPD1"", ""IL15"", ""PLXNA4"", ""PLEKHA2"", ""P4HB"", ""BMP7"", ""BAG4"", ""PPP2CA"", ""RCC2"", ""NRP1"")"
7,,Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.411497731,0.883943891,0.074738523,-0.210016824,-1.019678919,188,"c(""ABCA12"", ""PTPRC"", ""GLI3"", ""TMEM131L"", ""PELI1"", ""CD300A"", ""CDH1"", ""IL7"", ""LILRB1"", ""RGCC"", ""PTK2"", ""PTPRR"", ""PIK3CA"", ""AKT1"", ""DENND6A"", ""AP3B1"", ""TFRC"", ""CEBPB"", ""RHOA"", ""ITGA4"", ""CD55"", ""RDX"", ""LYN"", ""TNFSF13B"", ""SOCS6"", ""HAVCR2"", ""PIEZO1"", ""B2M"", ""PKHD1"")"
8,,Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.011407389,0.493476688,0.380730401,-0.249628946,-1.318183339,458,"c(""BSG"", ""MAPK15"", ""IQGAP1"", ""KLHL24"", ""PTPRC"", ""GRB2"", ""HSPA1A"", ""RPS11"", ""PRKCI"", ""UBA1"", ""TRPC6"", ""PPIA"", ""PIK3R1"", ""FLT1"", ""CLASP2"", ""CDH1"", ""CDH13"", ""HSPA8"", ""TPM4"", ""ARPC5"", ""PPP1R12A"", ""SHROOM4"", ""ARHGAP24"", ""NPM1"", ""KIRREL3"", ""JAM2"", ""PTK2"", ""CD53"", ""TES"", ""CORO1C"", ""SDCBP"", ""PIK3CA"", ""AKT1"", ""SLC4A2"", ""CYTH3"", ""RPS15"", ""PAK1"", ""RPL8"", ""MAPRE2"", ""MPP7"", ""EPB41L3"", ""USP53"", ""RAC1"", ""RHOA"", ""HMCN1"", ""RAP1B"", ""LAMA1"", ""YWHAH"", ""PPP1CB"", ""ITGA4"", ""LCP1"", ""RSU1"", ""TMEM65"", ""FERMT2"", ""RDX"", ""CTNNA1"", 
""RND3"", ""LPP"", ""LYN"", ""PEAK1"", ""ARHGAP31"", ""USP33"", ""LIMK1"", ""TNFSF13B"", ""TGFBR1"", ""CXADR"", ""ADAM9"", ""BAIAP2"", ""KRAS"", ""B2M"", ""BMPR2"", ""TJP2"", ""ITGB2"", ""GNA13"", ""CDH3"", ""MMP14"", ""NUMB"", ""CTNNA3"", ""LPXN"", ""ALOX15B"", ""CLDN5"", ""FLNA"", ""ADAM10"", ""CASS4"", ""ACTB"", ""CLMP"", ""YWHAZ"", ""CNTNAP2"", ""RPL13A"", ""ANK2"", ""CNN3"", ""ACTG1"", ""CTNNB1"", ""TIAM1"", ""SLC8A1"", ""NEDD9"", ""GJC1"", ""DLC1"", ""CBL"", ""CDH18"", ""STRN"", ""SNTB2"", ""DOCK7"", ""PLAUR"", ""PKN2"", ""PKD2"", ""CDH8"", ""CD99"", ""PRKCD"", ""RPS5"", ""SPTBN4"", ""IGSF11"", ""ITGB1"", 
""PALLD"", ""MTF2"", ""RPL30"", ""ALCAM"", ""ITGA8"", ""NPHP1"", ""EPHA4"", ""ARHGAP26"", ""AHNAK"", ""PAK2"", ""P4HB"", ""CAV2"", ""PPFIA1"", ""SAV1"")"
9,,Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.026215508,0.525677934,0.352487858,-0.25885,-1.306807108,282,"c(""BSG"", ""IQGAP1"", ""PTPRC"", ""HSPA1A"", ""RPS11"", ""PPIA"", ""FLT1"", ""CLASP2"", ""CDH13"", ""HSPA8"", ""TPM4"", ""ARPC5"", ""PPP1R12A"", ""SHROOM4"", ""ARHGAP24"", ""NPM1"", ""PTK2"", ""TES"", ""CORO1C"", ""SDCBP"", ""SLC4A2"", ""RPS15"", ""PAK1"", ""RPL8"", ""MAPRE2"", ""RAC1"", ""RHOA"", ""HMCN1"", ""PPP1CB"", ""ITGA4"", ""LCP1"", ""RSU1"", ""FERMT2"", ""RDX"", ""CTNNA1"", ""RND3"", ""LPP"", ""PEAK1"", ""ARHGAP31"", ""USP33"", ""LIMK1"", ""TNFSF13B"", ""ADAM9"", ""KRAS"", ""B2M"", ""ITGB2"", ""GNA13"", ""MMP14"", ""NUMB"", ""LPXN"", ""ALOX15B"", ""FLNA"", ""ADAM10"", ""CASS4"", ""ACTB"", ""YWHAZ"", 
""RPL13A"", ""CNN3"", ""ACTG1"", ""CTNNB1"", ""NEDD9"", ""DLC1"", ""CBL"", ""SNTB2"", ""DOCK7"", ""PLAUR"", ""CD99"", ""RPS5"", ""ITGB1"", ""PALLD"", ""MTF2"", ""RPL30"", ""ALCAM"", ""ITGA8"", ""ARHGAP26"", ""AHNAK"", ""P4HB"", ""CAV2"", ""PPFIA1"")"
10,,Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.539493294,0.916045472,0.060640401,-0.191980856,-0.971074039,290,"c(""CLEC2B"", ""PTPRC"", ""ANOS1"", ""PICALM"", ""GRIA1"", ""CDH13"", ""PLXNB2"", ""GPC3"", ""ACVR2A"", ""LILRB1"", ""DCC"", ""JAM2"", ""SLC11A2"", ""CD53"", ""PSEN1"", ""UNC5D"", ""KCNK2"", ""GRIN2A"", ""CD163L1"", ""ENO2"", ""TMC1"", ""KCNB1"", ""LDLR"", ""TFRC"", ""CLU"", ""BMPR1A"", ""ATP5F1B"", ""ITGA4"", ""ENO1"", ""CD55"", ""MSR1"", ""IQGAP2"", ""FERMT2"", ""IL13RA1"", ""RPS6KB1"", ""TGFBR1"", ""ADAM9"", ""HAVCR2"", ""ECE1"", ""ZPLD1"", ""TYROBP"", ""B2M"", ""PKHD1"", ""BMPR2"", ""GRIN2B"", ""ITGB2"", ""TLR2"", ""ADAM10"", ""ENTPD6"", ""CLMP"", ""CNTNAP2"", ""KCNQ1"")"
