"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0152768533150074","0.224563231830318","0.380730400722792","-0.235801929555949","-1.24636185807368","347","c(""CD74"", ""HLA-A"", ""PIP5K1C"", ""HLA-E"", ""FLNA"", ""NLGN4Y"", ""LIMS2"", ""TNXB"", ""CNN3"", ""CEBPB"", ""SMAD7"", ""ITGA2"", ""ROBO4"", ""TLN2"", ""B2M"", ""TRAF6"", ""HMCN1"", ""BSG"", ""ICAM2"", ""ACTN1"", ""CDH5"", ""CTNNA1"", ""CD46"", ""ITGA8"", ""CD99"", ""VCL"", ""NPTN"", ""TNFRSF14"", ""STK10"", ""FN1"", ""CXCL12"", ""MMRN1"", ""PECAM1"", ""BAIAP2L1"", ""TFRC"", ""ZFP36L1"", ""CD200"", ""ANXA2"", ""VEGFA"", ""SHC1"", ""SLC7A1"", ""TMEM47"", ""NDFIP1"", ""SOX9"", ""PLPP3"", ""NOTCH1"", ""NECTIN3"", ""PARVA"", ""ST3GAL4"", ""PELI1"", ""NCK1"", ""BMP6"", ""PAK4"", ""STXBP3"", ""ESAM"", ""PSEN1"", 
""SOCS5"", ""VEZT"", ""PRKCA"", ""EGFR"", ""DSP"", ""KIRREL3"", ""PRKG1"", ""PDLIM5"", ""DUSP22"", ""LRRC32"", ""MYH9"", ""CDH1"", ""LRP6"", ""LGALS3"", ""PODXL"", ""PALLD"", ""CD34"", ""RGCC"", ""NECTIN2"", ""ICAM1"", ""MIA3"", ""CD47"", ""DENND6A"", ""PVR"", ""MAP3K8"", ""ACTB"", ""PRNP"", ""ZDHHC2"", ""FNDC3A"", ""TENM2"", ""PLXNB2"", ""ZMIZ1"", ""PKD1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.307692307692308","0.760423571557702","0.117249716749792","-0.231853438566748","-1.07002787363266","117","c(""CD74"", ""HLA-A"", ""HLA-E"", ""CEBPB"", ""SMAD7"", ""B2M"", ""TRAF6"", ""CD46"", ""TNFRSF14"", ""STK10"", ""CXCL12"", ""PECAM1"", ""TFRC"", ""SLC7A1"", ""NDFIP1"", ""ST3GAL4"", ""PELI1"", ""NCK1"", ""SOCS5"", ""DUSP22"", ""LRRC32"", ""LGALS3"", ""ICAM1"", ""MIA3"", ""CD47"", ""MAP3K8"", ""PRNP"", ""ZMIZ1"", ""AP3D1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.010957197684981","0.186123629474189","0.380730400722792","-0.283816518409548","-1.37301789890432","170","c(""CD74"", ""PRKCE"", ""HLA-A"", ""HLA-E"", ""SMAD3"", ""TFE3"", ""FLNA"", ""LIMS2"", ""SMAD7"", ""ITGA2"", ""SFRP1"", ""TPM1"", ""B2M"", ""EMP2"", ""TRAF6"", ""TGM2"", ""CD46"", ""TNFRSF14"", ""FN1"", ""DNM2"", ""CXCL12"", ""MMRN1"", ""TFRC"", ""PTPRJ"", ""VEGFA"", ""SLC7A1"", ""NEDD9"", ""TEK"", ""PLPP3"", ""ST3GAL4"", ""ABI3BP"", ""NCK1"", ""PREX1"", ""SOCS5"", ""NRP1"", ""PRKCA"", ""FERMT2"", ""FRMD5"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.608391608391608","0.905298211744381","0.0768736734126542","-0.210893659388773","-0.928052121637114","87","c(""CD74"", ""HLA-A"", ""HLA-E"", ""SMAD7"", ""B2M"", ""TRAF6"", ""CD46"", ""TNFRSF14"", ""MMRN1"", ""TFRC"", ""SLC7A1"", ""PLPP3"", ""ST3GAL4"", ""NCK1"", ""SOCS5"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.45662100456621","0.847346342093531","0.0913924325943768","-0.233132346113229","-0.984324376731111","68","c(""CD74"", ""HLA-A"", ""HLA-E"", ""B2M"", ""TRAF6"", ""CD46"", ""TNFRSF14"", ""TFRC"", ""SLC7A1"", ""ST3GAL4"", ""NCK1"", ""SOCS5"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.00272156416471145","0.0967261954344096","0.431707695803346","-0.255506066785434","-1.33950766183433","320","c(""CD74"", ""PRKCE"", ""CYTH1"", ""ARHGDIA"", ""HLA-A"", ""HLA-E"", ""SMAD3"", ""TFE3"", ""FLNA"", ""LIMS2"", ""CEBPB"", ""SMAD7"", ""PLXNA2"", ""ITGA2"", ""SFRP1"", ""PRLR"", ""TPM1"", ""SLK"", ""ATXN3"", ""B2M"", ""EMP2"", ""TRAF6"", ""NUAK1"", ""TGM2"", ""CORO2B"", ""CD46"", ""KANK1"", ""VCL"", ""TNFRSF14"", ""FN1"", ""TBCD"", ""DNM2"", ""CXCL12"", ""MMRN1"", ""TFRC"", ""ATP5F1B"", ""PDE3B"", ""PTPRJ"", ""VEGFA"", ""DUSP1"", ""SLC7A1"", ""NEDD9"", ""NDFIP1"", ""SOX9"", ""TEK"", ""PLPP3"", ""PLXNA4"", ""NOTCH1"", ""ST3GAL4"", ""PELI1"", ""CASK"", ""ABI3BP"", ""NCK1"", ""BMP6"", ""PREX1"", ""SOCS5"", ""NRP1"", 
""PRKCA"", ""PPP1R12A"", ""FERMT2"", ""FRMD5"", ""PRKG1"", ""DUSP22"", ""LRRC32"", ""CDH1"", ""LGALS3"", ""ANGPT2"", ""PODXL"", ""RGCC"", ""SPOCK1"", ""MIA3"", ""CD47"", ""DENND6A"", ""CSF1"", ""ACTN4"", ""MAP3K8"", ""DOCK1"", ""PRNP"", ""ZDHHC2"", ""MACF1"", ""JAG2"", ""PLXNB2"", ""ZMIZ1"", ""PKD1"", ""CLASP2"", ""AP3D1"", ""EDIL3"", ""TENM3"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.562347188264059","0.891704388491733","0.0835990603684159","-0.200541971841865","-0.956038993495015","155","c(""CD74"", ""HLA-A"", ""HLA-E"", ""CEBPB"", ""SMAD7"", ""B2M"", ""TRAF6"", ""CD46"", ""TNFRSF14"", ""CXCL12"", ""MMRN1"", ""TFRC"", ""VEGFA"", ""SLC7A1"", ""NDFIP1"", ""PLPP3"", ""NOTCH1"", ""ST3GAL4"", ""PELI1"", ""NCK1"", ""BMP6"", ""SOCS5"", ""PRKCA"", ""PRKG1"", ""DUSP22"", ""LRRC32"", ""CDH1"", ""LGALS3"", ""PODXL"", ""RGCC"", ""MIA3"", ""CD47"", ""DENND6A"", ""MAP3K8"", ""PRNP"", ""ZDHHC2"", ""ZMIZ1"", ""AP3D1"", ""TENM3"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","6.84170871609312e-07","0.00301650937292546","0.659444398037935","-0.296390926953377","-1.61437367416357","470","c(""CYTH1"", ""PIP5K1C"", ""TNS1"", ""GIT1"", ""AMOTL2"", ""FLNA"", ""APC"", ""PDLIM7"", ""CAV2"", ""LIMS2"", ""AHNAK"", ""CNN3"", ""FLT1"", ""FLNB"", ""SMAD7"", ""RPS4X"", ""ITGA2"", ""ZFYVE21"", ""TLN2"", ""RPS16"", ""B2M"", ""SLC4A2"", ""CDC42BPB"", ""EPB41L2"", ""PPFIA1"", ""ITGB8"", ""HMCN1"", ""RPL7A"", ""AHI1"", ""BSG"", ""ACTN1"", ""PPFIBP1"", ""CDH5"", ""PTPN12"", ""CTNNA1"", ""MYO1E"", ""SLC9A3R2"", ""ITGB4"", ""ENG"", ""TGM2"", ""CORO2B"", ""CD46"", ""ITGA8"", ""CD99"", ""SYNM"", ""VCL"", ""MICALL2"", ""B4GALT1"", ""RPL8"", ""GJA1"", ""VIM"", ""PXN"", ""ATP1B1"", ""IRF2"", ""TBCD"", ""NOX4"", ""MAP2K2"", 
""DNM2"", ""GAB1"", ""CLMP"", ""JCAD"", ""PDZD2"", ""SYNE2"", ""PECAM1"", ""BAIAP2L1"", ""PIP5K1A"", ""YWHAE"", ""CHP1"", ""TLE2"", ""RPL22"", ""PTPRJ"", ""ANXA2"", ""VEGFA"", ""PKD2"", ""AKAP6"", ""RPL18"", ""NEDD9"", ""TMEM47"", ""TEK"", ""PLPP3"", ""PRKCI"", ""NOTCH1"", ""NECTIN3"", ""PARVA"", ""ATP6V0C"", ""DCAF6"", ""CASK"", ""SIRT2"", ""NCK1"", ""PAK4"", ""RAPGEF2"", ""CCDC85C"", ""ARF1"", ""ESAM"", ""NRP1"", ""VEZT"", ""ANXA6"", ""DDX58"", ""EGFR"", ""USP33"", ""PPP1R12A"", ""FERMT2"", ""DSP"", ""KIRREL3"", ""FRMD5"", ""VAPA"", ""PDLIM5"", ""PARVB"", ""PRKAR2A"", ""MYH9"", ""UBA1"", ""CDH1"", ""NCKAP1"", 
""SNTB2"", ""PODXL"", ""PALLD"", ""NECTIN2"", ""ACTR2"", ""BMPR2"", ""ICAM1"", ""RPS5"", ""RPS18"", ""ARHGEF2"", ""HEG1"", ""YWHAH"", ""ACTN4"", ""CGNL1"", ""PVR"", ""ACTB"", ""CD59"", ""SLC2A1"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","5.94680131050975e-06","0.00503094089720412","0.610526878385931","-0.317686496740513","-1.65803348419094","294","c(""PIP5K1C"", ""TNS1"", ""GIT1"", ""FLNA"", ""PDLIM7"", ""CAV2"", ""LIMS2"", ""AHNAK"", ""CNN3"", ""FLT1"", ""FLNB"", ""RPS4X"", ""ITGA2"", ""ZFYVE21"", ""TLN2"", ""RPS16"", ""B2M"", ""SLC4A2"", ""EPB41L2"", ""PPFIA1"", ""ITGB8"", ""HMCN1"", ""RPL7A"", ""BSG"", ""ACTN1"", ""PPFIBP1"", ""PTPN12"", ""CTNNA1"", ""SLC9A3R2"", ""ITGB4"", ""ENG"", ""TGM2"", ""CORO2B"", ""CD46"", ""ITGA8"", ""CD99"", ""VCL"", ""RPL8"", ""GJA1"", ""VIM"", ""PXN"", ""IRF2"", ""NOX4"", ""MAP2K2"", ""DNM2"", ""SYNE2"", ""PIP5K1A"", ""YWHAE"", ""CHP1"", ""TLE2"", ""RPL22"", ""RPL18"", ""NEDD9"", ""TEK"", ""PARVA"", ""ATP6V0C"", ""DCAF6"", 
""CASK"", ""PAK4"", ""ARF1"", ""NRP1"", ""ANXA6"", ""EGFR"", ""USP33"", ""PPP1R12A"", ""FERMT2"", ""PARVB"", ""PRKAR2A"", ""MYH9"", ""NCKAP1"", ""SNTB2"", ""PALLD"", ""NECTIN2"", ""ACTR2"", ""ICAM1"", ""RPS5"", ""RPS18"", ""ARHGEF2"", ""ACTN4"", ""PVR"", ""ACTB"", ""CD59"", ""TSPAN9"", ""CD99L2"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","3.99837402724687e-05","0.00881441554306573","0.557332238758646","-0.312119816723108","-1.61343239571114","270","c(""CD74"", ""HLA-B"", ""HLA-A"", ""HLA-E"", ""TNS1"", ""LDLR"", ""EGFL7"", ""RAMP3"", ""NLGN4Y"", ""CUBN"", ""INTU"", ""ITGA2"", ""PLVAP"", ""SFRP1"", ""PRLR"", ""B2M"", ""EMP2"", ""ITGB8"", ""CDH5"", ""BCAM"", ""CLDND1"", ""ITGB4"", ""ENG"", ""INSR"", ""CD46"", ""DIP2A"", ""ITGA8"", ""CLEC14A"", ""HNRNPU"", ""B4GALT1"", ""NPTN"", ""SLC1A3"", ""TNFRSF14"", ""CLMP"", ""CXCL12"", ""C3"", ""COL23A1"", ""TFRC"", ""ATP5F1B"", ""CD200"", ""PTPRJ"", ""ANXA2"", ""VEGFA"", ""MFGE8"", ""TEK"", ""NOTCH1"", ""ATP6AP2"", ""TNFRSF10A"", ""FGFR2"", ""PSEN1"", ""NCAM1"", ""F3"", ""CLCN3"", ""FZD6"", ""BTNL9"", ""CLEC2B"", 
""EGFR"", ""FERMT2"", ""LRRC32"", ""LRP6"", ""LGALS3"", ""CD34"", ""NECTIN2"", ""BMPR1A"", ""BMPR2"", ""ICAM1"", ""CD47"", ""HEG1"", ""PVR"", ""MYO18A"", ""PRNP"", ""CD59"", ""PDIA4"", ""PLXNB2"", ""ROR2"", ""CD99L2"", ""PKD1"", ""ACKR3"", ""SULF1"", ""ACVR2A"")"
