"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0706099660472246","0.609418322346046","0.287805130535564","0.238543382963817","1.20727864443972","218","c(""DLG1"", ""TNFSF13B"", ""BOC"", ""STXBP1"", ""PDGFRA"", ""MIA3"", ""CNTN4"", ""NEXMIF"", ""AP3B1"", ""ZFP36L1"", ""ZMIZ1"", ""PCDH15"", ""SPARCL1"", ""PIK3CA"", ""ASTN2"", ""CNTN5"", ""BCL6"", ""TGFBR2"", ""FER"", ""YTHDF2"", ""DCC"", ""FOXO3"", ""ZBTB1"", ""ALCAM"", ""PTPRD"", ""DLG2"", ""ACTN1"", ""EFNA5"", ""KIRREL1"", ""CDH18"", ""NLGN1"", ""CDH13"", ""MAPK14"", ""PKD1"", ""PRKCZ"", ""AP3D1"", ""CNN3"", ""ZBTB16"", ""STAT5B"", ""DLG4"", ""PTPRT"", ""EGFR"", ""ACVR1"", ""PTPRS"", ""SLC7A11"", ""EXT1"", ""TENM3"", ""NECTIN2"", ""NRXN1"", ""ROBO1"", ""GRID2"", ""LIMS1"", ""AFDN"", ""KIFC3"", ""LPP"", 
""LRRC4C"", ""NCK2"", ""ITGAV"", ""ADGRL3"", ""NCK1"", ""EPB41L5"", ""RUNX1"", ""PLXNB2"", ""GPC6"", ""PAG1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.122077922077922","0.736405529953917","0.206587922696891","0.295361327581531","1.22300173148055","67","c(""DLG1"", ""TNFSF13B"", ""MIA3"", ""AP3B1"", ""ZMIZ1"", ""PIK3CA"", ""BCL6"", ""TGFBR2"", ""FOXO3"", ""ZBTB1"", ""PRKCZ"", ""AP3D1"", ""ZBTB16"", ""STAT5B"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.016363126351695","0.369983933248963","0.352487857583619","0.312179265686056","1.42344403137607","106","c(""TNFSF13B"", ""RIN2"", ""ZFHX3"", ""AP3B1"", ""PRKD2"", ""ZMIZ1"", ""CDK6"", ""PIK3CA"", ""NRP1"", ""BCL6"", ""TGFBR2"", ""NEDD9"", ""FOXO3"", ""ZBTB1"", ""SFRP1"", ""TGM2"", ""CDH13"", ""DNM2"", ""VAV3"", ""PRKCZ"", ""AP3D1"", ""ZBTB16"", ""STAT5B"", ""FLCN"", ""ATM"", ""UTRN"", ""LIMS1"", ""AFDN"", ""NCK2"", ""P4HB"", ""ITGAV"", ""NCK1"", ""EPB41L5"", ""RUNX1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.215880893300248","0.828284671532847","0.148261500475107","0.293163238242854","1.16254050708769","49","c(""TNFSF13B"", ""AP3B1"", ""ZMIZ1"", ""PIK3CA"", ""BCL6"", ""TGFBR2"", ""FOXO3"", ""ZBTB1"", ""PRKCZ"", ""AP3D1"", ""ZBTB16"", ""STAT5B"", ""AFDN"", ""NCK2"", ""NCK1"", ""RUNX1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0389260333111026","0.511816516113951","0.321775918075361","0.391284928915406","1.47693457036329","38","c(""TNFSF13B"", ""AP3B1"", ""ZMIZ1"", ""PIK3CA"", ""BCL6"", ""TGFBR2"", ""FOXO3"", ""ZBTB1"", ""PRKCZ"", ""AP3D1"", ""ZBTB16"", ""STAT5B"", ""NCK2"", ""NCK1"", ""RUNX1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.12987012987013","0.752614904195974","0.224966093540314","0.226169750831622","1.13657978335417","204","c(""ST6GAL1"", ""CASK"", ""DLG1"", ""TNFSF13B"", ""CLASP1"", ""RIN2"", ""MIA3"", ""NEXMIF"", ""ZFHX3"", ""AP3B1"", ""PRKD2"", ""ZMIZ1"", ""CDK6"", ""PIK3CA"", ""MACF1"", ""NRP1"", ""BCL6"", ""TGFBR2"", ""CYTH1"", ""DUSP1"", ""YTHDF2"", ""NEDD9"", ""FOXO3"", ""ZBTB1"", ""SFRP1"", ""ABL2"", ""EFNA5"", ""TGM2"", ""CDH13"", ""MAPK14"", ""PKD1"", ""DNM2"", ""VAV3"", ""PRKCZ"", ""AP3D1"", ""ZBTB16"", ""STAT5B"", ""ARHGAP6"", ""FAF1"", ""FLCN"", ""ATM"", ""ROCK2"", ""TENM3"", ""UTRN"", ""LIMS1"", ""AFDN"", ""SLK"", ""NCK2"", ""P4HB"", ""ITGAV"", ""NCK1"", ""EPB41L5"", ""RUNX1"", ""PLXNB2"", ""PAG1"", ""WASHC2C"", 
""ADAM10"", ""PKP4"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.217514124293785","0.829164827149356","0.158514105424824","0.25363566820159","1.12045585780783","93","c(""DLG1"", ""TNFSF13B"", ""MIA3"", ""NEXMIF"", ""AP3B1"", ""ZMIZ1"", ""PIK3CA"", ""BCL6"", ""TGFBR2"", ""YTHDF2"", ""FOXO3"", ""ZBTB1"", ""EFNA5"", ""MAPK14"", ""PRKCZ"", ""AP3D1"", ""ZBTB16"", ""STAT5B"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.668918918918919","0.985819370657948","0.0919686140000427","0.178140771292532","0.946306510201622","314","c(""CASK"", ""SYNE2"", ""DLG1"", ""TNFSF13B"", ""CLASP1"", ""PPFIBP1"", ""SPECC1L"", ""PRKD1"", ""MAP2K2"", ""HSP90B1"", ""MRC2"", ""SYNM"", ""CNTNAP2"", ""CTTN"", ""APP"", ""KAZN"", ""PKD2"", ""AHI1"", ""ARHGAP26"", ""SNTB1"", ""PIK3CA"", ""NRP1"", ""ASH1L"", ""DNMBP"", ""BCAR1"", ""STRN"", ""CYTH1"", ""NEDD9"", ""ALCAM"", ""DST"", ""ACTN1"", ""EFNA5"", ""KIRREL1"", ""CDH18"", ""TGM2"", ""CDH13"", ""IRF2"", ""MAP2K1"", ""MYO1E"", ""DNM2"", ""ANK2"", ""PKN2"", ""PRKCZ"", ""CNN3"", ""DMD"", ""GSN"", ""EGFR"", ""PARD3"", ""SYMPK"", ""FLCN"", ""NECTIN2"", ""ERBIN"", ""HSPA5"", ""IGF2R"", ""HCK"", ""LIMS1"", ""AFDN"", 
""KIFC3"", ""LRP1"", ""DIXDC1"", ""LPP"", ""TIAM1"", ""NDRG1"", ""IQGAP1"", ""P4HB"", ""ITGAV"", ""ADGRL3"", ""NCK1"", ""EPB41L5"", ""GNA12"", ""FOCAD"", ""CDC42BPA"", ""ADAM10"", ""MPZL1"", ""PKP4"", ""ENAH"", ""RAB10"", ""MYH9"", ""PAK2"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.473186119873817","0.943484937979917","0.108820126769161","0.200641317248856","0.990436177529637","182","c(""CASK"", ""SYNE2"", ""TNFSF13B"", ""CLASP1"", ""PPFIBP1"", ""MAP2K2"", ""HSP90B1"", ""MRC2"", ""CTTN"", ""ARHGAP26"", ""SNTB1"", ""NRP1"", ""BCAR1"", ""NEDD9"", ""ALCAM"", ""DST"", ""ACTN1"", ""TGM2"", ""CDH13"", ""IRF2"", ""MAP2K1"", ""DNM2"", ""CNN3"", ""DMD"", ""GSN"", ""EGFR"", ""NECTIN2"", ""ERBIN"", ""HSPA5"", ""IGF2R"", ""HCK"", ""LIMS1"", ""LRP1"", ""DIXDC1"", ""LPP"", ""IQGAP1"", ""P4HB"", ""ITGAV"", ""EPB41L5"", ""GNA12"", ""FOCAD"", ""ADAM10"", ""MPZL1"", ""ENAH"", ""RAB10"", ""MYH9"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.156923076923077","0.788545296167247","0.197822021315103","0.23839382825838","1.14723787144075","149","c(""ABCC4"", ""KLRD1"", ""RAMP1"", ""OSMR"", ""PDGFRA"", ""CNTNAP2"", ""APP"", ""KCNH5"", ""HM13"", ""ANO6"", ""ABCA7"", ""FCGRT"", ""TGFBR2"", ""DCC"", ""ALCAM"", ""SFRP1"", ""EFNA5"", ""GPC5"", ""PCSK6"", ""ADAMTS9"", ""NLGN1"", ""CDH13"", ""PKD1"", ""PAM"", ""DMD"", ""MET"", ""PTPRT"", ""EGFR"", ""SLC7A11"", ""NECTIN2"", ""HSPA5"", ""NRXN1"", ""ROBO1"", ""IGF2R"", ""ARSB"", ""ANTXR1"", ""P4HB"", ""ITGAV"", ""IL1R1"", ""PLXNB2"", ""ROR1"", ""GPC6"", ""TNFRSF10B"", ""ADAM10"", ""MPZL1"")"
