"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.874371859296482","0.975210888777514","0.0625237414724762","0.166788200808324","0.869548261954012","257","c(""SPARCL1"", ""SLC7A1"", ""CD46"", ""MAP3K8"", ""AMBRA1"", ""DLG1"", ""ZBTB16"", ""MIA3"", ""ALCAM"", ""BSG"", ""JUP"", ""CLSTN1"", ""MAD1L1"", ""MAPK14"", ""AP3D1"", ""EGFR"", ""DLG4"", ""GRID2"", ""PKD1"", ""OBSCN"", ""FAT1"", ""FLOT1"", ""CEBPB"", ""DSCAML1"", ""TGFBR2"", ""ASS1"", ""ADGRV1"", ""LIMS1"", ""ITGB5"", ""NF2"", ""BMP4"", ""NEXMIF"", ""CXADR"", ""PDGFRA"", ""ZBTB1"", ""TRPV4"", ""CTNNA1"", ""BAIAP2"", ""PTPRG"", ""TNFRSF14"", ""AFDN"", ""ACTN1"", ""PRKCA"", ""VEGFA"", ""CD24"", ""WNK1"", ""ITCH"", ""STAT5B"", ""STXBP1"", ""NECTIN2"", ""PRKCZ"", ""ZMIZ1"", ""DSG2"", ""TMOD3"", ""SDC4"", ""KIRREL1"", 
""ASTN2"", ""ADTRP"", ""TFRC"", ""ABL1"", ""NFAT5"", ""DMTN"", ""EPB41L5"", ""MAGI1"", ""PIP5K1C"", ""CNTN4"", ""TJP2"", ""NLGN4Y"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.252336448598131","0.792291056922995","0.131457611642763","0.247731872144569","1.09579718473647","86","c(""SLC7A1"", ""CD46"", ""MAP3K8"", ""AMBRA1"", ""DLG1"", ""ZBTB16"", ""MIA3"", ""MAD1L1"", ""AP3D1"", ""CEBPB"", ""TGFBR2"", ""ASS1"", ""BMP4"", ""ZBTB1"", ""TNFRSF14"", ""CD24"", ""WNK1"", ""ITCH"", ""STAT5B"", ""PRKCZ"", ""ZMIZ1"", ""SDC4"", ""ADTRP"", ""TFRC"", ""NFAT5"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.0353564260631849","0.478058718600809","0.321775918075361","0.274905478800318","1.31307225578764","128","c(""ZFHX3"", ""CCDC80"", ""SLC7A1"", ""CD46"", ""MAP3K8"", ""AMBRA1"", ""ZBTB16"", ""SMAD3"", ""PRKCE"", ""JUP"", ""AP3D1"", ""RIN2"", ""EMP2"", ""FLOT1"", ""TGFBR2"", ""CRKL"", ""LIMS1"", ""DOCK1"", ""ZBTB1"", ""TNFRSF14"", ""AFDN"", ""PRKCA"", ""VEGFA"", ""CD24"", ""STAT5B"", ""PRKCZ"", ""ZMIZ1"", ""SDC4"", ""TFRC"", ""ABL1"", ""NFAT5"", ""DMTN"", ""EPB41L5"", ""MAGI1"", ""DAG1"", ""ITGAV"", ""VAV3"", ""FLCN"", ""GSK3B"", ""FMN1"", ""DOCK8"", ""MYO10"", ""TGM2"", ""ITPKB"", ""FOXO3"", ""BCL6"", ""P4HB"", ""ERBB2"", ""SFRP1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.105855855855856","0.647987923861419","0.206587922696891","0.307783879551485","1.27811428318198","62","c(""SLC7A1"", ""CD46"", ""MAP3K8"", ""AMBRA1"", ""ZBTB16"", ""AP3D1"", ""FLOT1"", ""TGFBR2"", ""ZBTB1"", ""TNFRSF14"", ""AFDN"", ""CD24"", ""STAT5B"", ""PRKCZ"", ""ZMIZ1"", ""TFRC"", ""NFAT5"", ""DMTN"", ""MAGI1"", ""DOCK8"", ""MYO10"", ""ITPKB"", ""FOXO3"", ""BCL6"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0854503464203233","0.609053497942387","0.234392647294686","0.347348518038016","1.35015942135349","47","c(""SLC7A1"", ""CD46"", ""MAP3K8"", ""AMBRA1"", ""ZBTB16"", ""AP3D1"", ""TGFBR2"", ""ZBTB1"", ""TNFRSF14"", ""CD24"", ""STAT5B"", ""PRKCZ"", ""ZMIZ1"", ""TFRC"", ""NFAT5"", ""DOCK8"", ""ITPKB"", ""FOXO3"", ""BCL6"", ""PIK3CA"", ""B2M"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.398976982097187","0.849291137539474","0.106323255932708","0.198313094629429","1.02107954016039","245","c(""ZFHX3"", ""CCDC80"", ""ST6GAL1"", ""SLC7A1"", ""CD46"", ""MAP3K8"", ""MACF1"", ""AMBRA1"", ""DLG1"", ""ZBTB16"", ""MIA3"", ""CASK"", ""SMAD3"", ""PRKCE"", ""JUP"", ""MAD1L1"", ""MAPK14"", ""AP3D1"", ""RIN2"", ""ATXN3"", ""CYTH1"", ""PLXNB1"", ""ARHGAP6"", ""FBLN1"", ""PKD1"", ""SEMA5A"", ""EMP2"", ""FLOT1"", ""CEBPB"", ""FAF1"", ""TGFBR2"", ""CRKL"", ""ASS1"", ""LIMS1"", ""NF2"", ""CORO2B"", ""SEMA3E"", ""BMP4"", ""NEXMIF"", ""DOCK1"", ""PLXNA2"", ""ZBTB1"", ""TRPV4"", ""PTPRG"", ""TNFRSF14"", ""AFDN"", ""ACTN4"", ""PRKCA"", ""VEGFA"", ""CD24"", ""WNK1"", ""ITCH"", ""STAT5B"", ""PRKCZ"", ""ZMIZ1"", ""SDC4"", 
""ADTRP"", ""TFRC"", ""ABL1"", ""NFAT5"", ""DMTN"", ""EPB41L5"", ""KANK1"", ""MAGI1"", ""DAG1"", ""ITGAV"", ""VAV3"", ""SEMA4D"", ""FLCN"", ""GSK3B"", ""FMN1"", ""DOCK8"", ""MYO10"", ""DUSP1"", ""TGM2"", ""CLASP1"", ""ITPKB"", ""FOXO3"", ""BCL6"", ""P4HB"", ""ERBB2"", ""SFRP1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.272522522522523","0.805750970668512","0.123257226381337","0.232337622585138","1.09375390000887","118","c(""SLC7A1"", ""CD46"", ""MAP3K8"", ""AMBRA1"", ""DLG1"", ""ZBTB16"", ""MIA3"", ""MAD1L1"", ""MAPK14"", ""AP3D1"", ""FLOT1"", ""CEBPB"", ""TGFBR2"", ""ASS1"", ""NF2"", ""BMP4"", ""NEXMIF"", ""ZBTB1"", ""TRPV4"", ""PTPRG"", ""TNFRSF14"", ""AFDN"", ""PRKCA"", ""VEGFA"", ""CD24"", ""WNK1"", ""ITCH"", ""STAT5B"", ""PRKCZ"", ""ZMIZ1"", ""SDC4"", ""ADTRP"", ""TFRC"", ""ABL1"", ""NFAT5"", ""DMTN"", ""EPB41L5"", ""MAGI1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.148325358851675","0.715539419585968","0.142901149386948","-0.21504515906717","-1.13062889236115","402","c(""ADD3"", ""VAPA"", ""CLDN2"", ""CCND1"", ""RPL7"", ""RPL3"", ""RPS3A"", ""ARHGAP24"", ""MPDZ"", ""RPS16"", ""PARK7"", ""RPS17"", ""RPL19"", ""RPLP1"", ""YWHAB"", ""PCBP2"", ""DDR2"", ""RPL9"", ""ACTB"", ""CDHR3"", ""YWHAZ"", ""ACTG1"", ""RPL22"", ""DNMBP"", ""RPL30"", ""ITGA8"", ""PACSIN2"", ""RPS14"", ""ARPC3"", ""NRP1"", ""AMOTL2"", ""EPHA4"", ""RAB10"", ""PPIA"", ""RPL27"", ""HNRNPK"", ""FLNA"", ""ITGB8"", ""EPB41L3"", ""RPS2"", ""RPS9"", ""CDH2"", ""CDH13"", ""TNS1"", ""RPL23"", ""USP53"", ""RPL6"", ""SIRT2"", ""PTPRK"", ""DCTN4"", ""SDCBP"", ""DSP"", ""KCNA5"", ""RPS29"", ""PTPRA"", ""MAGI2"", ""FOCAD"", 
""CDH18"", ""CFL1"", ""GJA1"", ""RAC1"", ""SORBS3"", ""TMEM47"", ""NHS"", ""RPS3"", ""PCDH9"", ""AFAP1"", ""RPL31"", ""YWHAG"", ""RPLP2"", ""ANXA2"", ""EIF4G2"", ""RDX"", ""CADM4"", ""PPP3CA"", ""RPS13"", ""MAPK15"", ""PPP1CB"", ""EFNA5"", ""NCKAP1"", ""RPL7A"", ""PARD3B"", ""GSN"", ""WDR1"", ""RPL13A"", ""LMLN"", ""CYFIP1"", ""FLRT2"", ""EPB41L2"", ""MSN"", ""RPL5"", ""RPS11"", ""PTK2B"", ""PDCD6IP"", ""WASF2"", ""RPLP0"", ""ACTR3"", ""PABPC1"", ""CTNND1"", ""ATP6V0C"", ""PKD2"", ""CCDC85C"", ""ZFYVE21"", ""SHROOM3"", ""SYNPO"", ""HSPB1"", ""JAK1"", ""EVL"", ""CTNNB1"", ""DOCK7"", ""SCARB2"", ""PKP2"", 
""PRKAR2A"", ""SLC2A1"", ""LIN7C"", ""FXYD1"", ""VCL"", ""PTK2"", ""PTPRJ"", ""CDC42"", ""CHP1"", ""PLPP3"", ""AKAP6"", ""SVIL"", ""RPS19"", ""APC"", ""PIK3R1"", ""RPL37A"", ""CDH11"", ""TRAF4"", ""FRMD4A"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.0674342105263158","0.580161898249018","0.222056046145248","-0.243429679977496","-1.22200697854241","248","c(""RPL7"", ""RPL3"", ""RPS3A"", ""ARHGAP24"", ""RPS16"", ""RPS17"", ""RPL19"", ""RPLP1"", ""YWHAB"", ""PCBP2"", ""DDR2"", ""RPL9"", ""ACTB"", ""YWHAZ"", ""ACTG1"", ""RPL22"", ""RPL30"", ""ITGA8"", ""PACSIN2"", ""RPS14"", ""ARPC3"", ""NRP1"", ""RAB10"", ""PPIA"", ""RPL27"", ""HNRNPK"", ""FLNA"", ""ITGB8"", ""RPS2"", ""RPS9"", ""CDH2"", ""CDH13"", ""TNS1"", ""RPL23"", ""RPL6"", ""DCTN4"", ""SDCBP"", ""RPS29"", ""PTPRA"", ""FOCAD"", ""CFL1"", ""GJA1"", ""RAC1"", ""SORBS3"", ""NHS"", ""RPS3"", ""AFAP1"", ""RPL31"", ""YWHAG"", ""RPLP2"", ""RDX"", ""RPS13"", ""PPP1CB"", ""NCKAP1"", ""RPL7A"", ""GSN"", ""RPL13A"", 
""LMLN"", ""CYFIP1"", ""FLRT2"", ""EPB41L2"", ""MSN"", ""RPL5"", ""RPS11"", ""PTK2B"", ""PDCD6IP"", ""RPLP0"", ""ACTR3"", ""PABPC1"", ""ATP6V0C"", ""ZFYVE21"", ""HSPB1"", ""JAK1"", ""EVL"", ""CTNNB1"", ""DOCK7"", ""SCARB2"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.326829268292683","0.820360393832436","0.116234148779716","0.212279223511791","1.053498375014","181","c(""IL1R1"", ""CD46"", ""HM13"", ""ABCA1"", ""KLRD1"", ""LRRC8A"", ""ALCAM"", ""RAMP1"", ""INSR"", ""HSPA5"", ""HLA-C"", ""CLSTN1"", ""EGFR"", ""OSMR"", ""KCNE1"", ""PKD1"", ""EMP2"", ""FLOT1"", ""DSCAML1"", ""TGFBR2"", ""PDIA4"", ""ADGRV1"", ""DIP2A"", ""ITGB5"", ""TNFRSF1A"", ""SLC11A2"", ""RER1"", ""PDGFRA"", ""ENO2"", ""KCNQ3"", ""IGF2R"", ""LRPAP1"", ""MET"", ""TRPV4"", ""ADAMTS9"", ""ADAM17"", ""TNFRSF14"", ""VEGFA"", ""CD24"", ""ANTXR1"", ""NECTIN2"", ""DSG2"", ""SDC4"", ""FAM234A"", ""ADTRP"", ""TFRC"", ""SORT1"", ""NCAM1"", ""NLGN4Y"", ""ABCA7"", ""DAG1"", ""FZD6"", ""FCGRT"", ""ITGAV"")"
