"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.000346534558656493","0.0115786162325925","0.49849310876659","0.288256129305422","1.53054970258157","346","c(""PVR"", ""ZMIZ1"", ""DLG1"", ""KIT"", ""ELMO2"", ""BOC"", ""STAT5B"", ""BAIAP2L1"", ""ACTN1"", ""DMTN"", ""FOXO3"", ""STXBP1"", ""PLPP3"", ""KIRREL1"", ""ILDR2"", ""PKP4"", ""PODXL"", ""CEBPB"", ""ALCAM"", ""AP3B1"", ""TNFSF13B"", ""C1QTNF1"", ""NEXMIF"", ""LIMS1"", ""PALLD"", ""MAPK14"", ""CNN3"", ""CSK"", ""KIFC3"", ""PTPN11"", ""BCL6"", ""TMOD3"", ""LPP"", ""PDGFRA"", ""FNDC3A"", ""CD58"", ""GNAS"", ""PIK3CA"", ""NT5E"", ""CLSTN3"", ""TGFB2"", ""BMP4"", ""RIC8A"", ""LAMA3"", ""SMAD7"", ""DLG3"", ""ACVR1"", ""DLG2"", ""ARG2"", ""AFDN"", ""EFNA5"", ""STK10"", ""CASP3"", ""PTPRD"", ""ZFP36L1"", ""SPARCL1"", 
""MIA3"", ""ZBTB16"", ""SDC4"", ""EPB41L5"", ""CD276"", ""MYH9"", ""JAK2"", ""EXT1"", ""MALT1"", ""PTPRF"", ""PKD1"", ""JUP"", ""MBP"", ""ADGRL1"", ""NCK1"", ""PTPN23"", ""CLDN12"", ""MINK1"", ""EGFR"", ""NECTIN2"", ""PLXNB2"", ""ITGA10"", ""CNTN4"", ""GPNMB"", ""CCDC88B"", ""SLC7A11"", ""ITGAV"", ""PTPRG"", ""ZBTB1"", ""NEO1"", ""TENM4"", ""AKT1"", ""TWSG1"", ""CELSR1"", ""PCDH15"", ""WNK1"", ""IL6ST"", ""MSN"", ""GRID2"", ""CNTN5"", ""ROBO1"", ""NPHP4"", ""NCK2"", ""DCC"", ""NF2"", ""HAVCR2"", ""DLG4"", ""TGFBR2"", ""CD46"", ""GLI2"", ""NKAP"", ""SEMA4D"", ""AP3D1"", ""DUSP22"", ""CD24"", ""CADM1"", ""SH2B3"", 
""CDH4"", ""VCL"", ""GCNT1"", ""CDH2"", ""ABL1"", ""PRKCZ"", ""ASTN2"", ""SYNJ2BP"", ""ADGRL3"", ""MAP3K8"", ""HSPH1"", ""JAK1"", ""SLC7A1"", ""HLA-DMA"", ""FLOT2"", ""TRAF6"", ""MAD1L1"", ""PSEN1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.00111394961150426","0.02487126749424","0.45505986738723","0.356983622808258","1.66004161522347","124","c(""ZMIZ1"", ""DLG1"", ""STAT5B"", ""FOXO3"", ""ILDR2"", ""CEBPB"", ""AP3B1"", ""TNFSF13B"", ""CSK"", ""PTPN11"", ""BCL6"", ""PIK3CA"", ""NT5E"", ""BMP4"", ""SMAD7"", ""ARG2"", ""STK10"", ""CASP3"", ""MIA3"", ""ZBTB16"", ""SDC4"", ""CD276"", ""JAK2"", ""EXT1"", ""MALT1"", ""NCK1"", ""GPNMB"", ""CCDC88B"", ""ZBTB1"", ""AKT1"", ""TWSG1"", ""WNK1"", ""IL6ST"", ""MSN"", ""NCK2"", ""HAVCR2"", ""TGFBR2"", ""CD46"", ""GLI2"", ""NKAP"", ""SEMA4D"", ""AP3D1"", ""DUSP22"", ""CD24"", ""GCNT1"", ""PRKCZ"", ""MAP3K8"", ""HSPH1"", ""SLC7A1"", ""HLA-DMA"", ""FLOT2"", ""TRAF6"", ""MAD1L1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","4.6729058169976e-06","0.000437787137129696","0.610526878385931","0.387913589344506","1.87889112609117","170","c(""ZMIZ1"", ""RIN2"", ""ZFHX3"", ""STX3"", ""STAT5B"", ""DMTN"", ""FOXO3"", ""NEDD9"", ""CDK6"", ""PRKCE"", ""PLPP3"", ""EMP2"", ""PODXL"", ""AP3B1"", ""TNFSF13B"", ""LIMS1"", ""CSK"", ""PTPN11"", ""BCL6"", ""NRP1"", ""PRKD2"", ""P4HB"", ""PIK3CA"", ""TGFB2"", ""SMAD7"", ""ITGB1BP1"", ""AFDN"", ""ZBTB16"", ""TGM2"", ""SDC4"", ""EPB41L5"", ""ATM"", ""CD276"", ""JAK2"", ""MALT1"", ""DOCK1"", ""JUP"", ""BAG4"", ""NCK1"", ""ARHGEF7"", ""PTPN23"", ""SFRP1"", ""DNM2"", ""CCDC88B"", ""PPP3CA"", ""ITGAV"", ""ZBTB1"", ""AKT1"", ""IL6ST"", ""CCDC80"", ""CRKL"", ""RHOD"", ""STK4"", ""FLCN"", ""NCK2"", ""HAVCR2"", ""TFE3"", 
""TGFBR2"", ""CD46"", ""GLI2"", ""NKAP"", ""AP3D1"", ""CSF1"", ""CD24"", ""MAP4K4"", ""ABL1"", ""PRKCZ"", ""VAV3"", ""MAP3K8"", ""HSPH1"", ""JAK1"", ""SLC7A1"", ""HLA-DMA"", ""FLOT2"", ""TRAF6"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.000338228779008414","0.0115786162325925","0.49849310876659","0.406080692753779","1.79173978583492","92","c(""ZMIZ1"", ""STAT5B"", ""DMTN"", ""FOXO3"", ""PLPP3"", ""PODXL"", ""AP3B1"", ""TNFSF13B"", ""CSK"", ""PTPN11"", ""BCL6"", ""PIK3CA"", ""SMAD7"", ""AFDN"", ""ZBTB16"", ""CD276"", ""JAK2"", ""MALT1"", ""NCK1"", ""PTPN23"", ""CCDC88B"", ""ZBTB1"", ""AKT1"", ""IL6ST"", ""NCK2"", ""HAVCR2"", ""TGFBR2"", ""CD46"", ""GLI2"", ""NKAP"", ""AP3D1"", ""CD24"", ""PRKCZ"", ""MAP3K8"", ""HSPH1"", ""JAK1"", ""SLC7A1"", ""HLA-DMA"", ""FLOT2"", ""TRAF6"", ""PTPN6"", ""TNFRSF14"", ""SERPINF2"", ""XBP1"", ""RUNX1"", ""SOX13"", ""ANK3"", ""AMBRA1"", ""DNAJA3"", ""YES1"", ""PTPRU"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.00101394132904231","0.0232978544595194","0.45505986738723","0.424317942141003","1.75793520167751","72","c(""ZMIZ1"", ""STAT5B"", ""FOXO3"", ""AP3B1"", ""TNFSF13B"", ""CSK"", ""PTPN11"", ""BCL6"", ""PIK3CA"", ""ZBTB16"", ""CD276"", ""JAK2"", ""MALT1"", ""NCK1"", ""CCDC88B"", ""ZBTB1"", ""AKT1"", ""IL6ST"", ""NCK2"", ""HAVCR2"", ""TGFBR2"", ""CD46"", ""GLI2"", ""NKAP"", ""AP3D1"", ""CD24"", ""PRKCZ"", ""MAP3K8"", ""HSPH1"", ""SLC7A1"", ""HLA-DMA"", ""FLOT2"", ""TRAF6"", ""PTPN6"", ""TNFRSF14"", ""XBP1"", ""RUNX1"", ""SOX13"", ""AMBRA1"", ""DNAJA3"", ""YES1"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.000243298079582218","0.00894214018649108","0.518848077743792","0.296646541726941","1.55821270155889","315","c(""ST6GAL1"", ""ZMIZ1"", ""DLG1"", ""RIN2"", ""ZFHX3"", ""CASK"", ""STX3"", ""STAT5B"", ""DMTN"", ""FOXO3"", ""NEDD9"", ""CDK6"", ""PRKCE"", ""PLPP3"", ""ROCK2"", ""CLASP1"", ""ILDR2"", ""EMP2"", ""PKP4"", ""PODXL"", ""CEBPB"", ""AP3B1"", ""TNFSF13B"", ""C1QTNF1"", ""NEXMIF"", ""LIMS1"", ""MAPK14"", ""CSK"", ""SPRY4"", ""PTPN11"", ""BCL6"", ""NRP1"", ""PRKD2"", ""P4HB"", ""MACF1"", ""PIK3CA"", ""TGFB2"", ""BMP4"", ""LAMA3"", ""CYTH1"", ""SMAD7"", ""ITGB1BP1"", ""ARG2"", ""AFDN"", ""EFNA5"", ""CASP3"", ""MIA3"", ""DAPK3"", ""ZBTB16"", ""TGM2"", ""SDC4"", ""ACTN4"", ""EPB41L5"", ""ATM"", ""CD276"", ""JAK2"", 
""PML"", ""ARHGAP6"", ""MALT1"", ""DOCK1"", ""PKD1"", ""JUP"", ""MBP"", ""ADAM10"", ""BAG4"", ""ACER2"", ""NCK1"", ""ARHGEF7"", ""PTPN23"", ""SFRP1"", ""DNM2"", ""MINK1"", ""ABL2"", ""PLXNB2"", ""GPNMB"", ""CCDC88B"", ""PPP3CA"", ""ITGAV"", ""PTPRG"", ""ZBTB1"", ""AKT1"", ""TWSG1"", ""WNK1"", ""IL6ST"", ""PPP1CB"", ""DLL1"", ""CORO1C"", ""ATXN3"", ""CCDC80"", ""CRKL"", ""RHOD"", ""STK4"", ""FLCN"", ""NCK2"", ""EPHA2"", ""NF2"", ""HAVCR2"", ""TFE3"", ""TGFBR2"", ""CD46"", ""GLI2"", ""NKAP"", ""SEMA4D"", ""AP3D1"", ""DUSP1"", ""CSF1"", ""TESC"", ""DUSP22"", ""CD24"", ""MAP4K4"", ""SH2B3"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.00206699092193095","0.0385166001856804","0.431707695803346","0.316956924933816","1.53189126207286","162","c(""ZMIZ1"", ""DLG1"", ""STAT5B"", ""DMTN"", ""FOXO3"", ""PLPP3"", ""ILDR2"", ""PODXL"", ""CEBPB"", ""AP3B1"", ""TNFSF13B"", ""C1QTNF1"", ""NEXMIF"", ""MAPK14"", ""CSK"", ""PTPN11"", ""BCL6"", ""PIK3CA"", ""BMP4"", ""SMAD7"", ""ARG2"", ""AFDN"", ""EFNA5"", ""CASP3"", ""MIA3"", ""ZBTB16"", ""SDC4"", ""EPB41L5"", ""CD276"", ""JAK2"", ""MALT1"", ""MBP"", ""NCK1"", ""PTPN23"", ""MINK1"", ""GPNMB"", ""CCDC88B"", ""PTPRG"", ""ZBTB1"", ""AKT1"", ""TWSG1"", ""WNK1"", ""IL6ST"", ""NCK2"", ""NF2"", ""HAVCR2"", ""TGFBR2"", ""CD46"", ""GLI2"", ""NKAP"", ""AP3D1"", ""DUSP22"", ""CD24"", ""SH2B3"", ""ABL1"", ""PRKCZ"", 
""MAP3K8"", ""HSPH1"", ""JAK1"", ""SLC7A1"", ""HLA-DMA"", ""FLOT2"", ""TRAF6"", ""MAD1L1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.00250329025287366","0.0439732383390821","0.431707695803346","0.252413450846199","1.3722550146829","492","c(""PVR"", ""RHOU"", ""DLG1"", ""PKD2"", ""BCAR1"", ""CYTH2"", ""CTTN"", ""SPECC1L"", ""KIT"", ""WNK3"", ""SYNE2"", ""CASK"", ""STX3"", ""AMOTL1"", ""BAIAP2L1"", ""PRKD1"", ""ACTN1"", ""FRMD6"", ""NEDD9"", ""PLPP3"", ""KIRREL1"", ""CLASP1"", ""ILDR2"", ""MAP2K2"", ""PKP4"", ""SNTB1"", ""FGF13"", ""PODXL"", ""ALCAM"", ""ANK2"", ""TNFSF13B"", ""SGSM3"", ""IRF2"", ""ARHGAP26"", ""MAP2K1"", ""ARPC1B"", ""LIMS1"", ""PALLD"", ""CNN3"", ""PAK2"", ""CSK"", ""APP"", ""KIFC3"", ""SPRY4"", ""ARPC3"", ""PPFIBP1"", ""NRP1"", ""TMOD3"", ""STRN"", ""ERBIN"", ""LPP"", ""KAZN"", ""CCDC85A"", ""PTPN12"", ""SYNM"", ""DDX58"", 
""P4HB"", ""TNK2"", ""PIK3CA"", ""IQGAP1"", ""RHOB"", ""MRC2"", ""MYO1E"", ""HSP90B1"", ""CYTH1"", ""SMAD7"", ""DLG3"", ""MPP7"", ""RALA"", ""STARD10"", ""ITGB1BP1"", ""CBL"", ""DNMBP"", ""TNKS1BP1"", ""CAPN2"", ""AFDN"", ""EFNA5"", ""PARD3"", ""LIN7A"", ""AHI1"", ""WASF1"", ""TGM2"", ""SDC4"", ""ACTN4"", ""EPB41L5"", ""GIT1"", ""MYH9"", ""PXN"", ""JAK2"", ""FRMPD2"", ""CGNL1"", ""JUP"", ""ARF1"", ""GAB1"", ""ADAM10"", ""PPL"", ""NCK1"", ""MAPRE2"", ""ARHGEF7"", ""ARHGAP17"", ""YBX3"", ""VASP"", ""CLDN12"", ""DNM2"", ""EGFR"", ""ITGB4"", ""NECTIN2"", ""CDC42BPA"", ""USP33"", ""SNAP23"", ""SAV1"", ""PPP3CA"", 
""ITGAV"", ""CNTNAP2"", ""PAK1"", ""RAP1B"", ""AKT1"", ""LRP1"", ""PPP1CB"", ""DLL1"", ""PDLIM7"", ""CORO1C"", ""HSPA5"", ""TPM4"", ""MSN"", ""ASAP3"", ""NCKAP1"", ""SDCBP"", ""NPHP4"", ""FLCN"", ""PI4KA"", ""LASP1"", ""EPHA2"", ""GDI2"", ""GSN"", ""NF2"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.0680713128038898","0.292486270303044","0.219250346703755","0.234225168290354","1.2204928169833","291","c(""PVR"", ""RHOU"", ""BCAR1"", ""CTTN"", ""SYNE2"", ""CASK"", ""ACTN1"", ""NEDD9"", ""CLASP1"", ""MAP2K2"", ""SNTB1"", ""ALCAM"", ""TNFSF13B"", ""IRF2"", ""ARHGAP26"", ""MAP2K1"", ""ARPC1B"", ""LIMS1"", ""PALLD"", ""CNN3"", ""SPRY4"", ""ARPC3"", ""PPFIBP1"", ""NRP1"", ""ERBIN"", ""LPP"", ""PTPN12"", ""P4HB"", ""IQGAP1"", ""RHOB"", ""MRC2"", ""HSP90B1"", ""RALA"", ""ITGB1BP1"", ""CBL"", ""CAPN2"", ""WASF1"", ""TGM2"", ""SDC4"", ""ACTN4"", ""EPB41L5"", ""GIT1"", ""MYH9"", ""PXN"", ""JAK2"", ""JUP"", ""ARF1"", ""ADAM10"", ""MAPRE2"", ""ARHGEF7"", ""VASP"", ""DNM2"", ""EGFR"", ""ITGB4"", ""NECTIN2"", ""USP33"", 
""SNAP23"", ""ITGAV"", ""PAK1"", ""LRP1"", ""PPP1CB"", ""PDLIM7"", ""CORO1C"", ""HSPA5"", ""TPM4"", ""MSN"", ""ASAP3"", ""NCKAP1"", ""SDCBP"", ""PI4KA"", ""LASP1"", ""EPHA2"", ""GDI2"", ""GSN"", ""MPRIP"", ""CD46"", ""DST"", ""LIMK1"", ""TSPAN9"", ""MAP4K4"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.0108073012950035","0.10773663700622","0.380730400722792","0.275553599760065","1.40477906092461","243","c(""PVR"", ""ARSB"", ""OSMR"", ""RAMP1"", ""KIT"", ""PTGFRN"", ""IL6R"", ""ABCC4"", ""SPARC"", ""HM13"", ""LRRC8A"", ""KLRD1"", ""EMP2"", ""ALCAM"", ""APP"", ""ROR1"", ""PDGFRA"", ""IL13RA1"", ""CD58"", ""P4HB"", ""NT5E"", ""CLSTN3"", ""SLC1A3"", ""ACVR1B"", ""KCNQ1"", ""IL1R1"", ""PAM"", ""RALA"", ""ANTXR1"", ""NRDC"", ""FZD3"", ""CAPN2"", ""LIFR"", ""EFNA5"", ""SDC4"", ""ANO6"", ""ENTPD6"", ""TNFRSF1A"", ""ABCA7"", ""CD276"", ""PKD1"", ""MBP"", ""ADAM10"", ""VAMP4"", ""ABCA1"", ""SFRP1"", ""EGFR"", ""ITGB4"", ""NECTIN2"", ""FCGRT"", ""PLXNB2"", ""ITGA10"", ""DCBLD2"", ""SLC7A11"", ""ITGAV"", ""SLC1A1"", 
""MFGE8"", ""CNTNAP2"", ""HNRNPU"", ""MAP3K5"", ""NEO1"", ""IL6ST"", ""EGFL8"", ""HSPA5"", ""MSN"", ""PCSK6"", ""ROBO1"", ""TNFRSF10B"", ""EPHA2"", ""DCC"", ""ADAMTS9"", ""HAVCR2"", ""TGFBR2"", ""CD46"", ""PDIA4"", ""LY6G5B"", ""ABCG1"", ""CD24"", ""LRP8"")"
