"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.0024765503510678","0.107361804408453","0.431707695803346","0.269557908436669","1.37119437736795","372","c(""BCL6"", ""CYP1B1"", ""RUNX1"", ""PCDH7"", ""CNTN4"", ""NRXN1"", ""KIF26B"", ""FAT3"", ""CDH13"", ""NLGN4X"", ""PTPRT"", ""PTPRG"", ""PDLIM1"", ""CLSTN2"", ""TENM1"", ""CARD11"", ""DSCAM"", ""NCAM2"", ""LRRC7"", ""CNTN5"", ""PLAUR"", ""PKHD1"", ""TGFB1"", ""CDH18"", ""PAG1"", ""LYN"", ""CDH12"", ""FLOT2"", ""PALLD"", ""ITGAE"", ""VMP1"", ""CDH4"", ""CBLB"", ""PCDH11X"", ""DLG1"", ""CD44"", ""GRID2"", ""GCNT1"", ""PRKCQ"", ""PTPRD"", ""NTNG1"", ""VEGFA"", ""ITGA5"", ""PRKCA"", ""CTNND2"", ""EFNA5"", ""ZDHHC2"", ""UNC5D"", ""ZMIZ1"", ""JAK2"", ""MEGF10"", ""TNFSF13B"", ""IGSF11"", ""SKAP1"", ""NRXN3"", 
""SDK2"", ""UBASH3B"", ""NEGR1"", ""PDGFRA"", ""CD58"", ""NFKBIZ"", ""MEGF11"", ""SEMA4D"", ""LEF1"", ""CTNNB1"", ""ITGA2"", ""MAPK14"", ""ABAT"", ""FYN"", ""ZBTB1"", ""CD55"", ""ZBTB16"", ""CEBPB"", ""ST3GAL4"", ""PTPN11"", ""KIFAP3"", ""IL4R"", ""PLPP3"", ""SDK1"", ""PVR"", ""TENM4"", ""STAT5B"", ""KIRREL3"", ""MIA3"", ""C1QTNF1"", ""FLOT1"", ""DNAJB6"", ""ITGB5"", ""SLC7A1"", ""CNTN1"", ""GOLPH3"", ""LRRC4C"", ""ADGRV1"", ""RIPK2"", ""FBLIM1"", ""MSN"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.220985691573927","0.662477765968578","0.11378726182188","0.254386101297786","1.12791664766864","124","c(""BCL6"", ""RUNX1"", ""CARD11"", ""PAG1"", ""LYN"", ""FLOT2"", ""CBLB"", ""DLG1"", ""CD44"", ""GCNT1"", ""PRKCQ"", ""ITGA5"", ""ZMIZ1"", ""JAK2"", ""TNFSF13B"", ""SKAP1"", ""NFKBIZ"", ""SEMA4D"", ""LEF1"", ""FYN"", ""ZBTB1"", ""CD55"", ""ZBTB16"", ""CEBPB"", ""ST3GAL4"", ""PTPN11"", ""IL4R"", ""STAT5B"", ""MIA3"", ""SLC7A1"", ""GOLPH3"", ""RIPK2"", ""MSN"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.101978691019787","0.546358743783636","0.170932335370056","0.257320540981465","1.2151345633693","190","c(""BCL6"", ""RUNX1"", ""EDIL3"", ""KIF26B"", ""CDH13"", ""RIN2"", ""CARD11"", ""PLAUR"", ""NID1"", ""ZFHX3"", ""LYN"", ""FLOT2"", ""PTK2B"", ""CD44"", ""PRKCQ"", ""STX3"", ""VEGFA"", ""ITGA5"", ""PRKCA"", ""ZMIZ1"", ""JAK2"", ""MEGF10"", ""TNFSF13B"", ""SKAP1"", ""FRMD5"", ""CD36"", ""CRKL"", ""NFKBIZ"", ""LEF1"", ""ITGA2"", ""FYN"", ""ZBTB1"", ""CD55"", ""ZBTB16"", ""APBB1IP"", ""ST3GAL4"", ""PTPN11"", ""KIFAP3"", ""TGM2"", ""IL4R"", ""TFE3"", ""PLPP3"", ""VAV3"", ""PREX1"", ""EPHA4"", ""STAT5B"", ""MAP4K4"", ""FLOT1"", ""FMN1"", ""SLC7A1"", ""FERMT2"", ""RIPK2"", ""EMP2"", ""GSK3B"", ""FLCN"", ""DOCK8"", 
""LIMS1"", ""HSPH1"", ""ATM"", ""CRK"", ""PRKCZ"", ""HSPD1"", ""PIK3CA"", ""DNM2"", ""TRAF6"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.0964630225080386","0.542982147989653","0.181383128498408","0.298952021227826","1.28345093186648","97","c(""BCL6"", ""RUNX1"", ""KIF26B"", ""CARD11"", ""PLAUR"", ""LYN"", ""FLOT2"", ""CD44"", ""PRKCQ"", ""ZMIZ1"", ""JAK2"", ""MEGF10"", ""TNFSF13B"", ""SKAP1"", ""NFKBIZ"", ""LEF1"", ""FYN"", ""ZBTB1"", ""CD55"", ""ZBTB16"", ""ST3GAL4"", ""PTPN11"", ""KIFAP3"", ""IL4R"", ""PLPP3"", ""STAT5B"", ""FLOT1"", ""SLC7A1"", ""RIPK2"", ""DOCK8"", ""HSPH1"", ""PRKCZ"", ""HSPD1"", ""PIK3CA"", ""TRAF6"", ""AP3B1"", ""ANK3"", ""GCNT2"", ""ETS1"", ""NCK1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.0714285714285714","0.495265541375051","0.213927855492356","0.323286974120622","1.32582395940013","76","c(""BCL6"", ""RUNX1"", ""CARD11"", ""LYN"", ""FLOT2"", ""CD44"", ""PRKCQ"", ""ZMIZ1"", ""JAK2"", ""TNFSF13B"", ""SKAP1"", ""NFKBIZ"", ""LEF1"", ""FYN"", ""ZBTB1"", ""CD55"", ""ZBTB16"", ""ST3GAL4"", ""PTPN11"", ""IL4R"", ""STAT5B"", ""SLC7A1"", ""RIPK2"", ""DOCK8"", ""HSPH1"", ""PRKCZ"", ""HSPD1"", ""PIK3CA"", ""TRAF6"", ""AP3B1"", ""ETS1"", ""NCK1"", ""NKAP"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.0141634332645971","0.209705971905358","0.380730400722792","0.260695637234058","1.31843893827617","334","c(""BCL6"", ""CYP1B1"", ""RUNX1"", ""EDIL3"", ""KIF26B"", ""SEMA5A"", ""BCAS3"", ""CDH13"", ""PTPRG"", ""RIN2"", ""CORO2B"", ""CARD11"", ""DSCAM"", ""PLAUR"", ""PKHD1"", ""TGFB1"", ""NID1"", ""PAG1"", ""ZFHX3"", ""LYN"", ""FLOT2"", ""PTK2B"", ""SEMA3E"", ""CBLB"", ""DLG1"", ""CD44"", ""PRKCQ"", ""STX3"", ""APOD"", ""VEGFA"", ""ITGA5"", ""PRKCA"", ""EFNA5"", ""ZDHHC2"", ""SERPINE1"", ""ZMIZ1"", ""JAK2"", ""MEGF10"", ""TNFSF13B"", ""SKAP1"", ""FRMD5"", ""CD36"", ""DLC1"", ""UBASH3B"", ""CRKL"", ""NFKBIZ"", ""SEMA4D"", ""LEF1"", ""ITGA2"", ""MAPK14"", ""ABAT"", ""FYN"", ""ZBTB1"", ""CD55"", ""ZBTB16"", ""APBB1IP"", 
""CEBPB"", ""SLK"", ""ST3GAL4"", ""PTPN11"", ""LIMCH1"", ""KIFAP3"", ""TGM2"", ""IL4R"", ""TFE3"", ""PLPP3"", ""VAV3"", ""PREX1"", ""EPHA4"", ""TGFBI"", ""SPOCK1"", ""STAT5B"", ""CYTH1"", ""MAP4K4"", ""MIA3"", ""C1QTNF1"", ""ARHGAP6"", ""FLOT1"", ""ABL2"", ""FMN1"", ""SPRY4"", ""SLC7A1"", ""KANK1"", ""FERMT2"", ""PEAK1"", ""RIPK2"", ""MACF1"", ""PRLR"", ""EMP2"", ""GSK3B"", ""FAM107A"", ""PDE3B"", ""FLCN"", ""CASK"", ""SLC9A1"", ""DOCK8"", ""PPARA"", ""PTPRA"", ""LIMS1"", ""TRPV4"", ""CLASP1"", ""HSPH1"", ""ATM"", ""CRK"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0607476635514019","0.47148025324088","0.227987202850442","0.27644478702421","1.28158982101479","165","c(""BCL6"", ""RUNX1"", ""KIF26B"", ""PTPRG"", ""CARD11"", ""PLAUR"", ""PKHD1"", ""TGFB1"", ""PAG1"", ""LYN"", ""FLOT2"", ""CBLB"", ""DLG1"", ""CD44"", ""PRKCQ"", ""VEGFA"", ""PRKCA"", ""EFNA5"", ""ZDHHC2"", ""ZMIZ1"", ""JAK2"", ""MEGF10"", ""TNFSF13B"", ""SKAP1"", ""UBASH3B"", ""NFKBIZ"", ""LEF1"", ""MAPK14"", ""ABAT"", ""FYN"", ""ZBTB1"", ""CD55"", ""ZBTB16"", ""CEBPB"", ""ST3GAL4"", ""PTPN11"", ""KIFAP3"", ""IL4R"", ""PLPP3"", ""STAT5B"", ""MIA3"", ""C1QTNF1"", ""FLOT1"", ""SLC7A1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.00246109691327017","0.107361804408453","0.431707695803346","-0.233427926061718","-1.3078120627121","512","c(""ATP1B1"", ""PARD3B"", ""PATJ"", ""JAM3"", ""EPB41L2"", ""CD9"", ""FLNB"", ""LIMA1"", ""PPP1CB"", ""WTIP"", ""MXRA8"", ""PTPRU"", ""RPL18"", ""PLEC"", ""YWHAZ"", ""JAM2"", ""PIP5K1A"", ""TSPAN4"", ""CD46"", ""PRKCI"", ""TJP2"", ""DOCK7"", ""CDH1"", ""CDC42"", ""NPM1"", ""RAB10"", ""AMOTL2"", ""EPB41L4B"", ""TBCD"", ""ITGBL1"", ""PDLIM5"", ""TGFBR1"", ""LSR"", ""YWHAE"", ""RPS18"", ""ARL14EP"", ""ANK2"", ""FLNA"", ""PDCD6IP"", ""LMO7"", ""FXYD1"", ""CDH5"", ""AFAP1"", ""NECTIN2"", ""GAB1"", ""ARHGAP31"", ""CTNND1"", ""JAK1"", ""NEDD9"", ""ALCAM"", ""VEZT"", ""RPS11"", ""CD81"", ""ILK"", ""LPXN"", ""FRS2"", 
""ACTN4"", ""RPS3"", ""RPL3"", ""DMD"", ""REXO2"", ""SCN1B"", ""ARPC2"", ""MDC1"", ""OBSL1"", ""DSP"", ""SCARF2"", ""RPS8"", ""HNRNPK"", ""RPS16"", ""SHROOM3"", ""CRB1"", ""ITGB8"", ""RPL7A"", ""RPS14"", ""FRMD4A"", ""RPL9"", ""PNN"", ""ANXA5"", ""WDR1"", ""AHNAK"", ""PKP4"", ""RPL5"", ""PPP1R12A"", ""JCAD"", ""PAK1"", ""MTF2"", ""ADGRL3"", ""AFDN"", ""CDC42BPB"", ""KIFC3"", ""RPS17"", ""GJB2"", ""DST"", ""ADD3"", ""HACD3"", ""RPL19"", ""PARD6G"", ""SYNPO2"", ""VCL"", ""ATP6V0C"", ""FAT1"", ""PAK4"", ""EIF4G2"", ""GSN"", ""TLN2"", ""STXBP6"", ""PKN2"", ""RPL13A"", ""WASF2"", ""ERBIN"", ""PFN1"", ""GDI2"", ""FBF1"", 
""LASP1"", ""TLN1"", ""B2M"", ""YWHAH"", ""RPS5"", ""ACTG1"", ""RPS4X"", ""RPS15"", ""RPLP0"", ""ITGB4"", ""TMOD3"", ""RPL8"", ""EFNB2"", ""DCAF6"", ""PRAG1"", ""RPL27"", ""PACSIN2"", ""WASF1"", ""CD99"", ""RPS9"", ""CORO1C"", ""SORBS3"", ""CLASP2"", ""TPM4"", ""HMCN1"", ""RPS2"", ""CPNE3"", ""STRN"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.00338773526233527","0.118991110090199","0.431707695803346","-0.253131592545381","-1.36254089987081","318","c(""EPB41L2"", ""CD9"", ""FLNB"", ""LIMA1"", ""PPP1CB"", ""RPL18"", ""PLEC"", ""YWHAZ"", ""PIP5K1A"", ""TSPAN4"", ""CD46"", ""DOCK7"", ""CDC42"", ""NPM1"", ""RAB10"", ""ITGBL1"", ""YWHAE"", ""RPS18"", ""ARL14EP"", ""FLNA"", ""PDCD6IP"", ""LMO7"", ""AFAP1"", ""NECTIN2"", ""ARHGAP31"", ""JAK1"", ""NEDD9"", ""ALCAM"", ""RPS11"", ""CD81"", ""ILK"", ""LPXN"", ""ACTN4"", ""RPS3"", ""RPL3"", ""DMD"", ""REXO2"", ""ARPC2"", ""MDC1"", ""SCARF2"", ""RPS8"", ""HNRNPK"", ""RPS16"", ""ITGB8"", ""RPL7A"", ""RPS14"", ""RPL9"", ""ANXA5"", ""AHNAK"", ""RPL5"", ""PPP1R12A"", ""PAK1"", ""MTF2"", ""RPS17"", ""DST"", ""HACD3"", 
""RPL19"", ""SYNPO2"", ""VCL"", ""ATP6V0C"", ""FAT1"", ""PAK4"", ""GSN"", ""TLN2"", ""RPL13A"", ""ERBIN"", ""PFN1"", ""GDI2"", ""LASP1"", ""TLN1"", ""B2M"", ""RPS5"", ""ACTG1"", ""RPS4X"", ""RPS15"", ""RPLP0"", ""ITGB4"", ""RPL8"", ""EFNB2"", ""DCAF6"", ""PRAG1"", ""RPL27"", ""PACSIN2"", ""WASF1"", ""CD99"", ""RPS9"", ""CORO1C"", ""SORBS3"", ""CLASP2"", ""TPM4"", ""HMCN1"", ""RPS2"", ""CPNE3"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.00722222023156719","0.151766668684419","0.407017918923954","0.27190882748184","1.35147967434745","282","c(""TFPI"", ""ADAMTS9"", ""CNTNAP2"", ""NRXN1"", ""CDH13"", ""NLGN4X"", ""PTPRT"", ""ECE1"", ""CLSTN2"", ""PCSK6"", ""KCNH5"", ""NRDC"", ""PLAUR"", ""PKHD1"", ""MAP3K5"", ""TGFB1"", ""GRIN2B"", ""IL1R1"", ""TMC1"", ""KCNQ3"", ""IQGAP2"", ""ROR2"", ""GPRC5B"", ""ITGAE"", ""PTPRK"", ""CLMP"", ""IDE"", ""ANTXR2"", ""CD44"", ""VEGFA"", ""CRYAB"", ""ITGA5"", ""KLRD1"", ""EFNA5"", ""UNC5D"", ""C3"", ""ERP44"", ""PDIA4"", ""CD36"", ""MSR1"", ""PDGFRA"", ""GPC5"", ""CD58"", ""GSR"", ""PTGFRN"", ""ITGA2"", ""MFGE8"", ""ABCC4"", ""CD55"", ""SCARA5"", ""ARSB"", ""PPFIA2"", ""ABCA1"", ""GRIN2A"", ""ENO2"", ""GPC3"", ""TNFRSF1A"", 
""IL4R"", ""SLC1A1"", ""LRPAP1"", ""OSMR"", ""PVR"", ""EPHA4"", ""FLOT1"", ""ITGB5"", ""FERMT2"", ""ADGRV1"", ""HSP90AB1"", ""LPAR1"", ""MSN"", ""PRLR"", ""EMP2"", ""FGF10"", ""DCC"", ""EPHA5"", ""SLC9A1"", ""RAMP1"", ""CD59"", ""KCNB1"")"
