"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.989010989010989","1","0.00480899561354898","-0.254724049653791","-0.779042440533913","149","c(""CTNND1"", ""TENM2"", ""LAMB1"", ""JAM2"", ""AFDN"", ""CD46"", ""CD47"", ""VEZT"", ""MINK1"", ""RPS3"", ""RC3H2"", ""RIPOR2"", ""TGFB2"", ""SWAP70"", ""JAK1"", ""HLA-A"", ""DENND6A"", ""PAWR"", ""PTPRU"", ""TFRC"", ""WNT5A"", ""JAM3"", ""FGL2"", ""OBSL1"", ""MYL9"", ""CDON"", ""HLA-E"", ""DAB1"", ""GTPBP4"", ""GLMN"", ""MPZL2"", ""STXBP3"", ""CDHR3"", ""EXT1"", ""PPIA"", ""CRB1"", ""SHC1"", ""DNAJA3"", ""CD164"", ""CLDN5"", ""CD81"", ""PTK2"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.75024975024975","1","0.0263245268606861","-0.313947959386082","-0.893211455085501","49","c(""JAM2"", ""CD46"", ""CD47"", ""RPS3"", ""RC3H2"", ""RIPOR2"", ""HLA-A"", ""PAWR"", ""TFRC"", ""FGL2"", ""HLA-E"", ""GLMN"", ""EXT1"", ""DNAJA3"", ""CD81"", ""AMBRA1"", ""HES1"", ""ZC3H8"", ""IL4R"", ""PTPN2"", ""NDFIP1"", ""GATA3"", ""ERBB2"", ""VCAM1"", ""IGFBP2"", ""B2M"", ""DUSP22"", ""SDC4"", ""LGALS3"", ""ITCH"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.69030969030969","1","0.0305608138615649","-0.317721832464402","-0.934241959649756","73","c(""DOCK5"", ""CCDC80"", ""LDB1"", ""AFDN"", ""COL16A1"", ""CD46"", ""CD47"", ""EPB41L4B"", ""COL8A1"", ""RPS3"", ""TGFB2"", ""JAK1"", ""HLA-A"", ""DENND6A"", ""PTPRU"", ""TFRC"", ""WNT5A"", ""ABI3BP"", ""HLA-E"", ""DNAJA3"", ""CD81"", ""AMBRA1"", ""HES1"", ""EGFLAM"", ""PPP3CA"", ""SFRP2"", ""NRP1"", ""SMAD3"", ""IL4R"", ""CDC42"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.406593406593407","1","0.0551351763385257","-0.376760544261006","-1.0377839689426","34","c(""AFDN"", ""CD46"", ""CD47"", ""RPS3"", ""JAK1"", ""HLA-A"", ""DENND6A"", ""PTPRU"", ""TFRC"", ""WNT5A"", ""HLA-E"", ""DNAJA3"", ""CD81"", ""AMBRA1"", ""HES1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.692","1","0.0304894126298511","-0.336588055687391","-0.891204069738106","25","c(""CD46"", ""CD47"", ""RPS3"", ""HLA-A"", ""TFRC"", ""HLA-E"", ""DNAJA3"", ""CD81"", ""AMBRA1"", ""HES1"", ""IL4R"", ""GATA3"", ""VCAM1"", ""IGFBP2"", ""B2M"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.878121878121878","1","0.0169971052149879","-0.286678536621325","-0.873999565629017","141","c(""DOCK5"", ""CCDC80"", ""LDB1"", ""AFDN"", ""COL16A1"", ""CD46"", ""CD47"", ""EPB41L4B"", ""COL8A1"", ""LPXN"", ""MINK1"", ""ADAM10"", ""RPS3"", ""RC3H2"", ""RIPOR2"", ""TGFB2"", ""SWAP70"", ""JAK1"", ""HLA-A"", ""DENND6A"", ""PAWR"", ""PHLDB2"", ""PPP2R1A"", ""PTPRU"", ""TFRC"", ""WNT5A"", ""JAM3"", ""FGL2"", ""ABI3BP"", ""HLA-E"", ""DAB1"", ""PLXNA4"", ""GTPBP4"", ""ACTN4"", ""GLMN"", ""DNAJA3"", ""CD164"", ""CD81"", ""PTK2"", ""MBP"", ""AMBRA1"", ""HES1"", ""EGFLAM"", ""PPP3CA"", ""ZC3H8"", ""SFRP2"", ""NRP1"", ""SMAD3"", ""IL4R"", ""PTPN2"", ""CDC42"", ""SPOCK1"", ""PPP1R12A"", ""ILK"", ""MMP2"", ""WDPCP"", 
""FSTL3"", ""NDFIP1"", ""GATA3"", ""ERBB2"", ""VCAM1"", ""PTEN"", ""PRKCE"", ""PKP4"", ""PIK3CB"", ""ADAM9"", ""TPM1"", ""FAM107A"", ""IGFBP2"", ""B2M"", ""DUSP22"", ""PLXNB1"", ""SDC4"", ""CD9"", ""ABL1"", ""LGALS3"", ""ITCH"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.747252747252747","1","0.0265350909115755","-0.310587023418903","-0.908255935302985","69","c(""AFDN"", ""CD46"", ""CD47"", ""MINK1"", ""RPS3"", ""RC3H2"", ""RIPOR2"", ""SWAP70"", ""JAK1"", ""HLA-A"", ""DENND6A"", ""PAWR"", ""PTPRU"", ""TFRC"", ""WNT5A"", ""FGL2"", ""HLA-E"", ""GTPBP4"", ""GLMN"", ""DNAJA3"", ""CD81"", ""PTK2"", ""MBP"", ""AMBRA1"", ""HES1"", ""ZC3H8"", ""IL4R"", ""PTPN2"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.10989010989011","1","0.130105630751129","-0.353443137382475","-1.10485477984409","239","c(""PARD3B"", ""CTNND1"", ""PIP5K1A"", ""REXO2"", ""NPM1"", ""LIMA1"", ""PABPC1"", ""HNRNPK"", ""RPL18"", ""RPLP0"", ""JAM2"", ""RPL3"", ""FXYD1"", ""AFDN"", ""RPS18"", ""MDC1"", ""CD46"", ""MTF2"", ""GJB2"", ""DMD"", ""EPB41L4B"", ""VEZT"", ""RPS8"", ""SDCCAG8"", ""KIF23"", ""YWHAE"", ""LPXN"", ""PATJ"", ""PDCD6IP"", ""ADAM10"", ""RPS9"", ""PIKFYVE"", ""RPL9"", ""RPS3"", ""CD99L2"", ""ERBIN"", ""DCAF6"", ""PRKCI"", ""USP33"", ""RPS16"", ""JAK1"", ""PNN"", ""LMLN"", ""EPB41L2"", ""PHLDB2"", ""RPS11"", ""RPS17"", ""RPL10A"", ""PTPRU"", ""TNKS1BP1"", ""FRS2"", ""JAM3"", ""OBSL1"", ""AMOTL2"", ""WTIP"", ""RPL7A"", 
""PCBP2"", ""PFN1"", ""RPL5"", ""RPS2"", ""RPS5"", ""APP"", ""RPL19"", ""AFAP1"", ""ACTN4"", ""PRAG1"", ""RPS4X"", ""SYMPK"", ""MXRA8"", ""FHL2"", ""CDHR3"", ""CPNE3"", ""PPIA"", ""CRB1"", ""RPS19"", ""CDC42BPB"", ""ATP1B1"", ""RPS14"", ""GJB6"", ""CLDN5"", ""RPS3A"", ""CD81"", ""PTK2"", ""RPL13A"", ""GNA12"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.15984015984016","1","0.104732821580651","-0.357474556745135","-1.09464740956042","156","c(""PIP5K1A"", ""REXO2"", ""NPM1"", ""LIMA1"", ""PABPC1"", ""HNRNPK"", ""RPL18"", ""RPLP0"", ""RPL3"", ""RPS18"", ""MDC1"", ""CD46"", ""MTF2"", ""DMD"", ""RPS8"", ""KIF23"", ""YWHAE"", ""LPXN"", ""PDCD6IP"", ""ADAM10"", ""RPS9"", ""RPL9"", ""RPS3"", ""CD99L2"", ""ERBIN"", ""DCAF6"", ""USP33"", ""RPS16"", ""JAK1"", ""LMLN"", ""EPB41L2"", ""PHLDB2"", ""RPS11"", ""RPS17"", ""RPL10A"", ""RPL7A"", ""PCBP2"", ""PFN1"", ""RPL5"", ""RPS2"", ""RPS5"", ""RPL19"", ""AFAP1"", ""ACTN4"", ""PRAG1"", ""RPS4X"", ""FHL2"", ""CPNE3"", ""PPIA"", ""RPS19"", ""RPS14"", ""RPS3A"", ""CD81"", ""PTK2"", ""RPL13A"", ""GNA12"", ""RPS13"", 
""RPL27"", ""AMBRA1"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.795204795204795","1","0.0231538258045259","-0.30045510204377","-0.905874787938629","118","c(""SLC4A4"", ""SULF1"", ""FZD6"", ""SLC11A2"", ""SCUBE1"", ""JAM2"", ""UNC5C"", ""USP14"", ""CD46"", ""CD47"", ""LEPR"", ""MET"", ""DMD"", ""ADAM10"", ""ACVR2A"", ""CD99L2"", ""RC3H2"", ""HLA-A"", ""TGFBR3"", ""TMX3"", ""ATP6AP2"", ""FAS"", ""TFRC"", ""WNT5A"", ""VAMP4"", ""PDGFC"", ""RPS6KB1"", ""APP"", ""ADGRA3"", ""HLA-E"", ""MXRA8"", ""NCAM1"", ""OSMR"", ""ANTXR1"")"
