,show,Aggregated,pathway,gs_number,gs_description,pval,padj,log2err,ES,NES,size,leadingEdge
1,,Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.000716399,0.01480707,0.477270815,-0.323825715,-1.407245711,387,"c(""SDK2"", ""CDH13"", ""CDH1"", ""UNC5D"", ""FAT3"", ""CTNNA2"", ""TENM3"", ""TGFB2"", ""DCC"", ""PTPRD"", ""HMCN1"", ""COL19A1"", ""TENM2"", ""CNTN5"", ""STXBP6"", ""ROBO2"", ""CNTN4"", ""CDH8"", ""BAIAP2"", ""MEGF11"", ""ADGRL3"", ""HSPD1"", ""KIF26B"", ""NEGR1"", ""NTN1"", ""PTPRG"", ""DSCAM"", ""NRXN1"", ""TENM1"", ""PRKG1"", ""NLGN1"", ""CLDN11"", ""CDH3"", ""NRXN3"", ""IL7"", ""PDE5A"", ""MAGI1"", ""ITGA1"", ""ITGA8"", ""CLSTN2"", ""NCAM2"", ""CDH4"", ""CTNND2"", ""CTNNA3"", ""KIRREL3"", ""PCDH7"", ""IL1RAPL1"", ""CNN3"", ""PTPRT"", ""ASTN2"", ""PKHD1"", ""KIRREL1"", ""PCDH15"", ""NEO1"", ""ITGAE"", 
""PRKCQ"", ""BAIAP2L1"", ""PCDH9"", ""PTK2"", ""PTPRS"", ""JAK3"", ""MYO10"", ""ADGRV1"", ""HSPH1"", ""LAMA3"", ""LRP6"", ""DNAJB6"", ""CNTN1"", ""SKAP1"", ""BOC"", ""CDH18"", ""CDH12"", ""LRFN5"", ""EFNA5"", ""TJP1"", ""PARVA"", ""GOLPH3"", ""ACTN1"", ""LRRC7"", ""EGFR"", ""BSG"", ""OBSCN"", ""EPB41L5"", ""PCDH11Y"", ""STAT5B"", ""BCL6"", ""SLC7A1"", ""LRRC4C"", ""TWSG1"", ""NPHP1"", ""DLG2"", ""PAWR"", ""CXADR"", ""GPC6"", ""PRNP"", ""CYP1B1"", ""PCDH11X"", ""COL14A1"", ""ROBO1"", ""RC3H1"", ""CDHR3"", ""VEGFA"", ""RIPK2"", ""CDH20"", ""RIPOR2"", ""NLGN4X"", ""TJP2"", ""CDH11"", ""JAM2"", ""CD55"", ""DLG5"", 
""GTPBP4"", ""PTPRM"", ""RHOH"", ""NFAT5"", ""TNXB"", ""DUSP3"", ""ADAM9"", ""CD83"", ""GNAS"", ""MALT1"", ""PTPN2"", ""LAMB1"", ""TRPV4"", ""MSN"", ""RDX"", ""ATP2C1"", ""FAT1"", ""CASP3"", ""PKD1"", ""FYN"", ""IL1RAP"", ""MAD1L1"")"
2,,Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],8.46E-06,0.000470246,0.593325476,0.336440164,1.744797619,164,"c(""TNFRSF21"", ""CD4"", ""DOCK8"", ""CD74"", ""HLA-DRA"", ""HLA-E"", ""HLA-DRB5"", ""PECAM1"", ""HLA-DPB1"", ""JAK2"", ""HLA-DMB"", ""IL2RA"", ""HLA-DMA"", ""CARD11"", ""CD86"", ""VSIR"", ""DUSP22"", ""HLA-DPA1"", ""ALOX5"", ""HLA-DRB1"", ""SYK"", ""SLC39A8"", ""NCKAP1L"", ""FOXO3"", ""ITGB2"", ""PTPN22"", ""HAVCR2"", ""NLRP3"", ""HLA-DQA1"", ""ROCK1"", ""NDFIP1"", ""IGF1"", ""FGL2"", ""VSIG4"", ""CSK"", ""VAV1"", ""ICAM1"", ""CD44"", ""LILRB2"", ""FCGR2B"", ""LYN"", ""SMAD7"", ""CD47"", ""SIRPA"", ""LOXL3"", ""LAPTM5"")"
3,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",2.57E-05,0.0011618,0.575610261,0.299191448,1.593219896,202,"c(""RIN2"", ""CD4"", ""DOCK8"", ""CD74"", ""HLA-DRA"", ""UTRN"", ""HLA-E"", ""HLA-DRB5"", ""DAB2"", ""PLEKHA2"", ""PTPRJ"", ""HLA-DPB1"", ""JAK2"", ""HLA-DMB"", ""NRP1"", ""IL2RA"", ""HLA-DMA"", ""CARD11"", ""CD86"", ""JAK1"", ""VSIR"", ""HLA-DPA1"", ""ALOX5"", ""HLA-DRB1"", ""TPM1"", ""SYK"", ""NCKAP1L"", ""FOXO3"", ""RREB1"", ""ITGB2"", ""PTPN22"", ""HAVCR2"", ""RAC1"", ""NLRP3"", ""HLA-DQA1"", ""CASS4"", ""ROCK1"", ""EMILIN2"", ""IGF1"", ""ARPC2"", ""PDGFB"", ""CSK"", ""GCNT2"", ""VAV1"", ""CD44"", ""LILRB2"", ""LYN"", ""SMAD7"", ""CD47"", ""SIRPA"", ""PTK2B"", ""PRKCE"", ""VAV3"", ""PTAFR"", ""DENND6A"", 
""TGFBR2"", ""RUNX1"", ""CDK6"", ""TYK2"", ""CD276"", ""PIK3R6"", ""ANK3"", ""CD46"", ""HLA-DQB1"", ""APBB1IP"", ""TNFRSF14"", ""IRAK1"", ""ABL1"", ""PPP3CA"", ""PREX1"", ""HLA-A"", ""IL18"", ""CD81"", ""ZMIZ1"", ""LIMS1"", ""CDC42"", ""ITGA5"")"
4,,Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],6.17E-06,0.000351484,0.610526878,0.367466748,1.869863886,124,"c(""CD4"", ""DOCK8"", ""CD74"", ""HLA-DRA"", ""HLA-E"", ""HLA-DRB5"", ""HLA-DPB1"", ""JAK2"", ""HLA-DMB"", ""IL2RA"", ""HLA-DMA"", ""CARD11"", ""CD86"", ""JAK1"", ""VSIR"", ""HLA-DPA1"", ""ALOX5"", ""HLA-DRB1"", ""SYK"", ""NCKAP1L"", ""FOXO3"", ""ITGB2"", ""PTPN22"", ""HAVCR2"", ""NLRP3"", ""HLA-DQA1"", ""EMILIN2"", ""IGF1"", ""CSK"", ""GCNT2"", ""VAV1"", ""CD44"", ""LILRB2"", ""LYN"", ""SMAD7"", ""CD47"", ""SIRPA"", ""PTAFR"", ""DENND6A"", ""TGFBR2"", ""RUNX1"", ""TYK2"", ""CD276"", ""PIK3R6"", ""ANK3"", ""CD46"", ""HLA-DQB1"", ""TNFRSF14"", ""IRAK1"", ""HLA-A"", ""IL18"", ""CD81"", ""ZMIZ1"")"
5,,Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",3.46E-06,0.000224778,0.62725674,0.396383986,1.929869935,107,"c(""CD4"", ""DOCK8"", ""CD74"", ""HLA-DRA"", ""HLA-E"", ""HLA-DRB5"", ""HLA-DPB1"", ""JAK2"", ""HLA-DMB"", ""IL2RA"", ""HLA-DMA"", ""CARD11"", ""CD86"", ""VSIR"", ""HLA-DPA1"", ""ALOX5"", ""HLA-DRB1"", ""SYK"", ""NCKAP1L"", ""FOXO3"", ""ITGB2"", ""PTPN22"", ""HAVCR2"", ""NLRP3"", ""HLA-DQA1"", ""IGF1"", ""CSK"", ""VAV1"", ""CD44"", ""LILRB2"", ""LYN"", ""CD47"", ""SIRPA"", ""PTAFR"", ""TGFBR2"", ""RUNX1"", ""TYK2"", ""CD276"", ""PIK3R6"", ""CD46"", ""HLA-DQB1"", ""TNFRSF14"", ""IRAK1"", ""HLA-A"", ""IL18"", ""CD81"", ""ZMIZ1"")"
6,,Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.004421712,0.054967487,0.407017919,0.220878737,1.257866937,353,"c(""RIN2"", ""TNFRSF21"", ""CD4"", ""DOCK8"", ""ARHGDIB"", ""CD74"", ""HLA-DRA"", ""UTRN"", ""HLA-E"", ""HLA-DRB5"", ""DAB2"", ""PLEKHA2"", ""PTPRJ"", ""EPHB2"", ""HLA-DPB1"", ""JAK2"", ""HLA-DMB"", ""NRP1"", ""IL2RA"", ""BCAS3"", ""MACF1"", ""HLA-DMA"", ""CARD11"", ""CD86"", ""JAK1"", ""PLXND1"", ""VSIR"", ""DUSP22"", ""HLA-DPA1"", ""ALOX5"", ""MINK1"", ""HLA-DRB1"", ""TPM1"", ""SYK"", ""CYTH1"", ""NCKAP1L"", ""FOXO3"", ""RREB1"", ""ITGB2"", ""PTPN22"", ""SIPA1"", ""HAVCR2"", ""RAC1"", ""SH2B3"", ""PEAK1"", ""CXCR4"", ""NLRP3"", ""HLA-DQA1"", ""CASS4"", ""ROCK1"", ""EMILIN2"", ""NDFIP1"", ""IGF1"", 
""WDPCP"", ""FGL2"", ""VSIG4"", ""ARPC2"", ""PRKCD"", ""PDGFB"", ""CSK"", ""GCNT2"", ""VAV1"", ""AKNA"", ""PML"", ""CD44"", ""LILRB2"", ""FCGR2B"", ""LYN"", ""SMAD7"", ""CD47"", ""SIRPA"", ""LOXL3"", ""LAPTM5"", ""SLK"", ""PLXNC1"", ""SPI1"", ""PTK2B"", ""PRKCE"", ""ST6GAL1"", ""VAV3"", ""PLXNB2"", ""PTAFR"", ""DENND6A"", ""TGFBR2"", ""RUNX1"", ""PPP2R1A"", ""CDK6"", ""TYK2"", ""CD276"", ""PIK3R6"", ""ANK3"")"
7,,Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.001030618,0.019604372,0.455059867,0.267640234,1.423420731,197,"c(""TNFRSF21"", ""CD4"", ""DOCK8"", ""CD74"", ""HLA-DRA"", ""HLA-E"", ""HLA-DRB5"", ""HLA-DPB1"", ""JAK2"", ""HLA-DMB"", ""IL2RA"", ""HLA-DMA"", ""CARD11"", ""CD86"", ""JAK1"", ""VSIR"", ""DUSP22"", ""HLA-DPA1"", ""ALOX5"", ""MINK1"", ""HLA-DRB1"", ""SYK"", ""NCKAP1L"", ""FOXO3"", ""ITGB2"", ""PTPN22"", ""HAVCR2"", ""SH2B3"", ""NLRP3"", ""HLA-DQA1"", ""EMILIN2"", ""NDFIP1"", ""IGF1"", ""FGL2"", ""VSIG4"", ""PRKCD"", ""CSK"", ""GCNT2"", ""VAV1"", ""AKNA"", ""CD44"", ""LILRB2"", ""FCGR2B"", ""LYN"", ""SMAD7"", ""CD47"", ""SIRPA"", ""LOXL3"", ""LAPTM5"", ""SPI1"", ""PTAFR"", ""DENND6A"", ""TGFBR2"", ""RUNX1"", 
""TYK2"", ""CD276"", ""PIK3R6"", ""ANK3"")"
8,,Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.295431472,0.716366955,0.071305299,-0.245264411,-1.072841226,451,"c(""HSPA1A"", ""CLMP"", ""CDH13"", ""CDH1"", ""SPTBN4"", ""FLT1"", ""FERMT2"", ""CTNNA2"", ""EPB41L4B"", ""CNTNAP2"", ""HMCN1"", ""STXBP6"", ""CDH8"", ""BAIAP2"", ""ADGRL3"", ""ENAH"", ""APP"", ""CLDN11"", ""VAPA"", ""CDH3"", ""MPDZ"", ""MAGI1"", ""ITGA1"", ""ITGA8"", ""PRKD1"", ""CTNND2"", ""CTNNA3"", ""TRPC6"", ""KIRREL3"", ""CNN3"", ""DDR2"", ""WNK3"", ""KIRREL1"", ""PTPRK"", ""P4HB"", ""PTK7"", ""BAIAP2L1"", ""PCDH9"", ""PTK2"", ""EPHA4"", ""DLC1"", ""MAGI2"", ""PARD3"", ""SHROOM3"", ""TES"", ""HSPA1B"", ""SYNE2"", ""MPP7"", ""PATJ"", ""SKAP1"", ""CORO2B"", ""MAPK15"", ""CDH18"", ""SDCBP"", ""SORBS2"", 
""CDH12"", ""FAM107A"", ""PARD3B"", ""EFNA5"", ""TJP1"", ""DMD"", ""KAZN"", ""FRMD5"", ""PARVA"", ""ACTN1"", ""CDC42BPA"", ""EGFR"", ""BSG"", ""OBSCN"", ""EPB41L5"", ""PHLDB2"", ""RRAS2"", ""HSPA5"", ""NPHP1"", ""CXADR"", ""HSP90B1"", ""HSPA8"", ""SNAP23"", ""CDHR3"", ""VEGFA"", ""SVIL"", ""ANXA6"", ""CDH20"", ""TJP2"", ""CDH11"", ""MAGI3"", ""JAM2"", ""CALR"", ""AKAP12"", ""PDIA3"", ""AKAP6"", ""FRMD6"", ""SORBS1"", ""MAP2K2"", ""PDZD2"", ""HSPA9"", ""PTPRM"", ""NPM1"", ""PPP1R12A"", ""FLRT2"", ""CGNL1"", ""ADAM9"", ""RPL22"", ""YWHAG"", ""TRPV4"", ""MSN"", ""FLNB"", ""LIMA1"", ""RDX"", ""SLC4A2"", ""AMOTL1"", 
""FAT1"", ""NIBAN2"", ""PPP1CB"", ""PPIA"", ""DAG1"", ""JAM3"", ""AHI1"", ""FGF13"", ""PPFIBP1"", ""PKP2"", ""CASK"", ""ATP1B1"", ""HSPG2"", ""PXN"", ""ANXA1"", ""NCKAP1"", ""PRKCI"", ""ADAM10"", ""RPS9"", ""LCP1"", ""YBX3"")"
9,,Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.987513007,1,0.010679451,-0.163890366,-0.698742144,280,"c(""HSPA1A"", ""CDH13"", ""FLT1"", ""FERMT2"", ""HMCN1"", ""ENAH"", ""ITGA1"", ""ITGA8"", ""CNN3"", ""DDR2"", ""P4HB"", ""PTK7"", ""PTK2"", ""DLC1"", ""TES"", ""HSPA1B"", ""SYNE2"", ""CORO2B"", ""SDCBP"", ""SORBS2"", ""FAM107A"", ""DMD"", ""PARVA"", ""ACTN1"", ""EGFR"", ""BSG"", ""EPB41L5"", ""PHLDB2"", ""RRAS2"", ""HSPA5"", ""HSP90B1"", ""HSPA8"", ""SNAP23"", ""SVIL"", ""ANXA6"", ""CALR"", ""AKAP12"", ""PDIA3"", ""SORBS1"", ""MAP2K2"", ""HSPA9"", ""NPM1"", ""PPP1R12A"", ""FLRT2"", ""ADAM9"", ""RPL22"", ""YWHAG"", ""TRPV4"", ""MSN"", ""FLNB"", ""LIMA1"", ""RDX"", ""SLC4A2"", ""FAT1"", ""PPP1CB"", ""PPIA"", 
""DAG1"", ""PPFIBP1"", ""CASK"", ""HSPG2"", ""PXN"", ""ANXA1"", ""NCKAP1"", ""ADAM10"", ""RPS9"", ""LCP1"", ""PALLD"", ""CLTC"", ""TLN2"")"
10,,Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.159751037,0.53403556,0.107140237,-0.266514401,-1.143262749,293,"c(""CLMP"", ""CDH13"", ""KCNH5"", ""UNC5D"", ""TMC1"", ""ROR1"", ""FERMT2"", ""SLC7A5"", ""DCC"", ""KCNJ3"", ""CNTNAP2"", ""ROBO2"", ""GPC5"", ""TNFRSF10D"", ""GPC3"", ""HSPD1"", ""GRIN2A"", ""UNC5C"", ""NRXN1"", ""NLGN1"", ""APP"", ""EPHA5"", ""HSP90AB1"", ""PPFIA2"", ""ENOX1"", ""CLU"", ""ITGA1"", ""ITGA8"", ""CLSTN2"", ""SULF1"", ""SLC4A4"", ""IL1RAPL1"", ""PTPRT"", ""PKHD1"", ""PTPRK"", ""NEO1"", ""ABCB1"", ""ITGAE"", ""P4HB"", ""GRIN2B"", ""EPHA4"", ""ENPEP"", ""ADGRV1"", ""HNRNPU"", ""LRP6"", ""LDLR"", ""FGFR2"", ""SLC1A1"", ""GHR"", ""PAM"", ""PCSK6"", ""LRFN5"", ""EFNA5"", ""DMD"", ""PRLR"", ""CLEC5A"", 
""EGFR"", ""PDIA4"", ""TGFBR3"", ""HSPA5"", ""GPC6"", ""ANTXR1"", ""PRNP"", ""ATP5F1B"", ""CLPTM1"", ""ROBO1"", ""VEGFA"", ""IDE"", ""NLGN4X"", ""CUBN"", ""PLA2R1"", ""JAM2"", ""CALR"", ""NCAM1"", ""CLEC2B"", ""FZD3"", ""PDIA3"")"
