"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.163499644715985","0.816150169972137","0.249246554383295","0.193768093514289","1.10120432728556","317","c(""MSN"", ""HSPB1"", ""RUNX3"", ""LIMS1"", ""KIRREL1"", ""PIEZO1"", ""HSPD1"", ""COL13A1"", ""BCL2"", ""EFNA5"", ""SDK2"", ""JAG1"", ""CEBPB"", ""BCL6"", ""ZFP36L1"", ""HSPH1"", ""NOTCH1"", ""NPHP4"", ""ACVR1"", ""CCN1"", ""TENM4"", ""ALCAM"", ""CD9"", ""ZDHHC21"", ""SEMA4D"", ""PTPRD"", ""DLG5"", ""IGFN1"", ""ESAM"", ""HMGB1"", ""ACTN1"", ""ANXA1"", ""ZDHHC2"", ""MAGI1"", ""PEAR1"", ""PELI1"", ""DNAJB6"", ""PIP5K1C"", ""NEXMIF"", ""PCDH11X"", ""DLG1"", ""SMAD7"", ""BAIAP2"", ""IL6ST"", ""ITGA7"", ""PALLD"", ""MALT1"", ""XBP1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.183962264150943","0.843184002427962","0.227987202850442","0.239925572159073","1.1405410133187","96","c(""MSN"", ""RUNX3"", ""HSPD1"", ""CEBPB"", ""BCL6"", ""HSPH1"", ""ZDHHC21"", ""SEMA4D"", ""DLG5"", ""HMGB1"", ""ANXA1"", ""PELI1"", ""DLG1"", ""SMAD7"", ""IL6ST"", ""MALT1"", ""XBP1"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.555555555555556","1","0.150169802128406","0.189916784868346","0.989238244332407","157","c(""RUNX3"", ""LIMS1"", ""PIEZO1"", ""HSPD1"", ""ZFHX3"", ""MAP4K4"", ""TFE3"", ""UTRN"", ""BCL6"", ""HSPH1"", ""CCN1"", ""PPP3CA"", ""EDIL3"", ""HMGB1"", ""ANXA1"", ""MAGI1"", ""EMP2"", ""SMAD7"", ""PRKD2"", ""IL6ST"", ""MALT1"", ""CDK6"", ""XBP1"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.441767068273092","1","0.130105630751129","0.219075099208322","1.00687707934687","75","c(""RUNX3"", ""PIEZO1"", ""HSPD1"", ""BCL6"", ""HSPH1"", ""HMGB1"", ""ANXA1"", ""MAGI1"", ""SMAD7"", ""IL6ST"", ""MALT1"", ""XBP1"", ""TRAF6"", ""GLI3"", ""MAP3K8"", ""ZMIZ1"", ""CAV1"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.36996336996337","0.977192336939191","0.136490437780413","0.236703153213578","1.03663600007328","57","c(""RUNX3"", ""HSPD1"", ""BCL6"", ""HSPH1"", ""HMGB1"", ""ANXA1"", ""IL6ST"", ""MALT1"", ""XBP1"", ""TRAF6"", ""GLI3"", ""MAP3K8"", ""ZMIZ1"", ""CAV1"", ""TFRC"", ""ETS1"", ""AP3B1"", ""NCK2"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.175743290260591","0.832178842597077","0.249246554383295","0.19459721885475","1.09745792756835","289","c(""RUNX3"", ""LIMS1"", ""PPP2CA"", ""PIEZO1"", ""HSPD1"", ""BCL2"", ""ZFHX3"", ""MAP4K4"", ""EFNA5"", ""TFE3"", ""JAG1"", ""UTRN"", ""CEBPB"", ""BCL6"", ""HSPH1"", ""NOTCH1"", ""CCN1"", ""CD9"", ""ZDHHC21"", ""SEMA4D"", ""DLG5"", ""PPP3CA"", ""RASA1"", ""EDIL3"", ""DLC1"", ""HMGB1"", ""ANXA1"", ""ZDHHC2"", ""MAGI1"", ""PLXND1"", ""SEMA5A"", ""PELI1"", ""ARHGAP6"", ""NEXMIF"", ""EMP2"", ""DLG1"", ""SMAD7"", ""PRKD2"", ""IL6ST"", ""PPP1CB"", ""MALT1"", ""CDK6"", ""XBP1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.122782885404341","0.758462193218896","0.287805130535564","0.23876697546502","1.21950159358924","132","c(""RUNX3"", ""PIEZO1"", ""HSPD1"", ""EFNA5"", ""JAG1"", ""CEBPB"", ""BCL6"", ""HSPH1"", ""NOTCH1"", ""CD9"", ""ZDHHC21"", ""DLG5"", ""HMGB1"", ""ANXA1"", ""ZDHHC2"", ""MAGI1"", ""PELI1"", ""NEXMIF"", ""DLG1"", ""SMAD7"", ""IL6ST"", ""MALT1"", ""XBP1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.998968008255934","1","0.00842359386195179","-0.147726143316675","-0.706290605288943","460","c(""ITGA8"", ""SLC4A2"", ""EPHA4"", ""PNN"", ""LIMD1"", ""TNC"", ""HACD3"", ""PTK7"", ""PDLIM7"", ""RPLP0"", ""EZR"", ""PDLIM1"", ""ACTN2"", ""EPB41L4B"", ""CDHR3"", ""AHI1"", ""CDH12"", ""PIKFYVE"", ""ACTN4"", ""HEG1"", ""PDZD2"", ""CCDC85A"", ""CHP1"", ""CTNNA3"", ""TGFBR1"", ""SYMPK"", ""DMD"", ""VCL"", ""KIFC3"", ""PPFIA1"", ""SDCBP"", ""ADD3"", ""NIBAN2"", ""DIXDC1"", ""RPL13A"", ""ITGAV"", ""FOCAD"", ""NEXN"", ""RPL31"", ""NEDD9"", ""TRPV4"", ""RPL7"", ""RPL3"", ""NPM1"", ""AMOTL2"", ""PTPRJ"", ""PAK2"", ""AKAP6"", ""RPLP1"", ""CLDN11"", ""SDCCAG8"", ""TIAM1"", ""MRC2"", ""CTNNA1"", ""PATJ"", ""ITGA5"", 
""YES1"", ""CDH3"", ""RPS8"", ""FMN1"", ""ATP6V0C"", ""CTNNA2"", ""HSPG2"", ""TLN2"", ""BCAR3"", ""MYO1E"", ""ZYX"", ""VEZT"", ""FRMD5"", ""PTPRM"", ""LMO7"", ""VSIG10"", ""IL16"", ""ATP1B1"", ""CD2AP"", ""WTIP"", ""FXYD1"", ""DDR2"", ""JAK1"", ""PDPK1"", ""ANK2"", ""ACTG1"", ""MAPK1"", ""CD46"", ""VIM"", ""KRIT1"", ""ANXA2"", ""DST"", ""CYTH3"", ""PKP2"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","1","1","0.154190966581424","0.131279879062241","0.743819774082801","291","c(""MSN"", ""HSPB1"", ""HSPA8"", ""LIMS1"", ""HSPA1B"", ""HSPA5"", ""HSPA1A"", ""NHS"", ""MAP4K4"", ""SORBS3"", ""SYNPO2"", ""ALCAM"", ""CD9"", ""ITGBL1"", ""MAPRE2"", ""HNRNPK"", ""HSP90B1"", ""DLC1"", ""ACTN1"", ""ANXA1"", ""YWHAG"", ""PIP5K1C"", ""DCTN4"", ""PGM5"", ""HSPA9"", ""PPP1CB"", ""PALLD"", ""RPL12"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.00125679798661105","0.123867671331573","0.45505986738723","0.261626599095087","1.43644686622435","235","c(""HSP90AB1"", ""MSN"", ""SDC2"", ""NOTCH3"", ""TSPAN14"", ""TFPI"", ""HSPD1"", ""HSPA5"", ""BGN"", ""ADAMTS9"", ""LAMP1"", ""EFNA5"", ""UNC5C"", ""LDLR"", ""CPM"", ""RTN4RL1"", ""ECE1"", ""NOTCH1"", ""NRDC"", ""NCAM1"", ""KCNQ3"", ""ARSB"", ""CRYAB"", ""ALCAM"", ""CD9"", ""BCAM"", ""ITGBL1"", ""AXL"", ""ABCB1"", ""FCGRT"", ""PTPRK"", ""TRPC4"", ""ADGRA2"", ""HMGB1"", ""ANXA1"")"
