geneSym,FC_MCIvsNCI,LOG10 FC,t_MCIvsNCI,p_MCIvsNCI,,,
PJA1,0.909666849,-0.041117632,-1.191559128,0.286904422,,,
IL1RAP,0.781231127,-0.107220461,-4.011940275,0.010201889,,,
CLN6,0.856720827,-0.067160675,-2.462598113,0.057046269,,,
SLC7A8,0.730698341,-0.136261879,-2.043509268,0.096436697,,,
UAP1L1,1.208476561,0.082238231,2.212998996,0.077810335,,,
IMP3,0.77752809,-0.109283912,-5.314971983,0.00315312,,,
APOA4,0.491178318,-0.308760813,-3.420383999,0.01883037,,,
HSD11B1,1.166967556,0.067058782,2.023284587,0.098954866,,,
CHAC2,0.909803922,-0.041052196,-1.297173881,0.251197859,,,
STX2,0.911241364,-0.040366575,-1.004763109,0.361129731,,,
MAN2B2,0.98023515,-0.008669728,0.193965028,0.853837302,,,
FBH1,0.984295612,-0.006874451,-0.274461371,0.794708833,,,
PPP1R1A,1.32038835,0.120701684,2.803533343,0.037835586,,,
H3-3A,1.082892534,0.03458536,0.833023216,0.442791283,,,
KATNAL1,0.884514403,-0.053295091,-1.647109802,0.160452432,,,
GTF2F1,0.959828851,-0.0178062,-0.759006354,0.482076283,,,
ZNF488,1.090664424,0.037691147,0.980280137,0.371967189,,,
FABP5,0.809911261,-0.091562563,-1.64212077,0.161487606,,,
GABRA3,0.806566347,-0.093359902,-1.367516992,0.229728126,,,
ALDH9A1,1.020431794,0.008783982,0.535971435,0.614953432,,,
H2AC6,1.187923827,0.074788593,1.040565648,0.345754344,,,
PARP14,0.916280255,-0.037971672,-1.027189657,0.351433327,,,
GRIA2,0.817470797,-0.087527753,-1.756189246,0.139406131,,,
HLA-B,0.874639986,-0.058170672,-0.636176767,0.552638474,,,
TMEM168,0.957841518,-0.018706342,-1.064137992,0.335934547,,,
H4C1,1.05373906,0.022733079,1.242205688,0.269245143,,,
VRK2,0.731095161,-0.136026091,-3.440531198,0.018424811,,,
IP6K1,1.076737994,0.032110038,3.9387908,0.010973175,,,
APC,0.982338902,-0.007738657,-0.256262454,0.807957803,,,
CFAP58,0.971295866,-0.01264846,-0.09666552,0.926747091,,,
IPO4,0.884097945,-0.053499619,-1.402428507,0.219721307,,,
KDSR,1.019345437,0.008321383,0.328517058,0.755833043,,,
MOB4,1.037287788,0.015899265,2.402212345,0.061452506,,,
TMEM98,0.716488731,-0.144790636,-6.562124617,0.001232169,,,
GATAD2A,1.178393746,0.071290429,1.616469546,0.16691549,,,
RBM4B,1.149319728,0.060440861,0.781824214,0.46970294,,,
C11orf96,1.256297624,0.099092539,0.790013477,0.465319145,,,
SAV1,1.14587234,0.059136236,0.901413455,0.408687695,,,
GSTM1,0.612513868,-0.212884074,-1.569560545,0.177311524,,,
SLC37A4,0.71063266,-0.148354837,-1.679158456,0.153958383,,,
IFIH1,0.862252151,-0.064365713,-1.077580232,0.330441507,,,
MFN2,1.055845301,0.023600291,1.212913522,0.279335688,,,
CEP43,1.067619048,0.028416314,0.641174153,0.549639801,,,
RGL1,1.326116373,0.122581637,3.500702716,0.017271445,,,
ZNF806,1.100249022,0.041490991,1.839553521,0.12521948,,,
ITPA,0.75379204,-0.122748453,-2.146017482,0.084670356,,,
TMEM63A,0.975439424,-0.010799696,-0.568870261,0.594043882,,,
FGL1,1.045471089,0.019312028,1.148178848,0.302843335,,,
ACTMAP,0.509601874,-0.292768984,-2.094665372,0.090363013,,,
MED15,0.723569175,-0.140519943,-5.14332788,0.003635169,,,
GPATCH11,0.903585657,-0.044030671,-3.408998238,0.019064042,,,
C2orf49,1.099546392,0.041213558,2.716217742,0.041963756,,,
CDC42BPG,0.921152388,-0.035668518,-1.585451163,0.173720387,,,
BZW2,0.876254181,-0.057369897,-1.189659116,0.287586639,,,
SERPINF1,0.809082004,-0.092007459,-2.792615342,0.03832629,,,
SFI1,0.802059581,-0.095793369,-1.931606807,0.111260934,,,
MYL4,0.815886399,-0.088370307,-1.333098632,0.240010564,,,
B3GALNT2,0.791803279,-0.101382704,-1.268664701,0.260415372,,,
EGFL8,0.884353741,-0.053373982,-1.978490417,0.104780133,,,
CHMP1A,1.078518402,0.03282756,0.789033757,0.465842012,,,
PTGR1,1.139286652,0.056633009,1.544741256,0.183066423,,,
H2AX,1.106301574,0.04387353,1.044349844,0.344161776,,,
A2M,0.57226536,-0.242402541,-2.377947201,0.0633258,,,
ORAI3,0.898507463,-0.046478311,-0.944363189,0.388345925,,,
ICAM3,0.915567282,-0.038309735,-0.923064925,0.398329844,,,
DDO,0.715506299,-0.145386538,-2.315024655,0.068476889,,,
DNAJB1,1.015742209,0.0067835,0.123016307,0.906886022,,,
ARHGAP39,0.849311247,-0.070933125,-2.018045242,0.099618382,,,
ASMTL,0.844258804,-0.073524402,-2.257094064,0.073619289,,,
MX1,0.737203058,-0.132412872,-0.446411686,0.673969786,,,
H3C1,0.972412515,-0.01214946,0.160385975,0.878855437,,,
CDC27,0.892736188,-0.04927686,-1.555668285,0.180510594,,,
STARD5,0.845730416,-0.07276805,-2.095186437,0.090303262,,,
ADGRL4,0.770606836,-0.113167143,-1.906641053,0.114880215,,,
CHMP2A,1.071781102,0.030106095,1.711125065,0.14774264,,,
CCNYL1,0.992921545,-0.003085066,-0.38312347,0.717375947,,,
MROH2B,0.24349617,-0.613507865,-1.836244324,0.125753547,,,
PXDC1,1.093224836,0.03870949,0.83651158,0.4410007,,,
ACOX3,0.792815237,-0.100828012,-2.98714735,0.030547453,,,
CSNK1G3,0.939024938,-0.027322874,-0.70184116,0.51409373,,,
SLC35A1,0.967674193,-0.014270841,0.057834182,0.956120864,,,
IRF9,0.830037547,-0.080902262,-0.902876025,0.407981384,,,
IFT172,0.908345523,-0.04174892,-1.25838813,0.263813058,,,
