"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.415882967607106","0.728032051818419","0.0561766586307176","-0.221262447610702","-1.02834311604498","453","c(""ARG1"", ""MMRN1"", ""IL1RAP"", ""APOA4"", ""BAIAP2L1"", ""PLG"", ""METTL3"", ""SRC"", ""APOA1"", ""CCN3"", ""MAGI1"", ""LILRB1"", ""CDH5"", ""PTPRU"", ""SERPINF2"", ""ADIPOQ"", ""CDH23"", ""VEZT"", ""MYO10"", ""PCDHGB4"", ""RIPK2"", ""SHC1"", ""GFUS"", ""DSG2"", ""PAG1"", ""PPARA"", ""PIK3CB"", ""ZFP36L1"", ""EMB"", ""CASP3"", ""PVR"", ""ICAM2"", ""PCDHB8"", ""LOXL3"", ""TGFB2"", ""BMP5"", ""ITGA9"", ""HBB"", ""ITGAX"", ""KIRREL1"", ""EFNB2"", ""FAT3"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""DSP"", ""GPC6"", ""PCDH10"", ""IGF2"", ""MAP2K5"", ""IGFBP2"", ""LAMB1"", ""PCDHA6"", ""B2M"", ""HLA-DRB5"", ""NLGN3"", 
""TNFAIP8L2"", ""FGL2"", ""CD83"", ""EFNB1"", ""JAK2"", ""ASS1"", ""DLG2"", ""ITGA1"", ""ALCAM"", ""ITGA2B"", ""STAT5B"", ""SCARF2"", ""JUP"", ""AKT1"", ""CADM1"", ""TJP1"", ""IL18"", ""MAPK7"", ""SART1"", ""PRKG1"", ""PPM1F"", ""PKP2"", ""VNN1"", ""BMP7"", ""VAV1"", ""NPNT"", ""CDH11"", ""SERPINB8"", ""MAD1L1"", ""JAM2"", ""FCGR2B"", ""CXADR"", ""FOXA2"", ""SIGLEC1"", ""MPZL2"", ""COL14A1"", ""GPAM"", ""PRDX2"", ""SCGB1A1"", ""ICAM1"", ""TFRC"", ""LRRC7"", ""TNXB"", ""TGFBR2"", ""SELL"", ""NOTCH1"", ""TLN2"", ""ITGAD"", ""ANXA2"", ""DLG3"", ""HLA-DQA2"", ""L1CAM"", ""CD55"", ""TNFSF13B"", ""PNP"", ""EGFR"", 
""NT5E"", ""NECTIN3"", ""FADD"", ""CD34"", ""WNT5A"", ""DSC2"", ""ICAM3"", ""DLG4"", ""ICAM5"", ""HFE"", ""PTPRM"", ""PDE5A"", ""S100A11"", ""CBLN1"", ""ELANE"", ""ITGA8"", ""PIK3CA"", ""FERMT3"", ""CBFB"", ""PIK3R6"", ""CD2AP"", ""NFAT5"", ""EPHA7"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.288837744533947","0.623309351432312","0.0789209638180035","-0.253034502949354","-1.08797218291552","170","c(""ARG1"", ""APOA4"", ""SRC"", ""LILRB1"", ""RIPK2"", ""GFUS"", ""PAG1"", ""PPARA"", ""CASP3"", ""LOXL3"", ""EFNB2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""TNFAIP8L2"", ""FGL2"", ""CD83"", ""EFNB1"", ""JAK2"", ""ASS1"", ""STAT5B"", ""AKT1"", ""IL18"", ""SART1"", ""VNN1"", ""BMP7"", ""VAV1"", ""MAD1L1"", ""JAM2"", ""FCGR2B"", ""GPAM"", ""PRDX2"", ""SCGB1A1"", ""ICAM1"", ""TFRC"", ""TGFBR2"", ""SELL"", ""HLA-DQA2"", ""CD55"", ""TNFSF13B"", ""PNP"", ""NT5E"", ""FADD"", ""HFE"", ""PDE5A"", ""ELANE"", ""PIK3CA"", ""FERMT3"", ""CBFB"", ""PIK3R6"", ""NFAT5"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.439779005524862","0.743540370106865","0.0561766586307176","-0.227894731501181","-1.01215321264432","245","c(""MMRN1"", ""SRC"", ""HRG"", ""APOA1"", ""SFRP2"", ""NRP1"", ""MAGI1"", ""LILRB1"", ""PTPRU"", ""SERPINF2"", ""OLFM4"", ""DAB2"", ""MYO10"", ""RIPK2"", ""GFUS"", ""TGFB2"", ""TRIOBP"", ""EFEMP2"", ""EFNB2"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""EMILIN1"", ""CD83"", ""EFNB1"", ""CHRD"", ""JAK2"", ""NEDD9"", ""RREB1"", ""STAT5B"", ""JUP"", ""AKT1"", ""TJP1"", ""IL18"", ""SART1"", ""PPM1F"", ""VNN1"", ""BMP7"", ""VAV1"", ""NPNT"", ""CD36"", ""FOXA2"", ""P4HB"", ""PTPRJ"", ""CRKL"", ""GPAM"", ""TFRC"", ""VIT"", ""TGFBR2"", ""CSF1"", ""S100A10"", ""FMN1"", ""ABI3BP"", 
""COL16A1"", ""HLA-DQA2"", ""CD55"", ""TNFSF13B"", ""PNP"", ""FADD"", ""CARMIL1"", ""WNT5A"", ""LDB1"", ""AZU1"", ""CALR"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.309723889555822","0.640194671211985","0.0774767547848578","-0.262419520517779","-1.09169411551584","134","c(""MMRN1"", ""SRC"", ""MAGI1"", ""LILRB1"", ""PTPRU"", ""SERPINF2"", ""MYO10"", ""RIPK2"", ""EFNB2"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""CD83"", ""EFNB1"", ""JAK2"", ""STAT5B"", ""AKT1"", ""TJP1"", ""IL18"", ""SART1"", ""VNN1"", ""BMP7"", ""VAV1"", ""FOXA2"", ""GPAM"", ""TFRC"", ""TGFBR2"", ""HLA-DQA2"", ""CD55"", ""TNFSF13B"", ""PNP"", ""FADD"", ""WNT5A"", ""ELANE"", ""PIK3CA"", ""CBFB"", ""PIK3R6"", ""NFAT5"", ""PLPP3"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.646840148698885","0.869304820479912","0.0437125833579551","-0.227402952561541","-0.913652087564205","105","c(""SRC"", ""LILRB1"", ""RIPK2"", ""EFNB2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""CD83"", ""EFNB1"", ""JAK2"", ""STAT5B"", ""AKT1"", ""IL18"", ""SART1"", ""VNN1"", ""VAV1"", ""GPAM"", ""TFRC"", ""TGFBR2"", ""HLA-DQA2"", ""CD55"", ""TNFSF13B"", ""PNP"", ""FADD"", ""ELANE"", ""PIK3CA"", ""CBFB"", ""PIK3R6"", ""NFAT5"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.155208333333333","0.461501457725948","0.109250039480711","-0.246653273627605","-1.14123791639083","407","c(""ARG1"", ""MMRN1"", ""PEAK1"", ""PLG"", ""PLXND1"", ""METTL3"", ""SRC"", ""HRG"", ""APOA1"", ""DACT2"", ""SFRP2"", ""NRP1"", ""MAGI1"", ""LILRB1"", ""PTPRU"", ""PIK3R1"", ""SERPINF2"", ""FAF1"", ""OLFM4"", ""DAB2"", ""KNG1"", ""ADIPOQ"", ""ARHGAP6"", ""MYO10"", ""RIPK2"", ""APOD"", ""MMP2"", ""GFUS"", ""PAG1"", ""PPARA"", ""RASA1"", ""PIK3CB"", ""MMP14"", ""CASP3"", ""VTN"", ""COL1A1"", ""LOXL3"", ""TGFB2"", ""EFNA1"", ""TRIOBP"", ""PLXNA4"", ""EFEMP2"", ""EFNB2"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""PML"", ""IGF2"", ""MAP2K5"", ""IGFBP2"", ""BST1"", ""B2M"", ""HLA-DRB5"", ""PLXNC1"", ""TNFAIP8L2"", 
""EMILIN1"", ""FGL2"", ""CD83"", ""EFNB1"", ""CHRD"", ""JAK2"", ""ASS1"", ""NEDD9"", ""RREB1"", ""TGFBI"", ""STAT5B"", ""JUP"", ""AKT1"", ""TJP1"", ""IL18"", ""FZD7"", ""MAPK7"", ""RCC2"", ""PHLDB2"", ""SART1"", ""PRKG1"", ""PPM1F"", ""VNN1"", ""BMP7"", ""VAV1"", ""NPNT"", ""MAD1L1"", ""FCGR2B"", ""CD36"", ""FOXA2"", ""P4HB"", ""PTPRJ"", ""ATXN3"", ""SERPINI1"", ""CRKL"", ""GPAM"", ""PRDX2"", ""SCGB1A1"", ""TFRC"", ""VIT"", ""TGFBR2"", ""NOTCH1"", ""CSF1"", ""S100A10"", ""FMN1"", ""PLXNA1"", ""ABI3BP"", ""COL16A1"", ""HLA-DQA2"", ""SLC9A1"", ""CD55"", ""TNFSF13B"", ""PNP"", ""FADD"", ""CARMIL1"", ""WNT5A"", 
""LDB1"", ""AZU1"", ""CALR"", ""FES"", ""HFE"", ""ROCK2"", ""PDE5A"", ""ELANE"", ""PIK3CA"", ""FERMT3"", ""CBFB"", ""PIK3R6"", ""SLK"", ""NFAT5"", ""EPHA7"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.216553287981859","0.543477545757181","0.0940503465727813","-0.257449182829133","-1.12903831262639","211","c(""ARG1"", ""MMRN1"", ""PLG"", ""METTL3"", ""SRC"", ""APOA1"", ""MAGI1"", ""LILRB1"", ""PTPRU"", ""SERPINF2"", ""ADIPOQ"", ""MYO10"", ""RIPK2"", ""PAG1"", ""PPARA"", ""CASP3"", ""LOXL3"", ""EFNB2"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""MAP2K5"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""TNFAIP8L2"", ""FGL2"", ""CD83"", ""EFNB1"", ""JAK2"", ""ASS1"", ""STAT5B"", ""AKT1"", ""TJP1"", ""IL18"", ""MAPK7"", ""SART1"", ""PRKG1"", ""PPM1F"", ""VNN1"", ""BMP7"", ""VAV1"", ""MAD1L1"", ""FCGR2B"", ""FOXA2"", ""GPAM"", ""PRDX2"", ""SCGB1A1"", ""TFRC"", ""TGFBR2"", ""NOTCH1"", ""HLA-DQA2"", ""CD55"", ""TNFSF13B"", 
""PNP"", ""FADD"", ""WNT5A"", ""HFE"", ""PDE5A"", ""ELANE"", ""PIK3CA"", ""FERMT3"", ""CBFB"", ""PIK3R6"", ""NFAT5"", ""EPHA7"", ""PLPP3"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","7.40032553505378e-07","5.05364335880646e-05","0.659444398037935","0.251707305403594","1.51109891760689","612","c(""MYO1E"", ""DMD"", ""JAK1"", ""PPP1CA"", ""XIRP1"", ""DAG1"", ""CDC42EP4"", ""CAMSAP3"", ""MAP2K1"", ""ACTB"", ""KAZN"", ""RPL8"", ""MAPRE1"", ""RPL38"", ""PPP1CB"", ""MAPK1"", ""RPS8"", ""HSPB1"", ""PPP1CC"", ""RPS15"", ""CDH2"", ""RPL4"", ""RPS13"", ""NUMB"", ""GNA13"", ""ADGRL3"", ""RPL37A"", ""CD44"", ""MAPRE2"", ""RPL27"", ""RPL18"", ""FRMD5"", ""CTNND2"", ""RPL7A"", ""ADCYAP1R1"", ""CTNNA3"", ""RHOG"", ""P2RX7"", ""HEPACAM"", ""STRN"", ""ITGA2"", ""ACTR2"", ""RPL22"", ""MARCKS"", ""RDX"", ""CTNNA2"", ""RPL31"", ""DNM2"", ""RPS3A"", ""ATAT1"", ""RPL3"", ""NFASC"", ""HMGA1"", ""CD9"", ""YES1"", ""ADAM10"", 
""MTDH"", ""OPALIN"", ""SRCIN1"", ""CD59"", ""RPL13A"", ""RPL9"", ""FLII"", ""ZFYVE21"", ""FAM107A"", ""CDC42"", ""PTK2B"", ""FLCN"", ""ASH1L"", ""PPL"", ""LIMK1"", ""LIN7A"", ""ARPC2"", ""RALA"", ""SIRT2"", ""ITGA3"", ""MAPK3"", ""PPFIA1"", ""RAC1"", ""ANK2"", ""SCRIB"", ""RPL5"", ""PRKCG"", ""TBCD"", ""RHOB"", ""CYTH1"", ""KRIT1"", ""EZR"", ""ARHGEF2"", ""RPS2"", ""CADM3"", ""MAP2K2"", ""SYNM"", ""PLEKHA7"", ""AJM1"", ""MPP2"", ""PDLIM4"", ""WASF2"", ""RPS18"", ""ITGB4"", ""EPHA2"", ""AIF1L"", ""CLDN11"", ""TJP2"", ""CADM4"", ""ARPC3"", ""CNN3"", ""CDH20"", ""CLASP2"", ""PTK2"", ""CD81"", ""NPHP4"", ""WDR1"", 
""CDC42EP1"", ""CLDN12"", ""ACTR3"", ""SNTB1"", ""PDPK1"", ""KCNA2"", ""CYFIP1"", ""RPS11"", ""SDC4"", ""GIT1"", ""PNN"", ""EPB41L3"", ""EPB41L5"", ""CD151"", ""PDLIM5"", ""CNTNAP1"", ""APBB1IP"", ""CALB2"", ""GNB2"", ""PAK4"", ""MAP4K4"", ""PIKFYVE"", ""THY1"", ""CSK"", ""PLEC"", ""RPS7"", ""NCKAP1"", ""CSRP1"", ""BAIAP2"", ""SORBS2"", ""RPS4X"", ""SLC8A1"", ""CTTN"", ""ABI2"", ""ATP1B1"", ""CSRP2"", ""RHOA"", ""EHD3"", ""PKN2"", ""PDZD11"", ""RPL6"", ""ITGB8"", ""AJAP1"", ""SAV1"", ""CPNE3"", ""GJA1"", ""CYTH3"", ""CNTNAP2"", ""ARHGEF7"", ""SCN2A"", ""RPL7"", ""AJUBA"", ""CLDN3"", ""CLASP1"", ""EPPK1"", 
""RPL19"", ""ARHGAP17"", ""PPP3CA"", ""ARPC5L"", ""MPDZ"", ""MICALL2"", ""CORO1C"", ""CDC42BPB"", ""PCDH1"", ""SPTBN2"", ""EVPL"", ""ARVCF"", ""HACD3"", ""DST"", ""MSN"", ""RPL30"", ""SHROOM3"", ""MYADM"", ""ANXA1"", ""LDB3"", ""EFS"", ""CNN1"", ""EVL"", ""MCAM"", ""RAP1B"", ""LASP1"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","1.40281303532565e-06","8.66738053969062e-05","0.643551836150722","0.280800273188817","1.64801830799019","370","c(""DMD"", ""JAK1"", ""XIRP1"", ""DAG1"", ""MAP2K1"", ""ACTB"", ""RPL8"", ""MAPRE1"", ""RPL38"", ""PPP1CB"", ""MAPK1"", ""RPS8"", ""HSPB1"", ""PPP1CC"", ""RPS15"", ""CDH2"", ""RPL4"", ""RPS13"", ""NUMB"", ""GNA13"", ""RPL37A"", ""CD44"", ""MAPRE2"", ""RPL27"", ""RPL18"", ""RPL7A"", ""RHOG"", ""ITGA2"", ""ACTR2"", ""RPL22"", ""MARCKS"", ""RDX"", ""RPL31"", ""DNM2"", ""RPS3A"", ""ATAT1"", ""RPL3"", ""NFASC"", ""HMGA1"", ""CD9"", ""YES1"", ""ADAM10"", ""SRCIN1"", ""CD59"", ""RPL13A"", ""RPL9"", ""FLII"", ""ZFYVE21"", ""FAM107A"", ""CDC42"", ""PTK2B"", ""LIMK1"", ""ARPC2"", ""RALA"", ""ITGA3"", ""MAPK3"", ""PPFIA1"", 
""RAC1"", ""RPL5"", ""RHOB"", ""EZR"", ""ARHGEF2"", ""RPS2"", ""MAP2K2"", ""RPS18"", ""ITGB4"", ""EPHA2"", ""AIF1L"", ""ARPC3"", ""CNN3"", ""CLASP2"", ""PTK2"", ""CD81"", ""CDC42EP1"", ""ACTR3"", ""SNTB1"", ""PDPK1"", ""CYFIP1"", ""RPS11"", ""SDC4"", ""GIT1"", ""EPB41L5"", ""CD151"", ""APBB1IP"", ""GNB2"", ""PAK4"", ""MAP4K4"", ""THY1"", ""PLEC"", ""RPS7"", ""NCKAP1"", ""CSRP1"", ""SORBS2"", ""RPS4X"", ""CTTN"", ""CSRP2"", ""RHOA"", ""EHD3"", ""RPL6"", ""ITGB8"", ""CPNE3"", ""GJA1"", ""ARHGEF7"", ""RPL7"", ""AJUBA"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.053125","0.25160852443366","0.197822021315103","-0.265868096702305","-1.22952952594301","405","c(""APOA4"", ""PLG"", ""RTN2"", ""APOH"", ""ABCA1"", ""ACE"", ""NRDC"", ""HRG"", ""HEG1"", ""LILRB1"", ""F2"", ""CDH5"", ""SCNN1G"", ""LPL"", ""SERPINF2"", ""F10"", ""ADIPOQ"", ""C3"", ""SERPINA5"", ""CD14"", ""TF"", ""EGFL8"", ""LEPR"", ""AMBP"", ""DSG2"", ""BSN"", ""SCUBE1"", ""EGFL7"", ""IGHG1"", ""PVR"", ""MME"", ""PAM"", ""GRIA2"", ""HLA-F"", ""PKD1L3"", ""AZGP1"", ""IGHV3-53"", ""IDE"", ""ITGA9"", ""ENG"", ""ITGAX"", ""ADGRA2"", ""VCAM1"", ""GPC6"", ""SCARA5"", ""NOTCH2"", ""CLU"", ""ABCB1"", ""ENPP1"", ""B2M"", ""CSF1R"", ""IGHV3-73"", ""NLGN3"", ""IGHV6-1"", ""SLC6A1"", ""CD83"", ""CA4"", ""LAMP1"", ""ABCG2"", 
""ITGA1"", ""ALCAM"", ""ITGA2B"", ""ANO6"", ""APP"", ""IGLC2"", ""CD5L"", ""TYROBP"", ""CLMP"", ""USP14"", ""IGHM"", ""PLAT"", ""WNT6"", ""OIT3"", ""SLC1A1"", ""VASN"", ""JAM2"", ""TGFBR3"", ""FCGR2B"", ""MRC1"", ""CD36"", ""FGF10"", ""PTGFRN"", ""P4HB"", ""PTPRJ"", ""IGHV5-10-1"", ""IGKC"", ""PDIA4"", ""IGHV2-26"", ""ICAM1"", ""SLC32A1"", ""PDGFRB"", ""ENPEP"", ""TFRC"", ""PTPRK"", ""TPBG"", ""IGLL1"", ""TGFBR2"", ""IGHV5-51"", ""NOTCH1"", ""TNFRSF10B"", ""IGHG3"", ""CD8A"", ""ANPEP"", ""IGHG2"", ""ITGAD"", ""HSPA5"", ""ANXA2"", ""SDC2"", ""SLC9A1"", ""L1CAM"", ""CD55"", ""IGHV2-5"", ""EGFR"", ""NT5E"", 
""SULF2"", ""FAS"", ""HSP90AB1"", ""IGF2R"", ""SRPX"", ""CD34"", ""WNT5A"", ""LPAR1"", ""CALR"", ""VAMP5"", ""SCARB1"")"
