"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.634365634365634","0.982497769381479","0.0346410167413251","-0.316365026395599","-0.970476561470976","227","c(""ARG1"", ""MMRN1"", ""IL1RAP"", ""APOA4"", ""BAIAP2L1"", ""PLG"", ""METTL3"", ""SRC"", ""APOA1"", ""CCN3"", ""MAGI1"", ""LILRB1"", ""CDH5"", ""PTPRU"", ""SERPINF2"", ""ADIPOQ"", ""CDH23"", ""VEZT"", ""MYO10"", ""PCDHGB4"", ""RIPK2"", ""SHC1"", ""GFUS"", ""DSG2"", ""PAG1"", ""PPARA"", ""PIK3CB"", ""ZFP36L1"", ""EMB"", ""CASP3"", ""PVR"", ""ICAM2"", ""PCDHB8"", ""LOXL3"", ""TGFB2"", ""BMP5"", ""ITGA9"", ""HBB"", ""ITGAX"", ""KIRREL1"", ""EFNB2"", ""FAT3"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""DSP"", ""GPC6"", ""PCDH10"", ""IGF2"", ""MAP2K5"", ""IGFBP2"", ""LAMB1"", ""PCDHA6"", ""B2M"", ""HLA-DRB5"", ""NLGN3"", 
""TNFAIP8L2"", ""FGL2"", ""CD83"", ""EFNB1"", ""JAK2"", ""ASS1"", ""DLG2"", ""ITGA1"", ""ALCAM"", ""ITGA2B"", ""STAT5B"", ""SCARF2"", ""JUP"", ""AKT1"", ""CADM1"", ""TJP1"", ""IL18"", ""MAPK7"", ""SART1"", ""PRKG1"", ""PPM1F"", ""PKP2"", ""VNN1"", ""BMP7"", ""VAV1"", ""NPNT"", ""CDH11"", ""SERPINB8"", ""MAD1L1"", ""JAM2"", ""FCGR2B"", ""CXADR"", ""FOXA2"", ""SIGLEC1"", ""MPZL2"", ""COL14A1"", ""GPAM"", ""PRDX2"", ""SCGB1A1"", ""ICAM1"", ""TFRC"", ""LRRC7"", ""TNXB"", ""TGFBR2"", ""SELL"", ""NOTCH1"", ""TLN2"", ""ITGAD"", ""ANXA2"", ""DLG3"", ""HLA-DQA2"", ""L1CAM"", ""CD55"", ""TNFSF13B"", ""PNP"", ""EGFR"", 
""NT5E"", ""NECTIN3"", ""FADD"", ""CD34"", ""WNT5A"", ""DSC2"", ""ICAM3"", ""DLG4"", ""ICAM5"", ""HFE"", ""PTPRM"", ""PDE5A"", ""S100A11"", ""CBLN1"", ""ELANE"", ""ITGA8"", ""PIK3CA"", ""FERMT3"", ""CBFB"", ""PIK3R6"", ""CD2AP"", ""NFAT5"", ""EPHA7"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.53046953046953","0.976077820661808","0.0429311093452583","-0.33747883651738","-0.987134513355838","85","c(""ARG1"", ""APOA4"", ""SRC"", ""LILRB1"", ""RIPK2"", ""GFUS"", ""PAG1"", ""PPARA"", ""CASP3"", ""LOXL3"", ""EFNB2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""TNFAIP8L2"", ""FGL2"", ""CD83"", ""EFNB1"", ""JAK2"", ""ASS1"", ""STAT5B"", ""AKT1"", ""IL18"", ""SART1"", ""VNN1"", ""BMP7"", ""VAV1"", ""MAD1L1"", ""JAM2"", ""FCGR2B"", ""GPAM"", ""PRDX2"", ""SCGB1A1"", ""ICAM1"", ""TFRC"", ""TGFBR2"", ""SELL"", ""HLA-DQA2"", ""CD55"", ""TNFSF13B"", ""PNP"", ""NT5E"", ""FADD"", ""HFE"", ""PDE5A"", ""ELANE"", ""PIK3CA"", ""FERMT3"", ""CBFB"", ""PIK3R6"", ""NFAT5"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.519480519480519","0.97293707898957","0.0438879842863647","-0.332359765365218","-0.994562189033682","122","c(""MMRN1"", ""SRC"", ""HRG"", ""APOA1"", ""SFRP2"", ""NRP1"", ""MAGI1"", ""LILRB1"", ""PTPRU"", ""SERPINF2"", ""OLFM4"", ""DAB2"", ""MYO10"", ""RIPK2"", ""GFUS"", ""TGFB2"", ""TRIOBP"", ""EFEMP2"", ""EFNB2"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""EMILIN1"", ""CD83"", ""EFNB1"", ""CHRD"", ""JAK2"", ""NEDD9"", ""RREB1"", ""STAT5B"", ""JUP"", ""AKT1"", ""TJP1"", ""IL18"", ""SART1"", ""PPM1F"", ""VNN1"", ""BMP7"", ""VAV1"", ""NPNT"", ""CD36"", ""FOXA2"", ""P4HB"", ""PTPRJ"", ""CRKL"", ""GPAM"", ""TFRC"", ""VIT"", ""TGFBR2"", ""CSF1"", ""S100A10"", ""FMN1"", ""ABI3BP"", 
""COL16A1"", ""HLA-DQA2"", ""CD55"", ""TNFSF13B"", ""PNP"", ""FADD"", ""CARMIL1"", ""WNT5A"", ""LDB1"", ""AZU1"", ""CALR"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.706293706293706","0.98511906439681","0.0294227657846801","-0.319564389277575","-0.921691069753972","69","c(""MMRN1"", ""SRC"", ""MAGI1"", ""LILRB1"", ""PTPRU"", ""SERPINF2"", ""MYO10"", ""RIPK2"", ""EFNB2"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""CD83"", ""EFNB1"", ""JAK2"", ""STAT5B"", ""AKT1"", ""TJP1"", ""IL18"", ""SART1"", ""VNN1"", ""BMP7"", ""VAV1"", ""FOXA2"", ""GPAM"", ""TFRC"", ""TGFBR2"", ""HLA-DQA2"", ""CD55"", ""TNFSF13B"", ""PNP"", ""FADD"", ""WNT5A"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.504495504495505","0.97293707898957","0.0452247443372884","-0.353313890036491","-0.993768760892809","49","c(""SRC"", ""LILRB1"", ""RIPK2"", ""EFNB2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""CD83"", ""EFNB1"", ""JAK2"", ""STAT5B"", ""AKT1"", ""IL18"", ""SART1"", ""VNN1"", ""VAV1"", ""GPAM"", ""TFRC"", ""TGFBR2"", ""HLA-DQA2"", ""CD55"", ""TNFSF13B"", ""PNP"", ""FADD"", ""ELANE"", ""PIK3CA"", ""CBFB"", ""PIK3R6"", ""NFAT5"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.26973026973027","0.920404713962863","0.0751181635276301","-0.344296051052444","-1.05325149780091","206","c(""ARG1"", ""MMRN1"", ""PEAK1"", ""PLG"", ""PLXND1"", ""METTL3"", ""SRC"", ""HRG"", ""APOA1"", ""DACT2"", ""SFRP2"", ""NRP1"", ""MAGI1"", ""LILRB1"", ""PTPRU"", ""PIK3R1"", ""SERPINF2"", ""FAF1"", ""OLFM4"", ""DAB2"", ""KNG1"", ""ADIPOQ"", ""ARHGAP6"", ""MYO10"", ""RIPK2"", ""APOD"", ""MMP2"", ""GFUS"", ""PAG1"", ""PPARA"", ""RASA1"", ""PIK3CB"", ""MMP14"", ""CASP3"", ""VTN"", ""COL1A1"", ""LOXL3"", ""TGFB2"", ""EFNA1"", ""TRIOBP"", ""PLXNA4"", ""EFEMP2"", ""EFNB2"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""PML"", ""IGF2"", ""MAP2K5"", ""IGFBP2"", ""BST1"", ""B2M"", ""HLA-DRB5"", ""PLXNC1"", ""TNFAIP8L2"", 
""EMILIN1"", ""FGL2"", ""CD83"", ""EFNB1"", ""CHRD"", ""JAK2"", ""ASS1"", ""NEDD9"", ""RREB1"", ""TGFBI"", ""STAT5B"", ""JUP"", ""AKT1"", ""TJP1"", ""IL18"", ""FZD7"", ""MAPK7"", ""RCC2"", ""PHLDB2"", ""SART1"", ""PRKG1"", ""PPM1F"", ""VNN1"", ""BMP7"", ""VAV1"", ""NPNT"", ""MAD1L1"", ""FCGR2B"", ""CD36"", ""FOXA2"", ""P4HB"", ""PTPRJ"", ""ATXN3"", ""SERPINI1"", ""CRKL"", ""GPAM"", ""PRDX2"", ""SCGB1A1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.458541458541459","0.953700649767396","0.0495901956956338","-0.340908088668704","-1.01107651077342","108","c(""ARG1"", ""MMRN1"", ""PLG"", ""METTL3"", ""SRC"", ""APOA1"", ""MAGI1"", ""LILRB1"", ""PTPRU"", ""SERPINF2"", ""ADIPOQ"", ""MYO10"", ""RIPK2"", ""PAG1"", ""PPARA"", ""CASP3"", ""LOXL3"", ""EFNB2"", ""EMILIN2"", ""VCAM1"", ""SPTA1"", ""IGF2"", ""MAP2K5"", ""IGFBP2"", ""B2M"", ""HLA-DRB5"", ""TNFAIP8L2"", ""FGL2"", ""CD83"", ""EFNB1"", ""JAK2"", ""ASS1"", ""STAT5B"", ""AKT1"", ""TJP1"", ""IL18"", ""MAPK7"", ""SART1"", ""PRKG1"", ""PPM1F"", ""VNN1"", ""BMP7"", ""VAV1"", ""MAD1L1"", ""FCGR2B"", ""FOXA2"", ""GPAM"", ""PRDX2"", ""SCGB1A1"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.83016983016983","1","0.020635764771317","-0.299514122268749","-0.921808170790795","246","c(""PEAK1"", ""BAIAP2L1"", ""SRC"", ""HEG1"", ""CCN3"", ""TCHP"", ""FHOD1"", ""TM4SF20"", ""NRP1"", ""MAGI1"", ""MDC1"", ""FBLN7"", ""OCEL1"", ""CDH5"", ""PTPRU"", ""PIK3R1"", ""TSPAN9"", ""DAB2"", ""LIMA1"", ""FRMD4A"", ""FRMPD2"", ""VEZT"", ""KIAA1210"", ""CHP1"", ""FLRT2"", ""TSPAN4"", ""DSG2"", ""TES"", ""MMP14"", ""PVR"", ""MME"", ""PTK7"", ""MPP1"", ""FZD2"", ""CCDC85C"", ""SGSM3"", ""CAT"", ""HSP90B1"", ""ENG"", ""TRIOBP"", ""PPFIBP1"", ""KIRREL1"", ""EFNB2"", ""JCAD"", ""DSP"", ""GJC2"", ""SPECC1L"", ""FLNB"", ""PXN"", ""GJB6"", ""USP53"", ""NOX4"", ""B2M"", ""PRKCI"", ""ARMC5"", ""LRP1"", ""JAK2"", 
""NEDD9"", ""ITGA1"", ""ALCAM"", ""ITGA2B"", ""PALS2"", ""SCARF2"", ""JUP"", ""AKT1"", ""CADM1"", ""TJP1"", ""APP"", ""PHLDB2"", ""CLMP"", ""PKP2"", ""PRKAR2A"", ""REXO2"", ""VAV1"", ""ASAP3"", ""CDH11"", ""HYOU1"", ""PDLIM2"", ""JAM2"", ""DCAF6"", ""CXADR"", ""GJB2"", ""PDCD6IP"", ""P4HB"", ""PTPRJ"", ""PARD3B"", ""SDCBP"", ""ICAM1"", ""PDGFRB"", ""SYMPK"", ""LIN7B"", ""PTPRK"", ""LIN7C"", ""CGN"", ""PARD3"", ""NOTCH1"", ""NDRG1"", ""TLN2"", ""SDCCAG8"", ""HSPA5"", ""FMN1"", ""TNS2"", ""ANXA2"", ""PIP5K1A"", ""G3BP1"", ""DLG3"", ""SLC9A1"", ""L1CAM"", ""TNFSF13B"", ""EGFR"", ""NECTIN3"", ""ARHGAP31"", ""PKD2"", 
""HSPA1B"", ""IGF2R"", ""RPLP2"", ""DSC2"", ""NIBAN2"", ""CALR"", ""FES"", ""VAMP5"", ""PPIB"", ""PTPRM"", ""S100A11"", ""ITGA8"", ""VIM"", ""PIK3CA"", ""TNS3"", ""SVIL"", ""FERMT3"", ""CAV2"", ""YBX3"", ""RPLP0"", ""AKAP12"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.941058941058941","1","0.0114177828322783","-0.279458841256374","-0.841338128701277","139","c(""PEAK1"", ""SRC"", ""TM4SF20"", ""NRP1"", ""MDC1"", ""FBLN7"", ""TSPAN9"", ""DAB2"", ""LIMA1"", ""CHP1"", ""FLRT2"", ""TSPAN4"", ""TES"", ""MMP14"", ""PVR"", ""MME"", ""PTK7"", ""FZD2"", ""CAT"", ""HSP90B1"", ""ENG"", ""TRIOBP"", ""PPFIBP1"", ""EFNB2"", ""FLNB"", ""PXN"", ""NOX4"", ""B2M"", ""ARMC5"", ""LRP1"", ""JAK2"", ""NEDD9"", ""ITGA1"", ""ALCAM"", ""ITGA2B"", ""SCARF2"", ""JUP"", ""PHLDB2"", ""PRKAR2A"", ""REXO2"", ""ASAP3"", ""HYOU1"", ""DCAF6"", ""PDCD6IP"", ""P4HB"", ""SDCBP"", ""ICAM1"", ""PDGFRB"", ""TLN2"", ""HSPA5"", ""TNS2"", ""PIP5K1A"", ""G3BP1"", ""SLC9A1"", ""L1CAM"", ""TNFSF13B"", ""EGFR"", 
""ARHGAP31"", ""HSPA1B"", ""IGF2R"", ""RPLP2"", ""CALR"", ""FES"", ""PPIB"", ""ITGA8"", ""VIM"", ""TNS3"", ""SVIL"", ""FERMT3"", ""CAV2"", ""RPLP0"", ""AKAP12"", ""ERBIN"", ""CBL"", ""YWHAG"", ""NECTIN2"", ""MPZL1"", ""FLOT1"", ""PARVG"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.335664335664336","0.921523705976003","0.0642140881844605","-0.337420678115419","-1.03485201724919","226","c(""APOA4"", ""PLG"", ""RTN2"", ""APOH"", ""ABCA1"", ""ACE"", ""NRDC"", ""HRG"", ""HEG1"", ""LILRB1"", ""F2"", ""CDH5"", ""SCNN1G"", ""LPL"", ""SERPINF2"", ""F10"", ""ADIPOQ"", ""C3"", ""SERPINA5"", ""CD14"", ""TF"", ""EGFL8"", ""LEPR"", ""AMBP"", ""DSG2"", ""BSN"", ""SCUBE1"", ""EGFL7"", ""IGHG1"", ""PVR"", ""MME"", ""PAM"", ""GRIA2"", ""HLA-F"", ""PKD1L3"", ""AZGP1"", ""IGHV3-53"", ""IDE"", ""ITGA9"", ""ENG"", ""ITGAX"", ""ADGRA2"", ""VCAM1"", ""GPC6"", ""SCARA5"", ""NOTCH2"", ""CLU"", ""ABCB1"", ""ENPP1"", ""B2M"", ""CSF1R"", ""IGHV3-73"", ""NLGN3"", ""IGHV6-1"", ""SLC6A1"", ""CD83"", ""CA4"", ""LAMP1"", ""ABCG2"", 
""ITGA1"", ""ALCAM"", ""ITGA2B"", ""ANO6"", ""APP"", ""IGLC2"", ""CD5L"", ""TYROBP"", ""CLMP"", ""USP14"", ""IGHM"", ""PLAT"", ""WNT6"", ""OIT3"", ""SLC1A1"", ""VASN"", ""JAM2"", ""TGFBR3"", ""FCGR2B"", ""MRC1"", ""CD36"", ""FGF10"", ""PTGFRN"", ""P4HB"", ""PTPRJ"", ""IGHV5-10-1"", ""IGKC"", ""PDIA4"", ""IGHV2-26"", ""ICAM1"", ""SLC32A1"", ""PDGFRB"", ""ENPEP"", ""TFRC"", ""PTPRK"", ""TPBG"", ""IGLL1"", ""TGFBR2"", ""IGHV5-51"", ""NOTCH1"", ""TNFRSF10B"", ""IGHG3"", ""CD8A"", ""ANPEP"", ""IGHG2"", ""ITGAD"", ""HSPA5"", ""ANXA2"", ""SDC2"", ""SLC9A1"", ""L1CAM"", ""CD55"", ""IGHV2-5"", ""EGFR"", ""NT5E"", 
""SULF2"", ""FAS"", ""HSP90AB1"", ""IGF2R"", ""SRPX"", ""CD34"", ""WNT5A"", ""LPAR1"")"
