"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.00338532877882089","0.105321339785539","0.431707695803346","0.396545931716097","1.27367076081241","227","c(""JAK1"", ""PPP1CA"", ""CAMSAP3"", ""ACTB"", ""HMGB1"", ""PRKAR1A"", ""WNK1"", ""ITGA7"", ""HSPB1"", ""GPNMB"", ""CDH2"", ""SYNJ2BP"", ""CELSR2"", ""PRKCA"", ""ADGRL3"", ""CD44"", ""NRCAM"", ""AQP4"", ""CTNND2"", ""CTNNA3"", ""GNAS"", ""STXBP3"", ""ITGA2"", ""RDX"", ""CYRIB"", ""CTNNA2"", ""DUSP3"", ""NFASC"", ""CD9"", ""YES1"", ""HSPH1"", ""TNR"", ""CD200"", ""CNTN2"", ""NCAM2"", ""HLA-DRB1"", ""TENM4"", ""NINJ2"", ""TTYH1"", ""ITGA3"", ""BCL10"", ""SCRIB"", ""RIC8A"", ""SIRPA"", ""MBP"", ""P2RY12"", ""MAG"", ""EZR"", ""CADM3"", ""PLEKHA7"", ""PRNP"", ""NEO1"", ""PTPRD"", ""CLDN11"", ""TJP2"", ""TWSG1"", 
""CNN3"", ""CDH20"", ""SOX9"", ""PTK2"", ""CD81"", ""NPHP4"", ""CDC42EP1"", ""CLDN12"", ""SLC7A1"", ""SELPLG"", ""LGALS9"", ""FGL1"", ""TRAF6"", ""BAD"", ""ABAT"", ""SDC4"", ""CYFIP2"", ""MINK1"", ""EPB41L5"", ""FYN"", ""PDLIM5"", ""SOX2"", ""ZDHHC2"", ""CD47"", ""PAK4"", ""THY1"", ""CSK"", ""CNTN1"", ""PKD1"", ""CSRP1"", ""BAIAP2"", ""ELMO2"", ""MPZ"", ""DNAJB6"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.313686313686314","0.791280791280791","0.0675188953767744","0.348966286773346","1.07093947353391","86","c(""HMGB1"", ""PRKAR1A"", ""WNK1"", ""GPNMB"", ""CD44"", ""CYRIB"", ""DUSP3"", ""YES1"", ""HSPH1"", ""HLA-DRB1"", ""BCL10"", ""SCRIB"", ""SIRPA"", ""EZR"", ""PRNP"", ""TWSG1"", ""CD81"", ""SLC7A1"", ""SELPLG"", ""LGALS9"", ""FGL1"", ""TRAF6"", ""BAD"", ""SDC4"", ""FYN"", ""CD47"", ""THY1"", ""CSK"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.207792207792208","0.663125930615643","0.0891647117820678","0.350703860315656","1.10170758881987","124","c(""JAK1"", ""DAG1"", ""HMGB1"", ""PREX1"", ""PRKCA"", ""CD44"", ""FRMD5"", ""UNC13D"", ""ITGA2"", ""CIB1"", ""CYRIB"", ""DNM2"", ""YES1"", ""HSPH1"", ""HLA-DRB1"", ""CDC42"", ""PTK2B"", ""UTRN"", ""FLCN"", ""ARPC2"", ""PRKD2"", ""ITGA3"", ""RAC1"", ""BCL10"", ""SIRPA"", ""P2RY12"", ""CD81"", ""SLC7A1"", ""LGALS9"", ""TRAF6"", ""BAD"", ""SDC4"", ""EPB41L5"", ""FYN"", ""SOX2"", ""APBB1IP"", ""STX4"", ""CD47"", ""MAP4K4"", ""THY1"", ""CSK"", ""SFRP1"", ""PRKCE"", ""HSD17B12"", ""RHOA"", ""PTPN23"", ""HLA-DRA"", ""DOCK8"", ""CYTH3"", ""ARHGEF7"", ""KIF26B"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.593406593406593","0.917977050573736","0.037770500132479","0.323347645892186","0.97011695205466","66","c(""JAK1"", ""HMGB1"", ""CD44"", ""CYRIB"", ""YES1"", ""HSPH1"", ""HLA-DRB1"", ""BCL10"", ""SIRPA"", ""CD81"", ""SLC7A1"", ""LGALS9"", ""TRAF6"", ""BAD"", ""FYN"", ""SOX2"", ""CD47"", ""THY1"", ""CSK"", ""RHOA"", ""PTPN23"", ""HLA-DRA"", ""DOCK8"", ""KIF26B"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.728271728271728","0.970643794919876","0.0278699114874201","0.303168675286507","0.899164638824959","57","c(""HMGB1"", ""CD44"", ""CYRIB"", ""YES1"", ""HSPH1"", ""HLA-DRB1"", ""BCL10"", ""SIRPA"", ""CD81"", ""SLC7A1"", ""LGALS9"", ""TRAF6"", ""BAD"", ""FYN"", ""CD47"", ""THY1"", ""CSK"", ""RHOA"", ""HLA-DRA"", ""DOCK8"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.024975024975025","0.28121767252202","0.287857117255149","0.376457721224137","1.20281046343479","202","c(""JAK1"", ""DAG1"", ""CAMSAP3"", ""HMGB1"", ""PRKAR1A"", ""PPP1CB"", ""WNK1"", ""GPNMB"", ""CDKN2A"", ""CELSR2"", ""PREX1"", ""PRKCA"", ""CD44"", ""FRMD5"", ""UNC13D"", ""GPM6B"", ""ITGA2"", ""CIB1"", ""RDX"", ""CYRIB"", ""DUSP3"", ""MACF1"", ""DNM2"", ""PLXNB1"", ""CD9"", ""YES1"", ""HSPH1"", ""ADAM10"", ""TNR"", ""HLA-DRB1"", ""FAM107A"", ""CDC42"", ""PTK2B"", ""UTRN"", ""FLCN"", ""ARPC2"", ""PRKD2"", ""ITGA3"", ""RAC1"", ""BCL10"", ""SCRIB"", ""SIRPA"", ""TBCD"", ""MBP"", ""CYTH1"", ""P2RY12"", ""PRNP"", ""EPHA2"", ""DDR1"", ""TWSG1"", ""CLASP2"", ""SOX9"", ""PTK2"", ""CD81"", ""SLC7A1"", ""LGALS9"", 
""FGL1"", ""TRAF6"", ""BAD"", ""ABAT"", ""SDC4"", ""MINK1"", ""EPB41L5"", ""FYN"", ""SOX2"", ""APBB1IP"", ""ZDHHC2"", ""STX4"", ""CD47"", ""MAP4K4"", ""THY1"", ""CSK"", ""PKD1"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0202765152392445","0.251398860530854","0.352487857583619","0.415944681647135","1.29117249853758","104","c(""JAK1"", ""HMGB1"", ""PRKAR1A"", ""WNK1"", ""GPNMB"", ""CELSR2"", ""PRKCA"", ""CD44"", ""RDX"", ""CYRIB"", ""DUSP3"", ""CD9"", ""YES1"", ""HSPH1"", ""TNR"", ""HLA-DRB1"", ""BCL10"", ""SCRIB"", ""SIRPA"", ""MBP"", ""PRNP"", ""TWSG1"", ""PTK2"", ""CD81"", ""SLC7A1"", ""LGALS9"", ""FGL1"", ""TRAF6"", ""BAD"", ""ABAT"", ""SDC4"", ""MINK1"", ""EPB41L5"", ""FYN"", ""SOX2"", ""ZDHHC2"", ""CD47"", ""THY1"", ""CSK"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.000262025126322415","0.0293468141481105","0.49849310876659","0.390747878587267","1.27615479651646","366","c(""MYO1E"", ""DMD"", ""JAK1"", ""PPP1CA"", ""XIRP1"", ""DAG1"", ""CDC42EP4"", ""CAMSAP3"", ""MAP2K1"", ""ACTB"", ""KAZN"", ""RPL8"", ""MAPRE1"", ""RPL38"", ""PPP1CB"", ""MAPK1"", ""RPS8"", ""HSPB1"", ""PPP1CC"", ""RPS15"", ""CDH2"", ""RPL4"", ""RPS13"", ""NUMB"", ""GNA13"", ""ADGRL3"", ""RPL37A"", ""CD44"", ""MAPRE2"", ""RPL27"", ""RPL18"", ""FRMD5"", ""CTNND2"", ""RPL7A"", ""ADCYAP1R1"", ""CTNNA3"", ""RHOG"", ""P2RX7"", ""HEPACAM"", ""STRN"", ""ITGA2"", ""ACTR2"", ""RPL22"", ""MARCKS"", ""RDX"", ""CTNNA2"", ""RPL31"", ""DNM2"", ""RPS3A"", ""ATAT1"", ""RPL3"", ""NFASC"", ""HMGA1"", ""CD9"", ""YES1"", ""ADAM10"", 
""MTDH"", ""OPALIN"", ""SRCIN1"", ""CD59"", ""RPL13A"", ""RPL9"", ""FLII"", ""ZFYVE21"", ""FAM107A"", ""CDC42"", ""PTK2B"", ""FLCN"", ""ASH1L"", ""PPL"", ""LIMK1"", ""LIN7A"", ""ARPC2"", ""RALA"", ""SIRT2"", ""ITGA3"", ""MAPK3"", ""PPFIA1"", ""RAC1"", ""ANK2"", ""SCRIB"", ""RPL5"", ""PRKCG"", ""TBCD"", ""RHOB"", ""CYTH1"", ""KRIT1"", ""EZR"", ""ARHGEF2"", ""RPS2"", ""CADM3"", ""MAP2K2"", ""SYNM"", ""PLEKHA7"", ""AJM1"", ""MPP2"", ""PDLIM4"", ""WASF2"", ""RPS18"", ""ITGB4"", ""EPHA2"", ""AIF1L"", ""CLDN11"", ""TJP2"", ""CADM4"", ""ARPC3"", ""CNN3"", ""CDH20"", ""CLASP2"", ""PTK2"", ""CD81"", ""NPHP4"", ""WDR1"", 
""CDC42EP1"", ""CLDN12"", ""ACTR3"", ""SNTB1"", ""PDPK1"", ""KCNA2"", ""CYFIP1"", ""RPS11"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.000856352613825833","0.0523153596809964","0.477270815362862","0.405615188607425","1.3032635493408","231","c(""DMD"", ""JAK1"", ""XIRP1"", ""DAG1"", ""MAP2K1"", ""ACTB"", ""RPL8"", ""MAPRE1"", ""RPL38"", ""PPP1CB"", ""MAPK1"", ""RPS8"", ""HSPB1"", ""PPP1CC"", ""RPS15"", ""CDH2"", ""RPL4"", ""RPS13"", ""NUMB"", ""GNA13"", ""RPL37A"", ""CD44"", ""MAPRE2"", ""RPL27"", ""RPL18"", ""RPL7A"", ""RHOG"", ""ITGA2"", ""ACTR2"", ""RPL22"", ""MARCKS"", ""RDX"", ""RPL31"", ""DNM2"", ""RPS3A"", ""ATAT1"", ""RPL3"", ""NFASC"", ""HMGA1"", ""CD9"", ""YES1"", ""ADAM10"", ""SRCIN1"", ""CD59"", ""RPL13A"", ""RPL9"", ""FLII"", ""ZFYVE21"", ""FAM107A"", ""CDC42"", ""PTK2B"", ""LIMK1"", ""ARPC2"", ""RALA"", ""ITGA3"", ""MAPK3"", ""PPFIA1"", 
""RAC1"", ""RPL5"", ""RHOB"", ""EZR"", ""ARHGEF2"", ""RPS2"", ""MAP2K2"", ""RPS18"", ""ITGB4"", ""EPHA2"", ""AIF1L"", ""ARPC3"", ""CNN3"", ""CLASP2"", ""PTK2"", ""CD81"", ""CDC42EP1"", ""ACTR3"", ""SNTB1"", ""PDPK1"", ""CYFIP1"", ""RPS11"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.018173806191245","0.243282823914674","0.352487857583619","0.389754039257069","1.24173419620541","181","c(""DMD"", ""DAG1"", ""TMX3"", ""HMGB1"", ""CRYAB"", ""ITGA7"", ""HSPA2"", ""LRP2"", ""SPARC"", ""CDH2"", ""CD44"", ""NRCAM"", ""AQP4"", ""DIP2A"", ""ADCYAP1R1"", ""PPFIA4"", ""ENO2"", ""P2RX7"", ""ITGA2"", ""SORT1"", ""FOLR1"", ""SLC3A2"", ""GPRC5B"", ""SLC1A3"", ""CD9"", ""ADAM10"", ""SLC7A5"", ""CD59"", ""CD109"", ""TNR"", ""CD200"", ""CNTN2"", ""TRPV2"", ""HLA-C"", ""HLA-DRB1"", ""CLDND1"", ""CD38"", ""RALA"", ""ITGA3"", ""ANTXR1"", ""MOG"", ""SIRPA"", ""MBP"", ""P2RY12"", ""CPM"", ""IGHV3-49"", ""PRNP"", ""NEO1"", ""IGHV3-48"", ""ITGB4"", ""EPHA2"", ""SULF1"", ""SDC4"", ""FOLH1"", ""CD151"", ""MYO18A"", 
""SMIM1"", ""STX4"", ""CD47"", ""IGHV1-24"", ""CLPTM1"", ""THY1"", ""AIMP1"", ""TSPAN15"", ""ABCC4"", ""PKD1"", ""TMEM123"", ""SFRP1"", ""TYRO3"", ""CD40"", ""ENO1"", ""ITGB8"", ""AJAP1"", ""PICALM"", ""HLA-DRA"")"
