gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
A1BG,0.867718811,2.375521739,1.176765128,0.253286039,0.823291967,-4.592235601,,,,,,,,,,,,,,,,,,,
AARSD1,0.708181042,4.419371739,0.81397853,0.425368721,0.823291967,-4.597861424,,,,,,,,,,,,,,,,,,,
ABL1,1.208778016,2.807578261,0.723076939,0.478114255,0.823291967,-4.598995736,,,,,,,,,,,,,,,,,,,
ABRAXAS2,1.057182045,3.165128261,0.844957156,0.408260555,0.823291967,-4.597448074,,,,,,,,,,,,,,,,,,,
ACAA1,1.84338839,-1.949802174,1.079725446,0.293282007,0.823291967,-4.593900555,,,,,,,,,,,,,,,,,,,
ACADM,2.185185555,-0.828782609,1.123101717,0.274869759,0.823291967,-4.593169791,,,,,,,,,,,,,,,,,,,
ACAN,1.337188004,0.843195652,1.425267294,0.169702273,0.823291967,-4.587513066,,,,,,,,,,,,,,,,,,,
ACE,0.654953371,1.758923913,0.847539115,0.406854832,0.823291967,-4.597413021,,,,,,,,,,,,,,,,,,,
ACP5,1.032733663,-1.75378913,1.583971175,0.12909194,0.823291967,-4.584200037,,,,,,,,,,,,,,,,,,,
ACRV1,-0.657526603,-1.449954348,-1.39952704,0.177175345,0.823291967,-4.58803017,,,,,,,,,,,,,,,,,,,
ACTA2,1.53097481,1.587008696,1.640100417,0.116824717,0.823291967,-4.582981252,,,,,,,,,,,,,,,,,,,
ACVRL1,0.592124358,-0.982643478,0.751203952,0.461393155,0.823291967,-4.598657472,,,,,,,,,,,,,,,,,,,
ACY3,1.064774594,2.117213043,1.357987584,0.189789617,0.823291967,-4.588851808,,,,,,,,,,,,,,,,,,,
ADA2,0.817643935,-1.399256522,1.038773242,0.311468631,0.823291967,-4.594569835,,,,,,,,,,,,,,,,,,,
ADAM12,0.866115684,-0.174528261,0.993748051,0.33237271,0.823291967,-4.59528184,,,,,,,,,,,,,,,,,,,
ADAM15,0.631300344,-0.002115217,0.885145822,0.386734213,0.823291967,-4.596892099,,,,,,,,,,,,,,,,,,,
ADAM22,0.458489981,3.367095652,1.021592985,0.319332357,0.823291967,-4.594844499,,,,,,,,,,,,,,,,,,,
ADAM23,0.459098938,-0.8927,0.795016282,0.436060194,0.823291967,-4.598107801,,,,,,,,,,,,,,,,,,,
ADAM8,1.689921492,-0.572165217,1.33590742,0.196779365,0.823291967,-4.589281895,,,,,,,,,,,,,,,,,,,
ADAMTS13,1.333499105,-5.014954348,1.164769005,0.257997352,0.823291967,-4.592447264,,,,,,,,,,,,,,,,,,,
ADAMTS16,0.575551585,-3.271223913,0.921661171,0.367834261,0.823291967,-4.596367989,,,,,,,,,,,,,,,,,,,
ADAMTS8,0.737339074,1.185804348,0.868648765,0.395478892,0.823291967,-4.597122992,,,,,,,,,,,,,,,,,,,
ADAMTSL2,0.895038969,1.056,0.962545899,0.347420289,0.823291967,-4.595760229,,,,,,,,,,,,,,,,,,,
ADGRD1,0.895532771,-1.38238913,0.896317208,0.380885259,0.823291967,-4.596733652,,,,,,,,,,,,,,,,,,,
ADGRE2,1.01182898,-0.725393478,1.103100413,0.283251709,0.823291967,-4.593509508,,,,,,,,,,,,,,,,,,,
ADGRE5,0.76031137,-0.807732609,0.815194492,0.424688794,0.823291967,-4.597845452,,,,,,,,,,,,,,,,,,,
ADGRF5,1.108724119,-0.523617391,1.69623831,0.105556591,0.823291967,-4.581740226,,,,,,,,,,,,,,,,,,,
ADGRG1,2.263162042,1.437369565,2.1300045,0.045949896,0.823291967,-4.57157415,,,,,,,,,,,,,,,,,,,
ADH1B,1.735537524,2.705193478,0.869586696,0.39497829,0.823291967,-4.597109964,,,,,,,,,,,,,,,,,,,
ADH4,3.12867867,-2.871254348,2.666973822,0.014915701,0.823291967,-4.55827025,,,,,,,,,,,,,,,,,,,
