"","show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","0.632367632367632","0.965216885233181","0.0347904098478036","0.204380586381398","0.96298084981637","358","c(""NPHS1"", ""HLA-A"", ""CD70"", ""DSG4"", ""IL6"", ""IL1A"", ""REG3A"", ""CD40LG"", ""IL1RN"", ""GPNMB"", ""ARG2"", ""TNFRSF14"", ""FOXO3"", ""CD2"", ""CEACAM8"", ""CCL2"", ""CLEC4G"", ""CEACAM5"", ""IGFBP2"", ""CX3CL1"", ""CCL5"", ""NLGN1"", ""TNXB"", ""PDE5A"", ""ATP1B2"", ""PPM1F"", ""B2M"", ""CD34"", ""IL1B"", ""ASS1"", ""IL18"", ""CEACAM6"", ""FGL1"", ""CD200R1"", ""VSIG10"", ""AIF1"", ""CCL19"", ""HSPB1"", ""VTCN1"", ""ADAM8"", ""CEACAM1"", ""ANXA2"", ""RAB10"", ""CD177"", ""PAG1"", ""LGALS9"", ""FGA"", ""TNFAIP8L2"", ""PDLIM5"", ""VSTM2L"", ""LPP"", ""CD27"", ""IGSF9"", ""FSTL3"", ""CLEC4M"", ""CDSN"", 
""ITGA5"", ""IL15"", ""CORO1A"", ""IRAK1"", ""CD276"", ""L1CAM"", ""NT5E"", ""VSIG4"", ""PTPRC"", ""GP6"", ""CXCL13"", ""LGALS3"", ""CDH23"", ""CDH2"", ""PRKAR1A"", ""SCGB1A1"", ""PLG"", ""ICAM2"", ""SELE"", ""SRC"", ""CELA2A"", ""NECTIN2"", ""ICAM3"", ""FXYD5"", ""CD209"", ""DUSP3"", ""NECTIN4"", ""LILRB2"", ""S100A11"", ""PLXNB2"", ""APOA1"", ""IL4R"", ""IL1RL2"", ""CBLN1"", ""SKAP1"", ""CR1"", ""CD2AP"", ""FADD"", ""TNFSF14"", ""CDHR5"", ""SERPINF2"", ""KLF4"", ""SOX2"", ""XG"", ""LILRB1"", ""F11R"", ""DSG3"", ""CASP3"", ""CDH5"", ""ZBTB16"", ""VSIR"", ""CD80"", ""SERPINB8"", ""ITGAM"", ""CD6"", ""CD4"", 
""LAMB1"", ""UMOD"", ""COMP"", ""DSG2"", ""PVR"", ""PALLD"", ""ITGAV"", ""ITGB5"", ""CD300A"", ""DHPS"", ""SLAMF1"", ""KRT18"", ""RGCC"", ""IL1RAP"", ""CTNNA1"", ""FN1"")"
"2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","0.223776223776224","0.769081026040341","0.0850427463764322","0.247716827139853","1.12063104825469","168","c(""HLA-A"", ""CD70"", ""IL6"", ""IL1A"", ""CD40LG"", ""GPNMB"", ""ARG2"", ""TNFRSF14"", ""FOXO3"", ""CCL2"", ""CLEC4G"", ""IGFBP2"", ""CCL5"", ""PDE5A"", ""B2M"", ""IL1B"", ""ASS1"", ""IL18"", ""FGL1"", ""AIF1"", ""CCL19"", ""VTCN1"", ""ADAM8"", ""CEACAM1"", ""CD177"", ""PAG1"", ""LGALS9"", ""TNFAIP8L2"", ""CD27"", ""CLEC4M"", ""ITGA5"", ""IL15"", ""CORO1A"", ""IRAK1"", ""CD276"", ""NT5E"", ""VSIG4"", ""PTPRC"", ""LGALS3"", ""PRKAR1A"", ""SCGB1A1"", ""SELE"", ""SRC"", ""CD209"", ""DUSP3"", ""LILRB2"", ""IL4R"", ""IL1RL2"", ""SKAP1"", ""CR1"", ""FADD"", ""TNFSF14"", ""KLF4"", ""LILRB1"", ""F11R"", ""CASP3"", 
""ZBTB16"", ""VSIR"", ""CD80"", ""CD6"", ""CD4"", ""UMOD"", ""CD300A"", ""DHPS"", ""SLAMF1"", ""TNFSF13B"", ""PRDX2"", ""FCGR2B"", ""GLI2"", ""MAD1L1"", ""ICAM1"", ""ANXA1"", ""DPP4"", ""TGFBR2"", ""IL4"", ""ERBB2"", ""TNIP1"", ""ITGB1"", ""CD74"", ""SELL"", ""ITGB2"", ""PECAM1"", ""EPO"", ""CD5"", ""SELP"", ""JAM2"", ""IL7R"", ""STAT5B"", ""ITGB7"", ""VCAM1"", ""AGER"", ""CCL25"", ""MDK"")"
"3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","0.136863136863137","0.684325534296221","0.114750719227023","0.25670124593356","1.17187939808313","189","c(""HLA-A"", ""CD70"", ""IL6"", ""NEDD9"", ""IL1A"", ""CD40LG"", ""LIF"", ""TNFRSF14"", ""FOXO3"", ""CCL2"", ""PDGFB"", ""ADGRG1"", ""IGFBP2"", ""CX3CL1"", ""CCL5"", ""ANGPT1"", ""PPM1F"", ""TSC1"", ""B2M"", ""STK4"", ""IL1B"", ""IL18"", ""CEACAM6"", ""AIF1"", ""CCL19"", ""VTCN1"", ""ADAM8"", ""CSF1"", ""LGALS9"", ""AZU1"", ""FGA"", ""PRSS2"", ""EPHA4"", ""CD27"", ""OLFM4"", ""FSTL3"", ""ITGA5"", ""IL15"", ""CORO1A"", ""IRAK1"", ""CD276"", ""PTPRC"", ""GP6"", ""CXCL13"", ""HRG"", ""SELE"", ""SRC"", ""BAG4"", ""CD209"", ""NID1"", ""LILRB2"", ""APOA1"", ""IL4R"", ""IL1RL2"", ""SKAP1"", ""CR1"", ""VIT"", ""FADD"", 
""TNFSF14"", ""SERPINF2"", ""APBB1IP"", ""SOX2"", ""LILRB1"", ""F11R"", ""DMP1"", ""ZBTB16"", ""VSIR"", ""CD80"", ""CSPG5"", ""CD6"", ""CD4"", ""RRAS"", ""ITGAV"", ""DHPS"", ""SLAMF1"", ""FN1"", ""DAB2"", ""TNFSF13B"", ""CRKL"", ""AGR2"", ""KDR"", ""GLI2"", ""TEK"", ""STX4"", ""PLAUR"", ""ANXA1"", ""DPP4"", ""TGFBR2"", ""IL4"", ""ERBB2"", ""CD74"", ""ITGB2"", ""EPO"", ""CD5"", ""CYTH3"", ""CCN1"", ""SELP"", ""IL7R"", ""EDIL3"", ""STAT5B"", ""PODXL"", ""MYOC"", ""VCAM1"", ""MEGF10"", ""AGER"", ""CCL25"", ""MDK"", ""HAVCR2"", ""FBLN2"", ""P4HB"", ""NPY"", ""EGFLAM"", ""EPHA1"", ""ADAM9"")"
"4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","0.121878121878122","0.665355053110155","0.122679189568808","0.274203732368736","1.20244623084641","121","c(""HLA-A"", ""CD70"", ""IL6"", ""IL1A"", ""CD40LG"", ""TNFRSF14"", ""FOXO3"", ""CCL2"", ""IGFBP2"", ""CX3CL1"", ""CCL5"", ""B2M"", ""IL1B"", ""IL18"", ""CEACAM6"", ""AIF1"", ""CCL19"", ""VTCN1"", ""ADAM8"", ""LGALS9"", ""FGA"", ""CD27"", ""FSTL3"", ""IL15"", ""CORO1A"", ""IRAK1"", ""CD276"", ""PTPRC"", ""GP6"", ""CXCL13"", ""SELE"", ""SRC"", ""CD209"", ""LILRB2"", ""IL4R"", ""IL1RL2"", ""SKAP1"", ""CR1"", ""FADD"", ""TNFSF14"", ""SERPINF2"", ""SOX2"", ""LILRB1"", ""F11R"", ""ZBTB16"", ""VSIR"", ""CD80"", ""CD6"", ""CD4"")"
"5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","0.341658341658342","0.859501000566831","0.0633597010643758","0.245826342223001","1.0698937994662","107","c(""HLA-A"", ""CD70"", ""IL6"", ""IL1A"", ""CD40LG"", ""TNFRSF14"", ""FOXO3"", ""CCL2"", ""IGFBP2"", ""CCL5"", ""B2M"", ""IL1B"", ""IL18"", ""AIF1"", ""CCL19"", ""VTCN1"", ""ADAM8"", ""LGALS9"", ""CD27"", ""IL15"", ""CORO1A"", ""IRAK1"", ""CD276"", ""PTPRC"", ""SELE"", ""SRC"", ""CD209"", ""LILRB2"", ""IL4R"", ""IL1RL2"", ""SKAP1"", ""CR1"", ""FADD"", ""TNFSF14"", ""LILRB1"", ""ZBTB16"", ""VSIR"", ""CD80"", ""CD6"", ""CD4"")"
"6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","0.181818181818182","0.721267273340074","0.096887770327544","0.238549502814569","1.11645776592034","290","c(""HLA-A"", ""CD70"", ""PHLDB2"", ""IL6"", ""NEDD9"", ""IL1A"", ""SERPINE1"", ""CD40LG"", ""IL1RN"", ""GPNMB"", ""ARG2"", ""LIF"", ""TNFRSF14"", ""FOXO3"", ""CCL2"", ""CLEC4G"", ""PDGFB"", ""ADGRG1"", ""IGFBP2"", ""CX3CL1"", ""CXCL8"", ""CCL5"", ""ANGPT1"", ""TNC"", ""PDE5A"", ""PPM1F"", ""TSC1"", ""B2M"", ""STK4"", ""IL1B"", ""GBP1"", ""ASS1"", ""IL18"", ""CEACAM6"", ""FGL1"", ""AIF1"", ""CCL19"", ""VTCN1"", ""ADAM8"", ""CEACAM1"", ""PAG1"", ""CSF1"", ""LGALS9"", ""AZU1"", ""FGA"", ""TNFAIP8L2"", ""ST6GAL1"", ""PRSS2"", ""EPHA4"", ""CD27"", ""OLFM4"", ""MMP12"", ""FSTL3"", ""CDSN"", ""ITGA5"", ""IL15"", 
""CORO1A"", ""IRAK1"", ""CD276"", ""VSIG4"", ""PTPRC"", ""GP6"", ""CXCL13"", ""LGALS3"", ""HRG"", ""PRKAR1A"", ""SCGB1A1"", ""PLG"", ""SELE"", ""ATXN3"", ""SRC"", ""CELA2A"", ""BAG4"", ""FXYD5"", ""CD209"", ""NID1"", ""DUSP3"", ""LILRB2"", ""PLXNB2"", ""APOA1"", ""IL4R"", ""IL1RL2"", ""SKAP1"", ""CR1"", ""VIT"", ""FADD"", ""TNFSF14"", ""SERPINF2"", ""APBB1IP"", ""KLF4"", ""SOX2"", ""LILRB1"", ""F11R"", ""DMP1"", ""CASP3"", ""ZBTB16"", ""VSIR"", ""TACSTD2"", ""PPP1R12A"", ""TGFBI"", ""CD80"", ""CSPG5"", ""CD6"", ""CD4"", ""RRAS"", ""ITGAV"", ""CD300A"", ""DHPS"", ""SLAMF1"", ""RGCC"", ""FN1"", ""DAB2"", ""TNFSF13B"", 
""PRDX2"", ""CRKL"", ""AGR2"", ""FCGR2B"", ""TNN"", ""KDR"", ""GLI2"", ""TEK"", ""STX4"", ""PRKG1"", ""BST1"", ""PLAUR"", ""SWAP70"")"
"7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","0.0799200799200799","0.594143612235718","0.155241966228839","0.267570467943418","1.22005724843882","186","c(""HLA-A"", ""CD70"", ""IL6"", ""IL1A"", ""CD40LG"", ""IL1RN"", ""GPNMB"", ""ARG2"", ""TNFRSF14"", ""FOXO3"", ""CCL2"", ""CLEC4G"", ""IGFBP2"", ""CX3CL1"", ""CCL5"", ""PDE5A"", ""PPM1F"", ""B2M"", ""IL1B"", ""ASS1"", ""IL18"", ""CEACAM6"", ""FGL1"", ""AIF1"", ""CCL19"", ""VTCN1"", ""ADAM8"", ""CEACAM1"", ""PAG1"", ""LGALS9"", ""FGA"", ""TNFAIP8L2"", ""CD27"", ""FSTL3"", ""CDSN"", ""IL15"", ""CORO1A"", ""IRAK1"", ""CD276"", ""VSIG4"", ""PTPRC"", ""GP6"", ""CXCL13"", ""LGALS3"", ""PRKAR1A"", ""SCGB1A1"", ""PLG"", ""SELE"", ""SRC"", ""CELA2A"", ""FXYD5"", ""CD209"", ""DUSP3"", ""LILRB2"", ""APOA1"", ""IL4R"", 
""IL1RL2"", ""SKAP1"", ""CR1"", ""FADD"", ""TNFSF14"", ""SERPINF2"", ""KLF4"", ""SOX2"", ""LILRB1"", ""F11R"", ""CASP3"")"
"8","","Adhesion","GOCC_ANCHORING_JUNCTION","GO:0070161","A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]","0.706293706293706","0.986739593601933","0.0294227657846801","0.20064889115205","0.927922073923481","234","c(""NPHS1"", ""PHLDB2"", ""DSG4"", ""NEDD9"", ""C1QTNF5"", ""CD2"", ""TNC"", ""PPL"", ""IL1RL1"", ""B2M"", ""VASP"", ""VSIG10"", ""CSPG4"", ""HSPB1"", ""CHP1"", ""CEACAM1"", ""ANXA2"", ""RAB10"", ""PDLIM5"", ""LCP1"", ""SNAP23"", ""LPP"", ""EPHA4"", ""NUMB"", ""CDSN"", ""ITGA5"", ""CORO1A"", ""L1CAM"", ""PXN"", ""PTPRC"", ""PDLIM7"", ""VAMP5"", ""CALB2"", ""FLRT2"", ""CDH2"", ""PCBP2"", ""MICALL2"", ""FLT1"", ""SORBS1"", ""CAT"", ""SRC"", ""NECTIN2"", ""AHNAK"", ""ENAH"", ""TJAP1"", ""POF1B"", ""NECTIN4"", ""S100A11"", ""AIF1L"", ""VIM"", ""SH3BP1"", ""SKAP1"", ""SLC9A3R2"", ""CD2AP"", ""B4GALT1"", ""APBB1IP"", 
""IL16"", ""F11R"", ""DSG3"", ""ERBIN"", ""PPP1CC"", ""CDH5"", ""PPP1R12A"", ""SDCCAG8"", ""PKD2"", ""MTDH"", ""DNMBP"", ""DSG2"", ""PVR"", ""PALLD"", ""SIRT2"", ""HSPG2"", ""RRAS"", ""ARF6"", ""ITGAV"", ""ITGB5"", ""KAZN"", ""KRT18"", ""DDX58"", ""STX16"", ""HNRNPK"", ""CTNNA1"", ""DAB2"", ""TGFBR1"", ""FAP"", ""TNFSF13B"", ""FGFR4"", ""TEK"", ""MYH9"", ""PLAUR"", ""OCLN"", ""PIKFYVE"", ""MAP2K1"", ""LRP1"", ""ICAM1"", ""ENG"", ""ANXA1"", ""DPP4"", ""DSC2"", ""DBN1"", ""PPIB"", ""ITGB1"", ""CDH22"", ""NGFR"", ""AKAP12"", ""ITGB2"", ""PECAM1"", ""PLAU"", ""CYTH3"", ""JAM2"", ""NEXN"", ""PODXL"", ""ITGB7"", ""EPPK1"", 
""NFASC"", ""MXRA8"", ""DLL1"", ""PCDH9"", ""P4HB"", ""PRKAR2A"", ""CDH1"", ""ANK2"", ""ADAM9"", ""NDRG1"", ""PTPN6"", ""EHD3"", ""AMOTL2"", ""IGF2R"", ""PAK4"", ""HYOU1"", ""ITGB6"", ""EPB41L5"", ""ADGRE5"", ""CD99"", ""ITGBL1"", ""PDGFRB"", ""HSPA1A"", ""PARK7"", ""PPP1R9B"", ""ALCAM"", ""ADD1"", ""LYN"", ""CD3E"")"
"9","","Adhesion","GOCC_CELL_SUBSTRATE_JUNCTION","GO:0030055","A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]","0.307692307692308","0.845885432381281","0.0684714904492087","0.24569229228659","1.08191115457434","129","c(""NPHS1"", ""PHLDB2"", ""NEDD9"", ""TNC"", ""IL1RL1"", ""B2M"", ""VASP"", ""CSPG4"", ""HSPB1"", ""CHP1"", ""RAB10"", ""LCP1"", ""SNAP23"", ""LPP"", ""NUMB"", ""ITGA5"", ""L1CAM"", ""PXN"", ""PTPRC"", ""PDLIM7"", ""FLRT2"", ""CDH2"", ""PCBP2"", ""FLT1"", ""SORBS1"", ""CAT"", ""SRC"", ""NECTIN2"", ""AHNAK"", ""ENAH"", ""AIF1L"", ""VIM"", ""SLC9A3R2"", ""APBB1IP"", ""IL16"", ""ERBIN"", ""PPP1CC"", ""PPP1R12A"", ""PVR"", ""PALLD"", ""HSPG2"", ""RRAS"", ""ARF6"", ""ITGAV"", ""ITGB5"", ""STX16"", ""HNRNPK"", ""CTNNA1"", ""DAB2"", ""FAP"", ""TNFSF13B"", ""TEK"", ""MYH9"", ""PLAUR"", ""MAP2K1"", ""LRP1"", ""ICAM1"", 
""ENG"", ""ANXA1"", ""DPP4"", ""PPIB"", ""ITGB1"", ""AKAP12"", ""ITGB2"", ""PLAU"", ""NEXN"", ""ITGB7"", ""EPPK1"", ""NFASC"", ""P4HB"", ""PRKAR2A"", ""ADAM9"", ""EHD3"", ""IGF2R"", ""PAK4"", ""HYOU1"", ""ITGB6"", ""EPB41L5"", ""ADGRE5"", ""CD99"", ""ITGBL1"", ""PDGFRB"", ""HSPA1A"")"
"10","","Adhesion","GOCC_CELL_SURFACE","GO:0009986","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]","0.994005994005994","1","0.00354273909070668","0.15743540122456","0.744714780004766","412","c(""FCN1"", ""HLA-A"", ""GFRAL"", ""IL1A"", ""IL13RA2"", ""CD40LG"", ""LILRA5"", ""TNFRSF14"", ""TDGF1"", ""CD2"", ""CEACAM8"", ""ANGPTL3"", ""CLEC4G"", ""PDGFB"", ""PDGFA"", ""LBP"", ""CEACAM5"", ""CX3CL1"", ""MRC1"", ""NLGN1"", ""ALPP"", ""ADGRF5"", ""ATP1B2"", ""IL1RL1"", ""CD5L"", ""B2M"", ""IGLC2"", ""BGN"", ""CD34"", ""BCAM"", ""CEACAM6"", ""CD200R1"", ""IL5RA"", ""IL13"", ""CSPG4"", ""VTCN1"", ""MBL2"", ""TLR2"", ""MSR1"", ""CLEC4D"", ""ADAM8"", ""CEACAM1"", ""ANXA2"", ""ASGR2"", ""LY6D"", ""PLAT"", ""FGA"", ""IQGAP2"", ""CD109"", ""EPHA4"", ""HAVCR1"", ""CD27"", ""FCER1A"", ""LDLR"", ""CLEC4M"", 
""ITGA5"", ""IL15"", ""MAP3K5"", ""HMMR"", ""CD276"", ""SDC1"", ""L1CAM"", ""NT5E"", ""PTPRC"", ""GP6"", ""THBD"", ""STAB2"", ""VAMP5"", ""LGALS3"", ""CD63"", ""TFPI"", ""HRG"", ""CDH2"", ""ADGRE1"", ""TREML1"", ""PLG"", ""BST2"", ""SELE"", ""FCRL6"", ""NECTIN2"", ""CD209"", ""CLEC4A"", ""LILRB2"", ""PLXNB2"", ""IL4R"", ""CR1"", ""CTSB"", ""B4GALT1"", ""SERPINF2"", ""CD163"", ""FURIN"", ""SCARB1"", ""LILRB1"", ""PLA2G1B"", ""AMBP"", ""CDH5"", ""F2"", ""GP2"", ""CD48"", ""CD80"", ""CSPG5"", ""ITGAM"", ""CD6"", ""CD4"", ""UMOD"", ""DSG2"", ""PVR"", ""CD14"", ""ITGAV"", ""ITGB5"", ""IL2RB"", ""SLAMF1"", ""F2R"", 
""TGFBR3"", ""TLR4"", ""TNFRSF9"", ""SRPX"", ""TGFBR1"", ""FAP"", ""CD8A"", ""TNFRSF1A"", ""CD302"", ""GSR"", ""FCGR2B"", ""LEPR"", ""CD248"", ""TNN"", ""F10"", ""KDR"", ""FGFBP1"", ""CD244"", ""GP1BA"", ""TEK"", ""STX4"", ""PLAUR"", ""CXCL9"", ""ASGR1"", ""MET"", ""ICAM1"", ""ENG"", ""ANXA1"", ""GFRA1"", ""NOTCH2"", ""DPP4"", ""TGFBR2"", ""SFRP4"", ""CLEC10A"", ""SLAMF8"", ""ITGB1"", ""FOLR3"", ""SCARA5"", ""TNFRSF11A"", ""CD74"", ""CD207"", ""ACE2"", ""MFGE8"", ""CXCL10"", ""NGFR"", ""CD40"", ""ITGB2"", ""EPO"", ""TNFRSF10C"", ""CD5"", ""PLAU"", ""GFRA3"", ""ENPEP"", ""SELP"", ""NLGN2"", ""JAM2"", ""IL7R"", 
""IL13RA1"", ""F3"", ""PCSK9"", ""TNFRSF10A"", ""RTBDN"", ""ITGB7"", ""DCBLD2"", ""VCAM1"", ""CD79B"", ""AGER"", ""MXRA8"", ""CD58"", ""HAVCR2"", ""BTNL10"", ""CDH17"", ""ARSB"", ""ANPEP"", ""P4HB"", ""CD69"", ""ADAM9"", ""CLU"", ""KLRD1"", ""TREML2"", ""SERPINA5"", ""CD93"", ""AOC3"", ""LRPAP1"", ""CSF3R"", ""AREG"", ""TGFB1"", ""IGF2R"", ""NOTCH3"", ""ENTPD6"", ""ACVRL1"", ""CLEC14A"", ""ADAMTS13"", ""ECE1"", ""ITGB6"", ""TLR3"", ""FAS"", ""ERP44"", ""ITGBL1"", ""IL2RA"", ""SORT1"", ""PDGFRB"", ""TNR"", ""FLT3LG"", ""ALCAM"", ""GPC1"", ""CD3E"", ""TSPAN8"", ""FCRL2"", ""BTN3A2"", ""SIRPB1"", ""HSPA2"", 
""EPHA2"", ""TNF"", ""TIGIT"", ""CD1C"", ""TNFRSF10B"", ""CPM"", ""FCRL5"", ""CD28"", ""MCAM"", ""PDGFC"", ""CD84"", ""ERMAP"", ""FASLG"", ""AXL"", ""CD22"")"
