gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
A1BG,0.52499511,5.315511411,0.558311041,0.578304101,0.999928001,-4.599008598,NA
AAAS,-0.160064117,6.574002614,-0.267777428,0.789609731,0.999928001,-4.607748103,Metabolism (other)
AADACL3,-1.057197783,3.999160632,-0.780031184,0.43784074,0.999928001,-4.59617383,NA
AAK1,0.313231857,8.564467332,0.91816026,0.361494417,0.999928001,-4.602948298,Metabolism (other)
AAMDC,0.456135481,6.875496886,0.849832342,0.398137848,0.999928001,-4.600256727,Development (differentiation)
AAR2,0.58665091,6.106026259,0.798671432,0.427016674,0.999928001,-4.59871094,NA
AARS,0.168817899,6.311989543,0.252950966,0.801001926,0.999928001,-4.605264316,NA
AARS2,0.209712322,4.942460254,0.196321372,0.844892532,0.999928001,-4.599263775,NA
AASS,-0.869855844,6.92403002,-1.410431542,0.162569042,0.999928001,-4.582950505,NA
AATF,0.135633473,7.00780176,0.256520482,0.798255169,0.999928001,-4.611182921,NA
ABAT,0.302960192,7.781348279,0.74525581,0.458459021,0.999928001,-4.609259285,Metabolism (other)
ABC13-47488600E17.1,-0.086520406,5.714227781,-0.107164407,0.914946269,0.999928001,-4.602509387,NA
ABCA2,-0.298370692,6.543818579,-0.453771007,0.651311177,0.999928001,-4.604183193,Metabolism or Transport (lipid)
ABCA3,0.314787868,7.060532632,0.551626935,0.582852839,0.999928001,-4.605840381,Metabolism or Transport (lipid)
ABCA7,-0.656104537,6.551720101,-0.964579685,0.337872273,0.999928001,-4.595945682,Metabolism or Transport (lipid)
ABCB10,0.005715002,6.720292448,0.009305983,0.992599852,0.999928001,-4.608066399,Metabolism or Transport (lipid)
ABCB8,0.365391066,6.24773091,0.561483187,0.576151333,0.999928001,-4.603021094,Metabolism (other)
ABCB9,0.766826495,7.901358326,1.941575659,0.055965521,0.999928001,-4.51587335,Metabolism (other)
ABCC1,0.201627251,8.890776078,0.655450031,0.51419457,0.999928001,-4.624143054,Transport
ABCC10,-0.187480242,6.069438404,-0.265473904,0.791376748,0.999928001,-4.604416858,Transport
ABCC4,0.182207349,9.185378361,0.623576325,0.534808147,0.999928001,-4.629266152,Transport
ABCC5,0.117761955,7.916489897,0.292009415,0.771090061,0.999928001,-4.621848603,Transport
ABCC6,-0.075989771,6.556523557,-0.116927423,0.90723183,0.999928001,-4.606921907,Transport
ABCD4,0.356609434,5.557191357,0.385490159,0.700971476,0.999928001,-4.600516017,Metabolism or Transport (lipid)
ABCF1,0.127241923,5.58235544,0.148373531,0.882448373,0.999928001,-4.60179278,Metabolism (other)
ABCF3,-1.437537848,5.01221754,-1.577228434,0.118974915,0.999928001,-4.586779733,Metabolism (other)
ABCG1,0.180149076,8.128549118,0.483085911,0.630449685,0.999928001,-4.621515602,Metabolism or Transport (lipid)
ABCG5,-0.85617132,5.199106022,-0.909342602,0.366098279,0.999928001,-4.59610182,Metabolism or Transport (lipid)
ABCG8,0.037087955,5.89446682,0.048400869,0.961526131,0.999928001,-4.603415126,Metabolism or Transport (lipid)
ABHD1,-0.549672109,3.936761379,-0.403377473,0.687824553,0.999928001,-4.597338439,NA
ABHD10,-0.91519366,5.146403615,-0.957606994,0.341354565,0.999928001,-4.595600987,Metabolism or Transport (lipid)
ABHD12B,-0.109822407,4.711164496,-0.09041624,0.928198811,0.999928001,-4.59849634,Metabolism or Transport (lipid)
ABHD15,-0.17482591,6.087202127,-0.241986136,0.809454974,0.999928001,-4.6038473,NA
ABHD16A,-1.248048332,4.873433248,-1.092708064,0.278038631,0.999928001,-4.594420892,Metabolism or Transport (lipid)
ABHD17C,0.158534366,7.463718469,0.336324916,0.737570195,0.999928001,-4.614399452,Metabolism or Transport (lipid)
ABHD18,-0.773629207,6.999298647,-1.397186106,0.166500187,0.999928001,-4.580915979,NA
ABHD2,0.382853885,8.735919045,1.224269702,0.22470327,0.999928001,-4.575002281,Metabolism or Transport (lipid)
ABHD6,-0.040461681,7.069132819,-0.079141624,0.937131914,0.999928001,-4.613428801,Metabolism or Transport (lipid)
ABHD8,-0.106218301,7.253519306,-0.223646484,0.823643792,0.999928001,-4.616069965,Metabolism or Transport (lipid)
ABI3,-1.178204989,3.850007639,-0.838962153,0.404171261,0.999928001,-4.595859424,Motility
ABL1,0.236328036,8.703673985,0.750805724,0.455131687,0.999928001,-4.616628666,Development (differentiation)
ABLIM1,0.166168772,9.073978339,0.546459091,0.586381346,0.999928001,-4.63299417,Motility
ABO,0.134058385,5.56768526,0.151143312,0.880270688,0.999928001,-4.601319223,NA
ABR,0.05256838,9.469475992,0.191226075,0.848868041,0.999928001,-4.656676334,Motility
AC002310.11,0.516439971,6.862437399,0.974877592,0.332772042,0.999928001,-4.596236692,NA
AC002310.13,0.067842056,6.14533758,0.093417274,0.925822539,0.999928001,-4.60482651,NA
AC002398.9,-0.135831672,5.916203764,-0.162635663,0.871245103,0.999928001,-4.602320732,NA
AC003005.4,-0.756041886,5.259534369,-0.736102845,0.463976771,0.999928001,-4.597249876,NA
AC003006.7,0.16490945,7.038633044,0.323397849,0.7472989,0.999928001,-4.611738043,NA
AC004754.3,-0.027091655,4.978147721,-0.026742227,0.978736751,0.999928001,-4.599883098,NA
AC005779.2,-0.343812884,6.069848763,-0.422787266,0.673666859,0.999928001,-4.601210115,NA
AC005943.2,0.499946478,7.01461302,0.937462043,0.351546497,0.999928001,-4.597472802,NA
AC006116.20,-0.061465279,5.079647293,-0.054870737,0.956388151,0.999928001,-4.599258188,NA
AC006449.2,-1.127608902,3.714951176,-0.832753837,0.407642048,0.999928001,-4.595961149,NA
AC006486.9,0.581988344,7.227703143,1.201720932,0.233273241,0.999928001,-4.586829971,NA
