gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
DISC1,0.647877449,9.435449289,3.796753104,0.000147064,0.554159864,0.660814673,NA
ITGA9,-0.765821788,9.372813093,-3.877935592,0.000105705,0.554159864,1.024898045,Matrisome/cell adhesion/binding/signaling
RAB3B,1.827699559,6.755627089,3.75060937,0.000176935,0.554159864,0.170316099,Transport
ERCC6L2,1.653569235,7.029170448,3.660520602,0.000252393,0.592870752,0.009183044,NA
LGI3,3.778983563,4.426387823,3.571250224,0.000356169,0.669311866,-2.077191206,NA
AMACR,3.47726182,4.68092899,3.384736091,0.000713924,0.679339139,-2.292332352,NA
ARFIP1,-1.269798501,7.699462331,-3.015289332,0.00257077,0.679339139,-1.704056428,Transport
C10orf67,-1.139752489,7.935509173,-3.055706906,0.002248454,0.679339139,-1.559303682,NA
C2orf70,3.425444205,4.850036786,3.193353213,0.001408626,0.679339139,-2.668266955,NA
C8orf34,-0.612217201,9.426071443,-3.19914141,0.001380663,0.679339139,-1.292687575,NA
DAP,-1.251639643,7.708864713,-3.20224687,0.001365872,0.679339139,-1.181623768,Development (apoptosis)
DEC1,-0.84411905,8.705407299,-3.291946779,0.000996799,0.679339139,-0.886561233,NA
DNA2,1.849317867,6.414184196,3.072302455,0.002127181,0.679339139,-1.867383926,NA
HS3ST3B1,-1.756795236,6.739886745,-3.011526546,0.002602832,0.679339139,-1.962876713,Metabolism (other)
KIAA2012.1,1.321473736,7.471119269,3.01793253,0.002548465,0.679339139,-1.716012759,NA
KLHL23,-1.55740618,7.130715445,-3.096320625,0.001962267,0.679339139,-1.621000349,NA
L3MBTL4,-0.577179832,9.662710408,-3.493198548,0.000478369,0.679339139,-0.429643644,NA
MAGEB10,3.346271347,4.453131935,3.142951537,0.001675135,0.679339139,-2.72261649,NA
MAPK7,-3.934376359,4.057555536,-3.075600602,0.002103807,0.679339139,-3.155195066,NA
MET,1.368187096,7.333261563,3.136121558,0.001714622,0.679339139,-1.415064151,NA
MIEF2,-4.368061464,4.162227406,-3.376855903,0.000734681,0.679339139,-2.839930305,NA
MTSS1,-0.886963392,8.599823467,-3.220114172,0.001283574,0.679339139,-1.088966165,NA
MUSK,1.558685869,7.021721799,3.030844924,0.002442023,0.679339139,-1.795454432,NA
MYO15A,-1.322097819,7.595354136,-3.297571601,0.000977058,0.679339139,-0.931468914,NA
NR1H4,-1.886748982,6.93283332,-3.426412907,0.000612919,0.679339139,-0.909129131,Metabolism or Transport (lipid)
NRIP2,3.452276969,4.094134692,3.124046368,0.001786536,0.679339139,-2.821518684,NA
PAFAH1B1,-1.800947691,6.83516787,-3.096829333,0.001958905,0.679339139,-1.771195288,NA
PKHD1,-0.578733764,9.509442258,-3.089296523,0.002009239,0.679339139,-1.637114084,NA
PSTPIP1,-1.752288753,6.827749693,-3.20936023,0.001332541,0.679339139,-1.434646577,NA
RASSF4,1.506275821,6.875441773,3.023723779,0.002500211,0.679339139,-1.785889082,Development (cell cycle)
RP3-403A15.5,1.529885423,6.880869821,3.177918709,0.001485765,0.679339139,-1.381639924,NA
RPL35A,4.111123521,3.904394964,3.098961225,0.001944871,0.679339139,-3.196104564,NA
RPL37,3.093844188,4.342192077,3.062003297,0.002201716,0.679339139,-2.73457568,NA
S100A10,-4.624951875,4.593606812,-3.267207047,0.00108809,0.679339139,-3.147266256,Transport
USP47,-1.879425536,7.037920866,-3.384533188,0.000714451,0.679339139,-1.027414785,Metabolism (other)
