gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
RP3-403A15.5,1.24386735,7.040998572,4.098013788,4.18406125831032e-05,0.327099038,1.84657968,NA
SYT8,1.899437711,5.577232565,3.91574332,9.04347296669002e-05,0.327099038,0.741334748,NA
VSIG4,2.535784053,4.799807779,3.888314214,0.00010128,0.327099038,0.040289254,Matrisome/cell adhesion/binding/signaling
C5orf30,-1.677705905,6.258099981,-3.603862383,0.000314309,0.44291364,-0.148920995,NA
CROCC,-0.789192985,8.412136596,-3.532825478,0.0004121,0.44291364,-0.164993688,Cilia
CXorf40B,-1.930653943,5.409131108,-3.395784456,0.000685696,0.44291364,-0.978395131,NA
DMPK,-1.518796425,6.14900945,-3.576919375,0.000348514,0.44291364,-0.136024863,NA
FGF6,2.132388834,5.163111708,3.414216806,0.000640966,0.44291364,-1.080017477,Development (differentiation)
GATSL3,-2.08687178,5.491206625,-3.659287123,0.000253589,0.44291364,-0.290310586,NA
JUND,-1.897819705,5.63195563,-3.522335283,0.000428747,0.44291364,-0.569481851,Development (apoptosis)
KCNK16,2.433166955,4.650769215,3.520364806,0.000431943,0.44291364,-1.019013424,Transport
NAIF1,-1.836793271,5.384387331,-3.42544437,0.000615067,0.44291364,-0.820934294,NA
SOGA3,1.298299404,6.356689309,3.475399232,0.00051121,0.44291364,-0.356890891,NA
VIM,-1.7769986,5.712025766,-3.436618629,0.00059026,0.44291364,-0.744574673,NA
ZSCAN5C,3.161746134,3.652871744,3.403140039,0.000667509,0.44291364,-1.931801593,NA
ING1,-1.205195626,6.633719234,-3.343100626,0.000830047,0.502645554,-0.738099431,NA
PHF21A,0.790070139,8.169609707,3.301825404,0.000962316,0.517993077,-0.887740496,NA
RAB11FIP1,-1.087451958,7.069350082,-3.311726164,0.000928918,0.517993077,-0.812029739,Transport
PCSK4,-1.64277442,5.907615254,-3.286474393,0.001016303,0.518261159,-1.103607994,Metabolism (other)
