gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
PARVG,5.76675939,6.13423867,3.987959205,6.69289572326655e-05,0.185638618,1.09940253,NA
RP11-201K10.3,-5.650500579,6.422325803,-4.051237535,5.11786039930714e-05,0.185638618,1.362650712,NA
TUBB,-5.74773004,6.355506404,-4.152684196,3.3023591147961e-05,0.185638618,1.72223833,Transport
ANKRD45,-5.359194423,6.350292881,-3.660968053,0.000252042,0.271228911,0.052607511,NA
CYB561D2,-5.442842384,6.125970262,-3.581035765,0.00034321,0.271228911,-0.226799407,NA
EFCAB7,-5.431737391,6.183840614,-3.607447133,0.00031013,0.271228911,-0.138815732,NA
GIGYF1,5.405825779,5.432679235,3.767194796,0.000165661,0.271228911,0.401450598,NA
ID1,-4.935097427,6.51850202,-3.546708161,0.000391149,0.271228911,-0.238088029,NA
IPP,-5.180609281,6.271013073,-3.579765275,0.000344882,0.271228911,-0.177383812,NA
LGSN,-5.558200332,6.14281385,-3.597372115,0.00032238,0.271228911,-0.198807398,NA
NDUFB9,-5.277002469,6.125970262,-3.557126458,0.000375976,0.271228911,-0.26954431,NA
RNF125,-4.821340855,7.123154461,-3.806739236,0.000141316,0.271228911,0.65665772,NA
ARF3,-5.439792942,6.376345745,-3.408606914,0.000654502,0.284455548,-0.765918104,NA
ARSG,-3.353350001,8.31135286,-3.351084165,0.000806749,0.284455548,-0.689717239,NA
CFHR4,-4.854848056,6.65207774,-3.313588873,0.000923034,0.284455548,-0.944529589,NA
CTSO,-5.437439278,6.318845457,-3.372530695,0.000746505,0.284455548,-0.87414009,Metabolism (other)
EPPK1,4.768606734,5.699214478,3.284001088,0.001025558,0.284455548,-1.018137459,NA
FAM151B,-5.038245012,6.741111142,-3.412123821,0.000646122,0.284455548,-0.678957199,NA
FAM160B2,4.963088046,6.286192089,3.469056493,0.000523611,0.284455548,-0.489414161,NA
GRSF1,-4.971628667,6.57810691,-3.299849953,0.000969398,0.284455548,-1.004271282,NA
LMAN1,-5.324697906,6.003505879,-3.507812147,0.000453,0.284455548,-0.435993611,NA
MMP24,-4.762424672,6.635529368,-3.3701955,0.000752856,0.284455548,-0.760274365,NA
NSUN2,-4.696691621,6.499996801,-3.356483851,0.00079117,0.284455548,-0.791545551,NA
RP11-302B13.5,-4.588564409,7.12559599,-3.285007416,0.001021904,0.284455548,-0.988679687,NA
SLC2A11,-4.697244962,6.666293261,-3.316403486,0.000913793,0.284455548,-0.911641033,Transport
SLC8A3,-4.347602073,7.437715261,-3.3589383,0.000784181,0.284455548,-0.735849011,Transport
SNX16,-4.971628667,6.57810691,-3.299849953,0.000969398,0.284455548,-1.004271282,NA
TMEM45A,-4.193859804,7.052503753,-3.377448858,0.000733291,0.284455548,-0.661472935,NA
TRIM46,-5.177973454,6.154991094,-3.311066631,0.000931388,0.284455548,-1.007282448,NA
URB2,-4.768204873,6.318845457,-3.405346135,0.000662363,0.284455548,-0.65404603,NA
PPIF,4.683610423,5.723897584,3.223574458,0.001268454,0.31874224,-1.180726176,NA
SLC39A7,4.58072733,5.636411305,3.215999108,0.001302396,0.31874224,-1.187972503,Transport
TNFAIP1,-4.459203956,6.41285667,-3.222165517,0.001274704,0.31874224,-1.154207354,NA
TTC4,-5.824255926,5.827185571,-3.231384676,0.001234316,0.31874224,-1.361108355,NA
PHF20L1,-4.378757849,6.570092748,-3.161487312,0.001572472,0.373844064,-1.316995465,NA
DUSP6,-4.400300113,6.698169105,-3.135465521,0.001718802,0.397281926,-1.392371569,NA
FN3KRP,4.411194871,5.794532203,3.113019668,0.001854975,0.406190773,-1.455854796,NA
NUCKS1,-4.861263631,6.895417394,-3.118049537,0.001823626,0.406190773,-1.502934641,NA
PTEN,-3.974219613,7.471375756,-3.083824141,0.002046929,0.425812476,-1.492845186,Development (cell cycle)
SLC35E1,4.495176649,5.889584823,3.086844164,0.00202626,0.425812476,-1.537796935,Transport
SIN3B,-4.068116626,6.943554916,-3.059156369,0.002223141,0.45118922,-1.567849047,NA
PAX3,-4.249711928,6.645710265,-3.047217805,0.002313322,0.458313238,-1.617271781,Development (differentiation)
FRAT2,4.38358974,6.16336449,3.014037754,0.002581839,0.48146258,-1.72019689,NA
MCUR1,-4.230214418,6.700893771,-3.020875395,0.002524277,0.48146258,-1.685814095,NA
RBM8A,4.386191964,6.049786076,3.011471362,0.002603751,0.48146258,-1.727279008,NA
SH3GLB1,4.261309768,6.465588322,2.975365939,0.002930595,0.530119234,-1.808883538,NA
