gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,GO.Focus.function
CHMP7,-5.707022435,6.43463748,-3.847919393,0.000119653,0.483920248,-0.297629957,NA
DNAJC21,-5.62326285,6.191339646,-3.757818375,0.000172096,0.483920248,-0.54378118,Metabolism (other)
PAX5,3.936140034,7.485286262,3.711137481,0.000207128,0.483920248,0.043724307,Development (differentiation)
ABHD17B,-4.362053694,7.01356678,-2.840969724,0.004504142,0.550714506,-2.534229838,Metabolism or Transport (lipid)
ADAP1,-3.848038827,7.471443639,-2.847103853,0.004418307,0.550714506,-2.377747634,NA
ANKIB1,-4.302212828,7.528433527,-3.084028693,0.00204615,0.550714506,-1.934220494,NA
ARHGDIA,-5.030686628,6.293304662,-3.167290191,0.001541966,0.550714506,-1.96903564,NA
C1orf43,-5.167882688,6.201545917,-3.380968633,0.00072428,0.550714506,-1.457043563,NA
CC2D1B,-4.519042351,6.54028283,-2.887504671,0.003889046,0.550714506,-2.474495231,NA
CCNG2,-3.052910887,9.073469638,-3.06349281,0.002191845,0.550714506,-1.633696859,Development (apoptosis)
CCNJL,-4.56224193,6.857865991,-2.988391346,0.002809361,0.550714506,-2.252854122,NA
CHORDC1,-4.747520203,6.134789596,-2.986732065,0.002824643,0.550714506,-2.314631155,NA
CHRNA4,-4.602653307,5.838325301,-2.896207557,0.003782864,0.550714506,-2.479341558,NA
DHCR24,-5.17316399,6.294627632,-3.386342904,0.000710253,0.550714506,-1.444303609,Metabolism or Transport (lipid)
DHX37,-4.738875896,6.134789596,-2.995456334,0.002745135,0.550714506,-2.291392491,NA
EIF3F,-4.500266634,6.318045541,-2.842107859,0.004488103,0.550714506,-2.570875694,NA
EIF3K,-5.088362995,6.327845767,-3.294846932,0.000987196,0.550714506,-1.659770064,NA
EMC8,-4.898459936,6.360060984,-3.19685228,0.001392444,0.550714506,-1.847563441,NA
EXD1,-4.550754604,6.724723257,-2.928071136,0.003416207,0.550714506,-2.390987132,NA
EXO1,-5.35366887,6.215694067,-3.462615057,0.000536549,0.550714506,-1.303372741,NA
FBXO36,-4.831019058,6.93160126,-3.399324025,0.000677408,0.550714506,-1.274805529,NA
FLNC,-4.680860705,5.865069413,-2.893481155,0.003815841,0.550714506,-2.508529642,NA
GART,-4.440970175,6.771789879,-2.85290511,0.004338497,0.550714506,-2.529918072,NA
GLRX5,-4.543115526,6.398950012,-2.932943953,0.003363079,0.550714506,-2.377401668,NA
GRAMD1C,-5.039440075,6.588533933,-3.271518008,0.001072303,0.550714506,-1.703536016,Metabolism or Transport (lipid)
GRIN2C,-4.780913938,6.215694067,-3.026714027,0.002476765,0.550714506,-2.23048916,NA
GTF2H1,-4.629384047,6.722348431,-2.966493915,0.003017244,0.550714506,-2.32545084,NA
GTPBP4,-4.59900999,6.089572592,-2.931609241,0.003377556,0.550714506,-2.397341495,NA
HIST1H4B,-4.703756157,6.053885124,-2.953953036,0.003142528,0.550714506,-2.377515549,NA
IFT27,-4.323420409,6.577892853,-2.837230518,0.004557204,0.550714506,-2.531714744,Cilia
INIP,-4.541482746,6.33655076,-2.847225486,0.00441662,0.550714506,-2.571273533,NA
MAL2,-4.500294655,6.388018622,-2.916346991,0.003547178,0.550714506,-2.402966202,NA
MTA1,3.792163447,6.930304945,2.941920223,0.003267177,0.550714506,-2.135265567,NA
NEMF,-4.572893988,6.633929311,-2.925004533,0.003450032,0.550714506,-2.404716154,NA
NUTF2,-4.747520203,6.134789596,-2.986732065,0.002824643,0.550714506,-2.314631155,NA
PAXBP1,-4.841864963,6.33655076,-3.068347293,0.002156571,0.550714506,-2.149914976,NA
PILRA,-3.662714421,8.059856803,-2.882841326,0.00394705,0.550714506,-2.243735476,NA
PLIN3,-4.498140363,6.557465079,-2.879983038,0.00398299,0.550714506,-2.485434623,Metabolism or Transport (lipid)
PSD2,-5.271630585,6.479854484,-3.473536958,0.000515197,0.550714506,-1.239379443,NA
PSMD14,-4.476890303,6.683586554,-2.883555657,0.003938114,0.550714506,-2.471140134,Metabolism (other)
RAB18,-4.64464791,6.120641446,-2.95178347,0.003164678,0.550714506,-2.364474061,Transport
RAB38,-4.536801498,6.30214228,-2.902607914,0.003706463,0.550714506,-2.445343772,Transport
RAB3IP,-4.594273318,6.666746781,-2.992202376,0.002774547,0.550714506,-2.253775773,Transport
RBAK,-4.792799905,6.068801483,-2.977377666,0.002912226,0.550714506,-2.350593113,NA
