Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.388235294,0.959163162,0.083363407,-0.183849279,-1.022945239,438,"c(""ITGA9"", ""VEZT"", ""PKHD1"", ""MAPK7"", ""PCDHAC1"", ""LRFN5"", ""MYPN"", ""SRC"", ""BCL10"", ""HLA-A"", ""WNT3A"", ""GATA5"", ""PCDHB1"", ""TNFRSF13C"", ""ADD2"", ""FCHO1"", ""SHH"", ""GLI2"", ""SIRPB1"", ""IHH"", ""NECTIN3"", ""PAK4"", ""TMEM47"", ""TLN1"", ""P2RY12"", ""MDGA1"", ""ALOX12"", ""AP3D1"", ""PDLIM1"", ""IRF1"", ""PLEKHA7"", ""EMILIN2"", ""MAD2L2"", ""COL13A1"", ""PCDH19"", ""ARG1"", ""CD274"", ""CD58"", ""PAG1"", ""SIRPA"", ""TARM1"", ""CADM3"", ""SMAD7"", ""CNTN2"", ""ASTN1"", ""COL14A1"", ""CELA2A"", ""HLA-DPB1"", ""DHPS"", ""ACTB"", ""PTPRF"", ""IL12B"", ""TRO"", ""IL23R"", ""TJP3"", 
""IL4I1"", ""PCDH7"", ""AP3B1"", ""RC3H1"", ""CNTN6"", ""CDH3"", ""BMP5"", ""NOTCH4"", ""AGER"", ""LRRC4"", ""PIK3CG"", ""DUSP22"", ""CLDN16"", ""CLDN6"", ""CDH2"", ""ZC3H12A"", ""PIK3CB"", ""ITGA8"", ""CDHR2"", ""ZP3"", ""LRP6"", ""SLC7A1"", ""BVES"", ""SYNJ2BP"", ""DUSP10"", ""GATA1"", ""RAG1"", ""TRAF6"", ""MINK1"", ""CELSR3"", ""PTAFR"", ""PDCD1LG2"", ""FER"", ""IL12RB1"", ""AKNA"", ""B2M"", ""ITGA5"", ""SYK"", ""PTPRU"", ""DLG1"", ""FERMT3"", ""ERBB2"", ""AJUBA"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.573741007,0.966147647,0.066742613,-0.194240175,-0.958250901,170,"c(""SRC"", ""BCL10"", ""HLA-A"", ""TNFRSF13C"", ""ADD2"", ""FCHO1"", ""SHH"", ""GLI2"", ""SIRPB1"", ""IHH"", ""AP3D1"", ""IRF1"", ""ARG1"", ""CD274"", ""PAG1"", ""SIRPA"", ""TARM1"", ""SMAD7"", ""HLA-DPB1"", ""DHPS"", ""IL12B"", ""IL23R"", ""IL4I1"", ""AP3B1"", ""RC3H1"", ""AGER"", ""DUSP22"", ""ZC3H12A"", ""ZP3"", ""SLC7A1"", ""DUSP10"", ""RAG1"", ""TRAF6"", ""PTAFR"", ""PDCD1LG2"", ""IL12RB1"", ""B2M"", ""ITGA5"", ""SYK"", ""DLG1"", ""FERMT3"", ""ERBB2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.20649652,0.954373068,0.146416238,0.211199939,1.102842942,217,"c(""DISC1"", ""FOXA2"", ""IL12A"", ""PTPN6"", ""PLPP3"", ""CSK"", ""LEF1"", ""IL1B"", ""DMTN"", ""NPNT"", ""NFAT5"", ""BAG4"", ""PTPRC"", ""FN1"", ""EFEMP2"", ""LCK"", ""FUT3"", ""MYB"", ""LIMS1"", ""SART1"", ""PREX1"", ""FUT1"", ""FOXA1"", ""BAD"", ""PDPN"", ""FOXP3"", ""WNT4"", ""ITGAV"", ""GSK3B"", ""CTSG"", ""LEP"", ""MIP"", ""LIMS2"", ""AKT1"", ""RELL2"", ""NPY"", ""HAVCR2"", ""DNM2"", ""MAP3K8"", ""TESPA1"", ""MYO10"", ""STK4"", ""CD36"", ""SKAP1"", ""DOCK5"", ""HLA-DQB1"", ""CD28"", ""ITGB2"", ""CORO1A"", ""SFRP1"", ""CD209"", ""ST3GAL4"", ""SOCS5"", ""PRKCZ"", ""HYAL1"", ""ITPKB"", ""THY1"", ""EFNB2"", 
""TMIGD2"", ""CD276"", ""JUP"", ""IL21"", ""GCNT2"", ""EBI3"", ""PTPN11"", ""ARL2"", ""TSC1"", ""APBB1IP"", ""RASAL3"", ""IGFBP2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.643835616,0.966147647,0.072893856,0.187518039,0.9189033,140,"c(""FOXA2"", ""IL12A"", ""PTPN6"", ""PLPP3"", ""CSK"", ""LEF1"", ""IL1B"", ""DMTN"", ""NFAT5"", ""PTPRC"", ""LCK"", ""FUT3"", ""MYB"", ""SART1"", ""FOXA1"", ""BAD"", ""PDPN"", ""FOXP3"", ""CTSG"", ""LEP"", ""AKT1"", ""HAVCR2"", ""MAP3K8"", ""TESPA1"", ""MYO10"", ""SKAP1"", ""HLA-DQB1"", ""CD28"", ""ITGB2"", ""CORO1A"", ""CD209"", ""ST3GAL4"", ""SOCS5"", ""PRKCZ"", ""ITPKB"", ""THY1"", ""EFNB2"", ""TMIGD2"", ""CD276"", ""IL21"", ""GCNT2"", ""EBI3"", ""PTPN11"", ""RASAL3"", ""IGFBP2"", ""CD55"", ""TJP1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.424632353,0.961517737,0.083363407,-0.217793035,-1.014932166,112,"c(""SRC"", ""BCL10"", ""HLA-A"", ""TNFRSF13C"", ""FCHO1"", ""SHH"", ""GLI2"", ""SIRPB1"", ""IHH"", ""AP3D1"", ""CD274"", ""SIRPA"", ""HLA-DPB1"", ""DHPS"", ""IL12B"", ""IL23R"", ""IL4I1"", ""AP3B1"", ""AGER"", ""ZP3"", ""SLC7A1"", ""DUSP10"", ""RAG1"", ""TRAF6"", ""PTAFR"", ""PDCD1LG2"", ""IL12RB1"", ""B2M"", ""SYK"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.577830189,0.966147647,0.080202344,0.172671786,0.957299942,371,"c(""DISC1"", ""TESC"", ""TIGIT"", ""VSIG4"", ""FOXA2"", ""IL12A"", ""PLXNC1"", ""PTPN6"", ""PLPP3"", ""CSK"", ""LEF1"", ""KNG1"", ""COL1A1"", ""IL1B"", ""DMTN"", ""NPNT"", ""GREM1"", ""NFAT5"", ""BAG4"", ""PTPRC"", ""CYTH1"", ""IL20RB"", ""FN1"", ""EFEMP2"", ""LCK"", ""FUT3"", ""FXYD5"", ""MYB"", ""LAG3"", ""LIMS1"", ""SART1"", ""PREX1"", ""FUT1"", ""FOXA1"", ""BAD"", ""CD164"", ""PLET1"", ""PDPN"", ""FOXP3"", ""WNT4"", ""ADAMTS18"", ""ITGAV"", ""GSK3B"", ""CTSG"", ""LEP"", ""TNC"", ""PML"", ""MIP"", ""LIMS2"", ""THBS1"", ""CDH1"", ""AKT1"", ""RELL2"", ""NPY"", ""HAVCR2"", ""DDR1"", ""DNM2"", ""MAP3K8"", ""TESPA1"", 
""MYO10"", ""STK4"", ""PLXND1"", ""ACTN4"", ""FZD4"", ""CD36"", ""SKAP1"", ""DOCK5"", ""LAMA5"", ""HLA-DQB1"", ""MAP2K5"", ""SH2B3"", ""CD28"", ""CEBPB"", ""PLA2G2F"", ""ITGB2"", ""PLG"", ""MAD1L1"", ""CORO1A"", ""SFRP1"", ""CD209"", ""PDE5A"", ""ST3GAL4"", ""SOCS5"", ""PRKCZ"", ""HYAL1"", ""ITPKB"", ""PKD1"", ""THY1"", ""EFNB2"", ""EPHA3"", ""TMIGD2"", ""CD276"", ""JUP"", ""IL21"", ""GCNT2"", ""PLXNA3"", ""WNK1"", ""EBI3"", ""PTPN11"", ""ARL2"", ""TSC1"", ""ARG2"", ""APBB1IP"", ""RASAL3"", ""IGFBP2"", ""ADAM15"", ""CD55"", ""PKP4"", ""TJP1"", ""ACVRL1"", ""MACF1"", ""NF1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.42206655,0.961517737,0.081080206,-0.197998754,-1.01424816,217,"c(""PKHD1"", ""MAPK7"", ""SRC"", ""BCL10"", ""HLA-A"", ""WNT3A"", ""TNFRSF13C"", ""FCHO1"", ""SHH"", ""GLI2"", ""SIRPB1"", ""IHH"", ""MDGA1"", ""ALOX12"", ""AP3D1"", ""IRF1"", ""EMILIN2"", ""MAD2L2"", ""ARG1"", ""CD274"", ""PAG1"", ""SIRPA"", ""TARM1"", ""SMAD7"", ""CELA2A"", ""HLA-DPB1"", ""DHPS"", ""IL12B"", ""IL23R"", ""IL4I1"", ""AP3B1"", ""RC3H1"", ""NOTCH4"", ""AGER"", ""DUSP22"", ""ZC3H12A"", ""ZP3"", ""SLC7A1"", ""DUSP10"", ""RAG1"", ""TRAF6"", ""MINK1"", ""PTAFR"", ""PDCD1LG2"", ""IL12RB1"", ""AKNA"", ""B2M"", ""SYK"", ""PTPRU"", ""DLG1"", ""FERMT3"", ""ERBB2"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.867149758,0.979198324,0.061036373,0.153903505,0.874650212,448,"c(""OBSCN"", ""CDH24"", ""ITGB5"", ""MAP2K1"", ""TES"", ""CLDN15"", ""LAMA1"", ""MARVELD2"", ""GSN"", ""PTPN6"", ""ILDR1"", ""PLPP3"", ""SPTBN2"", ""PDXP"", ""KRIT1"", ""CSK"", ""ABI2"", ""FGFR3"", ""TRPC6"", ""HEPACAM"", ""PPFIA1"", ""PTPRC"", ""RPL8"", ""CYTH1"", ""KRT18"", ""IGF2R"", ""HSPA1B"", ""RAB13"", ""LIMS1"", ""CPNE3"", ""ATP1B1"", ""GJB6"", ""PLEC"", ""MRC2"", ""AFAP1"", ""THEMIS"", ""GJA1"", ""ITGAV"", ""SH3BP1"", ""TNC"", ""FHL2"", ""GJB3"", ""PDLIM5"", ""AMTN"", ""SNTB1"", ""MIP"", ""LIMS2"", ""ICAM1"", ""PNN"", ""ECT2"", ""CDH1"", ""AKT1"", ""CDC42EP1"", ""RPL30"", ""PDZD2"", ""CGNL1"", ""MARVELD3"", 
""FAT1"", ""PDLIM4"", ""CD59"", ""GJD2"", ""DNM2"", ""FHL1"", ""SV2A"", ""CDCA3"", ""ACTN4"", ""MSN"", ""GRHL2"", ""FZD4"", ""SORBS3"", ""SKAP1"", ""SHROOM3"", ""ARF6"", ""MPZL1"", ""CTNND1"", ""CLDN23"", ""ITGB8"", ""OCLN"", ""DSP"", ""CLDN3"", ""ITGB2"", ""FHL3"", ""DSG3"", ""PARVA"", ""STRN"", ""CORO1A"", ""SGSM3"", ""XIRP1"", ""PKP1"", ""VSIG10"", ""MAPK3"", ""PPL"", ""PRKCZ"", ""ESAM"", ""THY1"", ""KRAS"", ""HACD3"", ""AKAP12"", ""POF1B"", ""MARCKS"", ""EFNB2"", ""STARD8"", ""MYO1E"", ""RHOG"", ""JUP"", ""GJC2"", ""IGSF5"", ""SCN1A"", ""YWHAG"", ""ABCB4"", ""PTK7"", ""ARL2"", ""DOCK7"", ""FGFR4"", ""APBB1IP"", 
""CDH10"", ""WTIP"", ""LCP1"", ""DES"", ""ADAM15"", ""C1QTNF5"", ""LDB3"", ""PKP4"", ""TJP1"", ""ATAT1"", ""TNK2"", ""DSG2"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.525754885,0.963923169,0.070450085,-0.188815369,-0.97324368,232,"c(""SRC"", ""WASF1"", ""OPRM1"", ""ARPC5"", ""CAV2"", ""FLII"", ""PEAK1"", ""ARHGAP22"", ""GNA12"", ""G3BP1"", ""EPPK1"", ""PAK4"", ""TLN1"", ""SRP68"", ""LIMA1"", ""PDLIM1"", ""AIF1L"", ""RALA"", ""ITGB6"", ""IRF2"", ""GAK"", ""NOX4"", ""CSPG4"", ""PLAU"", ""CFL1"", ""FBLN7"", ""CYFIP1"", ""NME2"", ""RPS9"", ""ALKBH6"", ""ACTB"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.30703259,0.954810595,0.097877328,-0.190198429,-1.050132514,415,"c(""ITGA9"", ""PKHD1"", ""GHSR"", ""LRFN5"", ""HLA-A"", ""CLEC4D"", ""CD22"", ""WNT3A"", ""ADAMTS15"", ""APP"", ""IL11RA"", ""SDC3"", ""CXCR2"", ""SCARA5"", ""CLDND1"", ""TNFRSF13C"", ""SLITRK6"", ""TNN"", ""GRIN1"", ""SHH"", ""SIRPB1"", ""SULF1"", ""TNFRSF10B"", ""ADGRE1"", ""SCARB1"", ""TLN1"", ""P2RY12"", ""CCR9"", ""SLC46A1"", ""ELSPBP1"", ""DNAI2"", ""RALA"", ""ITGB6"", ""ACE2"", ""STAB2"", ""BTN3A1"", ""TACR1"", ""CHRNA1"", ""ABCB1"", ""CSPG4"", ""CD274"", ""CD58"", ""PLAU"", ""SIRPA"", ""ADAM2"", ""OIT3"", ""MSLNL"", ""ANO6"", ""BMPR2"", ""PPFIA4"", ""CNTN2"", ""ASTN1"", ""BMPR1A"", ""ADGRG6"", 
""B4GALT1"", ""HLA-DPB1"", ""SCN5A"", ""SERPINA5"", ""TGFA"", ""IL12B"", ""COL23A1"", ""IL23R"", ""GRIN2A"", ""EGFL8"", ""UNC5C"", ""HILPDA"", ""NOTCH4"", ""AGER"", ""NCR2"", ""CDH2"", ""HSPA5"", ""ITGA8"", ""RTN4R"", ""SLC11A2"", ""TSPAN8"", ""LRP6"", ""RGMA"")"
