Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.936073059,1,0.036149193,0.173502847,0.779776742,137,"c(""ITGA1"", ""GLI3"", ""BOC"", ""FNDC3A"", ""MYO10"", ""EFNA5"", ""ABL1"", ""NECTIN1"", ""ABCA12"", ""LIMS1"", ""LAMA3"", ""BMP6"", ""NECTIN3"", ""GPC4"", ""STXBP1"", ""PDE5A"", ""MBP"", ""CNTN1"", ""CLDN11"", ""DPP4"", ""IL4I1"", ""TJP1"", ""CNTN6"", ""NPHP4"", ""PCDHA1"", ""PCDHA2"", ""PIK3CB"", ""CDH10"", ""ITGA2"", ""CD86"", ""EZR"", ""ADAM9"", ""ITGA8"", ""NEO1"", ""FAT1"", ""FAT4"", ""EPHA7"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.199017199,0.910084034,0.154190967,-0.301689283,-1.172120411,45,"c(""ITPKB"", ""JAK2"", ""SKAP1"", ""NFAT5"", ""CBLB"", ""IL15"", ""CR1"", ""DLG5"", ""PIK3R6"", ""CD6"", ""SOX13"", ""CARD11"", ""GLI2"", ""LYN"", ""PRKCQ"", ""ILDR2"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.56187291,1,0.064214088,0.235496919,0.950630964,69,"c(""ARHGEF7"", ""EPB41L4B"", ""GLI3"", ""DISC1"", ""MYO10"", ""ABL1"", ""PLEKHA2"", ""LIMS1"", ""FERMT2"", ""EDIL3"", ""DPP4"", ""IL4I1"", ""TJP1"", ""COL8A1"", ""ITGA2"", ""CD86"", ""ADAM9"", ""TRIOBP"", ""FRMD5"", ""CD36"", ""FMN1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.207637232,0.921460326,0.1482615,-0.316934721,-1.194467937,38,"c(""ITPKB"", ""JAK2"", ""SKAP1"", ""NFAT5"", ""IL15"", ""PIEZO1"", ""CR1"", ""PIK3R6"", ""KIFAP3"", ""CD6"", ""SOX13"", ""CARD11"", ""GLI2"", ""LYN"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.063205418,0.820818383,0.271288555,-0.396621194,-1.412741065,28,"c(""ITPKB"", ""JAK2"", ""SKAP1"", ""NFAT5"", ""IL15"", ""CR1"", ""PIK3R6"", ""CD6"", ""SOX13"", ""CARD11"", ""GLI2"", ""LYN"", ""PRKCQ"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.579754601,1,0.058593757,0.215781337,0.959394786,122,"c(""ARHGEF7"", ""EPB41L4B"", ""GLI3"", ""DISC1"", ""MYO10"", ""EFNA5"", ""ABL1"", ""CYTH1"", ""PLEKHA2"", ""ABCA12"", ""ADAM10"", ""LIMS1"", ""FERMT2"", ""LAMA3"", ""BMP6"", ""SEMA3E"", ""PDE5A"", ""MBP"", ""EDIL3"", ""DPP4"", ""IL4I1"", ""TJP1"", ""ROCK2"", ""ST6GAL1"", ""PIK3CB"", ""COL8A1"", ""ITGA2"", ""ABL2"", ""CD86"", ""ADAM9"", ""TRIOBP"", ""FRMD5"", ""CLASP1"", ""CD36"", ""FMN1"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.35308642,1,0.111918316,-0.250610814,-1.048082637,61,"c(""ITPKB"", ""BLK"", ""JAK2"", ""SKAP1"", ""NFAT5"", ""PTPRR"", ""CBLB"", ""IL15"", ""PIEZO1"", ""CR1"", ""DLG5"", ""TRPV4"", ""MDGA1"", ""PIK3R6"", ""KIFAP3"", ""CD6"", ""SOX13"", ""CARD11"", ""GLI2"", ""LYN"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.233433735,0.931893172,0.106729884,0.245158923,1.115949631,151,"c(""ARHGEF7"", ""EPB41L4B"", ""SVIL"", ""ITGA1"", ""MRC2"", ""EFNA5"", ""NECTIN1"", ""CYTH1"", ""ERBIN"", ""ADAM10"", ""LIMS1"", ""CCDC85A"", ""FERMT2"", ""CYFIP1"", ""TNS1"", ""NECTIN3"", ""NCKAP1"", ""USP33"", ""PDGFRB"", ""CLDN11"", ""DPP4"", ""TJP1"", ""NPHP4"", ""LIN7A"", ""LRP1"", ""SYNE2"", ""SIPA1L3"", ""SYNPO2"", ""STRN"", ""TSPAN9"", ""PATJ"", ""CDH10"", ""ITGA2"", ""CAPN2"", ""EZR"", ""ADAM9"", ""TRIOBP"", ""FRMD5"", ""ITGA8"", ""CLASP1"", ""EVL"", ""FMN1"", ""FAT1"", ""GSN"", ""JAK1"", ""CDC42BPA"", ""TEK"", ""POF1B"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.042654028,0.820818383,0.276500599,0.313369151,1.325985507,88,"c(""ARHGEF7"", ""SVIL"", ""ITGA1"", ""MRC2"", ""ERBIN"", ""ADAM10"", ""LIMS1"", ""FERMT2"", ""CYFIP1"", ""TNS1"", ""NCKAP1"", ""USP33"", ""PDGFRB"", ""DPP4"", ""LRP1"", ""SYNE2"", ""SYNPO2"", ""TSPAN9"", ""ITGA2"", ""CAPN2"", ""EZR"", ""ADAM9"", ""TRIOBP"", ""ITGA8"", ""CLASP1"", ""EVL"", ""FAT1"", ""GSN"", ""JAK1"", ""TEK"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.711428571,1,0.079343496,-0.188838096,-0.902634929,122,"c(""ITGA9"", ""TMEM123"", ""TGFBR3"", ""TSPAN14"", ""CD109"", ""PLA2R1"", ""MYO18A"", ""MMP16"", ""AJAP1"", ""IL15"", ""CD5L"", ""CR1"", ""IDE"", ""ENPEP"", ""CD226"", ""TRPV4"", ""HEG1"", ""ITGB5"", ""CNTFR"", ""ADGRG6"", ""GFRA1"", ""SLC1A2"", ""SCN5A"", ""CD6"", ""KCNH5"", ""TSHR"", ""MSR1"", ""CFTR"", ""ITGBL1"", ""SCARB1"", ""CD163L1"", ""NCAM1"")"
