Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.008301559,0.263906449,0.380730401,0.230998191,1.28614745,389,"c(""VSIG4"", ""PSEN1"", ""IL1B"", ""ASTN1"", ""CSK"", ""LAG3"", ""LAMA3"", ""NFAT5"", ""MUC21"", ""ITGAV"", ""PCDH7"", ""DUSP22"", ""PDE5A"", ""AFDN"", ""HBB"", ""CNTN2"", ""PKHD1"", ""PLPP3"", ""FOXA1"", ""EFNB3"", ""CTSG"", ""CDH24"", ""ST3GAL4"", ""LIMS1"", ""CD99"", ""CLDN22"", ""ITGB5"", ""IL20RB"", ""PCDHB16"", ""EBI3"", ""ITGA8"", ""PCDHB7"", ""PTPRS"", ""TNFRSF13C"", ""VMP1"", ""MAP2K5"", ""CLDN17"", ""PIK3CB"", ""PIEZO1"", ""FLNA"", ""STXBP3"", ""SIRPG"", ""MYB"", ""BMP2"", ""ROBO3"", ""CYP1B1"", ""NPHP4"", ""DSG3"", ""ITGA2"", ""NECTIN1"", ""SPI1"", ""CTNNB1"", ""CBLB"", ""JAK1"", ""PAG1"", ""KIFC3"", 
""TJP2"", ""CLEC4G"", ""ZMIZ1"", ""CD93"", ""LRFN3"", ""ACTN1"", ""TNFRSF21"", ""TMOD3"", ""PCDHB3"", ""MYO10"", ""EXT1"", ""LYN"", ""CDH1"", ""GOLPH3"", ""ABAT"", ""LEF1"", ""CDHR5"", ""DSP"", ""SDK2"", ""CD2AP"", ""SIRPA"", ""NFKBIZ"", ""DLG5"", ""PRKCZ"", ""PLEKHA7"", ""PPP1CA"", ""PKP2"", ""PTPN6"", ""VSIG10"", ""CD81"", ""ACVR1"", ""CTNNA1"", ""CDHR2"", ""CDH22"", ""NKAP"", ""DNAJB6"", ""HMGB1"", ""IL12RB1"", ""IL1RN"", ""SOCS5"", ""PDLIM5"", ""ZBTB1"", ""HAVCR2"", ""MINK1"", ""ITCH"", ""NCK1"", ""SH2B3"", ""ITGA9"", ""CDHR1"", ""PAWR"", ""MYL9"", ""ILDR2"", ""PCDH19"", ""CEACAM6"", ""PLEK"", ""RAB10"", 
""PCDH12"", ""CDH16"", ""NT5E"", ""NPHS1"", ""CLDN20"", ""DLG3"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.855524079,0.949494889,0.036993252,-0.180863169,-0.820821036,158,"c(""SOX12"", ""EZR"", ""SDC4"", ""FOXO3"", ""DUSP10"", ""FUT4"", ""BTN2A2"", ""PPARA"", ""SLC7A1"", ""BCL6"", ""XBP1"", ""HSPH1"", ""HLA-DMA"", ""IRF1"", ""ZDHHC21"", ""LGALS3"", ""PRNP"", ""FLOT2"", ""DHPS"", ""IHH"", ""CORO1A"", ""CCL5"", ""TGFBR2"", ""RC3H1"", ""FCGR2B"", ""CCL25"", ""FERMT3"", ""SOCS1"", ""NDFIP1"", ""IRAK1"", ""S100A8"", ""HES1"", ""FOXJ1"", ""RAG2"", ""LGALS9"", ""SOX13"", ""BAD"", ""BCL10"", ""ITPKB"", ""HLA-DMB"", ""CD83"", ""CEBPB"", ""CD274"", ""IL18"", ""SOX4"", ""ARG1"", ""PELI1"", ""KLF4"", ""ZBTB7B"", ""ZC3H12A"", ""SIRPB1"", ""MAP3K8"", ""HLA-DPB1"", ""MDK"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.143369176,0.639079746,0.224966094,0.223268285,1.149435036,203,"c(""FUT1"", ""IL1B"", ""CSK"", ""NFAT5"", ""ITGAV"", ""AFDN"", ""SPOCK2"", ""PLPP3"", ""FOXA1"", ""STK4"", ""EFNB3"", ""EPB41L4B"", ""CTSG"", ""ST3GAL4"", ""ZFHX3"", ""IFT74"", ""IBSP"", ""LIMS1"", ""RAC1"", ""EBI3"", ""ATM"", ""TNFRSF13C"", ""PIEZO1"", ""FLNA"", ""SIRPG"", ""MYB"", ""ITGA2"", ""PTPRJ"", ""JAK1"", ""FERMT2"", ""FERMT1"", ""CYTH3"", ""ZMIZ1"", ""PTK2B"", ""DOCK5"", ""MYO10"", ""LYN"", ""LEF1"", ""SIRPA"", ""NFKBIZ"", ""LDB1"", ""PRKCZ"", ""PTPN6"", ""TRIOBP"", ""CDK6"", ""CD81"", ""ARL2"", ""NKAP"", ""EPHA1"", ""HMGB1"", ""HSD17B12"", ""IL12RB1"", ""SOCS5"", ""ZBTB1"", ""HAVCR2"", ""NCK1"", 
""VAV3"", ""DNM2"", ""COL26A1"", ""CEACAM6"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.656957929,0.903766556,0.090542895,0.193127952,0.919681998,120,"c(""IL1B"", ""CSK"", ""NFAT5"", ""AFDN"", ""PLPP3"", ""FOXA1"", ""EFNB3"", ""CTSG"", ""ST3GAL4"", ""EBI3"", ""TNFRSF13C"", ""PIEZO1"", ""SIRPG"", ""MYB"", ""JAK1"", ""ZMIZ1"", ""MYO10"", ""LYN"", ""LEF1"", ""SIRPA"", ""NFKBIZ"", ""PRKCZ"", ""PTPN6"", ""CD81"", ""NKAP"", ""HMGB1"", ""IL12RB1"", ""SOCS5"", ""ZBTB1"", ""HAVCR2"", ""NCK1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.717201166,0.918939234,0.046415496,-0.205157979,-0.874869283,96,"c(""SOX12"", ""FOXO3"", ""DUSP10"", ""FUT4"", ""BTN2A2"", ""SLC7A1"", ""BCL6"", ""XBP1"", ""HSPH1"", ""HLA-DMA"", ""FLOT2"", ""DHPS"", ""IHH"", ""CORO1A"", ""CCL5"", ""TGFBR2"", ""SOCS1"", ""IRAK1"", ""HES1"", ""LGALS9"", ""SOX13"", ""BAD"", ""BCL10"", ""ITPKB"", ""HLA-DMB"", ""CD83"", ""CD274"", ""IL18"", ""SOX4"", ""ZBTB7B"", ""SIRPB1"", ""MAP3K8"", ""HLA-DPB1"", ""MDK"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.025421286,0.420859126,0.352487858,0.222265693,1.239560454,346,"c(""VSIG4"", ""MMP2"", ""FUT1"", ""IL1B"", ""PLXNA1"", ""CSK"", ""LAG3"", ""LAMA3"", ""NFAT5"", ""MUC21"", ""ITGAV"", ""DUSP22"", ""PDE5A"", ""AFDN"", ""SPOCK2"", ""PKHD1"", ""PLPP3"", ""FOXA1"", ""STK4"", ""EFNB3"", ""EPB41L4B"", ""CTSG"", ""ST3GAL4"", ""ZFHX3"", ""IFT74"", ""IBSP"", ""LIMS1"", ""TESC"", ""RAC1"", ""IL20RB"", ""EBI3"", ""ATM"", ""TNFRSF13C"", ""MAP2K5"", ""PIK3CB"", ""SLC9A1"", ""PIEZO1"", ""FLNA"", ""SIRPG"", ""EPHA8"", ""MYB"", ""BMP2"", ""CYP1B1"", ""ITGA2"", ""PTPRJ"", ""SPI1"", ""CBLB"", ""ONECUT1"", ""JAK1"", ""PAG1"", ""FERMT2"", ""FERMT1"", ""CLEC4G"", ""CYTH3"", ""ZMIZ1"", ""LRFN3"", 
""ST6GAL1"", ""PTK2B"", ""TNFRSF21"", ""KIF14"", ""DOCK5"", ""MYO10"", ""LYN"", ""CDH1"", ""ABAT"", ""LEF1"", ""ARHGDIB"", ""SIRPA"", ""NFKBIZ"", ""DLG5"", ""LDB1"", ""PRKCZ"", ""CLASP1"", ""CYTH1"", ""PTPN6"", ""TRIOBP"", ""CDK6"", ""CD81"", ""ARL2"", ""NKAP"", ""EPHA1"", ""HMGB1"", ""HSD17B12"", ""IL12RB1"", ""IL1RN"", ""SOCS5"", ""ZBTB1"", ""HAVCR2"", ""MINK1"", ""ADAM10"", ""ITCH"", ""NCK1"", ""SH2B3"", ""VAV3"", ""PAWR"", ""DNM2"", ""ILDR2"", ""COL26A1"", ""CEACAM6"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.350364964,0.780464869,0.140406239,0.203079089,1.04088668,201,"c(""VSIG4"", ""IL1B"", ""CSK"", ""LAG3"", ""NFAT5"", ""MUC21"", ""DUSP22"", ""PDE5A"", ""AFDN"", ""PKHD1"", ""PLPP3"", ""FOXA1"", ""EFNB3"", ""CTSG"", ""ST3GAL4"", ""IL20RB"", ""EBI3"", ""TNFRSF13C"", ""MAP2K5"", ""PIEZO1"", ""SIRPG"", ""MYB"", ""BMP2"", ""SPI1"", ""CBLB"", ""JAK1"", ""PAG1"", ""CLEC4G"", ""ZMIZ1"", ""LRFN3"", ""TNFRSF21"", ""MYO10"", ""LYN"", ""CDH1"", ""ABAT"", ""LEF1"", ""SIRPA"", ""NFKBIZ"", ""DLG5"", ""PRKCZ"", ""PTPN6"", ""CD81"", ""NKAP"", ""HMGB1"", ""IL12RB1"", ""IL1RN"", ""SOCS5"", ""ZBTB1"", ""HAVCR2"", ""MINK1"", ""ITCH"", ""NCK1"", ""SH2B3"", ""PAWR"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.74863388,0.92713776,0.114750719,0.165945726,0.93572951,461,"c(""GSN"", ""CSK"", ""OPALIN"", ""ITGAV"", ""AFDN"", ""ARHGAP26"", ""TNK2"", ""PLPP3"", ""FRMD6"", ""EPB41L4B"", ""FHL2"", ""CD99L2"", ""CDH24"", ""TSPAN9"", ""LIMS1"", ""ABI2"", ""SORBS1"", ""CD99"", ""CLDN22"", ""TSPAN33"", ""PDZD2"", ""ITGB5"", ""RAC1"", ""ITGA8"", ""PAK1"", ""ARF1"", ""MPDZ"", ""CLDN17"", ""SLC9A1"", ""PDIA3"", ""FLNA"", ""CSRP2"", ""DST"", ""MPP7"", ""AQP7"", ""CPNE3"", ""NPHP4"", ""LAT"", ""DSG3"", ""ITGA2"", ""PTPRJ"", ""NECTIN1"", ""PARD6G"", ""CTNNB1"", ""JAK1"", ""ATP1A2"", ""FERMT2"", ""KIFC3"", ""FERMT1"", ""SORBS2"", ""TJP2"", ""CYTH3"", ""RRAS2"", ""MAGI3"", ""HSPG2"", ""ACTN1"", 
""PTK2B"", ""GRHL2"", ""IGF2R"", ""TMOD3"", ""PLXDC1"", ""PPFIA1"", ""PDLIM7"", ""MYO1E"", ""ACTC1"", ""LYN"", ""CDH1"", ""IL16"", ""DSP"", ""CD2AP"", ""SIPA1L3"", ""EVL"", ""PRKCZ"", ""PLEKHA7"", ""CLASP1"", ""VASP"", ""PPP1CA"", ""CYTH1"", ""FLNB"", ""RHOG"", ""CAPN1"", ""PKP2"", ""IQGAP3"", ""ANXA6"", ""CAPN2"", ""AHI1"", ""ANXA5"", ""STRN"", ""PTPN6"", ""TRIOBP"", ""MPZL1"", ""SPTBN2"", ""MARCKS"", ""VSIG10"", ""LIMD1"", ""CD81"", ""CTNNA1"", ""ARL2"", ""CDH22"", ""DNMBP"", ""BMPR2"", ""LIN7B"", ""ACTN2"", ""GAK"", ""RPL8"", ""MAPK1"", ""GJA10"", ""FBLN7"", ""PDLIM5"", ""LMLN"", ""TNS3"", ""ADAM10"", ""NCK1"", 
""PCBP2"", ""RPL37A"", ""FRMD4B"", ""DCAF6"", ""DNM2"", ""RPS10"", ""ILDR2"", ""CGNL1"", ""SGSM3"", ""MARVELD2"", ""GJB4"", ""RAB10"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.921333333,0.963141765,0.030560814,-0.165077221,-0.802976727,270,"c(""VIM"", ""EZR"", ""NME2"", ""SDC4"", ""RRAS"", ""PPIB"", ""CALR"", ""YWHAQ"", ""HSPA8"", ""ZFYVE21"", ""ARPC5"", ""PVR"", ""HSPA5"", ""SLC4A2"", ""RPS5"", ""DIXDC1"", ""HYOU1"", ""ALKBH6"", ""PPP1CC"", ""RPLP2"", ""FLOT2"", ""MAPRE1"", ""AJUBA"", ""GIT1"", ""FLRT3"", ""RPL27"", ""WASF1"", ""HSP90B1"", ""RPL12"", ""RPL7"", ""GNB2"", ""EFS"", ""RPS7"", ""LAMTOR3"", ""TADA1"", ""AHNAK"", ""HSPB1"", ""CD9"", ""G3BP1"", ""FZD2"", ""MMP14"", ""CNN2"", ""RPS11"", ""RPL7A"", ""HMGA1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.106409463,0.596912828,0.287805131,0.205047884,1.136475737,333,"c(""PSEN1"", ""IL9R"", ""ASTN1"", ""LYZL6"", ""LAG3"", ""TLR4"", ""FASLG"", ""TGFBR3"", ""TSPAN15"", ""ITGAV"", ""AXL"", ""COL23A1"", ""BTN3A3"", ""CXCL9"", ""TSPAN14"", ""ASGR1"", ""CNTN2"", ""PKHD1"", ""MR1"", ""ADAMTS13"", ""BMP10"", ""AMELX"", ""CTSG"", ""RAMP2"", ""CD99L2"", ""FZD10"", ""TSPAN33"", ""ITGB5"", ""CSF1R"", ""EBI3"", ""ITGA8"", ""HM13"", ""ANTXR1"", ""ANGPTL3"", ""ANXA4"", ""KCNB1"", ""TNFRSF13C"", ""SLC9A1"", ""PDIA3"", ""MAP3K5"", ""BMP2"", ""ITGA2"", ""PTPRJ"", ""ENO1"", ""MET"", ""FERMT2"", ""LRPAP1"", ""VAMP4"", ""CLEC4G"", ""CD93"", ""LRFN3"", ""IGF2R"", ""IL6R"", ""RGMA"", ""MBL2"", 
""CHRNA4"", ""ABCC4"", ""LILRA5"", ""SIRPA"", ""ACVR1B"", ""CD248"", ""SLC39A6"", ""RPS6KB1"", ""CAPN2"", ""ANXA5"", ""PCSK6"", ""TLR3"", ""MPZL1"", ""NRDC"", ""KLRC1"", ""BMPR2"", ""HMGB1"", ""IL12RB1"", ""CD69"", ""SMIM1"", ""PSEN2"", ""ADAM21"", ""MIF"")"
