Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.973214286,0.993884468,0.086539974,0.152812124,0.831069437,364,"c(""P2RY12"", ""TYRO3"", ""BAIAP2"", ""BCL10"", ""NINJ2"", ""ZBTB1"", ""MINK1"", ""MYB"", ""CBFB"", ""DUSP3"", ""RAB10"", ""GPNMB"", ""TGFB2"", ""RIC8A"", ""SCRIB"", ""MYL9"", ""YES1"", ""BCL6"", ""PTPN23"", ""CCDC88B"", ""MAP3K8"", ""NPHP1"", ""SOCS1"", ""DSG2"", ""ITGA11"", ""PAG1"", ""DSCAML1"", ""COL19A1"", ""STXBP1"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""GTPBP4"", ""TNFSF9"", ""ROPN1B"", ""MPZL2"", ""COL8A2"", ""RC3H2"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""CD84"", ""ICAM1"", ""PIK3R6"", ""HHLA2"", ""EZR"", ""CTNNA1"", ""ITGA3"", ""CD28"", ""PPM1F"", ""CYP1B1"", ""KIT"", ""LGALS9"", ""ADD2"", ""BAD"", ""CD46"", 
""ITGA7"", ""ITGAX"", ""DSC2"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.799373041,0.976215147,0.078089231,0.178725283,0.883838354,156,"c(""BCL10"", ""ZBTB1"", ""MYB"", ""CBFB"", ""DUSP3"", ""GPNMB"", ""SCRIB"", ""YES1"", ""BCL6"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""PAG1"", ""ITPKB"", ""FOXP3"", ""TNFSF9"", ""RC3H2"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""ICAM1"", ""PIK3R6"", ""HHLA2"", ""EZR"", ""CD28"", ""LGALS9"", ""ADD2"", ""BAD"", ""CD46"", ""SOX13"", ""ZDHHC21"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.789115646,0.976215147,0.083129129,0.177163794,0.897050358,193,"c(""P2RY12"", ""BCL10"", ""ZBTB1"", ""MYB"", ""CBFB"", ""TGFB2"", ""ITGB1BP1"", ""YES1"", ""BCL6"", ""EPHA1"", ""PTPN23"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""DNM2"", ""EMILIN1"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""TNFSF9"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""FBLN2"", ""ITGA3"", ""CD28"", ""PPM1F"", ""CRK"", ""LGALS9"", ""BAD"", ""CD46"", ""SOX13"", ""RRAS"", ""ZP3"", ""NRP1"", ""RET"", ""STX4"", ""CDC42"", ""F11R"", ""MMRN1"", ""CD4"", ""TPM1"", ""FN1"", ""PRKD2"", ""NPNT"", ""IL4I1"", ""MYADM"", ""SYK"", ""PRKCZ"", ""CRKL"", ""COL16A1"", ""FLNA"", ""FSTL3"", ""CAV1"", ""DNAJA3"", ""XBP1"", 
""HLX"", ""SDC4"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.503012048,0.954317717,0.102080108,0.20700577,0.98704742,125,"c(""BCL10"", ""ZBTB1"", ""MYB"", ""CBFB"", ""YES1"", ""BCL6"", ""PTPN23"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""TNFSF9"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""CD28"", ""LGALS9"", ""BAD"", ""CD46"", ""SOX13"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.464589235,0.954317717,0.103197467,0.216868405,1.004401773,105,"c(""BCL10"", ""ZBTB1"", ""MYB"", ""CBFB"", ""YES1"", ""BCL6"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""ITPKB"", ""FOXP3"", ""TNFSF9"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""CD28"", ""LGALS9"", ""BAD"", ""CD46"", ""SOX13"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.980769231,0.994386874,0.078089231,0.148490007,0.804870335,314,"c(""P2RY12"", ""GPR4"", ""BCL10"", ""ZBTB1"", ""MINK1"", ""MYB"", ""CBFB"", ""DUSP3"", ""GPNMB"", ""TGFB2"", ""SCRIB"", ""PLXNA2"", ""ITGB1BP1"", ""YES1"", ""BCL6"", ""EPHA1"", ""PTPN23"", ""CCDC88B"", ""PEAK1"", ""MAP3K8"", ""SOCS1"", ""DNM2"", ""EMILIN1"", ""PAG1"", ""VTN"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""GTPBP4"", ""TNFSF9"", ""CLASP1"", ""RC3H2"", ""HLA-E"", ""LCK"", ""SLC9A1"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""TESC"", ""FBLN2"", ""ITGA3"", ""CD28"", ""PPM1F"", ""CYP1B1"", ""CRK"", ""LGALS9"", ""SLK"", ""BAD"", ""CD46"", ""SOX13"", ""ABL2"", ""BLK"", ""RRAS"", ""ZDHHC21"", ""ZP3"", ""NRP1"", ""MAPK14"", 
""PPP2R1A"", ""RET"", ""STX4"", ""CDC42"", ""F11R"", ""ADTRP"", ""MMRN1"", ""RASA1"", ""CD4"", ""FZD7"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.81270903,0.976215147,0.08063885,0.175347657,0.882934812,186,"c(""BCL10"", ""ZBTB1"", ""MINK1"", ""MYB"", ""CBFB"", ""DUSP3"", ""GPNMB"", ""SCRIB"", ""YES1"", ""BCL6"", ""PTPN23"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""PAG1"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""GTPBP4"", ""TNFSF9"", ""RC3H2"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""CD28"", ""PPM1F"", ""LGALS9"", ""BAD"", ""CD46"", ""SOX13"", ""BLK"", ""ZDHHC21"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.234513274,0.922455684,0.193813303,0.192289632,1.057520421,385,"c(""PARVG"", ""EPPK1"", ""ANXA6"", ""ALKBH6"", ""BAIAP2"", ""UBOX5"", ""NCSTN"", ""AKAP12"", ""FZD2"", ""MAPRE2"", ""FAP"", ""FLRT1"", ""RPL4"", ""SYMPK"", ""DES"", ""RAB10"", ""DOCK7"", ""SCRIB"", ""FHL1"", ""ITGB1BP1"", ""HSPA5"", ""YES1"", ""HYOU1"", ""TIAM1"", ""PEAK1"", ""KIAA1210"", ""PTK7"", ""NPHP1"", ""CDC42BPA"", ""ADD1"", ""DSG2"", ""DNM2"", ""RHO"", ""ITGA11"", ""ARHGEF2"", ""ADD3"", ""MTDH"", ""NHS"", ""RPS5"", ""PARK7"", ""FZD1"", ""RPS10"", ""TNS3"", ""GJA5"", ""AMOTL2"", ""KIF23"", ""ARMC5"", ""CDC42EP4"", ""ARPC5L"", ""WASF2"", ""RPL5"", ""CLASP1"", ""SLC9A1"", ""ICAM1"", ""THSD1"", ""CLTC"", 
""ANXA5"", ""EZR"", ""CTNNA1"", ""GJB6"", ""ITGA3"", ""PLXDC1"", ""KIT"", ""PACSIN2"", ""PPFIA1"", ""LASP1"", ""CDC42BPB"", ""SPECC1L"", ""CD46"", ""HSP90B1"", ""DSC2"", ""VAPA"", ""TSPAN4"", ""INPP5E"", ""RRAS"", ""ABI2"", ""RALA"", ""CD151"", ""NRP1"", ""IQGAP1"", ""PLEC"", ""VANGL2"", ""MXRA8"", ""RPS17"", ""CDC42"", ""F11R"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.011429809,0.8859375,0.380730401,0.259210814,1.344690931,218,"c(""PARVG"", ""EPPK1"", ""ANXA6"", ""ALKBH6"", ""UBOX5"", ""NCSTN"", ""AKAP12"", ""FZD2"", ""MAPRE2"", ""FAP"", ""FLRT1"", ""RPL4"", ""RAB10"", ""DOCK7"", ""FHL1"", ""ITGB1BP1"", ""HSPA5"", ""YES1"", ""HYOU1"", ""PEAK1"", ""PTK7"", ""ADD1"", ""DNM2"", ""ITGA11"", ""ARHGEF2"", ""NHS"", ""RPS5"", ""FZD1"", ""RPS10"", ""TNS3"", ""KIF23"", ""ARMC5"", ""ARPC5L"", ""RPL5"", ""CLASP1"", ""SLC9A1"", ""ICAM1"", ""THSD1"", ""CLTC"", ""ANXA5"", ""EZR"", ""CTNNA1"", ""ITGA3"", ""PACSIN2"", ""PPFIA1"", ""LASP1"", ""CD46"", ""HSP90B1"", ""TSPAN4"", ""INPP5E"", ""RRAS"", ""RALA"", ""CD151"", ""NRP1"", ""IQGAP1"", ""PLEC"", 
""RPS17"", ""CDC42"", ""CHP1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.825688073,0.976215147,0.035015069,-0.176196713,-0.875685801,345,"c(""GFRA2"", ""LRFN4"", ""TEK"", ""FZD6"", ""SEMA7A"", ""ABCA1"", ""GHRHR"", ""CD74"", ""RTN4R"", ""APOH"", ""SORT1"", ""ANXA2"", ""PDGFRA"", ""ADAM29"", ""PCSK6"", ""INTU"", ""ABCB11"", ""LY75"", ""AIMP1"", ""TSHR"", ""CD36"", ""UMODL1"", ""GSR"", ""ITGA9"", ""CLEC2B"", ""SLC39A6"", ""PRLR"", ""SLC46A1"", ""DAG1"", ""LMAN2"", ""GRIN1"", ""IL27RA"", ""DIP2A"", ""TMEM102"", ""KCNJ3"", ""CNTN2"", ""HLA-C"", ""SLC6A1"", ""ITGB3"", ""SRPX2"", ""CAPN2"", ""KCNK2"", ""GREM1"", ""AQP4"", ""SLC7A11"", ""CLCN3"", ""CDH17"", ""LMO7"", ""CSF1R"", ""ENTPD6"", ""EPHA5"", ""RSPO2"", ""NOTCH2"", ""FGF10"", ""ANTXR2"", 
""CLIC4"", ""GLRA1"", ""ALCAM"", ""HLA-DMA"")"
