Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.984015984,0.999953638,0.005814576,-0.237196314,-0.744069987,192,"c(""MMP24"", ""LRFN4"", ""CD74"", ""PTAFR"", ""ANXA2"", ""CDH3"", ""STAT5B"", ""RC3H1"", ""PDGFRA"", ""ROCK1"", ""ST3GAL4"", ""PELI1"", ""DLG1"", ""CDH1"", ""GNAS"", ""ATP2C1"", ""ITGA9"", ""CDHR1"", ""PODXL2"", ""SFTPD"", ""NCK2"", ""YTHDF2"", ""GOLPH3"", ""NCKAP1L"", ""ZBTB7B"", ""SWAP70"", ""IL27RA"", ""CNTN2"", ""PLEKHA7"", ""CDH15"", ""SRC"", ""NINJ1"", ""ITGB3"", ""ZBTB16"", ""SRPX2"", ""LAMB1"", ""CDHR3"", ""CD2AP"", ""AQP4"", ""SLC7A11"", ""CDH17"", ""IDO1"", ""ACTB"", ""IL18"", ""THBS4"", ""PDE5A"", ""PIP5K1C"", ""FBLIM1"", ""ALOX5"", ""CDHR2"", ""ALCAM"", ""HLA-DMA"", ""SPINT2"", ""CRB1"", ""TRPV4"", 
""NCK1"", ""RDX"", ""PCDHA13"", ""SERPINB8"", ""HAVCR2"", ""CLDN16"", ""PCDHAC2"", ""LRFN5"", ""CDH9"", ""GCNT1"", ""MYPN"", ""SMAD7"", ""CEACAM1"", ""STK10"", ""UBASH3B"", ""PTPRC"", ""BOC"", ""SLC7A1"", ""MIA3"", ""GATA3"", ""FAT2"", ""PIK3CG"", ""ZAN"", ""PTPN2"", ""GLI2"", ""OBSCN"", ""CDH20"", ""DUSP10"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.991008991,0.999953638,0.004345511,-0.212119665,-0.639138348,85,"c(""CD74"", ""PTAFR"", ""STAT5B"", ""RC3H1"", ""ROCK1"", ""ST3GAL4"", ""PELI1"", ""DLG1"", ""PODXL2"", ""SFTPD"", ""NCK2"", ""GOLPH3"", ""NCKAP1L"", ""ZBTB7B"", ""IL27RA"", ""SRC"", ""ZBTB16"", ""IDO1"", ""IL18"", ""PDE5A"", ""ALOX5"", ""HLA-DMA"", ""NCK1"", ""HAVCR2"", ""GCNT1"", ""SMAD7"", ""CEACAM1"", ""STK10"", ""PTPRC"", ""SLC7A1"", ""MIA3"", ""GATA3"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.996003996,0.999953638,0.00288973,-0.204191214,-0.62157023,100,"c(""TEK"", ""CD74"", ""PTAFR"", ""STAT5B"", ""ROCK1"", ""ST3GAL4"", ""CD36"", ""MIP"", ""TRIOBP"", ""NCK2"", ""NCKAP1L"", ""ZBTB7B"", ""DAG1"", ""IL27RA"", ""CIB1"", ""TMEM102"", ""CHRD"", ""DAB2"", ""SRC"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.995004995,0.999953638,0.003232439,-0.184060746,-0.544895237,66,"c(""CD74"", ""PTAFR"", ""STAT5B"", ""ST3GAL4"", ""NCK2"", ""NCKAP1L"", ""ZBTB7B"", ""IL27RA"", ""SRC"", ""ZBTB16"", ""IL18"", ""ALOX5"", ""HLA-DMA"", ""NCK1"", ""HAVCR2"", ""SMAD7"", ""PTPRC"", ""SLC7A1"", ""GATA3"", ""GLI2"", ""DUSP10"", ""DENND6A"", ""TESPA1"", ""JAK2"", ""IL1RL2"", ""PTPRU"", ""LYN"", ""THY1"", ""ADAM19"", ""ANXA1"", ""IL7R"", ""CEACAM6"", ""DHPS"", ""SART1"", ""RELA"", ""SOX4"", ""CLECL1"", ""FLOT2"", ""IL12B"", ""CSK"", ""BTN2A2"", ""EFNB3"", ""CD3E"", ""HLA-DPA1"", ""SPTA1"", ""CD6"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.992,0.999953638,0.004345511,-0.190310515,-0.558637289,57,"c(""CD74"", ""PTAFR"", ""STAT5B"", ""ST3GAL4"", ""NCK2"", ""NCKAP1L"", ""ZBTB7B"", ""IL27RA"", ""SRC"", ""ZBTB16"", ""IL18"", ""ALOX5"", ""HLA-DMA"", ""NCK1"", ""HAVCR2"", ""PTPRC"", ""SLC7A1"", ""GATA3"", ""GLI2"", ""DUSP10"", ""TESPA1"", ""JAK2"", ""IL1RL2"", ""LYN"", ""THY1"", ""ANXA1"", ""IL7R"", ""DHPS"", ""SART1"", ""RELA"", ""SOX4"", ""CLECL1"", ""FLOT2"", ""IL12B"", ""CSK"", ""BTN2A2"", ""EFNB3"", ""CD3E"", ""HLA-DPA1"", ""SPTA1"", ""CD6"", ""VAV1"", ""HLA-DRB1"", ""SIRPA"", ""NFAT5"", ""CD83"", ""LEP"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.985014985,0.999953638,0.005627082,-0.23914115,-0.745990936,173,"c(""PTEN"", ""TEK"", ""CD74"", ""PTAFR"", ""STAT5B"", ""SEMA3E"", ""RC3H1"", ""ROCK1"", ""ST3GAL4"", ""PELI1"", ""DLG1"", ""CD36"", ""CDH1"", ""DUSP1"", ""KIF14"", ""SFTPD"", ""MIP"", ""TRIOBP"", ""NCK2"", ""YTHDF2"", ""PRLR"", ""NCKAP1L"", ""ZBTB7B"", ""DAG1"", ""DACT2"", ""APOD"", ""SWAP70"", ""PTPRA"", ""IL27RA"", ""CIB1"", ""TMEM102"", ""CHRD"", ""DAB2"", ""PLXNC1"", ""SRC"", ""ZBTB16"", ""GREM1"", ""IDO1"", ""LMO7"", ""IL18"", ""PDE5A"", ""ALOX5"", ""ADAM22"", ""HLA-DMA"", ""NDNF"", ""PPP1R12A"", ""SPINT2"", ""TESK1"", ""TRPV4"", ""ABI3BP"", ""NCK1"", ""MEN1"", ""AJAP1"", ""PML"", ""ADAM10"", ""RDX"", 
""HAVCR2"", ""SMAD7"", ""CEACAM1"", ""MUC1"", ""FLCN"", ""UBASH3B"", ""PTPRC"", ""SLC7A1"", ""MIA3"", ""GATA3"", ""SERPINI1"", ""PIK3CG"", ""PTPN2"", ""GLI2"", ""ROCK2"", ""DUSP10"", ""ERBB3"", ""DENND6A"", ""TESPA1"", ""MYOC"", ""LAMA3"", ""STK4"", ""VAV3"", ""JAK2"", ""LAPTM5"", ""IL1RL2"", ""COL8A1"", ""BMP6"", ""RSU1"", ""TWSG1"", ""PTPRU"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.998001998,0.999953638,0.0020413,-0.188974489,-0.575657703,101,"c(""CD74"", ""PTAFR"", ""STAT5B"", ""RC3H1"", ""ST3GAL4"", ""PELI1"", ""DLG1"", ""CDH1"", ""SFTPD"", ""NCK2"", ""YTHDF2"", ""NCKAP1L"", ""ZBTB7B"", ""SWAP70"", ""IL27RA"", ""SRC"", ""ZBTB16"", ""IDO1"", ""IL18"", ""PDE5A"", ""ALOX5"", ""HLA-DMA"", ""SPINT2"", ""TRPV4"", ""NCK1"", ""RDX"", ""HAVCR2"", ""SMAD7"", ""CEACAM1"", ""UBASH3B"", ""PTPRC"", ""SLC7A1"", ""MIA3"", ""GATA3"", ""PTPN2"", ""GLI2"", ""DUSP10"", ""DENND6A"", ""TESPA1"", ""JAK2"", ""LAPTM5"", ""IL1RL2"", ""BMP6"", ""TWSG1"", ""PTPRU"", ""LYN"", ""PRKCD"", ""THY1"", ""ADAM19"", ""WNT4"", ""ANXA1"", ""IL7R"", ""CEACAM6"", ""DHPS"", ""SART1"", 
""RELA"", ""SOX4"", ""CLECL1"", ""FLOT2"", ""IL12B"", ""CSK"", ""PLA2G2F"", ""TNFRSF21"", ""BTN2A2"", ""EFNB3"", ""CD3E"", ""EPCAM"", ""HLA-DPA1"", ""SPTA1"", ""CCL28"", ""CD6"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.537462537,0.91874295,0.042331839,-0.315995834,-0.991518628,193,"c(""TEK"", ""RPS29"", ""ACTR3"", ""OPRM1"", ""RND3"", ""LAMA1"", ""FLRT2"", ""PIKFYVE"", ""ANXA2"", ""CDH3"", ""STARD10"", ""YWHAE"", ""POF1B"", ""ABCB11"", ""DLG1"", ""CDH1"", ""ACTN2"", ""SRP68"", ""KRIT1"", ""MIP"", ""PDXP"", ""TRIOBP"", ""PNN"", ""SAV1"", ""ADGRE5"", ""GRB7"", ""ARPC3"", ""SPTBN4"", ""DAG1"", ""PTPRA"", ""GIT2"", ""RPL27"", ""USP53"", ""DAB2"", ""SPTBN2"", ""PLEKHA7"", ""SRC"", ""NUMB"", ""ITGB3"", ""CNN1"", ""CDHR3"", ""PDLIM2"", ""CAPN2"", ""CD2AP"", ""TCHP"", ""PABPC1"", ""LMO7"", ""ACTB"", ""GSN"", ""SHROOM2"", ""PAK2"", ""PIP5K1C"", ""FBLIM1"", ""GJC2"", ""FLT1"", ""CLIC4"", ""ALCAM"", 
""SDCBP"", ""PPP1R12A"", ""CRB1"", ""ECT2"", ""TRPV4"", ""NCK1"", ""AJAP1"", ""ADAM10"", ""RDX"", ""HNRNPK"", ""FLII"", ""CCND1"", ""RPL37A"", ""WASF1"", ""GAB1"", ""CLDN16"", ""ZFYVE21"", ""ARHGAP17"", ""FRS2"", ""CDH9"", ""CAV3"", ""SMAD7"", ""CEACAM1"", ""PDLIM4"", ""MISP"", ""MPDZ"", ""NPM1"", ""FLCN"", ""EHD3"", ""PTPRC"", ""TRPC6"", ""SCN2A"", ""DST"", ""MAPRE1"", ""FAT2"", ""TSPAN33"", ""PAK1"", ""SH3BP1"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.507492507,0.904320637,0.044954307,-0.328099141,-0.997803077,99,"c(""TEK"", ""RPS29"", ""ACTR3"", ""OPRM1"", ""RND3"", ""FLRT2"", ""YWHAE"", ""ACTN2"", ""SRP68"", ""TRIOBP"", ""ADGRE5"", ""GRB7"", ""ARPC3"", ""DAG1"", ""PTPRA"", ""GIT2"", ""RPL27"", ""DAB2"", ""SRC"", ""NUMB"", ""ITGB3"", ""CNN1"", ""CAPN2"", ""PABPC1"", ""LMO7"", ""ACTB"", ""GSN"", ""PIP5K1C"", ""FBLIM1"", ""FLT1"", ""ALCAM"", ""SDCBP"", ""PPP1R12A"", ""TRPV4"", ""ADAM10"", ""RDX"", ""HNRNPK"", ""FLII"", ""RPL37A"", ""WASF1"", ""ZFYVE21"", ""CAV3"", ""MISP"", ""NPM1"", ""EHD3"", ""PTPRC"", ""DST"", ""MAPRE1"", ""PAK1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.806193806,0.96272442,0.022369929,-0.290068542,-0.908881708,187,"c(""GFRA2"", ""LRFN4"", ""TEK"", ""FZD6"", ""SEMA7A"", ""ABCA1"", ""GHRHR"", ""CD74"", ""RTN4R"", ""APOH"", ""SORT1"", ""ANXA2"", ""PDGFRA"", ""ADAM29"", ""PCSK6"", ""INTU"", ""ABCB11"", ""LY75"", ""AIMP1"", ""TSHR"", ""CD36"", ""UMODL1"", ""GSR"", ""ITGA9"", ""CLEC2B"", ""SLC39A6"", ""PRLR"", ""SLC46A1"", ""DAG1"", ""LMAN2"", ""GRIN1"", ""IL27RA"", ""DIP2A"", ""TMEM102"", ""KCNJ3"", ""CNTN2"", ""HLA-C"", ""SLC6A1"", ""ITGB3"", ""SRPX2"", ""CAPN2"", ""KCNK2"", ""GREM1"", ""AQP4"", ""SLC7A11"", ""CLCN3"", ""CDH17"", ""LMO7"", ""CSF1R"", ""ENTPD6"", ""EPHA5"", ""RSPO2"", ""NOTCH2"", ""FGF10"", ""ANTXR2"", 
""CLIC4"", ""GLRA1"", ""ALCAM"", ""HLA-DMA"")"
