Aggregated,pathway,gs_number.x,gs_description.x,gs_number.y,gs_description.y,pval,padj,log2err,ES,NES,size,leadingEdge
Adhesion,GOBP_CELL_CELL_ADHESION,GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],GO:0098609,The attachment of one cell to another cell via adhesion molecules. [GOC:dos],0.841158841,0.99428543,0.019826106,0.312058132,0.914869223,172,"c(""P2RY12"", ""TYRO3"", ""BAIAP2"", ""BCL10"", ""NINJ2"", ""ZBTB1"", ""MINK1"", ""MYB"", ""CBFB"", ""DUSP3"", ""RAB10"", ""GPNMB"", ""TGFB2"", ""RIC8A"", ""SCRIB"", ""MYL9"", ""YES1"", ""BCL6"", ""PTPN23"", ""CCDC88B"", ""MAP3K8"", ""NPHP1"", ""SOCS1"", ""DSG2"", ""ITGA11"", ""PAG1"", ""DSCAML1"", ""COL19A1"", ""STXBP1"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""GTPBP4"", ""TNFSF9"", ""ROPN1B"", ""MPZL2"", ""COL8A2"", ""RC3H2"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""CD84"", ""ICAM1"", ""PIK3R6"", ""HHLA2"", ""EZR"", ""CTNNA1"", ""ITGA3"", ""CD28"", ""PPM1F"", ""CYP1B1"", ""KIT"", ""LGALS9"", ""ADD2"", ""BAD"", ""CD46"", 
""ITGA7"", ""ITGAX"", ""DSC2"")"
Adhesion,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],GO:0007159,The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators],0.450549451,0.99428543,0.050396432,0.361615723,1.018830393,71,"c(""BCL10"", ""ZBTB1"", ""MYB"", ""CBFB"", ""DUSP3"", ""GPNMB"", ""SCRIB"", ""YES1"", ""BCL6"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""PAG1"", ""ITPKB"", ""FOXP3"", ""TNFSF9"", ""RC3H2"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""ICAM1"", ""PIK3R6"", ""HHLA2"", ""EZR"", ""CD28"", ""LGALS9"", ""ADD2"", ""BAD"", ""CD46"", ""SOX13"", ""ZDHHC21"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",GO:0045785,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",0.743256743,0.99428543,0.026815876,0.318902215,0.913544048,93,"c(""P2RY12"", ""BCL10"", ""ZBTB1"", ""MYB"", ""CBFB"", ""TGFB2"", ""ITGB1BP1"", ""YES1"", ""BCL6"", ""EPHA1"", ""PTPN23"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""DNM2"", ""EMILIN1"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""TNFSF9"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""FBLN2"", ""ITGA3"", ""CD28"", ""PPM1F"", ""CRK"", ""LGALS9"", ""BAD"", ""CD46"", ""SOX13"", ""RRAS"", ""ZP3"", ""NRP1"", ""RET"", ""STX4"", ""CDC42"", ""F11R"", ""MMRN1"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],GO:0022409,Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete],0.44955045,0.99428543,0.050498304,0.367161739,1.019645209,59,"c(""BCL10"", ""ZBTB1"", ""MYB"", ""CBFB"", ""YES1"", ""BCL6"", ""PTPN23"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""TNFSF9"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""CD28"", ""LGALS9"", ""BAD"", ""CD46"", ""SOX13"")"
Adhesion,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION,GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",GO:1903039,"Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",0.236763237,0.99428543,0.08197788,0.407912876,1.115114188,48,"c(""BCL10"", ""ZBTB1"", ""MYB"", ""CBFB"", ""YES1"", ""BCL6"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""ITPKB"", ""FOXP3"", ""TNFSF9"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""CD28"", ""LGALS9"", ""BAD"", ""CD46"", ""SOX13"")"
Adhesion,GOBP_REGULATION_OF_CELL_ADHESION,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]",0.674325674,0.99428543,0.031709087,0.32727543,0.953390769,141,"c(""P2RY12"", ""GPR4"", ""BCL10"", ""ZBTB1"", ""MINK1"", ""MYB"", ""CBFB"", ""DUSP3"", ""GPNMB"", ""TGFB2"", ""SCRIB"", ""PLXNA2"", ""ITGB1BP1"", ""YES1"", ""BCL6"", ""EPHA1"", ""PTPN23"", ""CCDC88B"", ""PEAK1"", ""MAP3K8"", ""SOCS1"", ""DNM2"", ""EMILIN1"", ""PAG1"", ""VTN"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""GTPBP4"", ""TNFSF9"", ""CLASP1"", ""RC3H2"", ""HLA-E"", ""LCK"", ""SLC9A1"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""TESC"", ""FBLN2"", ""ITGA3"", ""CD28"", ""PPM1F"", ""CYP1B1"", ""CRK"", ""LGALS9"", ""SLK"", ""BAD"", ""CD46"", ""SOX13"", ""ABL2"", ""BLK"", ""RRAS"", ""ZDHHC21"", ""ZP3"", ""NRP1"", ""MAPK14"", 
""PPP2R1A"", ""RET"", ""STX4"", ""CDC42"", ""F11R"", ""ADTRP"", ""MMRN1"", ""RASA1"", ""CD4"", ""FZD7"")"
Adhesion,GOBP_REGULATION_OF_CELL_CELL_ADHESION,GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",GO:0022407,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",0.605394605,0.99428543,0.036838961,0.338954728,0.966039044,85,"c(""BCL10"", ""ZBTB1"", ""MINK1"", ""MYB"", ""CBFB"", ""DUSP3"", ""GPNMB"", ""SCRIB"", ""YES1"", ""BCL6"", ""PTPN23"", ""CCDC88B"", ""MAP3K8"", ""SOCS1"", ""PAG1"", ""CX3CL1"", ""ITPKB"", ""FOXP3"", ""GTPBP4"", ""TNFSF9"", ""RC3H2"", ""HLA-E"", ""LCK"", ""NFKBIZ"", ""PIK3R6"", ""HHLA2"", ""CD28"", ""PPM1F"", ""LGALS9"", ""BAD"", ""CD46"", ""SOX13"", ""BLK"", ""ZDHHC21"")"
Adhesion,GOCC_ANCHORING_JUNCTION,GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],GO:0070161,A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181],0.435564436,0.99428543,0.051951248,0.344630191,1.015068477,192,"c(""PARVG"", ""EPPK1"", ""ANXA6"", ""ALKBH6"", ""BAIAP2"", ""UBOX5"", ""NCSTN"", ""AKAP12"", ""FZD2"", ""MAPRE2"", ""FAP"", ""FLRT1"", ""RPL4"", ""SYMPK"", ""DES"", ""RAB10"", ""DOCK7"", ""SCRIB"", ""FHL1"", ""ITGB1BP1"", ""HSPA5"", ""YES1"", ""HYOU1"", ""TIAM1"", ""PEAK1"", ""KIAA1210"", ""PTK7"", ""NPHP1"", ""CDC42BPA"", ""ADD1"", ""DSG2"", ""DNM2"", ""RHO"", ""ITGA11"", ""ARHGEF2"", ""ADD3"", ""MTDH"", ""NHS"", ""RPS5"", ""PARK7"", ""FZD1"", ""RPS10"", ""TNS3"", ""GJA5"", ""AMOTL2"", ""KIF23"", ""ARMC5"", ""CDC42EP4"", ""ARPC5L"", ""WASF2"", ""RPL5"", ""CLASP1"", ""SLC9A1"", ""ICAM1"", ""THSD1"", ""CLTC"", 
""ANXA5"", ""EZR"", ""CTNNA1"", ""GJB6"", ""ITGA3"", ""PLXDC1"", ""KIT"", ""PACSIN2"", ""PPFIA1"", ""LASP1"", ""CDC42BPB"", ""SPECC1L"", ""CD46"", ""HSP90B1"", ""DSC2"")"
Adhesion,GOCC_CELL_SUBSTRATE_JUNCTION,GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",GO:0030055,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",0.196803197,0.99428543,0.092259726,0.378300447,1.093924247,119,"c(""PARVG"", ""EPPK1"", ""ANXA6"", ""ALKBH6"", ""UBOX5"", ""NCSTN"", ""AKAP12"", ""FZD2"", ""MAPRE2"", ""FAP"", ""FLRT1"", ""RPL4"", ""RAB10"", ""DOCK7"", ""FHL1"", ""ITGB1BP1"", ""HSPA5"", ""YES1"", ""HYOU1"", ""PEAK1"", ""PTK7"", ""ADD1"", ""DNM2"", ""ITGA11"", ""ARHGEF2"", ""NHS"", ""RPS5"", ""FZD1"", ""RPS10"", ""TNS3"", ""KIF23"", ""ARMC5"", ""ARPC5L"", ""RPL5"", ""CLASP1"", ""SLC9A1"", ""ICAM1"", ""THSD1"", ""CLTC"", ""ANXA5"", ""EZR"", ""CTNNA1"")"
Adhesion,GOCC_CELL_SURFACE,GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",GO:0009986,"The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]",0.944055944,0.99428543,0.011106033,0.289475212,0.846770091,158,"c(""P2RY12"", ""TYRO3"", ""PDGFA"", ""LRFN2"", ""VASN"", ""CXCR5"", ""LAMP1"", ""FAP"", ""RAMP3"", ""PSEN2"", ""CNTFR"", ""HSPA5"", ""GHR"", ""CASR"", ""DSG2"", ""SLC9A3"", ""ITGA11"", ""DUOX2"", ""DSCAML1"", ""TGFBR3"", ""CX3CL1"", ""FZD1"", ""SLC1A4"", ""RC3H2"", ""HLA-E"", ""SLC9A1"", ""CD84"", ""ICAM1"", ""NRROS"", ""RTN2"", ""HHLA2"", ""ANXA5"", ""KCNH2"", ""CD226"", ""ITGA3"", ""CD28"", ""KIT"", ""HYAL2"", ""USP14"", ""CD46"", ""ITGA7"", ""ITGAX"", ""FCRL5"", ""NTSR1"", ""LAMP3"", ""CUBN"", ""TGFB3"", ""ASIC1"", ""NRDC"", ""RALA"", ""CD151"", ""MUC17"", ""SLC11A2"", ""ACE"", ""APMAP"", ""MXRA8"", ""STX4"", 
""ADTRP"", ""ELSPBP1"", ""NLGN2"", ""IL5RA"", ""CD4"", ""BCAM"", ""SCNN1B"", ""ITGAE"", ""MST1R"", ""MME"", ""ANO6"", ""MET"", ""BGN"", ""CHRNA1"", ""ITGB6"", ""ACVR1B"", ""PPFIA4"", ""OSMR"", ""GPC3"", ""CCR3"", ""ACVR2A"", ""CD9"", ""PSEN1"", ""NRCAM"", ""TPO"", ""ADAM17"", ""B4GALT1"", ""TGFB1"", ""SLC1A3"", ""NDP"", ""IGSF21"", ""CORIN"", ""NGFR"", ""CEACAM5"", ""FOLR3"", ""CTSB"")"
