"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","SLC24A4",-2.33038979017223,7.9662035237782,-5.33264413773528,9.28119437121101e-06,0.0350942012301031,3.525283541021,"Transport",0.439688715953307
"2","HNRNPDL",-2.76073791219902,6.35796535179413,-5.15097237783642,1.54784773219792e-05,0.0350942012301031,2.80842303361069,NA,0.184824902723735
"3","PLCG2",2.56655571029162,8.73870304513757,4.9013482448372,3.12550372324294e-05,0.0350942012301031,2.39458475649063,NA,0.494811932555123
"4","CCDC88A",1.34398951459261,8.35670755937304,4.87390703718837,3.37632156561998e-05,0.0350942012301031,2.32742428559049,NA,0.440985732814527
"5","CHL1",1.57187004050948,8.03039383730493,4.84953399381777,3.61586440411551e-05,0.0350942012301031,2.27721802378904,NA,0.353437094682231
"6","ADGRL3",1.31619766193901,10.1793252600872,4.87004067208518,3.41323750859791e-05,0.0350942012301031,2.2550065047856,"Matrisome/cell adhesion/binding/signaling",0.704928664072633
"7","NWD1",-2.184807771941,8.6960603432754,-4.83506731825322,3.76597732851542e-05,0.0350942012301031,2.23733652075183,NA,0.608949416342412
"8","ZCCHC2",-2.69541395375547,6.27666101539914,-4.89427869478014,3.18828669346444e-05,0.0350942012301031,1.99954668829699,NA,0.151102464332036
"9","KCNH1",3.34452433000093,5.13767651790099,4.56261465019627,8.08889517085307e-05,0.0670030149985663,1.23285256550588,"Transport",0.0609597924773022
"10","PTBP3",-2.59028883414218,5.50104791292994,-4.52411567644358,9.00877488708808e-05,0.0671604167832416,1.10267604350423,NA,0.0888456549935149
"11","UST",1.65296218622274,8.23964799860031,4.37528452345871,0.000136476687938224,0.0924939735072235,1.04374171459918,"Metabolism (other)",0.396887159533074
"12","LINC00598",-2.11671671577774,7.21528805263059,-4.26779676752113,0.00018400486337975,0.108277194591091,0.787131910639899,NA,0.269779507133593
"13","MYLK",1.39939435696608,7.6809235438793,4.22026130344952,0.000209923089490386,0.108277194591091,0.651049663813284,NA,0.298313878080415
"14","F5",-2.49083647650474,6.25760171779277,-4.20685602871334,0.000217861558533382,0.108277194591091,0.575409219751322,NA,0.17704280155642
"15","LRP1B",0.959656976982461,11.0292414178909,4.24859996171438,0.000194068022570634,0.108277194591091,0.541089962421357,"Metabolism or Transport (lipid)",0.908560311284047
"16","PLCXD3",1.44587995905059,8.06657632313365,4.15521708762016,0.000251302183533371,0.11709111114008,0.471654468512628,NA,0.33852140077821
"17","LDLR",1.93371898379866,7.28778022516081,4.10198804193386,0.000291056763513059,0.127636951293521,0.356581051717077,NA,0.2094682230869
"18","JAKMIP2",1.25541194403377,7.71080944442721,4.04062382692027,0.00034459826892631,0.139846474929781,0.202879695847482,NA,0.314526588845655
"19","BAALC",1.42847186704368,7.60024984578038,4.00966009864764,0.00037517498304435,0.139846474929781,0.126308213164449,"Development (differentiation)",0.2905317769131
"21","TTR",-1.3512722533451,11.6176454179961,-4.02819095009168,0.000356570018929719,0.139846474929781,-0.0509558496241826,NA,0.981193255512322
"20","OGFRL1",-1.90907228756318,7.63006148234475,-3.98259526558568,0.000404070996366198,0.14344520371,0.0856450723293563,"Development (differentiation)",0.314526588845655
"22","CFAP54",-1.20948397635904,9.26457122260078,-3.95148728462361,0.000439985325154477,0.149095027228483,-0.0872908167892144,"Cilia",0.641374837872892
"24","UGP2",-2.26531315469291,5.9095212634065,-3.89494656725682,0.000513439842673893,0.166421479440603,-0.321392219361096,"Inflammation/Immune/Stress/Toxic/Detox",0.123865110246433
"25","ATP5F1A",-2.48676108829481,5.40152177197646,-3.85434722852434,0.000573456443101839,0.178129907638509,-0.335536620220397,NA,0.105706874189364
"23","PLOD2",1.9297382449624,8.02299504900884,3.83836234541132,0.0005989231057911,0.178598870146906,-0.313800018068799,"Matrisome/cell adhesion/binding/signaling",0.335927367055772
"26","SDK1",-1.81804840857657,7.66943362862146,-3.80369550937097,0.000658008624345494,0.181438093520052,-0.3583197824725,NA,0.308041504539559
"27","CDH4",-1.25833698926422,8.62279062269293,-3.7771935653297,0.000706980079903458,0.181438093520052,-0.49565117502603,"Matrisome/cell adhesion/binding/signaling",0.468871595330739
"28","IST1",-2.22853758581918,6.07911396065861,-3.75325771834866,0.000754253346128323,0.181438093520052,-0.537407160770349,NA,0.16083009079118
"29","MAN1C1",1.29246866774547,9.04383431225699,3.76070524565655,0.000739223498000277,0.181438093520052,-0.574789807925749,"Metabolism (other)",0.514267185473411
"34","ERMP1",-2.54328582759259,5.26783061957267,-3.75315096042622,0.000754470945556221,0.181438093520052,-0.742748078938527,NA,0.0856031128404669
"36","EFCAB1",-2.83767769914953,4.70719041951294,-3.78861852590784,0.000685447232796014,0.181438093520052,-0.832018928342263,NA,0.0674448767833982
"30","LPIN1",-1.41786285280482,7.52605204383635,-3.71172659033954,0.000843688952460107,0.183431519016884,-0.583990781469033,"Metabolism or Transport (lipid)",0.330090791180285
"31","ADAM22",1.57818043770525,6.60243691001709,3.68772090804806,0.000900009186062816,0.183431519016884,-0.621994700099592,NA,0.180933852140078
"32","SLC16A12",-2.86647295281612,6.28586998843988,-3.72054148464893,0.000823882026854186,0.183431519016884,-0.631740198217629,"Transport",0.201037613488975
"33","MIR646HG",-2.74347501332141,6.35526243233456,-3.67057871950838,0.000942448904563747,0.183431519016884,-0.712979561566091,NA,0.173800259403372
"35","SMOX",-2.56881252511346,5.62025829117069,-3.65103399022796,0.000993213255429551,0.183431519016884,-0.779287285740051,"Metabolism (other)",0.107003891050584
"37","ARFGAP1",-2.77365053201534,5.03385663865238,-3.66300555564411,0.000961812272740298,0.183431519016884,-0.833733242410547,NA,0.0881971465629053
"38","BMPR1B",1.27655988426264,8.78067842232871,3.64632218184853,0.00100584354678579,0.183431519016884,-0.847208138040565,NA,0.504539559014267
"39","SNTG2",-3.08863050399728,5.47235005918401,-3.70160547204428,0.000867003067551015,0.183431519016884,-0.850984873246472,NA,0.102464332036316
"40","AHCTF1",-1.61303420995598,7.14675349667347,-3.59097972401144,0.00116638239287016,0.183431519016884,-0.85111976384912,NA,0.24124513618677
"41","SLC16A10",-2.26872936286622,6.97979893610613,-3.57398459148098,0.00122048988104044,0.183431519016884,-0.888014182782684,"Transport",0.263294422827497
"42","EGLN3",1.68991332953348,6.9110355788604,3.57909548307578,0.00120396737194917,0.183431519016884,-0.893599135212702,NA,0.199092088197147
"43","SF3A3",-2.76220776842241,4.49425441769722,-3.68793993139232,0.000899479157874653,0.183431519016884,-0.908209234499867,NA,0.0544747081712062
"44","FGF1",1.73262789174364,7.28136642731809,3.57500599636445,0.00121717039418635,0.183431519016884,-0.914233109902208,"Development (differentiation)",0.259403372243839
"45","AC073529.1",3.07408341370803,4.75413499641223,3.63262671463451,0.00104344776007117,0.183431519016884,-0.916141274397168,NA,0.0590142671854734
"46","TRAPPC3",2.50839789654621,4.84151254015978,3.62417248317912,0.00106733898902759,0.183431519016884,-0.932047022310882,NA,0.066147859922179
"47","MAN2A1",1.23907464967262,7.44493422369517,3.56356341534982,0.00125486351037707,0.183431519016884,-0.944437821873971,"Metabolism (other)",0.284046692607004
