"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","USP9Y",-2.03342750340775,3.38222853569074,-8.12098312127367,2.15519024286332e-12,1.60238394556888e-08,17.0423928605671,"Metabolism (other)",0.0610779765849348
"2","UTY",-1.85423542133159,3.17626672740367,-7.58566296621239,2.74219678509743e-11,1.01941165485997e-07,14.6861776173125,NA,0.0530152418820411
"3","TTN-AS1",-0.862158070199132,6.02258633600355,-5.51489181753092,3.24546187946689e-07,0.000678524686907161,6.41199237716514,NA,0.125690302628672
"4","TMC1",-1.7081409516998,4.59066229121804,-5.48724984837722,3.65043543729474e-07,0.000678524686907161,6.04541901241526,NA,0.0593108018555335
"5","ARHGAP26",0.464770250889716,10.1823523266298,5.14716247074119,1.51673640834283e-06,0.00225538703920578,4.84565557621409,NA,0.723437154848686
"6","DENND5B",-0.753668454168448,6.9857670830489,-5.00676301573556,2.69587635620976e-06,0.00257837205430801,4.46541412919662,NA,0.215595316986967
"7","HSPA12A",-1.51375871073825,4.78019640270319,-4.95838934507542,3.28067416061698e-06,0.00257837205430801,4.15966926573864,NA,0.0638391870996245
"8","ROR1",-1.21560940324498,5.93920465747535,-4.90832746281159,4.01567677907796e-06,0.00257837205430801,4.11041436855248,NA,0.122487298431632
"9","COL11A1",-1.53323031891329,4.8122145699827,-4.89157512254712,4.29572189243721e-06,0.00257837205430801,3.93435537258321,"Matrisome/cell adhesion/binding/signaling",0.0662690523525514
"10","PTPRG",-1.36274147840757,9.04091415935731,-4.88937665096457,4.33385642538889e-06,0.00257837205430801,3.87261686387501,NA,0.529821073558648
"11","LYN",0.593210911943157,8.79700218353085,4.87605572448236,4.57206940987756e-06,0.00257837205430801,3.86805258476118,NA,0.469295339076651
"12","NPAS3",-0.832216107278663,7.57655096519667,-4.86108352719286,4.85503816547575e-06,0.00257837205430801,3.86313199925352,NA,0.255135851557323
"14","IQCH",-1.24468968130077,4.73561679406179,-4.86193083072984,4.83857916887067e-06,0.00257837205430801,3.7763601304696,NA,0.0597525955378838
"15","CHST11",0.414056336430146,10.4227445443275,4.87313894801965,4.62590545609633e-06,0.00257837205430801,3.76366664356007,"Metabolism (other)",0.768721007289596
"13","LINC01088",-1.0350212940484,6.89464185999725,-4.84333696492289,5.21256227584124e-06,0.00258369336805864,3.83666092452162,NA,0.219792356969295
"16","STXBP6",-1.51082630710437,4.68904178648703,-4.81627814600061,5.80750175413262e-06,0.0026986734713735,3.62285573925892,NA,0.0529047934614535
"17","PDZRN3",-1.20185582321287,7.49081168657175,-4.79752556063566,6.2580378458125e-06,0.00273697125785976,3.61873301779257,NA,0.330682571239231
"18","SLIT2",-1.20852895450558,6.32537142677227,-4.7566699488698,7.36041934077213e-06,0.00300006683723068,3.55211119803054,"Development (differentiation)",0.16512038877844
"19","OPCML",-1.14298724663783,5.87552373070884,-4.74637768439307,7.66661330294324e-06,0.00300006683723068,3.51892173139839,NA,0.123149988955158
"20","GABRB3",-1.41096800553265,4.80598989630959,-4.72256396191967,8.42327795887652e-06,0.00313135358121235,3.340131739347,NA,0.0650541197260879
"21","SULF1",-1.23109867075222,6.50904545275531,-4.66221152030132,1.06803694015496e-05,0.00354108167225683,3.19130392587973,NA,0.183786171857742
"22","SORBS1",-1.21974383686241,6.48807568992644,-4.65527292485001,1.09747418889884e-05,0.00354108167225683,3.16858404779336,"Matrisome/cell adhesion/binding/signaling",0.17472940136956
"26","DOCK8",0.435895669221054,9.80324734786575,4.66190617302494,1.06931611250014e-05,0.00354108167225683,2.99349562406486,NA,0.682018997128341
"27","PDE11A",-1.33805028300824,4.5058618889826,-4.64487818015,1.14305259091007e-05,0.00354108167225683,2.99275312197205,"Metabolism (other)",0.0516898608349901
"23","DDR2",-1.19654465979566,5.81348387165078,-4.62996158289404,1.21168080111327e-05,0.00357355886280168,3.09959358306574,NA,0.116412635299315
"24","TGFB2",-1.18868677468275,5.28833171412967,-4.61237627157305,1.29772816806517e-05,0.00357355886280168,3.01591955411917,"Development (differentiation)",0.0795228628230616
"25","TGFB2",-1.18868677468275,5.28833171412967,-4.61237627157305,1.29772816806517e-05,0.00357355886280168,3.01591955411917,"Inflammation/Immune/Stress/Toxic/Detox",0.0795228628230616
"29","AC117386.2",-1.35177510545056,4.60291066748795,-4.61582306202455,1.28040852052881e-05,0.00357355886280168,2.94904091938494,NA,0.0564391429202562
"28","TMTC1",-1.31663554608758,6.04863268264352,-4.59491693360696,1.38900766327716e-05,0.00368831142016631,2.97199232874953,NA,0.14181577203446
"30","AKAP6",-0.943241954617242,6.32624408245915,-4.57496538497253,1.50094395557095e-05,0.00373059334710591,2.89690546695409,NA,0.1450187762315
"31","LIMS1",0.633407628140517,8.12741137683627,4.5742213355251,1.50528312593379e-05,0.00373059334710591,2.80475198651967,"Matrisome/cell adhesion/binding/signaling",0.351225977468522
"32","NR2F2-AS1",-1.22837532850426,5.68611499211125,-4.54163235242148,1.70773403437513e-05,0.00380261455992437,2.78591008484145,NA,0.11343052794345
"33","SKP1",-0.803515182284444,5.37089400055148,-4.53695540797974,1.73887077691381e-05,0.00380261455992437,2.74368493421433,NA,0.0907886017229954
"34","ZNF263",-1.02460018305012,4.9999031999947,-4.53694769217344,1.73892259633394e-05,0.00380261455992437,2.69996868376425,NA,0.073558648111332
"38","ETV6",0.447353599528549,10.0282116271056,4.54852397251106,1.66283515653442e-05,0.00380261455992437,2.5653563581455,"Development (differentiation)",0.694941462337089
"36","SMOC1",-1.79220674980654,4.6524067922916,-4.52240724034332,1.83928034651253e-05,0.00390715696466305,2.64587075909344,"Matrisome/cell adhesion/binding/signaling",0.0609675281643473
"35","MIR100HG",-1.00499434428836,6.22786407233007,-4.51024426456229,1.92751602143073e-05,0.00392169384381777,2.65858326854691,NA,0.144466534128562
"37","AF279873.3",-1.33830907386547,4.83823879941206,-4.50701582587114,1.95161630425363e-05,0.00392169384381777,2.62692678434957,NA,0.0648332228849128
"39","TRPC1",-1.37490935951589,4.82834450991774,-4.44405832596731,2.48426670006327e-05,0.00468174451882865,2.39264660664066,"Transport",0.0646123260437376
"41","LSAMP",-1.03197229036877,7.24203466923182,-4.45186335543645,2.41129434260651e-05,0.00468174451882865,2.36732193069534,"Development (differentiation)",0.279655400927767
"42","CDC42BPA",-0.732750414833109,7.08514112493078,-4.44044585394999,2.51875966043236e-05,0.00468174451882865,2.36410363245181,NA,0.22918047271924
"40","ADAM12",-1.37105786459388,5.10219731318164,-4.43253232344686,2.59594606114443e-05,0.00469764277586719,2.38797503162505,"Metabolism (other)",0.0731168544289817
"43","LINC01094",1.5096334817571,4.85299403408758,4.4267606211034,2.65367850149861e-05,0.00469764277586719,2.3032092353713,NA,0.0682571239231279
"47","CNN3",-1.53274982658932,4.49883246278421,-4.41671770673938,2.75710566731324e-05,0.00476722805499395,2.24294040642581,NA,0.0540092776673294
"44","TMEM232",-1.2904628636021,6.32755388734272,-4.4005986454717,2.93130034685153e-05,0.00484315957307581,2.26905652882266,NA,0.165893527722554
"45","SAMD12",-0.950818612544435,6.58676081363459,-4.40324609523202,2.90197782131439e-05,0.00484315957307581,2.2655339901166,NA,0.165009940357853
