"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","PRKY",-2.42870046484657,3.83287390138986,-6.09100524823437,4.35312309330649e-08,0.000285434281228106,7.26263188927442,NA,0.0642008720493159
"2","FGFR1",-1.90457242360637,8.6278887709162,-5.61327768840572,3.13642188391556e-07,0.00102827591464172,6.48792724324098,NA,0.331378740039092
"3","ST8SIA6",-1.76125034031254,8.05501057032452,-5.40235562602351,7.36637641448408e-07,0.00161004433832574,5.67525513861956,"Matrisome/cell adhesion/binding/signaling",0.307171853856563
"4","XAF1",-1.56489774468545,7.16304599752792,-5.13159365805298,2.16322102335879e-06,0.00354606006254089,4.51823437295298,NA,0.219816568937002
"5","ADAMTS9",1.42735024009256,9.94515397976918,4.44858415297855,2.93129152736259e-05,0.038440957089833,2.27495934316999,"Matrisome/cell adhesion/binding/signaling",0.488798676890693
"6","THSD7A",1.25761112560914,9.03484576027491,4.35575831832719,4.11917753982756e-05,0.038584924469499,1.99729844016323,"Development (differentiation)",0.415125545030822
"7","AC007681.1",2.4345988700315,6.30281262902155,4.38172662121481,3.74659582507961e-05,0.038584924469499,1.74616499026994,NA,0.109457224477522
"8","PKP4",0.812769650196662,9.33431642136638,4.2231538540413,6.65378868187952e-05,0.054536115483855,1.531271024883,"Matrisome/cell adhesion/binding/signaling",0.491956096827545
"9","SULF2",0.958878491826358,8.02869658267857,4.14906060517712,8.66855997382231e-05,0.0631552752759476,1.33491007075092,NA,0.306119380544279
"10","LDLR",-1.54227582733562,7.10270866426741,-4.07212773071616,0.000113779637779785,0.0658880864294718,1.07351366827746,NA,0.189144489550444
"11","MRTFB",0.993984283308079,9.83324344252842,4.08678960402446,0.000108055379935712,0.0658880864294718,1.06129344691311,NA,0.561870395429259
"12","TSPAN12",-2.05981863877525,5.73624032550407,-4.05559987195114,0.000120582131638503,0.0658880864294718,0.816357220435178,"Matrisome/cell adhesion/binding/signaling",0.0796872650729214
"13","TSPAN12",-2.05981863877525,5.73624032550407,-4.05559987195114,0.000120582131638503,0.0658880864294718,0.816357220435178,"Motility",0.0796872650729214
"14","RERE",0.535780712511196,9.64740537330659,3.94297192371971,0.000178491922606844,0.0900285797333135,0.601836234063886,NA,0.612088407758232
"15","SH3RF3",-0.857903462915766,8.79006240349729,-3.81758096909816,0.000274202369625969,0.116124083087921,0.260976042927827,NA,0.346113366411066
"16","HNRNPDL",0.988018857420165,7.13154254173671,3.7957665176392,0.000295227713550241,0.116124083087921,0.218914791007617,NA,0.221620808900917
"17","REV3L",0.797145356623052,8.4691329619132,3.78996942299066,0.000301068996872756,0.116124083087921,0.207002229490547,NA,0.38460381897459
"20","NTPCR",1.73276843790528,5.0521757443786,3.79967302379316,0.000291352653693728,0.116124083087921,-0.158294348906071,NA,0.0587881521575703
"18","MT-ND3",-1.36935095419768,9.18175268019588,-3.73469280967035,0.000362595594695711,0.118861359330536,-0.0538693721765826,NA,0.519170049616599
"19","GABPB1",1.46510823104807,5.9243879539226,3.71081719263048,0.000392726691804853,0.118861359330536,-0.15106980886963,NA,0.096376484739137
"21","SPRY1",1.26687394506484,7.66570230120338,3.65296426005316,0.000475941747230127,0.118861359330536,-0.168757406222086,NA,0.217711622312434
"22","KATNBL1",1.0097250119396,6.83248573515129,3.64386392349557,0.000490470048161174,0.118861359330536,-0.221754878056445,NA,0.174860923169448
"24","PITPNC1",-0.563901152688915,10.4398605791089,-3.69172755313778,0.000418519391703296,0.118861359330536,-0.26429266941882,NA,0.697038039392573
"25","MT-CYB",-1.02392103935428,9.62210759038461,-3.67431527807846,0.000443445874481603,0.118861359330536,-0.270654840116492,NA,0.612840174409863
"26","EVL",1.24650587912881,6.40245790616959,3.6433348540622,0.000491327529009413,0.118861359330536,-0.271057539561537,"Motility",0.127800330777327
"27","GSE1",-0.895612728850223,8.49844937367425,-3.63347725723846,0.000507567189454781,0.118861359330536,-0.283983229856239,NA,0.360096226131409
"28","AP3S2",1.20530571119465,6.46817549971706,3.64022456391168,0.000496397378484288,0.118861359330536,-0.289077599235365,"Transport",0.142384603818975
"29","ARL17B",1.89334504352885,5.79304503313665,3.63999791468665,0.000496768760360216,0.118861359330536,-0.303091009116423,NA,0.164486543376936
"30","EPSTI1",-1.73308219027663,5.08081628908853,-3.685405734925,0.000427411000657926,0.118861359330536,-0.304350178571709,NA,0.0550293188994136
