"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","AC105402.3",-4.23095957445924,4.25985525462577,-7.94205168264207,1.7650567602661e-13,1.95568289037484e-09,18.0106983240128,NA,0.110925838985932
"2","SLC19A1",-0.563096512241875,8.26867888636301,-6.67647824916155,2.67719466326773e-10,1.39201887915694e-06,13.1063963635217,"Transport",0.718233475255379
"3","PPARGC1A",-0.5948269081189,8.69675872673446,-6.61425587984154,3.76900418544298e-10,1.39201887915694e-06,12.7706944224372,NA,0.735846918456881
"4","CROCC",-0.435810701645537,7.04083587193591,-6.44871890158231,9.27785204098727e-10,2.05597201228278e-06,11.9128564100516,"Cilia",0.493338297906785
"5","GFRA2",-1.55270562107027,2.9984668408633,-6.45809137820541,8.81969578591421e-10,2.05597201228278e-06,11.0340457479261,NA,0.0651924042026193
"6","PLD5",-0.409532657702094,10.3025735205619,-6.25860121536079,2.56704111864106e-09,4.71245868502391e-06,10.8175887106108,NA,0.938725291803597
"7","SCARB1",-0.52091746592782,7.15881349628879,-6.23061983449658,2.97718508981655e-09,4.71245868502391e-06,10.8113129247632,"Metabolism or Transport (lipid)",0.507066422755014
"8","ACOT11",-0.437362783592538,8.72171116401658,-6.15255019588705,4.49234165020923e-09,6.22189318553978e-06,10.3852006974919,"Metabolism or Transport (lipid)",0.787910184390734
"9","NACC2",-0.41723147041686,6.31157979838679,-6.10318733977268,5.81732569136412e-09,7.16177429559049e-06,10.1279758400882,NA,0.352592640559486
"10","NT5C2",0.384192644440904,9.34075845989435,6.04001218198591,8.08277512079923e-09,8.95571483384554e-06,9.79089635234836,NA,0.83877547716566
"11","C1RL",0.538604010342525,5.46454835778103,5.98644726632404,1.0664446310664e-08,1.07420059201961e-05,9.48044941645675,"Inflammation/Immune/Stress/Toxic/Detox",0.234899872108271
"12","IPCEF1",0.673620083226903,5.4871663871168,5.83569222278945,2.30714724935542e-08,2.13026596023817e-05,8.75668556146764,NA,0.210179534085574
"13","DLGAP1",0.725452137614081,6.39769081911384,5.68188245143258,5.00402612161784e-08,3.98270380450023e-05,8.13538048399174,NA,0.282915931424131
"14","GRB10",-0.429194332276361,7.80212955686262,-5.680753355991,5.03229722590281e-08,3.98270380450023e-05,8.11949327621049,NA,0.586424050120607
"15","PAX8-AS1",-1.18671965495349,5.02317321799194,-5.66112671856207,5.54939718771146e-08,4.0991547226562e-05,7.93967964933629,"Development (differentiation)",0.180278771591847
"16","VGLL4",-0.273509585406728,8.68628068048234,-5.63301621786719,6.38145637605404e-08,4.41915854041742e-05,7.84971444472992,"Development (differentiation)",0.748895112593288
"17","AC016152.1",-0.689687518174281,10.8088487371257,-5.5809641238485,8.25552570930269e-08,5.38066028582787e-05,7.41696665731019,NA,0.944957989995305
"18","EVC",0.634925334321261,5.04228053973839,5.50949323709298,1.17264807004086e-07,7.2183003422515e-05,7.2179293033107,"Development (differentiation)",0.19271179032232
"19","PTPRJ",-0.215617294644001,8.96533437479699,-5.47886091261417,1.36174510110968e-07,7.94112406331329e-05,7.10461672598527,NA,0.795470366353143
"21","CP",0.793882884632954,9.4334557419427,5.43523081610841,1.68327907574064e-07,9.32536607960314e-05,6.86319480723028,NA,0.803192436580272
"20","HEG1",-0.410687622856572,6.25388065272226,-5.40728237649703,1.92694104231408e-07,9.74599171333419e-05,6.87030701259441,NA,0.314289877126807
"22","NCOR2",-0.404593295719263,7.49512949436339,-5.4064046723486,1.93512470842376e-07,9.74599171333419e-05,6.85538874301767,NA,0.55011251234398
"23","ZMYND8",0.281354703871155,8.70909809639995,5.38946075910421,2.09990989381028e-07,0.000101160876623556,6.71395548606219,NA,0.739408460280714
"25","TNRC6A",0.272370937151041,9.38457030023408,5.34267797331569,2.62908228751243e-07,0.000116520926982551,6.44197445811907,NA,0.877790548963106
"26","ADAMTS9-AS2",0.514150439863084,10.0286480068548,5.34507780434595,2.59903049308699e-07,0.000116520926982551,6.39279377619445,NA,0.90051966132975
"24","LRRN2",-0.541565947173799,6.62257297821548,-5.3195440949394,2.93667506390793e-07,0.000125147537338846,6.48230902561651,"Development (differentiation)",0.388402324715481
"27","NIM1K",-0.62127504518701,5.84981468126747,-5.2808726243692,3.53073180391177e-07,0.000144890771804972,6.29237826647548,NA,0.245228343397387
"28","TPCN1",0.45242655741924,6.70575986199884,5.26942835157292,3.7279152481141e-07,0.000147518931961086,6.25938871681646,NA,0.407343251687685
"29","MAP3K3",0.313869651675738,6.60799030833456,5.24918472517065,4.10325542320866e-07,0.000156772655479834,6.17008113198969,NA,0.401693351248968
"30","RHOB",0.854575308862301,4.62539960715165,5.22779256400415,4.53978997050479e-07,0.000167669576243977,5.93074483368799,NA,0.137653591491153
"31","ZHX3",0.359031387772827,7.52135119873913,5.15557819256,6.373032832648e-07,0.000227784528341096,5.73159133004171,NA,0.534474105972058
"32","STARD3",-0.778955180794119,5.43639502266199,-5.14279730043107,6.76505120520499e-07,0.000234239897980223,5.67728978996597,"Metabolism or Transport (lipid)",0.24171536805297
"33","PTCHD4",0.75733338143547,6.27436396338366,5.10017351714956,8.24913488622945e-07,0.00026882474864536,5.52044102182032,"Development (differentiation)",0.315374528500429
"34","AFDN",0.320489885450512,7.74252580977502,5.1018932855023,8.18356557370415e-07,0.00026882474864536,5.48623540541627,"Matrisome/cell adhesion/binding/signaling",0.582619675899694
"35","PSD3",0.534434942248845,7.28056210150074,5.07597199186283,9.22774764686428e-07,0.000292124125506446,5.39403826310193,NA,0.468051350957569
"36","RBM20",0.625257772035888,4.91916297741128,5.06771512063634,9.58671199812408e-07,0.000295057691497819,5.31481011034777,NA,0.164284211037542
"38","TMEM108",0.307734224183001,8.31251986803415,5.05312599679427,1.02543594247559e-06,0.00030707649304404,5.2368538088221,NA,0.61596865843195
"37","CFAP161",-0.494264582787044,7.46463304085941,-5.045024071156,1.06443890086275e-06,0.000310367974251559,5.24936460885935,"Cilia",0.505107574751906
"39","AL078604.4",0.837080896223545,6.69709086607951,5.02714982191001,1.15564279733462e-06,0.000319991785563088,5.20544674134437,NA,0.316297291609331
"40","DPY19L2",-0.402658919986019,5.70961096401599,-5.02185493669157,1.18408512708363e-06,0.000319991785563088,5.17214329667957,"Cilia",0.260348707322206
"41","SAMHD1",0.631738689181834,7.70160811230861,5.03114387329067,1.1346276503354e-06,0.000319991785563088,5.16837379876296,NA,0.593385245503553
"42","FBXO32",1.04744941501684,8.28790352041404,5.01178835943092,1.240043073835e-06,0.000327135172811709,5.04786558925149,NA,0.584497579770442
"43","WDR27",0.417221389975414,7.96387435978101,4.99814852227704,1.31997035588588e-06,0.000335669512933581,5.01897921944926,NA,0.615434427158375
"44","CHST15",-0.463857442323169,7.83141194094718,-4.99600388486192,1.33298362536801e-06,0.000335669512933581,5.01133323210277,"Metabolism (other)",0.577423062602192
"45","P4HA1",-0.393230392425397,6.7744915378264,-4.96693077884206,1.52214703128662e-06,0.000367209958873559,4.94564123364127,"Matrisome/cell adhesion/binding/signaling",0.39941072671642
"48","KANK1",-0.287297570115426,10.1686903244623,-4.96658909756211,1.52451787979997e-06,0.000367209958873559,4.68610364150596,NA,0.930582312088197
"46","SCMH1",0.229347708107783,8.47808437185647,4.95830752920854,1.58308865941889e-06,0.000373204730773644,4.80554452673198,NA,0.713894869760891
"52","TMEM72-AS1",-0.356170974264304,10.0181131872442,-4.93788705840485,1.73697976850038e-06,0.000400952829895505,4.56819929862047,NA,0.92370206083761
"47","C1orf21",0.71857269723626,6.68326345028158,4.93066808344864,1.79477433315728e-06,0.000405838767579238,4.79232244506963,NA,0.363746741998673
"57","NPR3",-0.893541667786988,3.44764938222186,-4.91584585765722,1.91933553598782e-06,0.000425324754774901,4.3811769159484,NA,0.0647714947143482
"49","EVC2",0.827944277926785,4.48480313793028,4.90790620148914,1.98945988901779e-06,0.000432219913143474,4.60409679122537,"Development (differentiation)",0.14618510304188
"53","XYLT1",-0.290770842251877,9.29670193401732,-4.89355654926463,2.12254192355276e-06,0.000452264702172396,4.44482607071171,NA,0.851694160690292
"50","PDGFRA",0.861447198433957,5.88794770727802,4.88300508450189,2.22585575475774e-06,0.000456159614962195,4.5996622834521,"Development (differentiation)",0.257191886160172
"51","PRPF38B",0.456899142171291,5.55491756185241,4.87919643734139,2.26433021867516e-06,0.000456159614962195,4.58186707162449,NA,0.257386152077836
"59","CCDC122",-1.01993215065111,3.41563239673264,-4.88552831964032,2.20071564061525e-06,0.000456159614962195,4.26513914480259,NA,0.0752780430946561
"58","PDE9A",0.779086117593642,4.07299020670906,4.87293346234023,2.32900153296436e-06,0.000460809589022234,4.36194770852499,"Metabolism (other)",0.0980719107671885
"55","NHSL2",-0.338708034336189,8.36912603065833,-4.85956929853414,2.47303083670851e-06,0.000480722485451409,4.39516965504263,NA,0.673358048275081
"54","PARVA",-0.212354408382952,7.33284404928852,-4.84794892935306,2.60524053264493e-06,0.000483077742565332,4.41527287207114,NA,0.515533178999854
"56","LUC7L3",0.335882873223346,7.82682474707345,4.85242470702707,2.55352755036305e-06,0.000483077742565332,4.39228232518543,NA,0.665004613815545
"64","MAGI2",-0.17728607201648,10.1657276453076,-4.84703324550503,2.6159444543249e-06,0.000483077742565332,4.16964506894924,"Matrisome/cell adhesion/binding/signaling",0.934176231564974
"61","PRKCE",0.423313661928281,8.86363797396768,4.82028279639506,2.94811128711987e-06,0.000531691325514866,4.18656101143642,NA,0.74808567126969
"65","SMYD3",0.193756199026956,9.24733187013641,4.81823406954358,2.97516806696044e-06,0.000531691325514866,4.14065306643898,NA,0.826925256188179
"60","NID2",0.352244659536409,6.60398422059651,4.79267310573026,3.33359672251587e-06,0.000586108697305472,4.22411658414217,NA,0.365252302860566
"62","LUC7L",0.265859845787361,7.14061154496695,4.78919623295354,3.3854653995984e-06,0.000586108697305472,4.18034011851046,NA,0.513461009211442
