"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","GNAI3",-0.320788189627799,5.89722284707292,-7.87869542817726,1.54021559611263e-13,1.35692994017522e-09,20.1820984168006,NA,0.162538179626142
"2","NACC2",-0.422988058288069,6.22831772880144,-7.7088284144032,4.41218617173285e-13,1.94356800864832e-09,19.1999067057882,NA,0.194613865035622
"3","EVC",0.534450879676271,5.33472190801582,7.46930486907723,1.904999641834e-12,5.59434894818583e-09,17.7400613378746,"Development (differentiation)",0.126442474750093
"4","CROCC",-0.418082452198409,7.22022225323649,-7.12328273112716,1.50469374687999e-11,3.24744951019418e-08,15.8548837468397,"Cilia",0.328418696354146
"5","ASRGL1",0.559162225467511,4.31492892780021,7.08879989103667,1.84304739511588e-11,3.24744951019418e-08,15.4016850171735,NA,0.0650786245927667
"6","ACOT11",-0.43526046204585,8.91878704924467,-7.0152996340834,2.83434207774618e-11,4.16175895082397e-08,15.2466938637846,"Metabolism or Transport (lipid)",0.585239194997821
"7","IFNAR2",0.412440811112945,5.16508248934221,6.98305127280803,3.42054798112301e-11,4.30500395909911e-08,14.9830020577542,"Inflammation/Immune/Stress/Toxic/Detox",0.109988039770164
"8","C1RL",0.509839098467909,5.6662695443386,6.95589094146889,4.00574242982109e-11,4.41132385084047e-08,14.8778253550543,"Inflammation/Immune/Stress/Toxic/Detox",0.15533900436366
"9","TPST2",-0.45390429574439,5.10677637091486,-6.91735197828131,5.00874335506503e-11,4.90300321756921e-08,14.6054289641421,NA,0.106102404908494
"10","ADAMTS9-AS2",0.578632941615648,10.2733179541937,6.87331806328615,6.45970721185985e-11,5.17363823058957e-08,14.4479648063513,NA,0.752480835795451
"11","CWC25",0.496716214998452,4.6855987765078,6.87743799335881,6.30803025641351e-11,5.17363823058957e-08,14.3458715739736,NA,0.0914180071531005
"12","MIR4435-2HG",1.04237634505715,4.8180421480944,6.83839359687789,7.89834626724385e-11,5.79870255120152e-08,14.1566814754725,NA,0.0795364882999004
"13","IPCEF1",0.617414340455327,5.68282262128502,6.81919380657551,8.81915362428256e-11,5.97667257153303e-08,14.1222952519448,NA,0.138573565012392
"14","SLC19A1",-0.572787382361513,8.45138455455174,-6.73722382178744,1.40915567701607e-10,8.27644100967437e-08,13.704245166389,"Transport",0.484694553391963
"15","PDE9A",0.823962116767928,4.36712927027486,6.73826452470944,1.40082663091253e-10,8.27644100967437e-08,13.5366685475868,"Metabolism (other)",0.0685879825607178
"16","EVC2",0.832909052845229,4.80514917736046,6.59958920641861,3.07095827339371e-10,1.69094639928741e-07,12.8807070704127,"Development (differentiation)",0.0995309977289002
"17","TMX2",-0.259946629354586,6.16262596153592,-6.57888462204321,3.4497653651946e-10,1.7877901686685e-07,12.8478690090905,NA,0.194427646368832
"18","AC006504.5",-0.529642253055458,5.34980157417925,-6.51340813164175,4.97602603784506e-10,2.43548829963416e-07,12.4683102615311,NA,0.115845288763719
"19","AUXG01000058.1",0.843838384150823,5.20974579082987,6.49507961205651,5.5110776702681e-10,2.55539969868747e-07,12.3652611580386,NA,0.118446590758563
"20","RTN1",0.610869442480604,6.76995168354808,6.41185068827446,8.74266727414888e-10,3.7276744216409e-07,11.9670732122467,NA,0.229847588660243
"21","ALPK1",0.416997994813006,6.84746457728174,6.40891554475724,8.88548954080123e-10,3.7276744216409e-07,11.9519516239855,"Metabolism (other)",0.265543979281734
"22","PTCHD4",0.939234187719855,6.42778913232029,6.3991858855414,9.37550758998686e-10,3.75446463035383e-07,11.900155879692,"Development (differentiation)",0.197061584624865
"23","PARVB",-0.437873421154381,5.73288680238986,-6.37698321570534,1.0595218983078e-09,3.88932830170488e-07,11.7728210217768,NA,0.149278258682685
"24","RAB38",-0.592098454775561,4.48058411697985,-6.3810941319807,1.03582023239437e-09,3.88932830170488e-07,11.694486898972,"Transport",0.0677068035085901
"25","HEG1",-0.367932228087529,6.34893520554599,-6.35624710260145,1.18743394858511e-09,3.98581271936757e-07,11.6747120459642,NA,0.195562236390199
"26","TRPC4AP",0.194771336301785,7.00741872202545,6.35142654863454,1.21927540899099e-09,3.98581271936757e-07,11.6492806358948,"Transport",0.295505986834148
"27","RBM20",0.530916689913047,5.08546399337062,6.3510896656555,1.22153170741117e-09,3.98581271936757e-07,11.6098122660497,NA,0.109579126615255
"28","RRAGD",-0.379303174109907,4.75639883461586,-6.27478468620787,1.85378995813156e-09,5.83281768969252e-07,11.1911565677629,NA,0.0845394351623078
"29","SCAI",-0.234719022304196,8.31911223237816,-6.21540187765908,2.55891373144715e-09,7.77380343932737e-07,10.9221516558922,NA,0.47394186521992
"30","WDR27",0.42396179544247,8.13398500809551,6.14008016239948,3.84035469457288e-09,1.1277841619729e-06,10.5361136366082,NA,0.431627992697157
"31","DNAH11",0.302885603266031,10.8988369622077,6.12504248391061,4.16296326313162e-09,1.16896362472749e-06,10.4342598900795,"Cilia",0.858398941817225
"32","PRKCE",0.458956416062334,9.08453357527084,6.12135890554221,4.2459518718819e-09,1.16896362472749e-06,10.4250439568995,NA,0.574137106853039
"33","AL078604.4",0.89508641618781,7.07961541606757,6.09460222146047,4.89938258102647e-09,1.26951648643656e-06,10.3199138050691,NA,0.2511437089767
"34","LINC01277",0.603590703210307,4.37616662452061,6.09538822633908,4.87885290668564e-09,1.26951648643656e-06,10.2629815119037,NA,0.0734623041584356
"35","NCOR2",-0.384263804584668,7.64556845849573,-6.07250422210593,5.51248800215983e-09,1.36521812796765e-06,10.1967258492442,NA,0.370168153536331
"36","TAFA2",0.698397999558626,4.79924777022341,6.07026540710516,5.57864388272818e-09,1.36521812796765e-06,10.1585221560803,NA,0.0721510943706289
"37","SMYD3",0.190590106036693,9.49830834434589,6.01060772064441,7.65804030277904e-09,1.82344148831036e-06,9.85435815245387,NA,0.655912058714554
"38","CDKL2",-0.300845074689956,5.92784303709309,-6.00054739338402,8.07663632733672e-09,1.82449143702145e-06,9.85311223703497,NA,0.174005025984223
"39","HMGA1P4",-0.438219642281517,7.70170995367705,-6.00450670458911,7.90928785248061e-09,1.82449143702145e-06,9.85265297260863,NA,0.395338390034038
"40","KAT7",0.357528169448977,6.11291507075928,5.9730058726274,9.34055384010483e-09,2.03132301221226e-06,9.71625217987983,NA,0.198455344955682
"41","AC012291.3",-0.583022722416204,5.24266143424757,-5.9683942875491,9.57031416227302e-09,2.03132301221226e-06,9.67931164476946,NA,0.116060304131559
"42","BMP6",-0.637581312451807,4.8905355935019,-5.96615344341878,9.68394625572246e-09,2.03132301221226e-06,9.65974267781157,NA,0.0822184210576836
"43","PSD3",0.566661825769422,7.5603704261513,5.94829362486221,1.06380607070075e-08,2.17956546113339e-06,9.56798638140641,NA,0.335466208991098
"44","FAAH2",0.581137450606288,6.02625409403337,5.88127195070671,1.51103049491118e-08,2.97922707648827e-06,9.26114841839957,NA,0.157944145918644
"45","RB1CC1",0.174892377338757,7.4012825456222,5.8799179794559,1.52173914236064e-08,2.97922707648827e-06,9.22911989199649,"Development (cell cycle)",0.35460641628895
"46","EEF2K",-0.328735101925599,5.86238802269697,-5.85806731286055,1.70517786034392e-08,3.2657862933978e-06,9.14686788454011,NA,0.159005784297351
"47","MAP3K3",0.256113871608279,6.80283545594838,5.80813639783243,2.20928506604479e-08,4.14123434720311e-06,8.8926683350905,NA,0.268648263654916
"48","ATP6V1A",-0.298983036755907,6.82586923667407,-5.79572590122482,2.35563425050009e-08,4.32357036393871e-06,8.83108525460539,NA,0.259648334686778
"49","MELTF",-0.539405583503946,4.80952866292137,-5.78292169693838,2.51654713781792e-08,4.52464903758692e-06,8.75474332676428,NA,0.0885364172680378
"50","OSMR",0.757944092434826,5.70254692959531,5.7773571519476,2.58978080502144e-08,4.56319377844778e-06,8.75224404614695,NA,0.145734344673474
"51","STARD3",-0.897792612257868,5.51902283179013,-5.77093095784286,2.67694727329651e-08,4.62429519171416e-06,8.71937616615764,"Metabolism or Transport (lipid)",0.143783848122359
"52","ZC3H6",0.403912163989994,5.56785433281294,5.7661988423559,2.74296085020121e-08,4.64720867120628e-06,8.6972749848993,NA,0.13951233746662
"53","CCND1",-0.440554894689693,4.9578157383092,-5.76000550770443,2.83176587635589e-08,4.70714290013121e-06,8.65624386207368,"Development (cell cycle)",0.0914256862733805
"54","PDGFRA",0.828652062326431,6.10657697676666,5.74302762537522,3.08985951544998e-08,5.04104857983599e-06,8.58052332278596,"Development (differentiation)",0.178689289355011
"55","SOBP",-0.234918339610515,7.58683956873434,-5.72702558225526,3.35407405070046e-08,5.37261679757655e-06,8.47454220666485,NA,0.359789822477937
"56","PTPN3",0.440270085955478,6.1399132390493,5.71855854350527,3.502674213879e-08,5.5104571114775e-06,8.46520365327305,NA,0.193356409089775
"57","FRMPD2",0.42629117440219,6.91236864822641,5.71326162171042,3.59888627261303e-08,5.56248913363523e-06,8.42579215950662,NA,0.259289335813689
"58","CRYZ",-0.37792728723515,5.54264402051921,-5.70286671339521,3.79525628424764e-08,5.76486342486581e-06,8.39159162801613,NA,0.138352790304343
"59","GSTO2",0.453316863052577,4.44386071735258,5.69348655770644,3.98140994988598e-08,5.94512231499924e-06,8.30057787179214,"Metabolism (other)",0.0719283998825095
"60","PTPRB",-0.544055831670674,4.77072806745901,-5.68219402090425,4.21736476210435e-08,6.19249725902321e-06,8.27497945119476,NA,0.0835334704056303
"61","NIM1K",-0.545122251488201,6.08100697402547,-5.67570155617811,4.35914670808089e-08,6.2957512292119e-06,8.25704623940891,NA,0.161451584106525
"62","AC078881.1",-0.449028959566198,5.83848666621724,-5.64814287496243,5.01453728828723e-08,7.12549572738878e-06,8.12927772681131,NA,0.135162115828011
"63","DOK7",-0.488327097155045,5.66118251438974,-5.63737791579945,5.29585929990913e-08,7.40579689399991e-06,8.07814694475023,"Development (differentiation)",0.146135578708103
"64","LRRN2",-0.541090265750965,6.86761819922835,-5.62954632029999,5.51014179198158e-08,7.58505456052465e-06,8.02237827228894,"Development (differentiation)",0.264426667280996
"65","KL",-0.505108743156178,6.65774348297609,-5.62228365998215,5.71640337206808e-08,7.63053237998785e-06,7.99254357515754,NA,0.222049442015923
"67","CP",0.845981144739469,9.52521725815641,5.62299804222149,5.69578523628859e-08,7.63053237998785e-06,7.93721467408869,NA,0.639891494030444
"66","SCARB1",-0.437407961970757,7.40273186186421,-5.61840317194683,5.82967844946422e-08,7.66559211041489e-06,7.95152527318553,"Metabolism or Transport (lipid)",0.33482692222779
"68","BAIAP2",-0.38219201564697,6.68925910602181,-5.59671812070201,6.50415484928806e-08,8.41786004109598e-06,7.86720275576506,NA,0.251798353980568
"69","UFD1",0.312894680921399,4.528835913196,5.5912316347422,6.68652107087073e-08,8.41786004109598e-06,7.83002776918847,"Metabolism (other)",0.0805232552558779
"70","SLC38A11",-0.453015284335039,8.06279744762846,-5.59117514171305,6.68842455024652e-08,8.41786004109598e-06,7.80860553145136,"Transport",0.32669473385129
"71","NID2",0.337371455910873,6.76293924159895,5.56618756898333,7.58429205206678e-08,9.41093140545188e-06,7.72064396370469,NA,0.2550082262576
"72","AC016745.1",-0.669935863203642,6.61662743067514,-5.56140813212398,7.76850524126556e-08,9.50562932993744e-06,7.70494806268119,NA,0.219979919100468
"73","MOB1B",-0.231070160742422,7.86406214429974,-5.55352359031834,8.08197463303848e-08,9.75372555028343e-06,7.63120612292601,NA,0.406085318865871
"74","TPST1",0.337417246499791,6.85986534954224,5.54536214637343,8.41943530692029e-08,1.0023679061347e-05,7.61850906706587,NA,0.252159272633727
"75","HDAC7",0.502504281855233,5.66880672309676,5.53011193516293,9.0872005458564e-08,1.05800781206868e-05,7.57003920683995,NA,0.154845620885671
"76","ARHGAP20",-0.49644677651464,5.47815787980828,-5.5276331547416,9.20050897154194e-08,1.05800781206868e-05,7.559327917054,NA,0.116653516173187
