"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","GO.Focus.function","Percent_in_cells"
"1","MAFF",-2.44583179032508,5.9247970892623,-8.79106819865416,2.39815817063497e-15,2.18544154089965e-11,23.5906914221423,NA,0.135513751500943
"2","HSPA5",-2.12596323906045,7.55551612368262,-7.47058461985711,5.12804235505834e-12,1.77569062961244e-08,16.9054472799042,"Metabolism (other)",0.243753216307393
"3","NR4A1",-1.54962948207739,8.34303290092227,-7.44723728571068,5.84557433209405e-12,1.77569062961244e-08,16.8088606279929,"Development (apoptosis)",0.400365944307851
"4","ZNF10",-1.2375154044284,6.84255090443875,-7.01337051466853,6.43702907160301e-11,1.43050615146771e-07,14.459632774491,NA,0.235862542169364
"5","PPP1CB",-1.13667143678584,7.95794264929177,-6.95053675273717,9.05906669540988e-11,1.43050615146771e-07,14.1705060894509,"Metabolism (other)",0.415232431814283
"6","TIMP2",-0.75633354279592,7.30372071103104,-6.94336497496045,9.41845375705723e-11,1.43050615146771e-07,14.1291291151863,NA,0.34055692149351
"7","CHST11",0.85515621945148,9.18738857911445,6.75827584022094,2.55272270200039e-10,3.3232802833328e-07,13.1318822848697,"Metabolism (other)",0.604894505117502
"8","EML4",-0.859573510478875,7.70958096805408,-6.64728873334177,4.61094261844062e-10,5.25244001023117e-07,12.6104086371738,"Development (cell cycle)",0.401966950654697
"9","TSPYL2",-1.32615006687246,6.59212848145929,-6.59120892451615,6.20433858732362e-10,6.28223750514224e-07,12.2946956828474,NA,0.198696323403282
"10","PRMT9",-1.37812449774082,5.73092560867669,-6.34270255684549,2.27438396924661e-09,2.07264611117443e-06,10.9066558483957,"Metabolism (other)",0.144033392418091
"11","ASS1",-1.02698629148472,6.60063581214619,-6.23524384335854,3.95492151913169e-09,3.27647270944064e-06,10.550858359066,NA,0.205271885184973
"12","FBXO32",1.19740607031651,7.48086129196592,6.1824360480866,5.1805189098271e-09,3.93417240210453e-06,10.3003324099938,NA,0.325061467207959
"13","TSPAN18",-1.17217144518464,6.69342671625276,-6.14341223385244,6.31896707989022e-09,4.42959592300305e-06,10.0944585166806,"Matrisome/cell adhesion/binding/signaling",0.227800331637029
"14","TSPAN18",-1.17217144518464,6.69342671625276,-6.14341223385244,6.31896707989022e-09,4.42959592300305e-06,10.0944585166806,"Motility",0.227800331637029
"15","FGFR1",-0.967658895268757,7.77929227834339,-6.1047204901882,7.68915105872248e-09,4.6714155732092e-06,9.92019601354136,NA,0.38555663559952
"16","NR1H4",1.53290114279221,5.79629175893481,6.11724010647551,7.21660683225889e-09,4.6714155732092e-06,9.8612446806159,"Metabolism or Transport (lipid)",0.132711990393962
"20","HIC1",-1.41653709187716,4.14947653055749,-6.07692441409171,8.84951176480082e-09,5.04035004453937e-06,9.22484070961342,NA,0.0555206129567156
"17","PLEC",-0.843598639653657,6.07619316474714,-6.027096438229,1.13747582026799e-08,5.76342252484625e-06,9.52453459046927,"Matrisome/cell adhesion/binding/signaling",0.173709188632855
"18","PCNX1",0.557122992806374,8.07283569998061,6.01952774244964,1.18156353307972e-08,5.76342252484625e-06,9.50439468952854,NA,0.487506432614786
"19","NOD1",1.2749591029443,5.89621041576959,6.01617327710134,1.20163533383166e-08,5.76342252484625e-06,9.36478666045906,NA,0.16770541483218
"21","RHEB",-0.843498119598578,7.23135728833983,-5.900035149418,2.14578733904761e-08,9.77728001037042e-06,8.9557669341781,NA,0.334095717308022
"22","PER1",-0.872256243658545,6.84622519254771,-5.87259893808888,2.45840750290934e-08,1.0668317892387e-05,8.82732289405796,NA,0.285779632912116
"23","SFRP2",-1.5715567221683,5.55417324597603,-5.85537680071247,2.67699871629832e-08,1.10888587734666e-05,8.65854707665804,"Development (differentiation)",0.117845502887529
"24","SLC66A2",-0.777170233882073,6.27623907155982,-5.82936346547514,3.04371780025944e-08,1.2059739266854e-05,8.60946178337842,"Transport",0.204871633598262
"25","USP36",-1.13263965495867,6.65345248802853,-5.77269672746458,4.02114550252296e-08,1.52365049919512e-05,8.35702820449856,"Metabolism (other)",0.239407627651667
"26","TPM4",-1.29903491774814,7.11214620927239,-5.76479241916574,4.17988176010951e-08,1.52365049919512e-05,8.32558190285188,NA,0.281548401852593
"29","MEIS1",1.85659804411097,4.2253938939204,5.69984876588798,5.73836314474621e-08,2.01129628223355e-05,7.55768990645568,"Development (differentiation)",0.0600377380067471
"27","NR4A3",-2.06011340918797,5.33151689821329,-5.68947735515469,6.03502588202366e-08,2.03693299492154e-05,7.84199204920783,"Development (apoptosis)",0.0894276402310023
"28","GLUL",-0.841508081797619,7.78270348237531,-5.61402728038777,8.69364705229782e-08,2.82947162812822e-05,7.60477873963071,"Metabolism (other)",0.392075018583109
"30","NHSL2",-0.703210710904829,8.52734910091145,-5.57238853516969,1.06201629719794e-07,3.33729466081544e-05,7.37490291562595,NA,0.509520269883927
"31","MIR646HG",1.11620644056953,8.06880999155323,5.49000160606053,1.57380625188333e-07,4.7806987911376e-05,7.0304341822468,NA,0.352964720681571
"32","DENND4A",0.410726382550163,8.93290576708947,5.44850539751462,1.91597259199935e-07,5.63234136480325e-05,6.78079687853638,NA,0.655554920235577
"33","CACNA2D3",-1.13083652244919,8.12560883821417,-5.40607194868445,2.34065279542767e-07,6.66574028897886e-05,6.64836348839695,"Transport",0.363885871118989
"34","LMNA",-0.921122614788342,5.85146194128386,-5.38774563784199,2.55126800010825e-07,7.04536523787469e-05,6.60645649275672,NA,0.162044713820116
"35","PHC2",0.844517206429865,7.78293907626608,5.3714508978293,2.7539734307833e-07,7.38145878668478e-05,6.51114054494323,NA,0.43781805706444
"37","TACC1",-0.933722790747288,9.59032971061784,-5.30627600905124,3.73360599464385e-07,9.72124326548268e-05,6.08033949717858,NA,0.700611813139688
"36","OSMR-AS1",0.644947610919758,7.88029792945419,5.28957096706783,4.0349625392971e-07,0.000102140593390596,6.15349348505132,NA,0.434844759563154
"38","CAB39L",-1.04290008165873,7.1055050425429,-5.23592991248445,5.17163733347962e-07,0.000127376029783783,5.94815506031548,"Cilia",0.278575104351307
"39","PLEKHG1",0.934221176158569,6.39416817942158,5.20814402835965,5.87739292349065e-07,0.000140949162399395,5.84640319005322,NA,0.189033106524101
"40","ZNF331",-1.23926544942455,7.34173999023888,-5.19993041995183,6.10338852311779e-07,0.000142615845156852,5.79352383964744,NA,0.259363028189147
"41","ATP2B4",0.577376747515667,7.0747981576414,5.19137345059027,6.34781957624461e-07,0.000144619199495793,5.75629432729528,NA,0.319000514609183
"42","EIF4A3",-2.20589226936585,5.29828432018976,-5.17755011222152,6.76293763883782e-07,0.000150318660250559,5.64921115129323,NA,0.0737034707530448
